"id","value.2005","value.2006","value.2007","value.2008","value.2009","value.2010","value.2011","value.2012"
"ER",924942,978005,1031185,1085152,1141090,1199902,1267435,1338135
"ES",33482406,34104955,34794879,35408006,35777080,35996489,36192216,36274209
"ET",11958257,12457138,12969294,13495510,14036961,14594556,15213269,15850562
"FI",4349276,4372877,4398427,4425891,4454081,4481510,4509326,4537861
"FJ",410181,416218,423188,430791,438548,446088,453334,460354
"FM",23714,23639,23546,23450,23372,23329,23387,23483
"FO",19555,19771,19940,20073,20186,20292,20385,20472
"FR",51523387,52351104,53146182,53916846,54670215,55425471,56051844,56668519
"GA",1151771,1186316,1222053,1258940,1296890,1335830,1373225,1411483
"GB",47710745,48119641,48551677,48991362,49422401,49889575,50377410,50739548
"GD",38366,38800,39243,39696,40158,40628,41140,41658
"GE",2288427,2310023,2307368,2307334,2323997,2348496,2369961,2379155
"GH",10198901,10622330,11060639,11510374,11966783,12426245,12874103,13322922
"GL",47175,47215,47205,47188,47355,48018,48162,48251
"GM",763109,797905,834062,871710,911035,952183,992546,1034626
"GN",3145346,3260076,3385245,3519244,3659268,3803131,3957432,4116046
"GQ",234668,242189,249834,257631,265627,273851,282906,292217
"GR",6697468,6744439,6791455,6838648,6886816,6922340,6836638,6844972
"GT",5980900,6186214,6397188,6614734,6840167,7074413,7321287,7577132
"GU",147476,147525,147456,147459,147771,148557,149930,151803
"GW",562138,585131,608801,633314,658902,685739,712994,741528
"GY",215377,216665,218096,219610,221120,222560,224610,226593
"HK",6813200,6857100,6916300,6957800,6972800,7024200,7071600,7154600
"HN",3356209,3464850,3576311,3690898,3808978,3930788,4055611,4184175
"HR",2505555,2514470,2522239,2531131,2538295,2541870,2475223,2479962
"HT",4082381,4287192,4494773,4706051,4922457,5145138,5348781,5558462
"HU",6694281,6736236,6778099,6818439,6860003,6896516,6923948,6934988
"ID",103119791,106418819,109785533,113208004,116669236,120155328,123572811,127005702
"IE",2515791,2597017,2685352,2753419,2794417,2822645,2846995,2867361
"IL",6342289,6459708,6579844,6702243,6868936,7000218,7135497,7273246
"IN",329520416,338116392,346720162,355358849,364075137,372899704,382160870,391535019
"IQ",18354119,18786330,19210122,19640997,20099911,20601129,21121620,21655257
"IR",47393548,48146256,48909259,49689874,50496063,51332830,52104755,52905891
"IS",276072,282986,290603,296430,297818,297763,299009,300942
"IT",39611328,39911882,40280671,40666257,40987375,41261765,41534921,40832338
"JM",1375386,1380112,1384836,1389566,1394294,1399013,1405914,1412283
"JO",4392487,4508308,4624777,4741893,4862946,4986318,5112416,5240819
"JP",109856670,111007955,112186807,113293661,114328157,115394920,116486531,117011388
"KE",7756554,8106572,8469125,8845193,9236073,9642706,10080053,10534344
"KG",1821882,1841719,1859513,1877416,1900369,1923327,1951595,1989165
"KH",2560961,2616397,2671098,2726487,2784432,2846267,2921611,3001469
"KI",39400,40094,40773,41446,42125,42818,43607,44413
"KM",167454,171974,176616,181360,186181,191058,196541,202101
"KN",15763,15968,16164,16353,16537,16721,16964,17205
"KP",14241564,14354624,14459236,14557973,14654559,14751763,14863014,14975290
"KR",39157919,39501789,39840452,40283702,40631937,40977499,41416892,41738007
"KW",2254452,2373689,2509008,2654013,2799627,2938988,3070173,3194184
"KY",48623,50026,51472,52912,54275,55509,56601,57570
"KZ",8288303,8346212,8411663,8483835,8678697,8769912,8880430,8990398
"LA",1585826,1682286,1784741,1892509,2004120,2118324,2231750,2347559
"LB",3451429,3536521,3593209,3638112,3695792,3782654,3823888,3865564
"LC",38184,37108,36040,34943,33775,32510,31637,30692
"LI",5118,5140,5161,5181,5200,5219,5245,5271
"LK",2971548,3000504,3024406,3047794,3079402,3106418,3156728,3092255
"LR",1505769,1570577,1646708,1729885,1813311,1891959,1965688,2035018
"LS",448259,465509,483165,501305,520010,539335,559615,580600
"LT",2213967,2181297,2157903,2138165,2116870,2075210,2032325,2008662
"LU",390398,397864,405264,413803,422789,431853,442738,454706
"LV",1522383,1507223,1493721,1476869,1451469,1420380,1394711,1377478
"LY",4300118,4378802,4460526,4541795,4617771,4685280,4744348,4794882
"MA",16559957,16811893,17066969,17332903,17619590,17933624,18287016,18669087
"MC",33808,34369,35013,35686,36314,36845,37261,37579
"MD",1551791,1574538,1597884,1621786,1646646,1671881,1696533,1721924
"ME",383040,384789,386486,388126,389712,391244,392797,394270
"MF",,,,,,,,
"MG",5270194,5541884,5823007,6114255,6416546,6730695,7060482,7403095
"MH",36421,36603,36813,37044,37276,37503,37712,37916
"MK",1234275,1237055,1239283,1241115,1242736,1244281,1247935,1251600
"ML",3713015,3910969,4118930,4336138,4561401,4793968,5035161,5284099
"MM",14745693,15111944,15484636,15865890,16257623,16661097,17093781,17540220
"MN",1578912,1625500,1674421,1725501,1778429,1832916,1885482,1939345
"MO",468149,479808,493206,507528,521617,534626,546278,556783
"MP",58430,56562,54411,52250,50431,49199,48683,48810
"MR",1269572,1312193,1355452,1399255,1443511,1488164,1537017,1586407
"MT",378170,380382,382546,385883,389650,392419,394719,398379
"MU",524404,527383,529616,532029,533718,535157,537536,540033
"MV",100432,105985,111729,117680,123853,130258,136482,142935
"MW",1945691,2016331,2091293,2169847,2250881,2333578,2426152,2520891
"MX",84497242,85894169,87321233,88776250,90252780,91745094,93228046,94728228
"MY",17463722,18023847,18594686,19175422,19764423,20360298,20903168,21450995
"MZ",6302903,6517384,6736249,6959505,7187300,7419786,7673221,7932315
"NA",710331,730802,752235,774829,798732,824042,851361,880341
"NC",148080,150040,151900,152271,152639,154743,156873,159032
"NE",2205913,2313074,2425692,2544114,2668712,2799842,2950334,3108993
"NG",63860545,66498404,69252238,72127161,75127966,78258409,81464648,84804193
"NI",3051268,3104832,3159272,3215129,3273020,3333331,3398789,3466865
"NL",13083965,13189179,13302265,13438845,13593269,13748740,13877286,13993242
"NO",3582588,3626585,3679487,3741006,3804051,3867496,3931464,3997093
"NP",3822642,3953385,4082146,4210196,4339461,4471472,4615442,4762848
"NZ",3557304,3602120,3640938,3677111,3718735,3764782,3799044,3825145
"OM",1813728,1843701,1860990,1884858,1942337,2051290,2221406,2442180
"PA",2381092,2451898,2523634,2596279,2669832,2744288,2812587,2881498
"PE",20801887,21137774,21468629,21801336,22145042,22506335,22875723,23263636
"PF",131976,133265,134438,135549,136665,137839,139324,140876
"PG",766079,783223,800535,817943,835355,852704,876776,901065
"PH",41222504,42072247,42908226,43741510,44587876,45458794,46467443,47505457
"PK",54470124,55932785,57442781,58989927,60556525,62129434,63799702,65481587
"PL",23454956,23401117,23349453,23313673,23290485,23271046,23465298,23446998
"PR",3731101,3723973,3710815,3697646,3686024,3675549,3652209,3628924
"PS",2425915,2496005,2568098,2650910,2736628,2825284,2919825,3017782
"PT",6047292,6119889,6193717,6264547,6332472,6397360,6444504,6474747
"PW",15468,15776,16088,16405,16730,17065,17333,17612
"PY",3451873,3551536,3652422,3754724,3858714,3964589,4069063,4175294
"QA",800211,945252,1128619,1334278,1539273,1726179,1887451,2027766
"RO",11248692,11183523,11020785,10839890,10751182,10688728,10642085,10610470
"RS",4050234,4058056,4065257,4071508,4078641,4085610,4092408,4097750
"RU",104399295,104131020,104043915,104139062,104314635,104872346,105539362,106209827
"RW",1653832,1718991,1791772,1870965,1953864,2038389,2130704,2226067
"SA",19993769,20602012,21100760,21526022,21936316,22374774,22845126,23336349
"SB",83588,87735,91976,96314,100759,105316,110075,114951
"SC",42781,43934,44436,45724,46188,47789,46889,47694
"SD",10347531,10634426,10925350,11217699,11508241,11795108,12107890,12418188
"SE",7613645,7669976,7740548,7814675,7895239,7976659,8051278,8125319
"SG",4265800,4401400,4588600,4839400,4987600,5076700,5183700,5312400
"SI",1009619,1010799,1014409,1013953,1021079,1023452,1024972,1026518
"SK",2985293,2977596,2970629,2965334,2961435,2956336,2957310,2959503
"SL",1907826,1984861,2053114,2114981,2174867,2236138,2302545,2369704
"SM",27994,28332,28569,28735,28879,29037,29221,29416
"SN",4634676,4789215,4949302,5115766,5289715,5471872,5673535,5884016
"SO",2976975,3091577,3208940,3330473,3458083,3593233,3741264,3897783
"SR",335475,341467,347226,352820,358361,363934,369365,374820
"SS",1379070,1448767,1523302,1602684,1686779,1775251,1874226,1977892
"ST",89712,93403,97395,101628,106014,110480,114760,119089
"SV",3743598,3790582,3839140,3889596,3942194,3997056,4051755,4108848
"SX",,,,,,,,
"SY",9770955,10184929,10668634,11173444,11629393,11987871,12313604,12647560
"SZ",242093,243734,246018,248741,251590,254331,257957,261530
"TC",23714,24982,26088,27069,27990,28903,29716,30505
"TD",2165817,2242190,2317662,2393006,2469465,2547981,2637000,2728615
"TG",1949324,2027265,2107777,2191050,2277345,2366836,2460770,2557992
"TH",21137034,21437850,21697416,21930115,22157971,22397501,22709453,23034681
"TJ",1798667,1838998,1881392,1925876,1972502,2021241,2075155,2131032
"TL",256399,268380,280671,293278,306202,319444,333298,347690
"TM",2233763,2272134,2312171,2353792,2396753,2440830,2489072,2538523
"TN",6531687,6615747,6699077,6787120,6880114,6972744,7078245,7170314
"TO",23377,23573,23772,23969,24155,24326,24535,24729
"TR",45280133,46370953,47465701,48570947,49696210,50847592,52170735,53523455
"TT",157214,161454,165731,170022,174303,178549,182787,186963
"TV",4661,4719,4775,4828,4878,4928,4977,5026
"TZ",9392395,9829572,10290943,10776583,11285938,11818541,12396334,12999777
"UA",31932581,31801166,31695192,31606840,31549274,31506290,31484190,31497219
"UG",3805471,4049663,4305712,4574240,4856033,5151782,5475717,5815338
"US",238573506,241727712,244888320,248074384,251125014,254089841,256698506,259371476
"UY",3056649,3064819,3075860,3089084,3103271,3117499,3131213,3145193
"UZ",9597009,9689826,9803381,9936253,10079122,10340731,10634946,10805762
"VC",51137,51625,52103,52570,53028,53475,53922,54356
"VE",24564039,25067709,25574053,26082377,26591774,27101449,27584500,28066313
"VI",101614,101692,101661,101577,101442,101252,100945,100612
"VN",22477771,23247160,24024743,24811618,25610159,26421395,27261671,28121657
"VU",48364,50223,52129,54080,56072,58104,60208,62348
"WS",38177,38007,37837,37668,37506,37351,37270,37195
"XK",,,,,,,,
"YE",5827612,6094627,6367019,6645547,6931375,7225434,7533038,7849255
"ZA",28229295,28823800,29430274,30048990,30680224,31324266,31972543,32633994
"ZM",4199404,4363273,4535925,4718508,4912295,5118277,5339731,5574556
"ZW",4558017,4620705,4684302,4758476,4856029,4986252,5159225,5367745
