"id","direction.2000","flow-type.2000","flow-name.2000","value.2000","direction.2001","flow-type.2001","flow-name.2001","value.2001","direction.2002","flow-type.2002","flow-name.2002","value.2002","direction.2003","flow-type.2003","flow-name.2003","value.2003","direction.2004","flow-type.2004","flow-name.2004","value.2004","direction.2005","flow-type.2005","flow-name.2005","value.2005","direction.2006","flow-type.2006","flow-name.2006","value.2006","direction.2007","flow-type.2007","flow-name.2007","value.2007","direction.2008","flow-type.2008","flow-name.2008","value.2008","direction.2009","flow-type.2009","flow-name.2009","value.2009","direction.2010","flow-type.2010","flow-name.2010","value.2010","direction.2011","flow-type.2011","flow-name.2011","value.2011","direction.2012","flow-type.2012","flow-name.2012","value.2012","direction.2013","flow-type.2013","flow-name.2013","value.2013"
"BO","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"BR","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"BT","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"BW","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"BY","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"BZ","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"CD","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"CF","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"CG","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"CI","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"CK","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"CL","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"CM","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"CN","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"CO","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"CR","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"CU","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"CV","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"DJ","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"DM","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"DO","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"DZ","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"EC","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"EG","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"ER","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"ET","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"FJ","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"FM","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"GA","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"GD","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"GE","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"GH","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"GM","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"GN","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"GQ","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"GT","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"GW","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"GY","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"HN","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"HR","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"HT","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"ID","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"IN","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"IQ","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"IR","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"JM","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"JO","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"KE","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"KG","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"KH","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"KI","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"KM","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"KN","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"KP","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"KZ","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"LA","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"LB","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"LC","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"LK","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"LR","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"LS","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
"LY","in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",,"in","official","dfis-in",
