"district_id","2011","2012","2013","2014","2015","2016"
"d413",5,4.4,3.9,8.2,8.9,9.5
"d414",4.5,3.6,3.5,9.6,9.7,8.6
"d206",4,4.7,4.5,6.6,78,9.5
"d406",3,2.5,1.7,4.8,5.7,9.2
"d207",4.8,4.8,3.5,6.2,9.7,9.6
"d112",5,4,4.9,9,10,8.6
"d407",5,5,4.7,6.9,9.9,9.6
"d103",5,3.6,5,8.5,78,9.4
"d227",3.2,4.5,3,5,6.5,9.9
"d419",3.8,4.8,4.3,8.1,75,9.3
"d421",3.2,4.7,4.4,6.8,9.9,9.7
"d408",4.9,4.9,3.9,8.7,10,9.8
"d305",4,2.3,3.8,5.2,4.8,9.2
"d319",4.4,4.6,4.5,9,9.9,10
"d325",1.8,4.3,2.8,7.7,10,9.6
"d306",4.6,4.8,4,8.2,5.3,9.5
"d208",3.8,4.4,4.8,8.9,9.1,8.7
"d228",3.2,3.7,1.6,5.4,9,9.7
"d123",4.4,4.4,4.8,8.6,9.9,9.7
"d422",4.1,5,4.6,7.9,9.6,9.7
"d415",3.7,4.8,4,4.3,8.2,9.8
"d326",3.6,3.5,4.8,9,8.3,9.8
"d307",3.8,4.3,4.5,9.3,9.3,9.5
"d229",3.2,3.4,4.7,5.8,8,9.9
"d104",3.6,3.4,4.3,7.9,8.6,8
"d124",2,3.5,4.1,6.9,8.8,10
"d114",4.3,3.2,3.9,8.2,9.7,9.5
"d223",4,3.7,4.7,6.6,9.1,9.2
"d320",5,3.6,5,8.3,7.7,9.4
"d105",3.4,4.4,4.9,8.9,6.3,10
"d409",5,3.9,4.7,7.7,78,9.8
"d214",4.2,4.7,4.8,6.7,6.6,9.8
"d209",4.6,4.1,4.5,8,9,9.7
"d410",3.2,3.2,3.7,8,6.7,9.5
"d423",0.6,4.4,3.9,7.5,7.8,8.9
"d115",3.9,4.1,4.4,8.9,9.9,10
"d308",3.4,4.6,4.8,8.6,7.4,9.1
"d309",4,4,4.9,9.9,9.9,9.9
"d106",4.6,4.3,3.5,6.5,8.9,9.8
"d107",3.6,4.7,2.9,6.3,8.5,9.5
"d108",4.9,3.8,5,9,9.8,9.9
"d311",5,4,3.9,8.9,9.3,9.7
"d116",3.9,4.9,4.5,6.8,7.6,10
"d109",3.9,4.4,4.6,6.4,6,8.8
"d230",2.8,3.9,3.4,6.5,9.2,9.4
"d224",5,4.9,4,6.4,8.7,9.9
"d327",4,2.5,3.7,8.8,8.7,9.1
"d310",4.3,3.9,4.4,6.9,9.9,9.8
"d231",1.7,4,4.2,8,8.8,9.5
"d424",2.9,3.2,3.5,3.9,9.5,10
"d411",3.7,4.8,4.7,7.3,6.5,9.1
"d328",1.8,3.6,4.9,9,10,9.5
"d329",3.3,4.3,3.7,6.4,8.1,9.8
"d321",5,3.1,3.1,6,7.8,9.6
"d312",4.4,4.4,3.2,6.4,6.8,9
"d210",3.5,3.2,4.4,6.6,78,9.6
"d110",4.4,2.6,4.2,7,6.7,9.4
"d425",4.1,5,3.8,8.8,6.3,9.6
"d412",3.9,3.2,3.3,8.8,9.9,9.4
"d111",3.7,2,3.5,7,9.9,9.7
"d232",2.5,4.8,3.7,6.8,9.4,9.5
"d426",2.5,4.9,2.8,6.8,9.7,9.8
"d215",4.6,3.5,4.9,5.8,71,9.5
"d211",2.7,3.9,3.1,7.2,8.6,9.6
"d212",4.9,4.8,4.2,6.9,9.2,9.8
"d113",4.9,3.6,4.2,5.8,5.7,9.4
"d313",5,4.7,4.9,10,10,9.6
"d330",5,4,4.9,8.9,9.5,10
