"district_id","2011","2012","2013","2014","2015","2016"
"d319",38,43.9,42.3,38.9,52.8,61.2
"d325",50,26.8,40.6,43.5,46.7,26.5
"d306",37,41.5,42.2,38.5,56.4,66.2
"d208",50,14.4,62.4,44.8,57.1,66.4
"d228",,34.2,31.8,27,45.3,53.2
"d123",38,39.4,53.5,49.9,53,48.9
"d422",52,67.2,84.9,88.4,59.4,66.5
"d415",39,75.2,73.4,59.3,61.7,57.8
"d326",50,,43.9,50.3,98.5,56.6
"d307",46,35.8,42.2,51.1,58.8,48.9
"d229",13,14.5,17,28.9,22.9,37.3
"d104",33,38.3,53.7,60.1,62.1,70.3
"d124",24,,39.5,46.1,44.5,55.9
"d114",95,123.7,64.1,75.2,78.4,73.4
"d223",74,45.6,37.2,41.4,43.7,30.9
"d320",61,56.4,56.8,54.9,41.7,65.8
"d105",26,32.5,43.6,44.7,45.9,50.9
"d409",49,60,46.8,41,50,66
"d214",40,43,49,51.1,52.7,57.8
"d209",42,78.8,49.3,53.7,52.2,68.1
"d410",39,34.2,34.7,40.7,41.8,51.8
"d423",,35.9,29.6,30.3,36.3,51.2
"d115",42,43.1,53,55.8,56.8,63.7
"d308",50,38.8,39.8,36.7,50.9,110.3
"d309",20,32.5,14.2,14.1,47.4,61.5
"d106",65,67.5,74,70.4,64,62.6
"d107",71,52.7,57.3,59.9,61.3,44.4
"d108",51,,50.8,50.9,55.9,40.1
"d311",70,54.1,55.8,40.5,41.7,47.8
"d116",43,38.6,51.5,54,57.2,70.4
"d109",57,45.3,62,61.7,58.9,43.6
"d230",38,32.2,47,46.8,63.4,68.3
"d224",32,32.9,71.4,49.4,56.4,59.4
"d327",24,,34.1,35.2,56.2,61.6
"d310",64,64.6,64.8,63.6,57.1,58.4
"d231",,64.6,64.9,49.4,60.5,67.6
"d424",,20.9,20,20.9,39.8,56
"d411",21,50.2,33.6,38,40.5,44.6
"d328",88,72.2,135.1,107.7,48.3,51.2
"d329",44,48.5,45.9,53.1,56.1,77.2
"d321",57,60.7,53.8,60.6,74.3,66.8
"d312",39,32.4,35.2,41.9,58.9,57.8
"d210",88,35.3,64,67.3,68.5,61.5
"d110",48,19.6,63.6,55.7,58,43.1
"d425",37,34.8,45.4,47.9,54,60.8
"d412",50,49.8,47.2,46.3,46.9,53.6
"d111",24,79.2,40.6,29.6,39.5,41.2
"d232",,39.7,51.5,69.1,83,88.3
"d426",42,49.9,39.5,33.9,53.7,50.8
"d215",36,82.6,46.2,31.8,38.1,57
"d211",30,48.2,53.7,82.5,72.9,69
"d212",49,46.9,48.8,57.1,62.3,51.9
"d113",29,30.7,32.8,39.1,28.6,22.3
"d313",35,29.3,30.5,30.6,46.6,36.3
"d330",52,67.6,47.2,58.7,43.7,40.9
