country,channel,year,in-oda-gross-channel
CG,H,2006,6308540
CG,I,2006,219870
CG,J,2006,218702660
CI,A,2006,114300369
CI,D,2006,13836606
CI,E,2006,4980107
CI,F,2006,30012
CI,G,2006,7128
CI,H,2006,28111999
CI,I,2006,336744
CI,J,2006,222629121
CK,A,2006,5763640
CK,D,2006,63359
CK,H,2006,50123
CK,I,2006,369587
CK,J,2006,36138728
CL,A,2006,93588617
CL,D,2006,7002569
CL,E,2006,1373794
CL,H,2006,2829209
CL,I,2006,3591459
CL,J,2006,17688453
CM,A,2006,1467922996
CM,D,2006,10537310
CM,E,2006,5514856
CM,F,2006,174845
CM,H,2006,1062578601
CM,I,2006,15975550
CM,J,2006,1316135561
CN,A,2006,1170429082
CN,D,2006,33515827
CN,E,2006,4937863
CN,F,2006,2321958
CN,G,2006,9748
CN,H,2006,29930388
CN,I,2006,56119816
CN,J,2006,1773572592
CO,A,2006,124529255
CO,D,2006,46866829
CO,E,2006,11021293
CO,F,2006,8161189
CO,G,2006,15790
CO,H,2006,69859812
CO,I,2006,99205120
CO,J,2006,772556286
CR,A,2006,32512188
CR,D,2006,2248655
CR,E,2006,1616920
CR,F,2006,812524
CR,H,2006,1747074
CR,I,2006,1644942
CR,J,2006,28034551
CU,A,2006,15355115
CU,D,2006,4836078
CU,E,2006,1735316
CU,F,2006,-12408
CU,G,2006,4989
CU,H,2006,7450935
CU,I,2006,9646373
CU,J,2006,36543079
CV,A,2006,74283493
CV,D,2006,7165624
CV,E,2006,806615
CV,G,2006,66916
CV,H,2006,2255137
CV,I,2006,2007451
CV,J,2006,75078428
DJ,A,2006,28453386
DJ,D,2006,309500
DJ,E,2006,118179
DJ,H,2006,4951664
DJ,I,2006,7960000
DJ,J,2006,41480802
DM,A,2006,19694965
DM,D,2006,32824
DM,H,2006,7340
DM,J,2006,2332807
DO,A,2006,138565511
DO,D,2006,13782533
DO,E,2006,1196575
DO,G,2006,440745
DO,H,2006,4465118
DO,I,2006,22184073
DO,J,2006,50788135
DZ,A,2006,175476418
DZ,D,2006,10685107
DZ,E,2006,897054
DZ,F,2006,110581
DZ,G,2006,8653
DZ,H,2006,2511378
DZ,I,2006,319803
DZ,J,2006,261410253
EC,A,2006,93055017
EC,D,2006,19565945
EC,E,2006,13823483
EC,F,2006,3465143
EC,G,2006,17963
EC,H,2006,19358577
EC,I,2006,24051929
EC,J,2006,118786142
EG,A,2006,592290779
EG,D,2006,18535792
EG,E,2006,8524274
EG,F,2006,436355
EG,G,2006,8653
EG,H,2006,11051290
EG,I,2006,263512276
EG,J,2006,546104402
ER,A,2006,42702755
ER,D,2006,16944656
ER,E,2006,5341422
ER,F,2006,589798
ER,H,2006,24387741
ER,I,2006,1356370
ER,J,2006,54687785
ET,A,2006,777062188
ET,D,2006,149900264
ET,E,2006,39221181
ET,F,2006,8397647
ET,H,2006,3725231522
ET,I,2006,116737696
ET,J,2006,1782872284
FJ,A,2006,31812369
FJ,D,2006,4187832
FJ,E,2006,939824
FJ,H,2006,4304767
FJ,I,2006,21258221
FJ,J,2006,15220525
GA,A,2006,50189421
GA,D,2006,321803
GA,E,2006,45245
GA,H,2006,6712626
GA,I,2006,125741
GA,J,2006,35504240
GD,A,2006,9213681
GD,H,2006,1115206
GD,I,2006,11074
GD,J,2006,6120301
GE,A,2006,212733627
GE,D,2006,20011835
GE,E,2006,6367203
GE,F,2006,256035
GE,G,2006,2248024
GE,H,2006,25222913
GE,I,2006,60642556
GE,J,2006,126512229
GH,A,2006,1012599584
GH,D,2006,39572691
GH,E,2006,3384764
GH,F,2006,440036
GH,G,2006,77410
GH,H,2006,4412535962
GH,I,2006,34118131
GH,J,2006,1113171991
GM,A,2006,30058990
GM,D,2006,5082727
GM,E,2006,380075
GM,H,2006,1540581
GM,I,2006,255809
GM,J,2006,32344812
GN,A,2006,83287225
GN,D,2006,8340899
GN,E,2006,5892889
GN,F,2006,715948
GN,H,2006,27717322
GN,I,2006,20277625
GN,J,2006,116307721
GQ,A,2006,9077260
GQ,D,2006,4035048
GQ,E,2006,45116
GQ,H,2006,2393114
GQ,I,2006,69766
GQ,J,2006,20761344
GT,A,2006,121642018
GT,D,2006,47664960
GT,E,2006,20174829
GT,F,2006,7387471
GT,G,2006,145069
GT,H,2006,45327335
GT,I,2006,32018092
GT,J,2006,321455047
GW,A,2006,55612109
GW,D,2006,9984597
GW,E,2006,1962240
GW,G,2006,15682
GW,H,2006,12089541
GW,I,2006,502760
GW,J,2006,35108215
GY,A,2006,141126533
GY,D,2006,272420
GY,H,2006,258225008
GY,I,2006,14252254
GY,J,2006,54933260
HN,A,2006,321219592
HN,D,2006,38055062
HN,E,2006,6810156
HN,F,2006,1785040
HN,H,2006,1290109837
HN,I,2006,21337763
HN,J,2006,353361515
HR,A,2006,170691205
HR,D,2006,16202170
HR,E,2006,3915748
HR,G,2006,8653
HR,H,2006,8955045
HR,I,2006,23274132
HR,J,2006,14286541
HT,A,2006,163209173
HT,D,2006,59945298
HT,E,2006,31964663
HT,F,2006,53011
HT,H,2006,37618654
HT,I,2006,105492048
HT,J,2006,215338357
ID,A,2006,812217582
ID,D,2006,68888220
ID,E,2006,21974018
ID,F,2006,964648
ID,G,2006,5605998
ID,H,2006,326731730
ID,I,2006,385011401
ID,J,2006,1821841040
IN,A,2006,541427397
IN,D,2006,134780783
IN,E,2006,26022367
IN,F,2006,13469505
IN,G,2006,6498
IN,H,2006,64492700
IN,I,2006,100724779
IN,J,2006,2524034758
IQ,A,2006,1883945655
IQ,D,2006,41124059
IQ,E,2006,34890954
IQ,F,2006,361286
IQ,H,2006,317033411
IQ,I,2006,4031044870
IQ,J,2006,3763585371
IR,A,2006,89884793
IR,D,2006,997202
IR,E,2006,469045
IR,F,2006,290279
IR,H,2006,5381452
IR,I,2006,1035993
IR,J,2006,46188698
JM,A,2006,76572460
JM,D,2006,762042
JM,E,2006,88707
JM,H,2006,532248
JM,I,2006,16778236
JM,J,2006,33963594
JO,A,2006,231759917
JO,D,2006,17785168
JO,E,2006,574038
JO,F,2006,4511
JO,G,2006,8653
JO,H,2006,4697623
JO,I,2006,269083927
JO,J,2006,79675937
KE,A,2006,349573969
KE,D,2006,66769224
KE,E,2006,13379936
KE,F,2006,2371168
KE,G,2006,16766
KE,H,2006,166361800
KE,I,2006,110450592
KE,J,2006,465977611
KG,A,2006,69807836
KG,D,2006,7811353
KG,E,2006,5482765
KG,F,2006,0
KG,H,2006,2023448
KG,I,2006,30282870
KG,J,2006,107521164
KH,A,2006,289589231
KH,D,2006,39587311
KH,E,2006,16773435
KH,F,2006,916521
KH,G,2006,6415
KH,H,2006,43650119
KH,I,2006,63752019
KH,J,2006,205290494
KI,A,2006,8604157
KI,D,2006,2073659
KI,H,2006,4447441
KI,I,2006,3073632
KI,J,2006,16286926
KM,A,2006,15116293
KM,D,2006,2055165
KM,E,2006,413826
KM,H,2006,912166
KM,I,2006,13288
KM,J,2006,17617498
KN,A,2006,2787073
KN,H,2006,7340
KN,J,2006,5770155
KP,A,2006,12178941
KP,D,2006,11180307
KP,E,2006,872773
KP,H,2006,14855761
KP,I,2006,943677
KP,J,2006,16835860
KZ,A,2006,43307924
KZ,D,2006,3531509
KZ,E,2006,307818
KZ,F,2006,22950
KZ,G,2006,13077301
KZ,H,2006,6714998
KZ,I,2006,27183208
KZ,J,2006,52028744
LA,A,2006,148008885
LA,D,2006,11559460
LA,E,2006,4862673
LA,F,2006,381233
LA,H,2006,14765863
LA,I,2006,17412475
LA,J,2006,138878545
LB,A,2006,374365132
LB,D,2006,32855198
LB,E,2006,35192369
LB,F,2006,5437547
LB,G,2006,8653
LB,H,2006,113226731
LB,I,2006,43377055
LB,J,2006,114097544
LC,A,2006,6883616
LC,H,2006,62710
LC,J,2006,16401413
LK,A,2006,301115183
LK,D,2006,66552655
LK,E,2006,12818532
LK,F,2006,724946
LK,H,2006,59902333
LK,I,2006,62430141
LK,J,2006,675444643
LR,A,2006,55081384
LR,D,2006,47973991
LR,E,2006,9162546
LR,F,2006,58651
LR,H,2006,75525822
LR,I,2006,47329518
LR,J,2006,51437104
LS,A,2006,35573628
LS,D,2006,3781024
LS,E,2006,1057359
LS,H,2006,2720737
LS,I,2006,146176
LS,J,2006,44829095
LY,A,2006,7703883
LY,D,2006,22541
LY,G,2006,8653
LY,I,2006,5021
LY,J,2006,30431538
MA,A,2006,797993642
MA,D,2006,10971725
MA,E,2006,2635081
MA,F,2006,585757
MA,G,2006,987595
MA,H,2006,6926239
MA,I,2006,13029013
MA,J,2006,429002791
MD,A,2006,128153487
MD,D,2006,7365322
MD,E,2006,4584752
MD,F,2006,212560
MD,H,2006,24225095
MD,I,2006,26066577
MD,J,2006,49044558
ME,A,2006,26090937
ME,D,2006,338011
ME,E,2006,176188
ME,G,2006,4326
ME,H,2006,2869119
ME,I,2006,22322572
ME,J,2006,47109852
MG,A,2006,614286093
MG,D,2006,26563647
MG,E,2006,25141678
MG,F,2006,1124765
MG,G,2006,10692
MG,H,2006,2215298253
MG,I,2006,34833355
MG,J,2006,649492635
MH,A,2006,60565984
MH,D,2006,36606
MH,H,2006,7340
MH,J,2006,1589377
MK,A,2006,116216453
MK,D,2006,17582897
MK,E,2006,5429784
MK,F,2006,2554192
MK,G,2006,8653
MK,H,2006,15275435
MK,I,2006,44353758
MK,J,2006,41063352
ML,A,2006,613206085
ML,D,2006,23209786
ML,E,2006,16921898
ML,F,2006,4984681
ML,G,2006,2111814
ML,H,2006,1484174133
ML,I,2006,46949933
ML,J,2006,758447636
MM,A,2006,43612969
MM,D,2006,21734209
MM,E,2006,6457070
MM,F,2006,279530
MM,H,2006,25135481
MM,I,2006,7905441
MM,J,2006,64894478
MN,A,2006,80430742
MN,D,2006,3676166
MN,E,2006,1798955
MN,F,2006,400408
MN,H,2006,5709211
MN,I,2006,15730588
MN,J,2006,92592265
MR,A,2006,173086784
MR,D,2006,5067098
MR,E,2006,3869482
MR,F,2006,3981
MR,H,2006,718886351
MR,I,2006,189456
MR,J,2006,324437008
MS,A,2006,8182857
MS,J,2006,23890176
MU,A,2006,35725779
MU,D,2006,197494
MU,E,2006,14402
MU,H,2006,49831
MU,I,2006,117384
MU,J,2006,34389517
MV,A,2006,18554074
MV,D,2006,2486739
MV,H,2006,5667771
MV,I,2006,-21549
MV,J,2006,12220937
MW,A,2006,366282693
MW,D,2006,49639838
MW,E,2006,6770100
MW,H,2006,2202626951
MW,I,2006,33045781
MW,J,2006,676946216
MX,A,2006,141443294
MX,D,2006,7809599
MX,E,2006,1779350
MX,H,2006,12509634
MX,I,2006,32858057
MX,J,2006,177123131
MY,A,2006,60702263
MY,D,2006,2021531
MY,E,2006,286287
MY,F,2006,29325
MY,G,2006,3249
MY,H,2006,171008
MY,I,2006,1907384
MY,J,2006,389612642
MZ,A,2006,782002973
MZ,D,2006,67149244
MZ,E,2006,26038003
MZ,F,2006,7735296
MZ,G,2006,870344
MZ,H,2006,1413662643
MZ,I,2006,95442918
MZ,J,2006,1294418920
NA,A,2006,78661753
NA,D,2006,9614950
NA,E,2006,8520209
NA,H,2006,3548501
NA,I,2006,18685663
NA,J,2006,52680652
NE,A,2006,359990600
NE,D,2006,19005337
NE,E,2006,7709277
NE,F,2006,948572
NE,H,2006,1171902823
NE,I,2006,2369838
NE,J,2006,451600918
NG,A,2006,3430647832
NG,D,2006,57521826
NG,E,2006,2873152
NG,F,2006,8135
NG,H,2006,43646317
NG,I,2006,73615891
NG,J,2006,10427262789
NI,A,2006,531898089
NI,D,2006,48731560
NI,E,2006,17161402
NI,F,2006,5263785
NI,H,2006,1172202202
NI,I,2006,42311644
NI,J,2006,248096257
NP,A,2006,140367771
NP,D,2006,25116815
NP,E,2006,22997214
NP,F,2006,993880
NP,H,2006,45951121
NP,I,2006,44267540
NP,J,2006,283475007
NR,A,2006,125353603
NR,D,2006,263932
NR,H,2006,1164848
NR,I,2006,12733484
NR,J,2006,8799877
NU,A,2006,4590066
NU,D,2006,225760
NU,J,2006,7807430
OM,A,2006,3162145
OM,H,2006,278045
OM,I,2006,42081
OM,J,2006,4384122
PA,A,2006,28503283
PA,D,2006,6974800
PA,E,2006,177700
PA,H,2006,2350673
PA,I,2006,4449538
PA,J,2006,21466098
PE,A,2006,170731248
PE,D,2006,45080010
PE,E,2006,18801675
PE,F,2006,1136879
PE,G,2006,13629
PE,H,2006,14295017
PE,I,2006,68841129
PE,J,2006,389584470
PG,A,2006,96584874
PG,D,2006,12720523
PG,E,2006,1337667
PG,H,2006,13480883
PG,I,2006,183145897
PG,J,2006,166180105
PH,A,2006,215046712
PH,D,2006,36838599
PH,E,2006,10041120
PH,F,2006,606574
PH,G,2006,25251
PH,H,2006,22938410
PH,I,2006,161257556
PH,J,2006,1036564256
PK,A,2006,617241950
PK,D,2006,53185881
PK,E,2006,27585179
PK,F,2006,3286147
PK,G,2006,7751809
PK,H,2006,154542130
PK,I,2006,110894693
PK,J,2006,1561629332
PS,A,2006,451481307
PS,D,2006,115834599
PS,E,2006,17300113
PS,F,2006,18122327
PS,G,2006,8653
PS,H,2006,274382897
PS,I,2006,137117646
PS,J,2006,170546799
PW,A,2006,36453379
PW,H,2006,7340
PW,I,2006,10444
PW,J,2006,6945058
PY,A,2006,35470860
PY,D,2006,6237023
PY,E,2006,714397
PY,H,2006,1019950
PY,I,2006,7372198
PY,J,2006,90843170
RS,A,2006,735219729
RS,D,2006,41944621
RS,E,2006,20417807
RS,F,2006,1994604
RS,G,2006,4326
RS,H,2006,71050172
RS,I,2006,134618311
RS,J,2006,769515498
RW,A,2006,344536835
RW,D,2006,32158200
RW,E,2006,13122958
RW,F,2006,9405673
RW,H,2006,1033813164
RW,I,2006,46013410
RW,J,2006,570920451
SA,A,2006,12087615
SA,I,2006,320038
SA,J,2006,1172933
SB,A,2006,145682651
SB,D,2006,4987671
SB,H,2006,13097254
SB,I,2006,101902003
SB,J,2006,42122124
SC,A,2006,13349781
SC,H,2006,414102
SC,I,2006,21245
SC,J,2006,247396
SD,A,2006,350278719
SD,D,2006,160708387
SD,E,2006,94778386
SD,F,2006,4506091
SD,H,2006,892396644
SD,I,2006,183205647
SD,J,2006,419511222
SH,A,2006,5635882
SH,H,2006,7340
SH,J,2006,22875093
SL,A,2006,371703914
SL,D,2006,24363361
SL,E,2006,3541922
SL,H,2006,36055744
SL,I,2006,4617908
SL,J,2006,150252215
SN,A,2006,605594480
SN,D,2006,15435057
SN,E,2006,14281388
SN,F,2006,4730017
SN,H,2006,2028063026
SN,I,2006,23846623
SN,J,2006,855693891
SO,A,2006,94000306
SO,D,2006,89413402
SO,E,2006,12980443
SO,F,2006,1100204
SO,H,2006,120727847
SO,I,2006,4575055
SO,J,2006,100616959
SR,A,2006,39704296
SR,D,2006,2839407
SR,E,2006,632442
SR,F,2006,1612020
SR,H,2006,1630331
SR,I,2006,1146293
SR,J,2006,19324557
ST,A,2006,22961035
ST,D,2006,1751983
ST,E,2006,108102
ST,F,2006,7827
ST,H,2006,3079403
ST,I,2006,513068
ST,J,2006,7589103
SV,A,2006,48375009
SV,D,2006,9153796
SV,E,2006,8137661
SV,F,2006,1140654
SV,H,2006,10516136
SV,I,2006,15903277
SV,J,2006,126940073
SY,A,2006,112302110
SY,D,2006,2537494
SY,E,2006,183851
SY,F,2006,103767
SY,G,2006,8653
SY,H,2006,5955091
SY,I,2006,1114946
SY,J,2006,46295226
SZ,A,2006,33647423
SZ,D,2006,856013
SZ,E,2006,77647
SZ,H,2006,815101
SZ,I,2006,78625
SZ,J,2006,17743698
TC,J,2006,108643
TD,A,2006,156891774
TD,D,2006,21462360
TD,E,2006,5340160
TD,F,2006,1574254
TD,H,2006,72016120
TD,I,2006,1929577
TD,J,2006,92133807
TG,A,2006,42286665
TG,D,2006,6117374
TG,E,2006,10911985
TG,F,2006,20246
TG,H,2006,3141352
TG,I,2006,167005
TG,J,2006,32660159
TH,A,2006,211051841
TH,D,2006,20282565
TH,E,2006,4993143
TH,F,2006,1138
TH,G,2006,3249
TH,H,2006,7779270
TH,I,2006,14271858
TH,J,2006,457531983
TJ,A,2006,182385952
TJ,D,2006,22813848
TJ,E,2006,3749318
TJ,F,2006,957595
TJ,H,2006,27849413
TJ,I,2006,21659005
TJ,J,2006,82350134
TK,A,2006,7454806
TK,J,2006,8842251
TL,A,2006,95928566
TL,D,2006,15593786
TL,E,2006,1388906
TL,H,2006,55628547
TL,I,2006,43098131
TL,J,2006,62513720
TM,A,2006,5499309
TM,D,2006,861558
TM,E,2006,12334
TM,H,2006,440483
TM,I,2006,3178589
TM,J,2006,3744700
TN,A,2006,494134166
TN,D,2006,942843
TN,E,2006,353707
TN,F,2006,81267
TN,G,2006,8653
TN,H,2006,4163706
TN,I,2006,262295
TN,J,2006,214215203
TO,A,2006,9828599
TO,D,2006,445148
TO,H,2006,43278
TO,I,2006,6520980
TO,J,2006,16076751
TR,A,2006,636174269
TR,D,2006,8187544
TR,E,2006,489809
TR,F,2006,777130
TR,G,2006,8653
TR,H,2006,23488782
TR,I,2006,3945546
TR,J,2006,421778982
TT,A,2006,25173432
TT,H,2006,7340
TT,J,2006,2521051
TV,A,2006,6279139
TV,D,2006,115241
TV,H,2006,50520
TV,I,2006,690805
TV,J,2006,12530726
TZ,A,2006,1129504543
TZ,D,2006,69374878
TZ,E,2006,24768515
TZ,F,2006,2221343
TZ,G,2006,11405
TZ,H,2006,3900963071
TZ,I,2006,90735135
TZ,J,2006,1628796154
UA,A,2006,211067610
UA,D,2006,8979208
UA,E,2006,34117779
UA,F,2006,792920
UA,H,2006,39365542
UA,I,2006,131106231
UA,J,2006,82159275
UG,A,2006,630682961
UG,D,2006,69163721
UG,E,2006,30683194
UG,F,2006,2777251
UG,H,2006,3532695234
UG,I,2006,134184623
UG,J,2006,1227158983
UY,A,2006,15887964
UY,D,2006,1414224
UY,E,2006,474372
UY,H,2006,915160
UY,J,2006,9485013
UZ,A,2006,53964341
UZ,D,2006,8196514
UZ,E,2006,173528
UZ,H,2006,5951510
UZ,I,2006,21357976
UZ,J,2006,85436511
VC,A,2006,6018346
VC,H,2006,7340
VC,J,2006,1980728
VE,A,2006,28702861
VE,D,2006,4020324
VE,E,2006,670108
VE,H,2006,1478991
VE,I,2006,6779116
VE,J,2006,20721009
VN,A,2006,459850157
VN,D,2006,36207467
VN,E,2006,12730983
VN,F,2006,418223
VN,G,2006,30934
VN,H,2006,85117775
VN,I,2006,88172408
VN,J,2006,1588156972
VU,A,2006,35251334
VU,D,2006,1411267
VU,E,2006,10801
VU,H,2006,1928658
VU,I,2006,2152263
VU,J,2006,29280566
WF,A,2006,1530405
WF,J,2006,45436
WS,A,2006,17921563
WS,D,2006,395655
WS,H,2006,1345995
WS,I,2006,8945388
WS,J,2006,38703459
YE,A,2006,125485873
YE,D,2006,2265075
YE,E,2006,991871
YE,F,2006,591115
YE,G,2006,405353
YE,H,2006,20002715
YE,I,2006,16385266
YE,J,2006,242735285
YT,A,2006,3149233
YT,J,2006,1203301
ZA,A,2006,475622886
ZA,D,2006,41642143
ZA,E,2006,11235225
ZA,F,2006,30596149
ZA,G,2006,97057
ZA,H,2006,12618126
ZA,I,2006,101429647
ZA,J,2006,214978018
ZM,A,2006,1719990879
ZM,D,2006,67159018
ZM,E,2006,13841857
ZM,F,2006,3613017
ZM,G,2006,517002
ZM,H,2006,2726547489
ZM,I,2006,87309919
ZM,J,2006,759198439
ZW,A,2006,78831331
ZW,D,2006,48343944
ZW,E,2006,6100246
ZW,H,2006,30712004
ZW,I,2006,28004619
ZW,J,2006,107967717
51,A,2007,352996090
51,D,2007,89749948
51,E,2007,39548942
51,F,2007,12755813
51,G,2007,2720160
51,H,2007,181118428
51,I,2007,79593085
51,J,2007,407117339
52,A,2007,107571490
52,D,2007,49303859
52,E,2007,21900951
52,F,2007,790789
52,H,2007,32563864
52,I,2007,32700355
52,J,2007,224555388
53,A,2007,204823132
53,D,2007,65487461
53,E,2007,14022493
53,F,2007,5743714
53,G,2007,865099
53,H,2007,98790612
53,I,2007,25359956
53,J,2007,59568358
54,A,2007,205873282
54,D,2007,6490711
54,E,2007,8790665
54,F,2007,199158
54,H,2007,17083212
54,I,2007,12820607
54,J,2007,15224718
55,A,2007,7558913888
55,D,2007,736535752
55,E,2007,2310781641
55,F,2007,27308228
55,G,2007,244477118
55,H,2007,3420293726
55,I,2007,1462945604
55,J,2007,4794337713
56,A,2007,108976628
56,D,2007,44716889
56,E,2007,38007355
56,F,2007,3060582
56,G,2007,93527
56,H,2007,80327147
56,I,2007,91127202
56,J,2007,86541482
57,A,2007,30139751
57,D,2007,2750291
57,E,2007,18706193
57,F,2007,1099223
57,H,2007,26171158
57,I,2007,54459367
57,J,2007,69429905
58,A,2007,15596285
58,D,2007,29040040
58,E,2007,22314998
58,F,2007,2540568
58,H,2007,115598154
58,I,2007,46834682
58,J,2007,23624822
59,A,2007,95586632
59,D,2007,25813009
59,E,2007,32446281
59,F,2007,1783898
59,G,2007,1088325
59,H,2007,41637780
59,I,2007,15079459
59,J,2007,54779612
60,A,2007,173555143
60,D,2007,14830735
60,E,2007,2302486
60,H,2007,889651
60,I,2007,28124941
60,J,2007,50591430
61,A,2007,67341500
61,D,2007,2853333
61,E,2007,486184
61,F,2007,527899
61,H,2007,30633312
61,I,2007,39367021
61,J,2007,50177337
62,A,2007,40981423
62,D,2007,8015123
62,E,2007,7365656
62,H,2007,24742848
62,I,2007,7550826
62,J,2007,132900041
63,A,2007,11933693
63,D,2007,30067962
63,E,2007,12873550
63,F,2007,136827
63,H,2007,32903581
63,I,2007,57901234
63,J,2007,27720746
64,A,2007,14916312
64,D,2007,574115
