"id","value.2005","value.2006","value.2007","value.2008","value.2009","value.2010","value.2011","value.2012"
"IR",69.25,70.14,70.71,71.03,71.17,71.22,71.19,71.08
"IQ",54.6,54.72,54.82,54.94,55.12,55.4,55.78,56.23
"JM",61.2,61.52,61.84,62.2,62.62,63.12,63.69,64.33
"JO",58.92,59.42,59.96,60.51,61.04,61.52,61.97,62.39
"KZ",67.69,67.99,68.24,68.42,68.49,68.44,68.26,67.99
"KE",54.51,54.63,54.69,54.73,54.77,54.82,54.89,54.99
"KG",63.12,63.78,64.38,64.89,65.27,65.52,65.63,65.62
"KH",59.55,60.39,61.23,62.01,62.67,63.13,63.41,63.51
"KI",59.33,59.97,60.63,61.3,61.95,62.55,63.11,63.61
"KN",,,,,,,,
"XK",,,,,,65.88,,
"LA",55.88,56.62,57.38,58.13,58.84,59.5,60.09,60.64
"LB",64.63,65.01,65.53,66.18,66.97,67.84,68.81,69.8
"LR",53.66,53.61,53.55,53.51,53.51,53.58,53.71,53.89
"LY",65.11,65.4,65.64,65.83,65.94,65.98,65.94,65.83
"LC",64.29,64.85,65.29,65.64,65.95,66.27,66.61,66.95
"LK",67.53,67.52,67.48,67.4,67.28,67.11,66.89,66.64
"LS",55.7,56.12,56.59,57.08,57.59,58.08,58.57,59.05
"MA",64.23,64.84,65.45,66.02,66.5,66.86,67.08,67.17
"MD",69.8,70.45,71.04,71.54,71.92,72.17,72.28,72.25
"MG",52.26,52.51,52.79,53.09,53.41,53.74,54.1,54.46
"MV",61.08,62.09,62.97,63.74,64.42,65.02,65.54,65.99
"MX",62.4,62.7,63,63.3,63.63,63.97,64.34,64.73
"MH",,,,,,,,
"ML",50.64,50.61,50.56,50.5,50.41,50.3,50.18,50.05
"MM",66.99,67.39,67.77,68.13,68.48,68.84,69.2,69.56
"ME",66.96,67.1,67.34,67.62,67.88,68.07,68.18,68.23
"MN",67.34,68.07,68.59,68.93,69.14,69.23,69.24,69.15
"MZ",52.03,51.85,51.71,51.59,51.49,51.42,51.38,51.36
"MU",69.21,69.57,69.99,70.41,70.8,71.11,71.32,71.45
"MW",50.83,50.84,50.88,50.93,51.01,51.12,51.25,51.41
"MY",65.39,65.85,66.29,66.7,67.1,67.48,67.84,68.19
"NA",56.86,57.14,57.5,57.92,58.38,58.87,59.38,59.9
"NE",48.47,48.26,48.06,47.88,47.72,47.59,47.49,47.4
"NG",53.71,53.64,53.55,53.45,53.35,53.25,53.15,53.05
"NI",58.1,58.66,59.23,59.8,60.36,60.92,61.47,62
"NP",56.15,56.35,56.62,56.98,57.42,57.97,58.62,59.36
"PK",57.71,58.26,58.77,59.25,59.74,60.24,60.77,61.32
"PA",63.19,63.33,63.47,63.61,63.75,63.92,64.09,64.28
"PE",62.59,62.88,63.17,63.45,63.73,64.01,64.29,64.57
"PH",59.5,59.78,60.07,60.38,60.69,61,61.32,61.64
"PW",,,,,,,,
"PG",57.42,57.51,57.61,57.75,57.93,58.17,58.45,58.77
"KP",67.84,67.92,68.05,68.22,68.4,68.56,68.69,68.79
"PY",59.41,59.81,60.21,60.59,60.96,61.29,61.59,61.87
"RW",53.25,53.33,53.19,52.96,52.86,53.02,53.46,54.11
"SD",53.76,53.92,54.11,54.33,54.56,54.8,55.06,55.32
"SN",52.74,52.88,53,53.1,53.19,53.27,53.35,53.44
"SB",55.71,55.74,55.76,55.79,55.85,55.95,56.1,56.28
"SL",54.89,54.93,54.98,55.05,55.15,55.28,55.44,55.65
"SV",58.12,58.65,59.21,59.8,60.42,61.04,61.68,62.32
"SO",49.38,49.34,49.32,49.33,49.38,49.49,49.64,49.84
"RS",67.91,68.22,68.56,68.9,69.19,69.39,69.5,69.52
"SS",52.75,52.92,53.1,53.31,53.52,53.76,54,54.25
"ST",54,54.24,54.43,54.58,54.71,54.8,54.88,54.95
"SR",64.04,64.15,64.28,64.44,64.66,64.92,65.24,65.6
"SZ",55,55.6,56.21,56.81,57.35,57.82,58.21,58.53
"SC",68.14,68.77,69.27,69.64,69.91,70.09,70.19,70.18
"SY",57.97,58.55,59.17,59.75,60.22,60.54,60.68,60.7
"TD",48.09,48.15,48.24,48.35,48.49,48.66,48.84,49.05
"TG",54.38,54.59,54.78,54.94,55.07,55.19,55.28,55.37
"TH",69.95,70.26,70.66,71.09,71.49,71.8,72,72.12
"TJ",57.91,58.68,59.38,59.98,60.45,60.78,60.98,61.05
"TM",62.75,63.58,64.46,65.31,66.06,66.65,67.05,67.3
"TL",49.28,49.43,49.43,49.37,49.4,49.59,49.96,50.45
"TO",55.87,55.97,56.14,56.33,56.51,56.66,56.76,56.82
"TN",67.51,68.06,68.57,69,69.33,69.56,69.68,69.7
"TR",64.94,65.22,65.49,65.75,66,66.25,66.5,66.74
"TV",,,,,,,,
"TZ",52.37,52.32,52.25,52.17,52.1,52.05,52,51.98
"UG",48.15,48.22,48.32,48.43,48.55,48.69,48.85,49.03
"UA",69.52,69.67,69.84,70.02,70.19,70.32,70.43,70.52
"UY",62.69,62.85,63.03,63.24,63.44,63.62,63.78,63.93
"UZ",62.04,62.85,63.68,64.47,65.2,65.84,66.37,66.82
"VC",64.3,64.82,65.35,65.86,66.33,66.76,67.13,67.46
"VE",63.7,64.01,64.28,64.52,64.72,64.9,65.05,65.18
"VN",66.31,67.17,68.01,68.78,69.44,69.97,70.34,70.58
"VU",57.03,57.22,57.34,57.45,57.6,57.85,58.21,58.65
"PS",51.65,52.26,52.96,53.71,54.46,55.16,55.81,56.4
"WS",55.59,55.81,56.03,56.26,56.47,56.67,56.86,57.02
"YE",51.68,52.42,53.18,53.93,54.65,55.32,55.92,56.47
"ZA",64.81,64.91,64.99,65.03,65.06,65.06,65.05,65.03
"CD",50.95,51.07,51.21,51.37,51.54,51.7,51.87,52.04
"ZM",50.56,50.46,50.39,50.37,50.38,50.43,50.52,50.64
"ZW",54.84,54.75,54.62,54.52,54.56,54.78,55.22,55.82
