"id","entity-name","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"IS","Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2415289.223,9601073.016,5565192.967,8736845.522,7890172.481,0,0,9600575.779,8372452.397,8736155.098,10436757.58,13449689.04,15523234.42,18035015.61,19386794.77,21651457.37,33678646.86,33974181.69,43273363.09,38535925.04,29834010.11,24393850.73,26120000,32976187.03,33269399.07
"IE","Ireland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,32649455.18,36132480.12,40757096.47,37495760.27,92162203.89,87855508.82,78213316.46,79007289.48,128956700.1,93791132.9,106751913.5,117985020.3,139025227.8,100803354.6,105100943.1,92081966.26,93486131.8,119365727.1,106677331.1,135936569.5,175816974.9,224063489.4,261175003.1,278891741.2,296940735.9,371337114.9,388771895.5,462147069.5,577896369.7,588397939.1,630495276.6,728891719,992438405.4,1043747972,1135686515,926436136.7,880299904,850138629.6,808360000,816193038.3,765022304.6
"IT","Italy",997482723.4,755347888.4,959145433.7,777154531,496441525.9,600954195.1,767511405.7,1472245077,1365126204,1171386247,1244988225,1424599742,706740357.5,1176230247,1232341262,895266842.6,1202070480,940110130.2,1513856084,926880537.2,1970373743,2146771442,2648032358,2656478613,3769224808,3637170707,5784106224,5164616740,5933362455,6662921628,5045833278,4787755576,5609856674,5086383330,4479543029,2587289985,3481146595,1962682071,3509218285,2859574710,2471692080,2922772393,3857506556,3255150231,2925111981,5939540682,4135781880,4039430528,4577088886,3150351179,2998135994,4068157056,2737130000,3272832740,3716049466
"JP","Japan",1758720602,1676155552,1268198387,1948342033,1551940556,3097899340,3450419837,4415897046,3842666733,4448771114,4373863102,4507461172,4508497155,5833684650,5781344737,5591446002,4978795554,5444947390,6343772895,7795727787,9549089023,8515199627,9027224337,10609825385,11979514380,10470747347,10781827855,12068791774,13257449412,13712798918,14232893707,15560705561,14691012102,12961917499,13991260515,14202470007,10757760473,11790842945,14511035744,14619420799,15561127175,12940122853,12768574322,11503850504,10929176609,16582497018,15042328948,10621324889,11789013724,10542703826,11827176228,10975499550,10604510000,14235028843,11814797721
"LU","Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13312056.41,15767819.99,14007484.13,14672127.29,29369848.47,33271423.4,33384533.88,35350716.58,44124854.35,44467815.57,51637010.12,84935423.16,69646005.02,93162961.4,104457717.3,99078488.36,126879937.1,171451452,206651944.8,217271689.4,255187282.8,296637967.1,291673346,303488397.4,329409410.4,342035250.5,359702509.7,410560481.9,428690367.9,440218697.8,419460334.6,389690457.3,399030000,402588822.8,383116450.5
"NL","Netherlands",516902037.7,769684721.2,858270832.5,476343316.5,570543996.3,761671216.1,976396270.1,1129764430,1185942723,1284670275,1657183305,1631198753,1942669523,1629640414,1944141468,2316312455,2660831992,2884953744,2856746132,3489391266,3628782669,4003123134,3961603475,3367497293,3960733432,3609270365,4073311033,4081918335,4187803003,4159629278,4263032822,4209391534,4225427066,4029835913,3854895446,4270451949,4456306012,4559345599,4696617528,4956006907,5504582452,5455370543,5253771514,5103538882,4876373591,5789397042,6003950653,6171372449,6444354114,6128353553,6322241915,5941703133,5522840000,5181457394,5206632793
"NZ","New Zealand",0,104506142.3,82328360.19,85533985.5,92779615.07,92879060.22,95302241.74,93958277.24,110327157.2,128362957.3,135442104.3,143629325.6,151028318.5,154058077.2,222211212.4,382908216.1,313003395.9,270839032.8,230405503.6,251677514.8,241997711.9,218215998.6,218505366.3,214138940.6,213009009.3,209599340.2,238721868.3,214738802.5,215069534.1,188133211.9,199488131.2,215778727.9,221202156.1,216307717.3,218370940.1,216491921.6,199307181.5,261165277.9,270656956,280864465.5,271035095.5,276766946.6,271457216,289290539.1,313541465.6,372182483.6,371523369.3,388955739.2,432579367.7,424107947.9,390814946.6,431326522.8,449100000,440659101,457006499
"NO","Norway",92435981.42,117905737.5,120735673.9,158623977.1,147049903.2,165617705.8,197206965.1,197661725.9,346603307.2,369916297.2,408559851,435760536,578434250.1,635233601.2,832344046.9,1011633064,1163792832,1421986783,1584883004,1753270160,1709576853,1691197362,2061331532,2274004509,2218038368,2361443206,2840436840,2694280591,2749121668,2568097781,2944729119,2918150653,3045169718,2707774309,3025006908,2886258817,2974584817,3156709601,3433858627,3449887562,3104521207,3323085152,3785717273,3930159546,3800247844,4237258122,4087953884,4595117969,4328862908,5128174649,4975425050,4699755588,4752990000,5534151694,5093217289
"PL","Poland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122611218.4,114300833,71157897.92,80477806.2,79893346.76,99960511.83,15431733.77,7688035.904,4904656.447,10846962.87,49169258.04,36020144.78,21951893.24,18895234.02,11116946.87,3962413.811,1532176.832,0,0,0,0,0,0,31426884.3,36546712.14,52906338.35,59420672.17,23241096.39,42028063.1,163684165.5,246397529.5,341016622.6,353831766,311004863.8,384522385.7,369988568.5,389627383.1,421060000,469611072.4,420964435.3
"PT","Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13835086.73,21717256.59,15478414.58,52002235.58,36739997.56,43795087.86,69750284.47,109451153.6,211642730.9,274244983.8,283161210.1,376172950.8,449750594.1,401119752.4,498015829.6,369343627.1,314104601,394564213.2,403554142.3,435576275.5,478252145.5,471356742,518828998.9,416266106.1,1191757194,425008092.9,430326618.9,455537073.3,560929675.6,475916950,629446827.3,652346610.1,580780000,466404278.6,398525469.9
"SK","Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19359417.9,15745122.47,22137832.28,16122442.13,28023632.83,43427363.97,82352487.86,74110403.85,74417391.69,86798996.28,71973940.39,73612794.31,80514667.88,79680000,82195512.06,78487265.38
"SI","Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41162099.99,50691145.73,54871539.13,62439850.27,65973619.54,57669853.32,58170837.88,58450000,59351535.44,57296292.44
"KR","South Korea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47671173.93,57167877.46,49285840.73,85444993.08,75451711,99437969.6,139610253.4,163325169.1,120584834.5,164349890.8,218086983.7,301389255.8,448441754.9,282574126.5,387518328.2,383360730.6,462453346.9,499416166.1,788617566.7,444117558.3,649627011.1,869003048.8,980641464.1,1234739638,1315130856,1597450000,1685124433,1673029206
"ES","Spain",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447571180.4,752871699.4,782180107.6,267170061.5,528270162.5,643266109,574804887.4,545151226.7,520586642.8,1079607501,1544121998,1924711499,2138398988,2182555163,2213483662,2029086483,1849812649,2059541471,2285132239,2306789501,2259379710,3244149357,2911989220,2671111883,2901007619,3442138813,4135273979,4948440777,6128939842,6082195265,5773733421,3857150727,2037330000,2255698463,1774627034
"SE","Sweden",61670815.18,75097767.91,158641588.9,192321565.7,261952082.9,287610332.4,405372547,403893710.8,471008123.7,769388425.6,712393888.2,889254878.9,964919466.5,1146830475,1557389531,1793824592,1806113802,2155711956,1991931027,2210001426,1901807607,1998677692,2464474745,2089153225,2059455411,2280205982,2304607451,2471391353,2500145911,2858763263,2674284859,2661210667,2948863706,2773598912,2754532121,2301423607,2517593844,2446493634,2301261787,2455403649,2963797338,3027212030,3385409926,3299598955,3386483764,4217487292,4806718730,4705822894,4916200841,5289328316,4929521925,5418884537,5239790000,5564673365,6061208990
"CH","Switzerland",75908291.51,164661341.6,96617614.5,116525648.7,164098173.5,203168288.9,213396717.6,204283478.8,368278330.8,442865332.8,426722835.1,350842640.9,677655539.8,523507534.2,477698247.6,590830302.3,604061991.6,613869584.7,642034780.3,718063070.2,837071470.6,871738481.3,892059145.3,1143569847,1100858258,1192784276,1180532729,1241856542,1338172662,1306899525,1426451802,1607591891,2037809704,1457490893,1650516075,1562798843,1545118345,1601325605,1584536539,1796020719,1798872127,1811227862,1717446368,2036885227,2219555365,2544517457,2327238376,2224312049,2392183929,2692624364,2570276319,2890239203,3052130000,3163090959,3378914619
"GB","UK",3770073696,4131146539,3680787748,3590403635,4152751903,3768842817,3732954569,3725515456,3512796743,3832511179,3600421950,4182111583,4100364262,3754646201,4160515062,3978660400,4157433718,4742468489,5083137778,5924733492,3886684272,4772063204,4204347403,4116133900,3991954935,4197098896,4045353849,3720874774,4564375855,4530774322,3985665780,4563075782,4514812779,4664201841,4951477080,4697042511,4615828077,4637404188,5063273323,4500613975,6269197874,6534907932,6608601277,7550406583,8297288878,11178788437,12416848781,8822599251,11042558771,12275657141,13931287823,13901441266,13891440000,17744858086,17587810970
"US","USA",16566301221,17967330345,19454715502,20764277115,20572489581,22563714012,20840222470,17475223595,19516117860,16363745115,14516952882,13636554238,16622522191,10575215413,13423947936,13916131703,13823958192,13977855926,15797879528,12069363176,16871329428,12499370384,16694987624,15824041825,16473026813,17230390700,17179027016,15965167036,17161325821,12505412170,17898077377,17120943274,17403752781,14696586127,14111663330,10258452857,12823287846,9247588975,11686120413,11992680752,12764356527,14326848881,16407095196,19752208040,23213417490,31885830611,26059522244,23503015702,27972861284,30273439192,30767246191,31507385260,30652380000,30805986659,32072087633
