"id","value.2000","original-value.2000","value.2001","original-value.2001","value.2002","original-value.2002","value.2003","original-value.2003","value.2004","original-value.2004","value.2005","original-value.2005","value.2006","original-value.2006","value.2007","original-value.2007","value.2008","original-value.2008","value.2009","original-value.2009","value.2010","original-value.2010","value.2011","original-value.2011","value.2012","original-value.2012","value.2013","original-value.2013"
"KG",27.44,27.44,24.27,24.27,23.17,23.17,20.22,20.22,10.88,10.88,16.09,16.09,11.44,11.44,5.46,5.46,5.31,5.31,5.48,5.48,5.8,5.8,5.32,5.32,,,,
"KH",,,,,,,,,23.64,23.64,23.0666666667,,22.4933333333,,21.92,21.92,16.27,16.27,11.21,11.21,10.59,10.59,10.25,10.25,,,,
"KI",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KM",,,,,,,,,34.18,34.18,,,,,,,,,,,,,,,,,,
"KN",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KP",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KR",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KW",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KY",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KZ",,,5.92,5.92,4.11,4.11,2.92,2.92,2.11,2.11,0.09,0.09,0.6,0.6,0.25,0.25,0.19,0.19,0.155,,0.12,0.12,,,,,,
"LA",,,,,29.42,29.42,28.672,,27.924,,27.176,,26.428,,25.68,25.68,25.028,,24.376,,23.724,,23.072,,22.42,22.42,,
"LB",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LC",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LI",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LK",,,,,11.85,11.85,10.956,,10.062,,9.168,,8.274,,7.38,7.38,6.71,,6.04,,5.37,5.37,,,,,,
"LR",,,,,,,,,,,,,,,59.62,59.62,,,,,,,,,,,,
"LS",,,,,,,42.04,42.04,42.16,,42.28,,42.4,,42.52,,42.64,,42.76,,42.88,42.88,,,,,,
"LT",0.23,0.23,0.4,0.4,0.31,0.31,0.11,0.11,0.09,0.09,1.6,1.6,1.01,1.01,0.55,,0.09,0.09,0.795,,1.5,1.5,0.85,0.85,,,,
"LU",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV",,,,,0.45,0.45,0.305,,0.16,0.16,0.58,,1,1,0.51,,0.02,0.02,0.8,,1.58,1.58,1.16,1.16,,,,
"LY",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MA",,,6.3,6.3,5.785,,5.27,,4.755,,4.24,,3.725,,3.21,3.21,,,,,,,,,,,,
"MC",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MD",,,19.55,19.55,11.9,11.9,6.27,6.27,6.82,6.82,10.73,10.73,2.36,2.36,1.26,1.26,1.43,1.43,1.14,1.14,0.68,0.68,0.48,0.48,,,,
"ME",,,,,,,,,,,0.17,0.17,0.17,0.17,0.17,0.17,0.1,0.1,0.01,0.01,0.03,0.03,0.21,0.21,,,,
"MF",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MG",,,57.22,57.22,57.5525,,57.885,,58.2175,,58.55,58.55,59.822,,61.094,,62.366,,63.638,,64.91,64.91,,,,,,
"MH",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MK",3.4,3.4,2.03,,0.66,0.66,0.62,0.62,0.67,0.67,0.63,0.63,1.08,1.08,0.885,,0.69,0.69,,,,,,,,,,
"ML",,,43.57,43.57,42.156,,40.742,,39.328,,37.914,,36.5,36.5,36.205,,35.91,,35.615,,35.32,35.32,,,,,,
"MM",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MN",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MO",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MP",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MR",15.89,15.89,16.7275,,17.565,,18.4025,,19.24,19.24,18.845,,18.45,,18.055,,17.66,17.66,,,,,,,,,,
"MT",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MU",,,,,,,,,,,,,0.27,0.27,0.305,,0.34,,0.375,,0.41,,0.445,,0.48,0.48,,
"MV",,,,,,,,,2.53,2.53,,,,,,,,,,,,,,,,,,
"MW",,,,,,,,,52.56,52.56,52.4833333333,,52.4066666667,,52.33,,52.2533333333,,52.1766666667,,52.1,52.1,,,,,,
"MX",4.74,4.74,4.21,,3.68,3.68,2.74,,1.8,1.8,4.16,4.16,1,1,1.145,,1.29,1.29,1.125,,0.96,0.96,0.995,,1.03,1.03,,
"MY",,,,,,,,,1.37,1.37,0.9866666667,,0.6033333333,,0.22,0.22,0.19,,0.16,0.16,,,,,,,,
"MZ",,,,,,,53.56,53.56,51.9083333333,,50.2566666667,,48.605,,46.9533333333,,45.3016666667,,43.65,43.65,,,,,,,,
"NA",,,,,,,,,21.82,21.82,20.915,,20.01,,19.105,,18.2,,17.295,,16.39,16.39,,,,,,
"NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NE",,,,,,,,,,,37.06,37.06,34.6666666667,,32.2733333333,,29.88,29.88,29.68,,29.48,,29.28,29.28,,,,
"NG",,,,,,,,,44.67,44.67,44.69,,44.71,,44.73,,44.75,,44.77,,44.79,44.79,,,,,,
"NI",,,11.48,11.48,9.53,,7.58,,5.63,,3.68,3.68,4.565,,5.45,,6.335,,7.22,7.22,,,,,,,,
"NL",,,,,,,,,8.63,8.63,6.99,,5.35,,3.71,3.71,5.4233333333,,7.1366666667,,8.85,8.85,,,,,,
"NO",2.15,2.15,2.03,,1.91,,1.79,,1.67,1.67,1.5633333333,,1.4566666667,,1.35,1.35,2.7433333333,,4.1366666667,,5.53,5.53,,,,,,
"NP",,,,,,,36.61,36.61,34.0028571429,,31.3957142857,,28.7885714286,,26.1814285714,,23.5742857143,,20.9671428571,,18.36,18.36,,,,,,
"NZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OM",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PA",12.06,12.06,10.36,,8.66,8.66,8.42,8.42,7.7,7.7,7.29,7.29,7.97,7.97,5.76,5.76,3.77,3.77,2.51,2.51,3.2,3.2,2.96,2.96,3.17,3.17,,
"PE",9.79,9.79,10.4,10.4,8.99,8.99,7.25,7.25,5.63,5.63,6.39,6.39,5.37,5.37,5.22,5.22,3.98,3.98,3.05,3.05,2.41,2.41,2.64,2.64,2.5,2.5,,
"PF",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PG",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PH",17.69,17.69,17.32,,16.95,,16.58,16.58,16.4966666667,,16.4133333333,,16.33,16.33,15.4133333333,,14.4966666667,,13.58,13.58,13.75,,13.92,,14.09,14.09,,
"PK",,,,,26.46,26.46,23.8866666667,,21.3133333333,,18.74,18.74,18.78,18.78,17.255,,15.73,15.73,14.9033333333,,14.0766666667,,13.25,13.25,,,,
"PL",0.1,0.1,0.1,0.1,0.08,0.08,0.085,,0.09,0.09,0.13,0.13,0.05,0.05,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.02,,,,
"PR",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PS",,,,,,,,,0.38,0.38,0.5,,0.62,,0.74,0.74,0.43,,0.12,0.12,,,,,,,,
"PT",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PW",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PY",,,6.52,6.52,9.76,9.76,6.44,6.44,4.89,4.89,5.06,5.06,6.86,6.86,5.78,5.78,3.72,3.72,4.45,4.45,4.28,4.28,4.02,4.02,2.62,2.62,,
"QA",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RO",,,2.87,2.87,2.88,2.88,2.06,2.06,1.34,1.34,1.08,1.08,1.02,1.02,0.45,0.45,0.07,0.07,0.145,,0.22,0.22,0.14,0.14,0.14,0.14,,
"RS",,,,,0.27,0.27,0.3,0.3,0.44,0.44,0.59,0.59,0.29,0.29,0.18,0.18,0.07,0.07,0.13,0.13,0.08,0.08,,,,,,
"RU",,,1.24,1.24,0.66,0.66,0.48,0.48,0.77,0.77,0.3,0.3,0.25,0.25,0.09,0.09,0.07,,0.05,0.05,,,,,,,,
"RW",58.63,58.63,57.5383333333,,56.4466666667,,55.355,,54.2633333333,,53.1716666667,,52.08,52.08,50.56,,49.04,,47.52,,46,,44.48,44.48,,,,
"SA",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SB",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SC",,,,,,,,,,,,,,,0.35,0.35,,,,,,,,,,,,
"SD",,,,,,,,,,,,,,,,,,,15.38,15.38,,,,,,,,
"SE",1.98,1.98,1.766,,1.552,,1.338,,1.124,,0.91,0.91,,,,,,,,,,,,,,,,
"SG",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SI",,,,,0.06,0.06,0.01,0.01,0.08,0.08,0.06,0.06,1.29,1.29,0.655,,0.02,0.02,0.03,,0.04,0.04,,,,,,
"SK",,,,,,,,,0.19,0.19,0.03,0.03,0.078,,0.126,,0.174,,0.222,,0.27,0.27,0.27,0.27,,,,
"SL",,,,,,,41.41,41.41,41.10375,,40.7975,,40.49125,,40.185,,39.87875,,39.5725,,39.26625,,38.96,38.96,,,,
"SM",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SN",,,31.17,31.17,29.5425,,27.915,,26.2875,,24.66,24.66,24.7083333333,,24.7566666667,,24.805,,24.8533333333,,24.9016666667,,24.95,24.95,,,,
"SO",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SR",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SS",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ST",,,20.63,20.63,21.8044444444,,22.9788888889,,24.1533333333,,25.3277777778,,26.5022222222,,27.6766666667,,28.8511111111,,30.0255555556,,31.2,31.2,,,,,,
"SV",11.61,11.61,12.18,12.18,12.24,12.24,11.22,11.22,6.54,6.54,5.92,5.92,3.74,3.74,2.63,2.63,4.14,4.14,3.74,3.74,4.37,4.37,2.72,2.72,2.39,2.39,,
"SX",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SY",,,,,,,,,3.28,3.28,,,,,,,,,,,,,,,,,,
"SZ",,,29.81,29.81,29.64,,29.47,,29.3,,29.13,,28.96,,28.79,,28.62,,28.45,,28.28,28.28,,,,,,
"TC",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TD",,,,,,,43.92,43.92,41.8475,,39.775,,37.7025,,35.63,,33.5575,,31.485,,29.4125,,27.34,27.34,,,,
"TG",,,,,,,,,,,,,37.33,37.33,37.46,,37.59,,37.72,,37.85,,37.98,37.98,,,,
"TH",3.97,3.97,3.315,,2.66,2.66,2.365,,2.07,,1.775,,1.48,1.48,1.11,,0.74,0.74,0.655,,0.57,0.57,,,,,,
"TJ",,,,,,,26.3,26.3,16.33,16.33,14.73,,13.13,,11.53,11.53,9.11,,6.69,6.69,,,,,,,,
"TL",,,,,,,,,,,,,,,25.68,25.68,,,,,,,,,,,,
"TM",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TN",3.01,3.01,2.752,,2.494,,2.236,,1.978,,1.72,1.72,1.568,,1.416,,1.264,,1.112,,0.96,0.96,,,,,,
"TO",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TR",,,,,1.56,1.56,2.69,2.69,1.66,1.66,1.78,1.78,1.37,1.37,1.03,1.03,0.65,0.65,0.68,0.68,0.68,0.68,0.44,0.44,,,,
"TT",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TV",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TZ",59.93,59.93,58.1571428571,,56.3842857143,,54.6114285714,,52.8385714286,,51.0657142857,,49.2928571429,,47.52,47.52,44.142,,40.764,,37.386,,34.008,,30.63,30.63,,
"UA",,,,,0.58,0.58,0.24,0.24,0.17,0.17,0.08,0.08,0.16,0.16,0.06,0.06,0.06,,0.06,0.06,,,,,,,,
"UG",,,,,40.02,40.02,39.1425,,38.265,,37.3875,,36.51,36.51,33.44,,30.37,,27.3,27.3,27.165,,27.03,,26.895,,26.76,26.76
"US",1.07,1.07,1.1675,,1.265,,1.3625,,1.46,1.46,4.4066666667,,7.3533333333,,10.3,10.3,7.4733333333,,4.6466666667,,1.82,1.82,,,,,,
"UY",0.57,0.57,0.66,0.66,0.86,0.86,1.06,1.06,1.32,1.32,1.23,1.23,0.83,0.83,0.62,0.62,0.37,0.37,0.32,0.32,0.26,0.26,0.28,0.28,0.34,0.34,,
"UZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VC",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VE",,,8.36,8.36,13.22,13.22,15.87,15.87,13.58,13.58,11.25,11.25,5.91,5.91,,,,,,,,,,,,,,
"VI",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VN",,,,,28.01,28.01,25.44,,22.87,22.87,19.605,,16.34,16.34,14.925,,13.51,13.51,8.87,,4.23,4.23,3.565,,2.9,2.9,,
"VU",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WS",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"XK",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"YE",,,,,,,,,,,9.89,9.89,,,,,,,,,,,,,,,,
"ZA",18.31,18.31,17.25,,16.19,,15.13,,14.07,,13.01,,11.95,11.95,11.3333333333,,10.7166666667,,10.1,10.1,8.875,,7.65,7.65,,,,
"ZM",,,,,,,45.8,45.8,48.27,48.27,50.05,,51.83,51.83,53.0325,,54.235,,55.4375,,56.64,56.64,,,,,,
"ZW",,,,,,,,,,,,,,,,,,,,,,,,,,,,
