id-from,parent,id-to,rank,year,total-value,sector,sector-value
badea,Arab Bank for Economic Development in Africa,BJ,4,2014,7682434.13,banking-and-business,105630.93
badea,Arab Bank for Economic Development in Africa,BJ,4,2014,7682434.13,education,925340.47
badea,Arab Bank for Economic Development in Africa,BJ,4,2014,7682434.13,infrastructure,2201059.42
badea,Arab Bank for Economic Development in Africa,CI,5,2014,7316218.83,governance-and-security,187165.14
badea,Arab Bank for Economic Development in Africa,CI,5,2014,7316218.83,agriculture-and-food-security,911268.36
badea,Arab Bank for Economic Development in Africa,CI,5,2014,7316218.83,education,1089969.04
badea,Arab Bank for Economic Development in Africa,CI,5,2014,7316218.83,infrastructure,4957905.97
badea,Arab Bank for Economic Development in Africa,CI,5,2014,7316218.83,water-and-sanitation,169910.32
badea,Arab Bank for Economic Development in Africa,CM,9,2014,4382907.27,health,1246479.86
badea,Arab Bank for Economic Development in Africa,CM,9,2014,4382907.27,infrastructure,3027652.40
badea,Arab Bank for Economic Development in Africa,CM,9,2014,4382907.27,water-and-sanitation,108775.02
badea,Arab Bank for Economic Development in Africa,CV,3,2014,7712604.66,banking-and-business,14858.62
badea,Arab Bank for Economic Development in Africa,CV,3,2014,7712604.66,other,4026885.55
badea,Arab Bank for Economic Development in Africa,CV,3,2014,7712604.66,infrastructure,1811558.88
badea,Arab Bank for Economic Development in Africa,CV,3,2014,7712604.66,water-and-sanitation,1147114.01
badea,Arab Bank for Economic Development in Africa,CV,3,2014,7712604.66,environment,712187.60
badea,Arab Bank for Economic Development in Africa,GM,10,2014,4238312.83,infrastructure,4208595.59
badea,Arab Bank for Economic Development in Africa,GM,10,2014,4238312.83,education,29717.24
badea,Arab Bank for Economic Development in Africa,GN,8,2014,6231802.86,infrastructure,4166235.64
badea,Arab Bank for Economic Development in Africa,GN,8,2014,6231802.86,water-and-sanitation,1401643.98
badea,Arab Bank for Economic Development in Africa,GN,8,2014,6231802.86,other,413413.41
badea,Arab Bank for Economic Development in Africa,GN,8,2014,6231802.86,agriculture-and-food-security,250509.82
badea,Arab Bank for Economic Development in Africa,LS,6,2014,7095017.55,infrastructure,3477432.54
badea,Arab Bank for Economic Development in Africa,LS,6,2014,7095017.55,water-and-sanitation,3617585.00
badea,Arab Bank for Economic Development in Africa,ML,7,2014,6782310.92,other,4515370.65
badea,Arab Bank for Economic Development in Africa,ML,7,2014,6782310.92,infrastructure,2266940.27
badea,Arab Bank for Economic Development in Africa,MZ,1,2014,10067672.20,infrastructure,83780.93
badea,Arab Bank for Economic Development in Africa,MZ,1,2014,10067672.20,health,115824.04
badea,Arab Bank for Economic Development in Africa,MZ,1,2014,10067672.20,education,816677.39
badea,Arab Bank for Economic Development in Africa,MZ,1,2014,10067672.20,agriculture-and-food-security,1556599.10
badea,Arab Bank for Economic Development in Africa,MZ,1,2014,10067672.20,environment,3344745.05
badea,Arab Bank for Economic Development in Africa,MZ,1,2014,10067672.20,water-and-sanitation,4117007.05
badea,Arab Bank for Economic Development in Africa,MZ,1,2014,10067672.20,governance-and-security,33038.64
badea,Arab Bank for Economic Development in Africa,other,11,2014,55039580.50,education,2404481.47
badea,Arab Bank for Economic Development in Africa,other,11,2014,55039580.50,governance-and-security,463639.61
badea,Arab Bank for Economic Development in Africa,other,11,2014,55039580.50,agriculture-and-food-security,2636689.54
badea,Arab Bank for Economic Development in Africa,other,11,2014,55039580.50,banking-and-business,753008.19
badea,Arab Bank for Economic Development in Africa,other,11,2014,55039580.50,health,3145776.79
badea,Arab Bank for Economic Development in Africa,other,11,2014,55039580.50,other,6899345.94
badea,Arab Bank for Economic Development in Africa,other,11,2014,55039580.50,industry-and-trade,2163897.71
badea,Arab Bank for Economic Development in Africa,other,11,2014,55039580.50,water-and-sanitation,7767715.78
badea,Arab Bank for Economic Development in Africa,other,11,2014,55039580.50,infrastructure,27934862.49
badea,Arab Bank for Economic Development in Africa,other,11,2014,55039580.50,environment,870162.98
badea,Arab Bank for Economic Development in Africa,SN,2,2014,8250802.75,infrastructure,1074729.05
badea,Arab Bank for Economic Development in Africa,SN,2,2014,8250802.75,agriculture-and-food-security,4208913.57
badea,Arab Bank for Economic Development in Africa,SN,2,2014,8250802.75,water-and-sanitation,1728504.44
badea,Arab Bank for Economic Development in Africa,SN,2,2014,8250802.75,other,1003828.07
badea,Arab Bank for Economic Development in Africa,SN,2,2014,8250802.75,health,234827.64
ceb,Council of Europe Development Bank,BA,2,2014,19716312.66,governance-and-security,11699184.91
ceb,Council of Europe Development Bank,BA,2,2014,19716312.66,health,8017127.75
ceb,Council of Europe Development Bank,MD,3,2014,4167237.11,other-social-services,4030302.04
ceb,Council of Europe Development Bank,MD,3,2014,4167237.11,governance-and-security,136935.08
ceb,Council of Europe Development Bank,TR,1,2014,52571387.96,humanitarian,52571387.96
