channel-code,channel-name,parent,aid-to-or-through,year,value
46009,Caribbean Development Bank,Caribbean Development Bank,Core contributions to,2014,39595468.45
46012,"Inter-American Development Bank, Inter-American Investment Corporation and Multilateral Investment Fund",Inter-American Development Bank,Core contributions to,2014,80406364.26
46012,"Inter-American Development Bank, Inter-American Investment Corporation and Multilateral Investment Fund",Inter-American Development Bank,Earmarked contributions through,2014,172513631.80
46013,"Inter-American Development Bank, Fund for Special Operations",Inter-American Development Bank,Core contributions to,2014,130251833.71
46013,"Inter-American Development Bank, Fund for Special Operations",Inter-American Development Bank,Earmarked contributions through,2014,8000160.66
46015,European Bank for Reconstruction and Development,European Bank for Reconstruction and Development,Core contributions to,2014,4379080.15
46015,European Bank for Reconstruction and Development,European Bank for Reconstruction and Development,Earmarked contributions through,2014,122860407.29
46016,European Bank for Reconstruction and Development - technical co-operation and special funds (ODA-eligible countries only),European Bank for Reconstruction and Development,Earmarked contributions through,2014,15320637.89
46016,European Bank for Reconstruction and Development - technical co-operation and special funds (ODA-eligible countries only),European Bank for Reconstruction and Development,Core contributions to,2014,31969784.42
46017,European Bank for Reconstruction and Development - technical co-operation and special funds (all EBRD countries of operations),European Bank for Reconstruction and Development,Core contributions to,2014,1071370.34
46018,European Bank for Reconstruction and Development - Early Transition Countries Fund,European Bank for Reconstruction and Development,Core contributions to,2014,2871377.70
46024,Council of Europe Development Bank,Council of Europe Development Bank,Core contributions to,2014,47081.16
46024,Council of Europe Development Bank,Council of Europe Development Bank,Earmarked contributions through,2014,996771.60
47044,Global Environment Facility Trust Fund,Global Environment Facility,Earmarked contributions through,2014,1142042.39
47044,Global Environment Facility Trust Fund,Global Environment Facility,Core contributions to,2014,1096789545.49
47045,"Global Fund to Fight AIDS, Tuberculosis and Malaria",Global Fund,Earmarked contributions through,2014,19303177.79
47045,"Global Fund to Fight AIDS, Tuberculosis and Malaria",Global Fund,Core contributions to,2014,3592998771.80
47111,Adaptation Fund,Adaptation Fund,Core contributions to,2014,69279700.18
47122,Global Alliance for Vaccines and Immunization,Global Alliance for Vaccines and Immunization,Core contributions to,2014,961955297.54
47122,Global Alliance for Vaccines and Immunization,Global Alliance for Vaccines and Immunization,Earmarked contributions through,2014,77749339.11
47128,Nordic Development Fund,Nordic Development Fund,Core contributions to,2014,25484315.90
47129,Global Environment Facility - Least Developed Countries Fund,Global Environment Facility,Core contributions to,2014,92826967.78
47130,Global Environment Facility - Special Climate Change Fund,Global Environment Facility,Core contributions to,2014,39363589.38
47131,Organization for Security and Co-operation in Europe,Organization for Security and Co-operation in Europe,Earmarked contributions through,2014,67618368.26
47131,Organization for Security and Co-operation in Europe,Organization for Security and Co-operation in Europe,Core contributions to,2014,90669549.15
47134,Clean Technology Fund,Climate Investment Funds,Core contributions to,2014,408115353.48
47135,Strategic Climate Fund,Climate Investment Funds,Core contributions to,2014,563238527.24
47136,Global Green Growth Institute,Global Green Growth Institute,Earmarked contributions through,2014,7461694.57
47136,Global Green Growth Institute,Global Green Growth Institute,Core contributions to,2014,30080970.19
47142,OPEC Fund for International Development,OPEC Fund for International Development,Core contributions to,2014,2496230.02
