"id","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"BS",,,,,,,,,,,,,,,,,,,,,3174386822,3177311825,3319760471,3496394571,3949811703,4291755423,4339834497,4487578788,4581583276,4518107501,4951663106,4743627534,4562375391,4576480223,4721337714,4926419329,5135054854,6960070096,7287484216,7808759992,8132207517,8345903274,8572114000,8464067784,8538913070,8828549554,9050035273,9181369232,8967617909,8594046153,8725376577,8779051055,9050380550,9051249501,9003550012,8853519100
"BT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174473665,198260065,207624722,228715207,243789105,249529634,278320612,347222139,391563226,405784137,446713433,450101929,472471151,437110813,506288452,513426898,540683145,589836136,586733176,665361880,685806353,763022924,850501202,942166819,975058825,1064304782,1108593475,1398633735,1287538868,1454941129,1689260269,1755460016,1792420787,1795945226,2051992595,2057947621
"BW",,,,,,,,,,,,,,,,,,,,,1651508346,2046548573,2124739804,2460463864,2794953983,2905042694,2906868669,3007087887,3847721011,4205261904,5092483965,5622828096,5711957381,5917781485,5588101091,5981531974,6288982364,6835238891,6848906695,7554717399,7685067613,7688176131,8168307511,8542983223,8793693081,9118153640,9938822620,10799293427,11390173882,10546955348,10695805829,12479331435,12732624787,14002802461,14451034964,14389717321
"BY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,106165852326,105428366212,64413773872,76945874575,19545072344,21473791825,23232658572,23941968987,25057258939,26285802013,27645090768,29701456977,33086169383,36199009451,39821424965,43271710381,47726072373,47793847645,51493865636,54348382440,55296000699,55855403008,56818058371,54608962635
"BZ",,,,,,,,,,,,,,,,,,,,,331523379,316207912,271645106,287748383,320204200,316036833,338562480,428091096,458051905,529317462,589905084,655407586,735309191,780906283,782123384,787554560,799074526,827320045,857840087,934076516,1054729978,1107382822,1163718778,1273316206,1331827618,1366647972,1429545029,1444294660,1490978223,1502781901,1553668612,1585787884,1645074288,1666654847,1734748139,1752861128
"CA",,,,,,,,,,,,,,,,,,,,,677961385190,699457860026,677041472511,694665053823,735828000407,770632423703,787310027402,819540825101,855832630788,875730057145,877063755621,858472978855,866025055860,888992974059,928993434523,953866005133,969201738274,1010706564301,1049891735644,1104292146122,1161354230349,1181889899402,1217490862468,1239317115657,1277762438017,1318507178925,1353115112023,1381133890961,1394998412415,1353796084662,1395483414164,1439411643476,1464497409057,1496980556477,1534000130548,1550536520142
"CD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4811223790,4918824467,3843226451,4163093243,5580506974,4481679088,16741764293,14907960529,16881086803,17771581934,18923936874,20192556049,21243786278,22572037497,24074827413,24592483458,26265195045,27397653718,30120006620,30126022963,32768547271,35237742278
"CF",,,,,,,,,,,,,,,,,,,,,,,,,,,,1432278432,1425926906,1485169734,1461916431,1476884028,1492701151,1544081673,1730706859,1816247929,1690320579,1730176687,1749732532,1869740690,1974924582,1993297543,1980642126,1840494845,1858766476,1903778428,1974367922,2066118951,2108794105,2144139482,2209791020,2300078367,2391039736,1503961893,1517275139,1583776760
"CG",,,,,,,,,,,,,,,,,,,,,1867745574,2731574963,3477861274,3801292358,4426627892,4355049777,2787587178,2917600523,3218504254,3990825353,4021053949,4117510485,4225607805,2991333624,3954875460,4111635442,4289194349,4260701439,4421592762,4300716943,4632485177,4809239119,5029120366,5059696394,5239121745,5643010236,6000509148,5902072454,6210753542,6689088272,7279660318,7537274056,7828640327,8453548192,9041618456,8553154506
"CH",,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,365774649448,371656724022,366403082523,368705133311,379938661097,393665940309,401156120251,407461182241,420747235665,439010473147,455241525687,451059553942,450735768174,450206064798,455829803207,458101936999,460801828622,471485339524,485493113165,493491490528,512827666671,520251910778,521019350375,521246651681,536440864271,552218903231,574593117542,598262862702,611104562685,597412963645,616790687569,627758944947,634749489982,646027408733,660023069570,670789928810
"CI",,,,,,,,,,,,,,,,,,,,,13469535755,13939365206,13969066377,13639682917,13413459788,13895398279,14279818854,14226078939,14473672699,14813842281,14651551367,14657097216,14620933823,16519291239,16547018700,17468593721,18893225493,19788685937,20841673428,21268269678,20795863752,20863614597,20461517333,20214839535,20476523146,20819404529,21153079997,21514860979,21990256898,22752581996,23229045656,22025032981,24763226082,26815130305,29093640103,31759248868
"CL",,,,,,,,,,,,,,,,,,,,,51773508100,54988110132,47513725402,46181748617,48917819639,49865114602,52653144930,56117971888,60210414299,66596752686,69041129984,74730306938,84031181444,90073431011,95401456429,105814531129,113795153699,121397197477,125015113550,123720323253,135519183010,139702497681,142427134434,148751705216,157437163755,166906256646,174662807222,183826361060,189856440205,187584497486,198765549061,210172652548,221726632403,230611572122,234842077650,240796388429
"CM",,,,,,,,,,,,,,,,,,,,,8861237886,10372544551,11156057516,11921119178,12811374112,13848774671,14789980176,14471047206,13333064007,13097941774,12290119017,11827510825,11467256202,12638727663,12341296723,12730764211,13356196086,14064831513,14456207252,16076029409,16455448376,16707619764,17373122100,18076127927,18746403677,19153866246,19787073957,20421604818,20942269380,21391644815,22106777773,23043984445,24112317300,25458086039,26932311993,28415950981
"CN",,,,,,,,,,,,,,,,,,,,,269517310024,304730666331,352796039723,409731588053,516845311931,707376907261,771506057829,718307319139,733548827493,760311175960,948101644624,1054985969485,1125898581727,1062793983654,1677543606306,1863318528679,2046040414349,2234585331536,2409966489282,2594576185426,2812264958351,3044045056159,3316987825619,3642296480139,4013835039665,4447828837403,5022418524504,5750227336517,6327810405499,6903509133635,7697096016178,8436935505436,9032595291373,9719897702369,10385260436069,11007720594139
"CO",,,,,,,,,,,,,,,,,,,,,61114938988,62506206588,63097995525,64091544380,66239600064,68296922659,72275043285,76155711001,79250564659,81955840499,85465630441,86676827845,91339576698,96474647972,118194978413,124361443267,126911663036,131258917548,131945627769,126317458580,156542123230,159154578476,163114579957,169598134236,178541983838,186997897615,199281256234,213214204549,220539686505,224408171809,233445047181,248757230769,258994762164,271465013637,283259361507,292080155633
"CR",,,,,,,,,,,,,,,,,,,,,13385806368,13080603928,12129349032,15766150881,16915000367,16599768972,17819358885,19341266539,20403334602,21557351354,22033116284,17393967465,18868315081,20161308271,21086172103,21792861705,21945300350,23110610100,24727607586,24901594400,26445032456,27659943586,28748291135,30644992012,32432551600,34441118405,37613556954,41113402223,42649944135,42799853993,44340235546,46259129716,48698631293,49608345864,51602653606,54136834091
"CU",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"CV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243582189,264050027,271998605,299126616,310245650,335442385,345745272,359431174,381131512,403489386,405689263,411718342,423402636,619169596,487635255,524927792,559374957,602634016,652712297,730883352,789934475,837050954,881795263,946907601,982683055,1026180366,1124651407,1371405442,1462953435,1443950587,1465563857,1523303910,1539832799,1552025923,1578073657,1603239233
"CW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,5107739882,5264342111,5594777014,5889666322,6411412478,6716299205,6963876078,7453595055,8085283551,8728382954,9376403334,9445791594,10326823759,10369541718,10973865195,12857269708,13063168790,13635000440,14373463625,15088113816,16098281551,16643185328,17191174750,17413929401,18283842330,18875578328,19749492733,20743334284,21443695095,21067463605,21351725996,21454333129,20760747081,19579889506,19200265473,19559942331
"CZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,114711589730,119548988401,118819606623,118452591544,120110461788,125267653821,129089544017,131236706238,135913134624,142673909722,151858792708,162301871194,171460922204,175688610160,167301443413,171242558072,174676521823,173279037773,172440378669,177122039968,185156359571
