"id","year","income-share-bottom-20pc","income-share-second-20pc","income-share-third-20pc","income-share-fourth-20pc","income-share-highest-20pc"
"DK",2002,,,,,
"DO",2002,3.75,8.14,12.82,20.47,54.82
"DZ",2002,,,,,
"EC",2002,,,,,
"EG",2002,,,,,
"ER",2002,,,,,
"ES",2002,,,,,
"EE",2002,6.91,11.65,15.95,22.41,43.08
"ET",2002,,,,,
"FI",2002,,,,,
"FJ",2002,,,,,
"FR",2002,,,,,
"FO",2002,,,,,
"FM",2002,,,,,
"GA",2002,,,,,
"GB",2002,,,,,
"GE",2002,5.73,10.73,15.47,22.24,45.83
"GH",2002,,,,,
"GN",2002,,,,,
"GM",2002,,,,,
"GW",2002,7.28,11.64,15.99,21.88,43.21
"GQ",2002,,,,,
"GR",2002,,,,,
"GD",2002,,,,,
"GL",2002,,,,,
"GT",2002,2.3,6.69,11.22,18.94,60.85
"GU",2002,,,,,
"GY",2002,,,,,
"HK",2002,,,,,
"HN",2002,1.76,5.74,10.99,19.9,61.61
"HR",2002,,,,,
"HT",2002,,,,,
"HU",2002,9.51,13.94,17.64,22.37,36.54
"ID",2002,9.53,13.02,16.53,21.3,39.62
"IN",2002,,,,,
"IE",2002,,,,,
"IR",2002,,,,,
"IQ",2002,,,,,
"IS",2002,,,,,
"IL",2002,,,,,
"IT",2002,,,,,
"JM",2002,4.82,8.27,12.76,20.12,54.03
"JO",2002,,,,,
"JP",2002,,,,,
"KZ",2002,7.79,12.21,16.58,22.74,40.68
"KE",2002,,,,,
"KG",2002,8.7,12.96,16.79,22.58,38.97
"KH",2002,,,,,
"KI",2002,,,,,
"KN",2002,,,,,
"KR",2002,,,,,
"XK",2002,,,,,
"KW",2002,,,,,
"LA",2002,8.59,12.34,16.17,21.46,41.44
"LB",2002,,,,,
"LR",2002,,,,,
"LY",2002,,,,,
"LC",2002,,,,,
"LI",2002,,,,,
"LK",2002,6.77,10.2,14.23,20.36,48.44
"LS",2002,,,,,
"LT",2002,7.82,12.64,16.94,22.68,39.92
"LU",2002,,,,,
"LV",2002,7.12,11.96,16.22,22.16,42.54
"MO",2002,,,,,
"MF",2002,,,,,
"MA",2002,,,,,
"MC",2002,,,,,
"MD",2002,7.04,11.53,16.05,22.48,42.9
"MG",2002,,,,,
"MV",2002,,,,,
"MX",2002,4.39,8.13,12.74,19.91,54.83
"MH",2002,,,,,
"MK",2002,6.04,10.77,15.64,22.34,45.21
"ML",2002,,,,,
"MT",2002,,,,,
"MM",2002,,,,,
"ME",2002,,,,,
"MN",2002,7.45,12.16,16.84,23.06,40.49
"MP",2002,,,,,
"MZ",2002,,,,,
"MR",2002,,,,,
"MU",2002,,,,,
"MW",2002,,,,,
"MY",2002,,,,,
"NA",2002,,,,,
"NC",2002,,,,,
"NE",2002,,,,,
"NG",2002,,,,,
"NI",2002,,,,,
"NL",2002,,,,,
"NO",2002,,,,,
"NP",2002,,,,,
"NZ",2002,,,,,
"OM",2002,,,,,
"PK",2002,9.39,12.98,16.39,21.17,40.07
"PA",2002,2.45,6.31,11.23,19.71,60.3
"PE",2002,3.16,7.15,11.97,19.53,58.19
"PH",2002,,,,,
"PW",2002,,,,,
"PG",2002,,,,,
"PL",2002,7.6,12.01,16.22,22.26,41.91
"PR",2002,,,,,
"KP",2002,,,,,
"PT",2002,,,,,
"PY",2002,2.84,6.58,11.14,18.4,61.04
"PF",2002,,,,,
"QA",2002,,,,,
"RO",2002,8.18,13.13,17.41,22.77,38.51
"RU",2002,6.65,11.06,15.55,22.55,44.19
"RW",2002,,,,,
"SA",2002,,,,,
"SD",2002,,,,,
"SN",2002,,,,,
"SG",2002,,,,,
"SB",2002,,,,,
"SL",2002,,,,,
"SV",2002,2.36,7.44,12.84,21.4,55.96
"SM",2002,,,,,
"SO",2002,,,,,
"RS",2002,7.97,12.46,16.57,22.1,40.9
"SS",2002,,,,,
"ST",2002,,,,,
"SR",2002,,,,,
"SK",2002,,,,,
"SI",2002,8.65,13.22,17.47,22.9,37.76
"SE",2002,,,,,
"SZ",2002,,,,,
"SX",2002,,,,,
"SC",2002,,,,,
"SY",2002,,,,,
"TC",2002,,,,,
"TD",2002,,,,,
"TG",2002,,,,,
"TH",2002,6.34,9.89,13.97,20.77,49.03
"TJ",2002,,,,,
"TM",2002,,,,,
"TL",2002,,,,,
"TO",2002,,,,,
"TT",2002,,,,,
"TN",2002,,,,,
"TR",2002,5.76,10.1,14.79,21.62,47.73
"TV",2002,,,,,
"TZ",2002,,,,,
"UG",2002,5.65,9.3,13.36,19.61,52.08
"UA",2002,8.78,13.3,17.31,22.63,37.98
"UY",2002,4.4,8.58,13.64,21.7,51.68
"US",2002,,,,,
"UZ",2002,8.14,12.62,16.11,21.16,41.97
"VC",2002,,,,,
"VE",2002,3.29,8.47,13.55,21.51,53.18
"VI",2002,,,,,
"VN",2002,7.46,10.86,14.94,21.17,45.57
"VU",2002,,,,,
"PS",2002,,,,,
"WS",2002,,,,,
"YE",2002,,,,,
"ZA",2002,,,,,
"CD",2002,,,,,
"ZM",2002,,,,,
"ZW",2002,,,,,
"AW",2003,,,,,
"AD",2003,,,,,
"AF",2003,,,,,
"AO",2003,,,,,
"AL",2003,,,,,
"AE",2003,,,,,
"AR",2003,2.72,7.06,12.18,20.94,57.1
"AM",2003,8.66,12.45,15.94,20.79,42.16
"AS",2003,,,,,
"AG",2003,,,,,
"AU",2003,7.03,12.15,16.5,23.21,41.11
"AT",2003,,,,,
"AZ",2003,12.21,15.89,18.72,22.16,31.02
"BI",2003,,,,,
"BE",2003,,,,,
"BJ",2003,6.99,10.84,15.03,21.03,46.11
"BF",2003,5.81,9.51,14.02,20.96,49.7
"BD",2003,,,,,
"BG",2003,8.75,13.72,17.33,22.19,38.01
"BH",2003,,,,,
"BS",2003,,,,,
"BA",2003,,,,,
"BY",2003,8.49,13.46,17.52,22.89,37.64
"BZ",2003,,,,,
"BM",2003,,,,,
"BO",2003,,,,,
"BR",2003,2.59,6.19,10.65,18.36,62.21
"BB",2003,,,,,
"BN",2003,,,,,
"BT",2003,5.36,8.68,12.99,19.96,53.01
"BW",2003,2.27,4.61,7.81,15.85,69.46
"CF",2003,5.21,9.38,14.29,21.72,49.4
"CA",2003,,,,,
"CH",2003,,,,,
"CL",2003,3.83,7.23,11.08,17.74,60.12
"CN",2003,,,,,
"CI",2003,,,,,
"CM",2003,,,,,
"CG",2003,,,,,
"CO",2003,3.29,7.28,11.49,18.67,59.27
"KM",2003,,,,,
"CV",2003,,,,,
"CR",2003,3.43,8.18,12.98,21.13,54.28
"CU",2003,,,,,
"CW",2003,,,,,
"KY",2003,,,,,
"CY",2003,,,,,
"CZ",2003,,,,,
"DE",2003,,,,,
"DJ",2003,,,,,
"DM",2003,,,,,
"DK",2003,,,,,
"DO",2003,3.84,7.74,12.09,19.26,57.07
"DZ",2003,,,,,
"EC",2003,3.04,7.16,11.59,18.87,59.34
"EG",2003,,,,,
"ER",2003,,,,,
"ES",2003,,,,,
"EE",2003,6.94,11.94,16.46,22.56,42.1
"ET",2003,,,,,
"FI",2003,,,,,
"FJ",2003,4.11,8.59,13.86,21.85,51.59
"FR",2003,,,,,
"FO",2003,,,,,
"FM",2003,,,,,
"GA",2003,,,,,
"GB",2003,,,,,
"GE",2003,5.68,10.64,15.55,22.54,45.59
"GH",2003,,,,,
"GN",2003,6.4,10.57,14.85,21.06,47.12
"GM",2003,4.79,8.56,13.24,20.57,52.84
"GW",2003,,,,,
"GQ",2003,,,,,
"GR",2003,,,,,
"GD",2003,,,,,
"GL",2003,,,,,
"GT",2003,2.65,6.77,12.15,20.73,57.7
"GU",2003,,,,,
"GY",2003,,,,,
"HK",2003,,,,,
"HN",2003,2.22,5.86,10.65,19.12,62.15
