"id","value.1990","value.1991","value.1992","value.1993","value.1994","value.1995","value.1996","value.1997","value.1998","value.1999","value.2000","value.2001","value.2002","value.2003","value.2004","value.2005","value.2006","value.2007","value.2008","value.2009","value.2010","value.2011","value.2012"
"IN",20825020000,19245310000,25069760000,30694510000,34598570000,2.7357e+10,37342810000,41322150000,43928020000,40548140000,46284850000,49786580000,51721490000,83418150000,73509170000,81565930000,1.20918e+11,1.80192e+11,1.36485e+11,1.64199e+11,1.72886e+11,1.44766e+11,1.94976e+11
"IQ",137200000,837190000,201130000,265630000,369890000,453210000,461100000,321360000,184360000,141640000,175520000,210810000,188580000,2933050000,6542500000,27894460000,11668330000,10423840000,11574320000,5039650000,4179740000,3735750000,3675260000
"IR",5669770000,7572850000,14449440000,21821340000,15480560000,12915020000,3788920000,3190260000,7795640000,4898460000,5914140000,7492570000,9086230000,19443380000,21220080000,11107880000,8255090000,6021200000,4929660000,6282390000,7612120000,5206930000,5810820000
"JM",1469600000,2106170000,2270830000,1729260000,2706300000,2.592e+09,2193890000,2099280000,2201160000,2170740000,3783310000,4061220000,3509740000,3451260000,4973820000,4962090000,5630550000,7065060000,4448810000,6187050000,7019660000,3801270000,5509680000
"JO",4445560000,6199990000,3057070000,3.244e+09,3330650000,4713420000,6184680000,6033020000,5.166e+09,5805630000,11296090000,7852750000,6773140000,6581140000,6761390000,8089970000,9487330000,11660990000,10801910000,8879150000,10231380000,7500550000,8315460000
"KE",3781560000,2676430000,2010200000,1952150000,1404290000,2552970000,1296950000,2307140000,2146510000,2141030000,1338150000,1308850000,2020580000,1940240000,1807760000,1898410000,2278780000,2970700000,3225290000,3219960000,3014240000,5160290000,5704330000
"KG",0,0,55820000,666560000,648170000,469770000,523460000,528330000,882030000,775810000,1124390000,375810000,586890000,662740000,1600840000,1407810000,1771300000,2076660000,3193580000,3025070000,3221880000,3729410000,4148220000
"KH",117920000,1.44e+08,322190000,503980000,568990000,809790000,777680000,829910000,887770000,842740000,1127240000,1044190000,1135850000,1077640000,1255350000,1301070000,1596930000,1724730000,2426070000,2051650000,1901780000,2451820000,3427690000
"KI",51890000,49590000,58280000,43360000,44760000,24360000,21100000,26550000,32080000,34050000,32160000,28210000,40100000,31410000,25350000,40640000,40540000,36590000,34270000,38050000,30430000,65360000,66200000
"KM",94600000,117530000,127810000,116400000,117270000,82110000,75110000,71910000,64420000,52110000,41810000,52250000,56410000,53320000,40120000,37520000,43090000,52900000,55460000,64260000,91340000,67350000,140060000
"KN",52540000,64780000,37750000,58570000,53480000,61520000,73390000,95830000,86030000,93060000,113830000,172210000,213240000,137590000,131510000,115240000,161270000,176980000,250060000,244660000,213980000,204580000,183780000
"KP",12450000,15770000,149160000,28630000,16690000,29150000,37020000,145690000,619100000,321740000,133540000,262480000,387600000,178780000,363320000,308460000,122810000,116210000,289880000,122940000,89420000,202120000,159300000
"KZ",0,0,976550000,6135520000,6767600000,5318700000,4634480000,7298640000,7391820000,6594200000,18137010000,23700620000,26226470000,36034920000,51000440000,55149210000,84886480000,77841080000,63203180000,59674810000,72055780000,46528970000,47918660000
"LA",634890000,476370000,278620000,338020000,356940000,488540000,659400000,729870000,660790000,497660000,514420000,468440000,904810000,520170000,814940000,1534060000,1245780000,2468890000,1894370000,1625340000,1100490000,1559680000,1404480000
"LB",3.454e+09,268440000,1112200000,319740000,2083530000,2151230000,2312420000,2769460000,5324510000,4242730000,5309920000,6353130000,13118710000,13734140000,19362980000,15586300000,18136600000,16882210000,16631140000,17673990000,16201480000,16713490000,18418630000
"LC",61550000,128700000,120940000,125780000,141780000,162210000,169550000,123420000,180960000,189020000,239100000,207920000,241770000,208170000,203980000,225670000,169180000,379290000,745370000,267780000,433130000,223740000,229590000
"LK",2400740000,2698070000,2469860000,2778370000,3298780000,3783750000,3702910000,4069410000,4797360000,4192510000,3965470000,3646580000,4945070000,4443250000,4413900000,6977060000,6451820000,8488450000,6530130000,8564510000,9294370000,9622040000,11942880000
"LR",187130000,491560000,195480000,212480000,108800000,182520000,227530000,126650000,378020000,337270000,368440000,93200000,110300000,155440000,1190300000,388630000,498300000,990790000,1839670000,983070000,2179050000,1931040000,1479250000
"LS",1085550000,1036550000,965060000,902770000,736980000,896670000,1093200000,1070960000,976490000,890810000,1314380000,1034740000,1218600000,1104800000,1021730000,916650000,952900000,989790000,1022860000,956960000,995060000,1023870000,1062860000
"LY",12460000,170090000,96540000,105040000,63750000,7330000,4770000,5630000,7880000,7100000,15960000,160540000,22570000,167790000,166620000,412890000,1106920000,2084170000,3933230000,3230110000,3354680000,2547010000,147080000
"MA",8142250000,8771250000,8305710000,9795650000,8927010000,8401340000,10101540000,8095720000,8246740000,7784660000,8623650000,8948220000,10424600000,9691830000,11363220000,12285980000,14490930000,16329570000,16443950000,16070310000,15780780000,17312240000,19582770000
"MD",0,0,285340000,430010000,587310000,558220000,787600000,1247050000,792960000,996160000,2705210000,1280480000,1612030000,1810210000,2293660000,2726290000,3523030000,3833830000,3791590000,2828990000,3019250000,3255540000,3.425e+09
"ME",0,0,0,0,0,0,0,0,0,0,0,0,0,10830000,24500000,4580000,251330000,408220000,653670000,2218120000,2386140000,2129380000,1629060000
"MG",1584160000,990480000,850290000,660770000,544200000,543580000,812840000,1712580000,1098650000,868500000,674080000,792280000,790760000,1009720000,2571870000,1545060000,4387670000,2025910000,2998690000,2574350000,2036540000,1504840000,1426850000
"MH",0,1430000,11460000,45780000,70520000,51420000,96920000,91460000,68970000,82650000,173690000,225250000,334650000,71130000,198450000,70520000,358240000,58280000,2.47e+08,487110000,652260000,360620000,78300000
"MK",0,0,0,6610000,156130000,120580000,532350000,399960000,819200000,1108710000,767030000,969100000,1529190000,1050530000,2.2e+09,1263260000,1276750000,2422720000,1888490000,2050650000,1200290000,1894600000,1791270000
"ML",989990000,1136070000,1114520000,832730000,979190000,1072290000,1068860000,1312850000,865020000,892300000,1076200000,1028470000,1441960000,1726050000,1582080000,1764120000,3866110000,1929830000,1782200000,2301930000,2498110000,2345380000,2354700000
"MM",311550000,546930000,465010000,340330000,335520000,384820000,498140000,840590000,1830510000,1149050000,690550000,728460000,713090000,554580000,744760000,799940000,686320000,654400000,1351520000,1323500000,1510010000,1797450000,3295480000
"MN",19920000,102420000,398970000,200300000,525310000,518540000,260160000,888350000,691050000,354640000,382410000,476210000,932440000,1548570000,1020150000,999790000,1004380000,1160490000,1209180000,1729140000,2795470000,2535070000,8605840000
"MR",736780000,483930000,629420000,605090000,473290000,545460000,690390000,614490000,425940000,385480000,703850000,601820000,792630000,729710000,750050000,911760000,2509320000,824620000,980800000,1209600000,1026220000,615130000,1427250000
"MS",12800000,23240000,18460000,24080000,23620000,22080000,23930000,58080000,89050000,56790000,51470000,49800000,61710000,4.6e+07,5e+07,32620000,39330000,37870000,40410000,60230000,32990000,50530000,42950000
"MU",336650000,464610000,255290000,285280000,549780000,892570000,523750000,695840000,520680000,612150000,603470000,828330000,847700000,553990000,514700000,613090000,505550000,626940000,854770000,1323530000,9725020000,8826380000,8619810000
"MV",57640000,96550000,80870000,102060000,82170000,144820000,97040000,100770000,94100000,92450000,65870000,138750000,129010000,105740000,179860000,265510000,311270000,393740000,415480000,458520000,484940000,433400000,487830000
"MW",870930000,943040000,902190000,765120000,708660000,989630000,776020000,584090000,745970000,776520000,805030000,780270000,760150000,795540000,887620000,906250000,3812430000,2013270000,1125910000,1119540000,1201090000,1067910000,1344450000
"MX",52243820000,48051530000,44942920000,67920530000,42523430000,87444850000,83438060000,71187390000,72640270000,76185880000,70460590000,89636490000,87018870000,80843130000,91270090000,91338980000,97070510000,93306040000,93385010000,1.00989e+11,1.10949e+11,1.16694e+11,1.77464e+11
"MY",3827590000,7556340000,14183610000,21226670000,19754950000,19576690000,25723020000,28391210000,21241010000,14050350000,16308100000,23680330000,20148730000,16838670000,30426820000,19016400000,20580790000,30384180000,16321140000,21101980000,32321610000,32732240000,32087800000
"MZ",1811490000,2100700000,2486440000,2149580000,2096210000,1987680000,1685810000,2023200000,2192500000,3350320000,2584010000,2073200000,4505370000,2289790000,2594590000,1978990000,4388170000,4308380000,2620090000,2981110000,3406860000,3582640000,5237840000
"NA",220720000,340500000,375390000,392450000,373380000,457700000,534760000,459200000,418720000,461870000,370580000,469650000,639770000,446940000,415860000,446190000,597530000,719210000,997420000,1136580000,983220000,1136850000,1142560000
"NE",775410000,712480000,640300000,815480000,764330000,453210000,433800000,700040000,553380000,517520000,419420000,551310000,871510000,868520000,1027080000,803850000,2361300000,1004110000,952910000,1206420000,2080060000,2433680000,2136400000
"NG",4252140000,3606370000,5379830000,9716080000,5827040000,4912390000,3667160000,7750910000,7277460000,5579630000,5078970000,4615290000,9442160000,5888140000,9656260000,36634900000,43609330000,29296670000,26077650000,34016940000,32930010000,32864860000,42885330000
"NI",6251740000,2155250000,1535130000,827200000,1120080000,1312140000,2091630000,1903590000,1597920000,2059070000,2091210000,2820130000,1613580000,2345590000,2949280000,2204370000,3415520000,5107810000,3054400000,2949760000,3540650000,3462520000,3757370000
"NP",712990000,710050000,659520000,1076140000,1258270000,1027910000,690280000,1279950000,893570000,839980000,935410000,1079600000,2056370000,2316030000,2364910000,3064510000,3140720000,3300300000,4449300000,5059030000,4856720000,5279450000,6014480000
"NR",360000,2030000,790000,810000,18140000,5040000,6150000,5400000,6340000,13940000,8190000,21830000,32090000,38030000,27820000,16430000,30830000,37660000,44570000,35010000,33980000,38080000,36280000
"NU",15010000,20090000,10570000,10280000,13950000,14680000,11160000,9330000,8590000,10870000,8590000,13020000,10350000,16080000,22430000,29310000,12930000,17980000,22030000,11670000,17220000,21120000,20140000
"PA",1131830000,507290000,1650930000,1347860000,1319480000,1750420000,1967660000,4230770000,3630180000,8988420000,2091390000,2074540000,2414860000,1252390000,1767170000,3275060000,4989260000,3572190000,2962590000,4974180000,2688830000,4492860000,4749040000
"PE",1692450000,2672180000,4449820000,4935750000,6815050000,10999920000,7284860000,11965900000,6910070000,6360880000,7157030000,7647620000,9.84e+09,9406270000,9854720000,12044010000,8838920000,19683820000,15099600000,16905720000,21281880000,15641670000,20681200000
"PG",2125450000,1844420000,3196080000,1310480000,1606350000,1219570000,2176160000,1837500000,1337160000,730390000,1456240000,1108320000,815480000,1003010000,794790000,1384020000,969020000,1492750000,2030890000,2018650000,6291640000,11110700000,12531290000
"PH",1.1013e+10,10130680000,12126960000,13700010000,13478460000,14254310000,22676270000,26088350000,19148710000,29025400000,24608770000,35857260000,31613210000,39906410000,39523570000,38805750000,44817490000,39770770000,31418080000,37496850000,42502460000,36590880000,36572770000
"PK",10213350000,11119740000,11076550000,10790870000,14387910000,12112010000,11096390000,13563120000,9211410000,8455110000,7527240000,7694920000,12406650000,11676600000,10689930000,15320850000,19643710000,20169290000,21772190000,25903020000,27830290000,23081080000,21709320000
"PS",0,0,0,271360000,703420000,717300000,788280000,924670000,947800000,893420000,1153310000,1619270000,1510740000,1396010000,1424380000,1220340000,1588070000,1818870000,2460090000,2938090000,2629030000,2403380000,2048780000
"PW",0,1e+06,1010000,1010000,285600000,208070000,85430000,50740000,119170000,36840000,47460000,44930000,4.2e+07,32780000,23770000,28870000,44760000,27510000,51110000,43840000,28450000,41420000,21290000
"PY",589130000,491530000,675590000,708070000,1429750000,1779010000,1341620000,1803200000,2004130000,2392720000,1091650000,1011780000,1523930000,1443880000,1694550000,1061960000,1477750000,1185760000,1676440000,1474820000,2176110000,2331860000,2187950000
"RS",0,0,0,0,75440000,123860000,86400000,142530000,167920000,1241390000,2624650000,2986020000,5015960000,3138520000,3965470000,6024160000,8583580000,11234670000,10431040000,12752010000,11482580000,11807950000,13284300000
"RW",549990000,599230000,648230000,557460000,1096910000,996400000,773390000,526450000,558460000,627910000,5.59e+08,562040000,641230000,508970000,653080000,759150000,2290160000,958520000,1112630000,1278530000,1376170000,1533950000,1371540000
"SB",124320000,118070000,100200000,148910000,115330000,92080000,74410000,73320000,134020000,90770000,162860000,183270000,95090000,182600000,236650000,350500000,345040000,424070000,376080000,427080000,625290000,628660000,495510000
"SC",97660000,86540000,106690000,65250000,69630000,84930000,103710000,102080000,184370000,130270000,211470000,110850000,250130000,127250000,111430000,267320000,592890000,483090000,379830000,330900000,384730000,521320000,476130000
"SD",1660130000,1537580000,1767750000,851390000,912660000,949510000,641470000,969560000,1969500000,2296040000,5047580000,4097810000,3630840000,4583810000,5935570000,4423470000,4419640000,4507670000,5530390000,6338260000,4508680000,2619150000,1935600000
"SH",37500000,2.2e+07,22020000,23530000,21750000,18410000,22620000,20380000,20890000,18140000,26030000,21840000,1.9e+07,21730000,27570000,23410000,28800000,39930000,63410000,37630000,57280000,84050000,168230000
"SL",145130000,189950000,239040000,529730000,438260000,334540000,302880000,192040000,270730000,184510000,448390000,653390000,735660000,570340000,567200000,487630000,1016460000,1341740000,513690000,590300000,657850000,882750000,1280970000
"SN",2036990000,1448290000,1722340000,1397100000,1434300000,1383560000,1556560000,1580040000,1906470000,1787230000,1517980000,1780770000,1762150000,1671290000,3113250000,2602370000,5189610000,3272560000,3476780000,3350590000,3342570000,3353950000,4032360000
"SO",808780000,285290000,974690000,1352500000,790260000,266190000,131250000,135310000,136640000,186300000,185180000,257570000,248650000,254940000,258980000,291790000,475560000,514690000,919110000,778030000,625400000,1184580000,1102080000
"SR",110470000,96160000,164850000,146230000,95170000,104850000,150880000,139420000,90680000,99640000,58330000,40420000,75920000,110880000,76900000,62730000,119650000,183760000,109510000,185270000,161470000,200100000,190550000
"SS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1094460000,1580930000
"ST",91970000,117270000,119930000,87530000,108680000,119880000,65630000,57060000,47990000,93530000,65120000,75250000,61280000,80270000,75150000,50350000,58200000,315150000,103890000,135490000,101090000,182840000,108880000
"SV",1629340000,2332390000,2803110000,4377830000,3311760000,2984630000,3391800000,3362510000,3211090000,4364210000,4446180000,5232370000,5504050000,5590300000,4941340000,6378780000,7085540000,5224610000,7754770000,7082250000,6421440000,5549650000,6.262e+09
"SY",1439740000,9.35e+08,390510000,508470000,1080650000,533700000,400150000,449410000,405110000,508570000,1190950000,742940000,413460000,455310000,552020000,638580000,943780000,1121270000,1823180000,2295700000,3100500000,2114400000,1705920000
"SZ",348060000,395240000,387660000,3.41e+08,300360000,308870000,292970000,546540000,287580000,489130000,277230000,328360000,215820000,280160000,325730000,375110000,200220000,331090000,385790000,339260000,427590000,353840000,249640000
"TD",495020000,442670000,507120000,489180000,557160000,359130000,453100000,419480000,324370000,336720000,260830000,475070000,879680000,1734470000,1367840000,983220000,517340000,459890000,608710000,1092220000,978060000,851060000,932510000
"TG",501140000,432500000,381260000,183060000,276880000,361380000,549890000,323280000,319050000,449770000,280510000,426640000,435350000,433500000,451370000,522810000,6.05e+08,653100000,997090000,1127190000,1039870000,1654250000,1001750000
"TH",15286700000,21186170000,16296890000,31877780000,26459480000,41556090000,31045630000,36175050000,26078280000,25427560000,20684140000,26390240000,29141470000,24355960000,28636110000,56142260000,43340900000,42452190000,32900140000,41594270000,49932280000,31297540000,57734730000
"TJ",0,0,28430000,521430000,789550000,239150000,237630000,318870000,442210000,390700000,203250000,498070000,526220000,862210000,935860000,1592740000,2603180000,3561700000,4129450000,3673210000,4342420000,4511950000,4290930000
"TK",9830000,9330000,9490000,6090000,5880000,6440000,7890000,7470000,7390000,9760000,8320000,9580000,10520000,11190000,12650000,21890000,16540000,15680000,26690000,13480000,16690000,20330000,18740000
"TL",160000,1420000,2e+05,660000,340000,30000,110000,680000,2600000,1894320000,1584870000,377850000,418830000,438210000,226840000,243560000,273490000,346830000,333290000,451770000,535600000,434800000,462860000
