"id","value.2005","original-value.2005","value.2006","original-value.2006","value.2007","original-value.2007","value.2008","original-value.2008","value.2009","original-value.2009","value.2010","original-value.2010","value.2011","original-value.2011","value.2012","original-value.2012"
"SI",53.29999924,53.29999924,55.20000076,55.20000076,54.70000076,54.70000076,56,56,57.40000153,57.40000153,58.29999924,58.29999924,59.5,59.5,60.29999924,60.29999924
"SK",56.29999924,56.29999924,56.79999924,56.79999924,56.40000153,56.40000153,55.90000153,55.90000153,58.40000153,58.40000153,59.59999847,59.59999847,59.5,59.5,59.20000076,59.20000076
"SL",,,,,,,,,,,,,,,,
"SM",60.20000076,60.20000076,60.70000076,60.70000076,61.79999924,61.79999924,62.70000076,62.70000076,,,,,,,,
"SN",,,36.09999847,36.09999847,,,,,,,,,,,,
"SO",,,,,,,,,,,,,,,,
"SR",,,,,,,,,,,,,,,,
"SS",,,,,,,,,,,,,,,,
"ST",,,,,,,,,,,,,,,,
"SV",57.79999924,57.79999924,58.20000076,58.20000076,58.59999847,58.59999847,57.79999924,57.79999924,58.40000153,58.40000153,57.79999924,57.79999924,57.09999847,57.09999847,57.90000153,57.90000153
"SX",,,,,,,,,,,,,,,,
"SY",,,52.09999847,52.09999847,51.79999924,51.79999924,52.29999924,52.29999924,52.29999924,52.29999924,53,53,53,53,,
"SZ",,,,,,,,,,,,,,,,
"TC",70.90000153,70.90000153,76.40000153,76.40000153,72.40000153,72.40000153,,,,,,,,,,
"TD",,,,,,,,,,,,,,,,
"TG",,,37.5,37.5,,,,,,,,,,,,
"TH",37.09999847,37.09999847,37,37,37.40000153,37.40000153,37.90000153,37.90000153,40.20000076,40.20000076,41,41,40.70000076,40.70000076,39.40000153,39.40000153
"TJ",,,,,,,,,,,,,,,,
"TL",,,,,,,,,,,39.79999924,39.79999924,,,,
"TM",,,,,,,,,,,,,,,,
"TN",49,49,48.59999847,48.59999847,48.5,48.5,48.5,48.5,49.29999924,49.29999924,48.79999924,48.79999924,49.59999847,49.59999847,,
"TO",,,,,,,,,,,,,,,,
"TR",45.79999924,45.79999924,47.29999924,47.29999924,49.79999924,49.79999924,49.5,49.5,51.70000076,51.70000076,50.09999847,50.09999847,49.40000153,49.40000153,50.40000153,50.40000153
"TT",64.30000305,64.30000305,64.59999847,64.59999847,64.30000305,64.30000305,63.79999924,63.79999924,,,,,,,,
"TV",,,,,,,,,,,,,,,,
"TZ",,,19.20000076,19.20000076,,,,,,,,,,,,
"UA",56.40000153,56.40000153,58.20000076,58.20000076,59.40000153,59.40000153,60.70000076,60.70000076,62,62,62.10000038,,62.20000076,62.20000076,62.09999847,62.09999847
"UG",23.20000076,23.20000076,24.500000475,,25.80000019,,27.099999905,,28.39999962,28.39999962,,,,,,
"US",77.80000305,77.80000305,77.69999695,77.69999695,78,78,78.59999847,78.59999847,80.90000153,80.90000153,81.19999695,81.19999695,,,,
"UY",73.5,73.5,67.5,67.5,67.19999695,67.19999695,67.80000305,67.80000305,68.09999847,68.09999847,67,67,68,68,,
"UZ",,,,,,,,,,,,,,,,
"VC",,,,,,,,,,,,,,,,
"VE",68.69999695,68.69999695,67.80000305,67.80000305,67.69999695,67.69999695,68.30000305,68.30000305,68.30000305,68.30000305,68.90000153,68.90000153,69.79999924,,70.69999695,70.69999695
"VI",,,,,,,,,,,,,,,,
"VN",,,28.20000076,28.20000076,28.620000456,,29.040000152,,29.459999848,,29.879999544,,30.29999924,30.29999924,31.5,31.5
"VU",,,,,,,,,31.10000038,31.10000038,,,,,,
"WS",,,,,,,,,,,,,,,,
"XK",,,,,,,,,,,,,,,67.09999847,67.09999847
"YE",,,,,,,,,,,56.20000076,56.20000076,,,,
"ZA",66.59999847,66.59999847,65.59999847,65.59999847,64.90000153,64.90000153,68.59999847,68.59999847,60.79999924,60.79999924,61.90000153,61.90000153,62.70000076,62.70000076,,
"ZM",20.60000038,20.60000038,,,,,,,,,,,,,,
"ZW",,,,,,,,,,,,,,,,
