"id","value.2000","value.2001","value.2002","value.2003","value.2004","value.2005","value.2006","value.2007","value.2008","value.2009","value.2010","value.2011","value.2012","value.2013"
"BT",778.1664449,820.0560129,897.3943466,1009.155197,1108.518345,1258.990994,1348.730837,1760.602629,1817.781058,1795.14947,2211.340513,2495.386975,2458.395828,2362.581737
"BW",3297.478684,3078.279632,3006.59407,4098.838026,4829.516059,5294.379474,5341.397476,5711.72849,5746.978873,5178.439113,6980.361812,7734.033935,7254.560471,7315.019289
"CF",251.3526401,251.571807,263.1597031,297.6143874,326.1973133,340.9078668,365.4970834,413.4814387,474.389479,464.5132312,456.5634086,494.9260803,479.4709838,333.1968806
"CA",24017.13374,23582.8569,24009.94835,28033.84266,31879.98125,35899.97524,40220.43871,44393.18889,46321.67825,40739.16789,47345.59704,51830.39929,52367.60262,52050.2923
"CH",37860.59784,38589.99089,41319.17719,47962.93119,53317.99652,54859.98267,57322.79307,63169.46221,72178.79944,69732.92676,74250.06476,87963.21924,83282.67804,84761.68109
"CL",5133.077311,4625.336377,4487.150018,4866.33225,6246.814357,7589.78486,9391.361038,10378.61425,10694.43481,10122.57199,12710.80698,14501.58821,15230.62313,15721.03238
"CN",950.3858963,1037.858238,1132.458607,1272.896616,1489.111355,1733.501059,2067.092798,2648.182505,3412.209217,3748.328651,4432.965415,5445.90181,6093.159448,6807.231578
"CI",645.7656817,642.2152213,688.8559652,812.3976351,902.9864166,982.2314265,1007.839837,1133.409489,1326.661946,1305.147464,1311.326565,1309.008626,1365.873574,1528.937539
"CM",583.0948592,589.1651391,648.2987607,790.8912173,892.5257391,914.5496074,964.5995681,1069.856935,1190.213089,1163.012663,1145.368992,1256.710574,1219.931075,1328.640205
"CG",1029.974585,871.6709433,919.6870143,1039.379799,1347.870907,1718.100816,2120.097846,2233.308252,3059.226535,2401.298155,2920.406708,3414.054709,3153.739525,3167.045322
"CO",2503.549492,2421.272646,2376.083803,2261.283608,2751.153056,3404.036483,3717.949508,4674.326419,5403.844707,5108.884632,6179.378797,7115.730582,7756.09358,7822.620224
"KM",382.1603212,406.0951561,443.7504421,556.6473455,628.8862807,633.1812715,658.7100831,730.879264,796.988807,772.8425217,756.8106118,808.3572439,767.2114252,814.9571489
"CV",1218.796031,1248.911424,1352.473771,1743.191153,1951.780821,2030.658982,2298.814821,3129.818791,3692.002674,3524.330353,3413.263371,3801.449765,3554.411134,3767.115364
"CR",4058.044534,4087.118971,4114.566905,4199.694812,4379.391063,4621.364127,5128.400753,5897.527844,6581.308114,6385.56513,7773.185487,8704.111887,9442.66454,10184.60567
"CU",2744.124479,2835.076661,2995.899528,3192.400519,3388.766954,3776.470549,4666.988169,5185.382272,5382.815961,5499.120103,5701.962671,6051.222001,,
"CW",,,,,,,,,,,,,,
"KY",,,,,,,,,,,,,,
"CY",9874.977134,10067.07878,10774.17488,13344.33854,15570.64446,16461.39052,17586.11056,20545.49752,23509.21558,21587.8098,20959.28669,22257.92708,20165.66338,19200.92651
"CZ",5994.528277,6594.723244,8011.902152,9741.058384,11669.98346,13318.688,15138.33755,18351.60273,22629.65662,19724.36445,19762.44963,21627.10526,19694.0571,19864.14823
"DE",23719.30703,23679.43869,25215.63765,30290.48233,34175.08258,34679.52037,36418.1749,41815.38478,45670.38814,41634.96884,41698.80185,45844.82495,43891.37553,46265.40905
"DJ",762.5408423,780.1451222,794.0556713,823.8074727,869.8001789,912.4992045,976.2929868,1061.637092,1233.311121,1458.873787,1353.193028,1463.592224,1574.628968,1668.336703
"DM",4819.899954,4925.629691,4837.631934,4997.16258,5329.135797,5250.352562,5627.072822,6058.180506,6614.969582,7026.999956,6926.847598,7122.008354,7181.725557,7175.626942
"DK",30713.81912,30790.57316,33296.55831,40440.96232,46442.58152,48898.11331,52048.15944,58592.62707,64256.34386,57938.52903,57681.73848,61214.53955,57586.66794,59853.50854
"DO",2769.882322,2829.192446,2973.657145,2344.53392,2407.18928,3635.706812,3794.07334,4584.317437,4937.73104,4844.974121,5295.39969,5729.959962,5870.769044,5878.996721
