"id","year","value","original-value"
"CF",2005,1100,1100
"CF",2006,1072,
"CF",2007,1044,
"CF",2008,1016,
"CF",2009,988,
"CF",2010,960,960
"CF",2011,933.3333333333,
"CF",2012,906.6666666667,
"CF",2013,880,880
"CG",2000,610,610
"CG",2001,594,
"CG",2002,578,
"CG",2003,562,
"CG",2004,546,
"CG",2005,530,530
"CG",2006,514,
"CG",2007,498,
"CG",2008,482,
"CG",2009,466,
"CG",2010,450,450
"CG",2011,436.6666666667,
"CG",2012,423.3333333333,
"CG",2013,410,410
"CH",2000,7,7
"CH",2001,7.2,
"CH",2002,7.4,
"CH",2003,7.6,
"CH",2004,7.8,
"CH",2005,8,8
"CH",2006,8,
"CH",2007,8,
"CH",2008,8,
"CH",2009,8,
"CH",2010,8,8
"CH",2011,7.3333333333,
"CH",2012,6.6666666667,
"CH",2013,6,6
"CI",2000,670,670
"CI",2001,686,
"CI",2002,702,
"CI",2003,718,
"CI",2004,734,
"CI",2005,750,750
"CI",2006,750,
"CI",2007,750,
"CI",2008,750,
"CI",2009,750,
"CI",2010,750,750
"CI",2011,740,
"CI",2012,730,
"CI",2013,720,720
"CL",2000,29,29
"CL",2001,28.4,
"CL",2002,27.8,
"CL",2003,27.2,
"CL",2004,26.6,
"CL",2005,26,26
"CL",2006,25.6,
"CL",2007,25.2,
"CL",2008,24.8,
"CL",2009,24.4,
"CL",2010,24,24
"CL",2011,23.3333333333,
"CL",2012,22.6666666667,
"CL",2013,22,22
"CM",2000,740,740
"CM",2001,730,
"CM",2002,720,
"CM",2003,710,
"CM",2004,700,
"CM",2005,690,690
"CM",2006,680,
"CM",2007,670,
"CM",2008,660,
"CM",2009,650,
"CM",2010,640,640
"CM",2011,623.3333333333,
"CM",2012,606.6666666667,
"CM",2013,590,590
"CN",2000,63,63
"CN",2001,60.4,
"CN",2002,57.8,
"CN",2003,55.2,
"CN",2004,52.6,
"CN",2005,50,50
"CN",2006,47.2,
"CN",2007,44.4,
"CN",2008,41.6,
"CN",2009,38.8,
"CN",2010,36,36
"CN",2011,34.6666666667,
"CN",2012,33.3333333333,
"CN",2013,32,32
"CO",2000,130,130
"CO",2001,123.4,
"CO",2002,116.8,
"CO",2003,110.2,
"CO",2004,103.6,
"CO",2005,97,97
"CO",2006,94.6,
"CO",2007,92.2,
"CO",2008,89.8,
"CO",2009,87.4,
"CO",2010,85,85
"CO",2011,84.3333333333,
"CO",2012,83.6666666667,
"CO",2013,83,83
"CR",2000,44,44
"CR",2001,44.4,
"CR",2002,44.8,
"CR",2003,45.2,
"CR",2004,45.6,
"CR",2005,46,46
"CR",2006,43.4,
"CR",2007,40.8,
"CR",2008,38.2,
"CR",2009,35.6,
"CR",2010,33,33
"CR",2011,34.6666666667,
"CR",2012,36.3333333333,
"CR",2013,38,38
"CU",2000,63,63
"CU",2001,63.8,
"CU",2002,64.6,
"CU",2003,65.4,
"CU",2004,66.2,
"CU",2005,67,67
"CU",2006,69.6,
"CU",2007,72.2,
"CU",2008,74.8,
"CU",2009,77.4,
"CU",2010,80,80
"CU",2011,80,
"CU",2012,80,
"CU",2013,80,80
"CV",2000,84,84
"CV",2001,79.8,
"CV",2002,75.6,
"CV",2003,71.4,
"CV",2004,67.2,
"CV",2005,63,63
"CV",2006,62,
"CV",2007,61,
"CV",2008,60,
"CV",2009,59,
"CV",2010,58,58
"CV",2011,56.3333333333,
"CV",2012,54.6666666667,
"CV",2013,53,53
"CW",2000,,
"CW",2001,,
"CW",2002,,
"CW",2003,,
"CW",2004,,
"CW",2005,,
"CW",2006,,
"CW",2007,,
"CW",2008,,
"CW",2009,,
"CW",2010,,
"CW",2011,,
"CW",2012,,
"CW",2013,,
"CY",2000,16,16
"CY",2001,15.4,
"CY",2002,14.8,
"CY",2003,14.2,
"CY",2004,13.6,
"CY",2005,13,13
"CY",2006,12.4,
"CY",2007,11.8,
"CY",2008,11.2,
"CY",2009,10.6,
"CY",2010,10,10
"CY",2011,10,
"CY",2012,10,
"CY",2013,10,10
"CZ",2000,7,7
"CZ",2001,7,
"CZ",2002,7,
"CZ",2003,7,
"CZ",2004,7,
"CZ",2005,7,7
"CZ",2006,6.6,
"CZ",2007,6.2,
"CZ",2008,5.8,
"CZ",2009,5.4,
"CZ",2010,5,5
"CZ",2011,5,
"CZ",2012,5,
"CZ",2013,5,5
"DE",2000,7,7
"DE",2001,7,
"DE",2002,7,
"DE",2003,7,
"DE",2004,7,
"DE",2005,7,7
"DE",2006,7,
"DE",2007,7,
"DE",2008,7,
"DE",2009,7,
"DE",2010,7,7
"DE",2011,7,
"DE",2012,7,
"DE",2013,7,7
"DJ",2000,360,360
"DJ",2001,350,
"DJ",2002,340,
"DJ",2003,330,
"DJ",2004,320,
"DJ",2005,310,310
"DJ",2006,298,
"DJ",2007,286,
"DJ",2008,274,
"DJ",2009,262,
"DJ",2010,250,250
"DJ",2011,243.3333333333,
"DJ",2012,236.6666666667,
"DJ",2013,230,230
"DK",2000,9,9
"DK",2001,8.8,
"DK",2002,8.6,
"DK",2003,8.4,
"DK",2004,8.2,
"DK",2005,8,8
"DK",2006,8.2,
"DK",2007,8.4,
"DK",2008,8.6,
"DK",2009,8.8,
"DK",2010,9,9
"DK",2011,7.6666666667,
"DK",2012,6.3333333333,
"DK",2013,5,5
"DM",2000,,
"DM",2001,,
"DM",2002,,
"DM",2003,,
"DM",2004,,
"DM",2005,,
"DM",2006,,
"DM",2007,,
"DM",2008,,
"DM",2009,,
"DM",2010,,
"DM",2011,,
"DM",2012,,
"DM",2013,,
"DO",2000,120,120
"DO",2001,122,
"DO",2002,124,
"DO",2003,126,
"DO",2004,128,
"DO",2005,130,130
"DO",2006,130,
"DO",2007,130,
"DO",2008,130,
"DO",2009,130,
"DO",2010,130,130
"DO",2011,120,
"DO",2012,110,
"DO",2013,100,100
"DZ",2000,120,120
"DZ",2001,116,
"DZ",2002,112,
"DZ",2003,108,
"DZ",2004,104,
"DZ",2005,100,100
"DZ",2006,98.4,
"DZ",2007,96.8,
"DZ",2008,95.2,
"DZ",2009,93.6,
"DZ",2010,92,92
"DZ",2011,91,
"DZ",2012,90,
"DZ",2013,89,89
"EC",2000,120,120
"EC",2001,115.6,
"EC",2002,111.2,
"EC",2003,106.8,
"EC",2004,102.4,
"EC",2005,98,98
"EC",2006,96.4,
"EC",2007,94.8,
"EC",2008,93.2,
"EC",2009,91.6,
"EC",2010,90,90
"EC",2011,89,
"EC",2012,88,
"EC",2013,87,87
"EE",2000,26,26
"EE",2001,25.6,
"EE",2002,25.2,
"EE",2003,24.8,
"EE",2004,24.4,
"EE",2005,24,24
"EE",2006,20.4,
"EE",2007,16.8,
"EE",2008,13.2,
"EE",2009,9.6,
"EE",2010,6,6
"EE",2011,7.6666666667,
"EE",2012,9.3333333333,
"EE",2013,11,11
"EG",2000,75,75
"EG",2001,72.4,
"EG",2002,69.8,
"EG",2003,67.2,
"EG",2004,64.6,
"EG",2005,62,62
"EG",2006,59.6,
"EG",2007,57.2,
"EG",2008,54.8,
"EG",2009,52.4,
"EG",2010,50,50
"EG",2011,48.3333333333,
"EG",2012,46.6666666667,
"EG",2013,45,45
"ER",2000,670,670
"ER",2001,642,
"ER",2002,614,
"ER",2003,586,
"ER",2004,558,
"ER",2005,530,530
"ER",2006,514,
"ER",2007,498,
"ER",2008,482,
"ER",2009,466,
"ER",2010,450,450
"ER",2011,426.6666666667,
"ER",2012,403.3333333333,
"ER",2013,380,380
"ES",2000,5,5
"ES",2001,5.2,
"ES",2002,5.4,
"ES",2003,5.6,
"ES",2004,5.8,
"ES",2005,6,6
"ES",2006,6,
"ES",2007,6,
"ES",2008,6,
"ES",2009,6,
"ES",2010,6,6
"ES",2011,5.3333333333,
"ES",2012,4.6666666667,
"ES",2013,4,4
"ET",2000,990,990
"ET",2001,940,
"ET",2002,890,
"ET",2003,840,
"ET",2004,790,
"ET",2005,740,740
"ET",2006,692,
"ET",2007,644,
"ET",2008,596,
"ET",2009,548,
"ET",2010,500,500
"ET",2011,473.3333333333,
"ET",2012,446.6666666667,
"ET",2013,420,420
"FI",2000,7,7
"FI",2001,7.4,
"FI",2002,7.8,
"FI",2003,8.2,
"FI",2004,8.6,
"FI",2005,9,9
"FI",2006,8.4,
"FI",2007,7.8,
"FI",2008,7.2,
"FI",2009,6.6,
"FI",2010,6,6
"FI",2011,5.3333333333,
"FI",2012,4.6666666667,
"FI",2013,4,4
"FJ",2000,72,72
"FJ",2001,71.4,
"FJ",2002,70.8,
"FJ",2003,70.2,
"FJ",2004,69.6,
"FJ",2005,69,69
"FJ",2006,67.6,
"FJ",2007,66.2,
"FJ",2008,64.8,
"FJ",2009,63.4,
"FJ",2010,62,62
"FJ",2011,61,
"FJ",2012,60,
"FJ",2013,59,59
"FM",2000,130,130
"FM",2001,128,
"FM",2002,126,
"FM",2003,124,
"FM",2004,122,
"FM",2005,120,120
"FM",2006,116,
"FM",2007,112,
"FM",2008,108,
"FM",2009,104,
"FM",2010,100,100
"FM",2011,98.6666666667,
"FM",2012,97.3333333333,
"FM",2013,96,96
"FO",2000,,
"FO",2001,,
"FO",2002,,
"FO",2003,,
"FO",2004,,
"FO",2005,,
"FO",2006,,
"FO",2007,,
"FO",2008,,
"FO",2009,,
"FO",2010,,
"FO",2011,,
"FO",2012,,
"FO",2013,,
"FR",2000,10,10
"FR",2001,9.8,
"FR",2002,9.6,
"FR",2003,9.4,
"FR",2004,9.2,
"FR",2005,9,9
"FR",2006,9.6,
"FR",2007,10.2,
"FR",2008,10.8,
"FR",2009,11.4,
"FR",2010,12,12
"FR",2011,12,
"FR",2012,12,
"FR",2013,12,12
"GA",2000,330,330
"GA",2001,324,
"GA",2002,318,
"GA",2003,312,
"GA",2004,306,
"GA",2005,300,300
"GA",2006,292,
"GA",2007,284,
"GA",2008,276,
"GA",2009,268,
"GA",2010,260,260
"GA",2011,253.3333333333,
"GA",2012,246.6666666667,
"GA",2013,240,240
"GB",2000,11,11
"GB",2001,11.2,
"GB",2002,11.4,
"GB",2003,11.6,
"GB",2004,11.8,
"GB",2005,12,12
"GB",2006,11.8,
"GB",2007,11.6,
"GB",2008,11.4,
"GB",2009,11.2,
"GB",2010,11,11
"GB",2011,10,
"GB",2012,9,
"GB",2013,8,8
"GD",2000,29,29
"GD",2001,28.2,
"GD",2002,27.4,
"GD",2003,26.6,
"GD",2004,25.8,
"GD",2005,25,25
"GD",2006,24.6,
"GD",2007,24.2,
"GD",2008,23.8,
"GD",2009,23.4,
"GD",2010,23,23
"GD",2011,23,
"GD",2012,23,
"GD",2013,23,23
"GE",2000,60,60
"GE",2001,57.6,
"GE",2002,55.2,
"GE",2003,52.8,
"GE",2004,50.4,
"GE",2005,48,48
"GE",2006,46.8,
"GE",2007,45.6,
"GE",2008,44.4,
"GE",2009,43.2,
"GE",2010,42,42
"GE",2011,41.6666666667,
"GE",2012,41.3333333333,
"GE",2013,41,41
"GH",2000,570,570
"GH",2001,550,
"GH",2002,530,
"GH",2003,510,
"GH",2004,490,
"GH",2005,470,470
"GH",2006,458,
"GH",2007,446,
"GH",2008,434,
"GH",2009,422,
"GH",2010,410,410
"GH",2011,400,
"GH",2012,390,
"GH",2013,380,380
"GL",2000,,
"GL",2001,,
"GL",2002,,
"GL",2003,,
"GL",2004,,
"GL",2005,,
"GL",2006,,
"GL",2007,,
"GL",2008,,
"GL",2009,,
"GL",2010,,
"GL",2011,,
"GL",2012,,
"GL",2013,,
"GM",2000,580,580
"GM",2001,566,
"GM",2002,552,
"GM",2003,538,
"GM",2004,524,
"GM",2005,510,510
"GM",2006,500,
"GM",2007,490,
"GM",2008,480,
"GM",2009,470,
"GM",2010,460,460
"GM",2011,450,
"GM",2012,440,
"GM",2013,430,430
"GN",2000,950,950
"GN",2001,920,
"GN",2002,890,
"GN",2003,860,
"GN",2004,830,
"GN",2005,800,800
"GN",2006,778,
"GN",2007,756,
"GN",2008,734,
"GN",2009,712,
"GN",2010,690,690
"GN",2011,676.6666666667,
"GN",2012,663.3333333333,
"GN",2013,650,650
"GQ",2000,790,790
"GQ",2001,728,
"GQ",2002,666,
"GQ",2003,604,
"GQ",2004,542,
"GQ",2005,480,480
"GQ",2006,450,
"GQ",2007,420,
"GQ",2008,390,
"GQ",2009,360,
"GQ",2010,330,330
"GQ",2011,316.6666666667,
"GQ",2012,303.3333333333,
"GQ",2013,290,290
"GR",2000,5,5
"GR",2001,4.6,
"GR",2002,4.2,
"GR",2003,3.8,
"GR",2004,3.4,
"GR",2005,3,3
"GR",2006,3.4,
"GR",2007,3.8,
"GR",2008,4.2,
"GR",2009,4.6,
"GR",2010,5,5
"GR",2011,5,
"GR",2012,5,
"GR",2013,5,5
"GT",2000,160,160
"GT",2001,156,
"GT",2002,152,
"GT",2003,148,
"GT",2004,144,
"GT",2005,140,140
"GT",2006,140,
"GT",2007,140,
"GT",2008,140,
"GT",2009,140,
"GT",2010,140,140
"GT",2011,140,
"GT",2012,140,
"GT",2013,140,140
"GU",2000,,
"GU",2001,,
"GU",2002,,
"GU",2003,,
"GU",2004,,
"GU",2005,,
"GU",2006,,
"GU",2007,,
"GU",2008,,
"GU",2009,,
"GU",2010,,
"GU",2011,,
"GU",2012,,
"GU",2013,,
"GW",2000,840,840
"GW",2001,824,
"GW",2002,808,
"GW",2003,792,
"GW",2004,776,
"GW",2005,760,760
"GW",2006,728,
"GW",2007,696,
"GW",2008,664,
"GW",2009,632,
"GW",2010,600,600
"GW",2011,586.6666666667,
"GW",2012,573.3333333333,
"GW",2013,560,560
"GY",2000,240,240
"GY",2001,240,
"GY",2002,240,
"GY",2003,240,
"GY",2004,240,
"GY",2005,240,240
"GY",2006,238,
"GY",2007,236,
"GY",2008,234,
"GY",2009,232,
"GY",2010,230,230
"GY",2011,236.6666666667,
"GY",2012,243.3333333333,
"GY",2013,250,250
"HK",2000,,
"HK",2001,,
"HK",2002,,
"HK",2003,,
"HK",2004,,
"HK",2005,,
"HK",2006,,
"HK",2007,,
"HK",2008,,
"HK",2009,,
"HK",2010,,
"HK",2011,,
"HK",2012,,
"HK",2013,,
"HN",2000,150,150
"HN",2001,146,
"HN",2002,142,
"HN",2003,138,
"HN",2004,134,
"HN",2005,130,130
"HN",2006,128,
"HN",2007,126,
"HN",2008,124,
"HN",2009,122,
"HN",2010,120,120
"HN",2011,120,
"HN",2012,120,
"HN",2013,120,120
"HR",2000,11,11
"HR",2001,11.6,
"HR",2002,12.2,
"HR",2003,12.8,
"HR",2004,13.4,
"HR",2005,14,14
