id,region,aid-type,year,value
US,North & Central America,bilateral,2013,1241115726.60
US,South America,bilateral,2013,567852920.08
US,Far East Asia,bilateral,2013,923014490.32
US,South & Central Asia,bilateral,2013,3220638712.51
US,Middle East,bilateral,2013,3023755228.15
US,Oceania,bilateral,2013,214108221.38
US,Unspecified,bilateral,2013,7745769606.39
AU,Europe,multilateral,2013,13176308.99
AU,North Africa,multilateral,2013,15726296.44
AU,Sub-Saharan Africa,multilateral,2013,334989961.99
AU,North & Central America,multilateral,2013,38320907.89
AU,South America,multilateral,2013,19988477.50
AU,Far East Asia,multilateral,2013,66250948.66
AU,South & Central Asia,multilateral,2013,149399191.94
AU,Middle East,multilateral,2013,41013615.19
AU,Oceania,multilateral,2013,6764553.12
AU,Unspecified,multilateral,2013,54695740.96
AT,Europe,multilateral,2013,94470121.37
AT,North Africa,multilateral,2013,25813634.40
AT,Sub-Saharan Africa,multilateral,2013,223440672.89
AT,North & Central America,multilateral,2013,30594062.09
AT,South America,multilateral,2013,17901319.35
AT,Far East Asia,multilateral,2013,39442083.85
AT,South & Central Asia,multilateral,2013,94860569.13
AT,Middle East,multilateral,2013,32110607.60
AT,Oceania,multilateral,2013,4683429.69
AT,Unspecified,multilateral,2013,33653243.88
BE,Europe,multilateral,2013,158323733.21
BE,North Africa,multilateral,2013,45793138.92
BE,Sub-Saharan Africa,multilateral,2013,339566201.56
BE,North & Central America,multilateral,2013,43488837.85
BE,South America,multilateral,2013,27824142.60
BE,Far East Asia,multilateral,2013,56827026.65
BE,South & Central Asia,multilateral,2013,128755648.67
BE,Middle East,multilateral,2013,61690993.78
BE,Oceania,multilateral,2013,7229612.36
BE,Unspecified,multilateral,2013,76211722.29
CA,Europe,multilateral,2013,24184186.83
CA,North Africa,multilateral,2013,24433517.98
CA,Sub-Saharan Africa,multilateral,2013,664780872.63
CA,North & Central America,multilateral,2013,79271724.75
CA,South America,multilateral,2013,41279425.02
CA,Far East Asia,multilateral,2013,137616520.30
CA,South & Central Asia,multilateral,2013,308531541.51
CA,Middle East,multilateral,2013,73305428.89
CA,Oceania,multilateral,2013,13653289.26
CA,Unspecified,multilateral,2013,96736028.30
CZ,Europe,multilateral,2013,37760781.83
CZ,North Africa,multilateral,2013,11077976.27
CZ,Sub-Saharan Africa,multilateral,2013,49475899.93
CZ,North & Central America,multilateral,2013,5965762.43
CZ,South America,multilateral,2013,3945107.54
CZ,Far East Asia,multilateral,2013,5602284.26
CZ,South & Central Asia,multilateral,2013,15666421.11
CZ,Middle East,multilateral,2013,10568025.84
CZ,Oceania,multilateral,2013,945664.19
CZ,Unspecified,multilateral,2013,10640478.47
DK,Europe,multilateral,2013,89556252.08
DK,North Africa,multilateral,2013,29084153.64
DK,Sub-Saharan Africa,multilateral,2013,278741035.91
DK,North & Central America,multilateral,2013,34479969.24
DK,South America,multilateral,2013,21422028.58
DK,Far East Asia,multilateral,2013,46572004.05
DK,South & Central Asia,multilateral,2013,102922164.98
DK,Middle East,multilateral,2013,62199186.82
DK,Oceania,multilateral,2013,5843801.06
DK,Unspecified,multilateral,2013,86897007.06
FI,Europe,multilateral,2013,67636972.69
FI,North Africa,multilateral,2013,20032264.06
FI,Sub-Saharan Africa,multilateral,2013,213785676.43
FI,North & Central America,multilateral,2013,27325543.95
FI,South America,multilateral,2013,17069450.73
FI,Far East Asia,multilateral,2013,38155632.25
FI,South & Central Asia,multilateral,2013,81556701.25
FI,Middle East,multilateral,2013,46950506.40
FI,Oceania,multilateral,2013,4578234.62
FI,Unspecified,multilateral,2013,66653179.37
FR,Europe,multilateral,2013,729944616.48
FR,North Africa,multilateral,2013,261155407.87
FR,Sub-Saharan Africa,multilateral,2013,1661513466.29
FR,North & Central America,multilateral,2013,191344740.36
FR,South America,multilateral,2013,113441350.82
FR,Far East Asia,multilateral,2013,231626054.57
FR,South & Central Asia,multilateral,2013,621217191.97
FR,Middle East,multilateral,2013,245528004.24
FR,Oceania,multilateral,2013,32427167.64
FR,Unspecified,multilateral,2013,241594834.71
DE,Europe,multilateral,2013,823646743.12
DE,North Africa,multilateral,2013,244654642.50
DE,Sub-Saharan Africa,multilateral,2013,1627643744.43
DE,North & Central America,multilateral,2013,213201386.60
DE,South America,multilateral,2013,133119339.26
DE,Far East Asia,multilateral,2013,259470940.06
DE,South & Central Asia,multilateral,2013,619627893.74
DE,Middle East,multilateral,2013,271757372.63
DE,Oceania,multilateral,2013,34301180.65
DE,Unspecified,multilateral,2013,301157883.31
GR,Europe,multilateral,2013,57059823.19
GR,North Africa,multilateral,2013,15690290.26
GR,Sub-Saharan Africa,multilateral,2013,56979326.98
GR,North & Central America,multilateral,2013,7272603.04
GR,South America,multilateral,2013,5170262.40
GR,Far East Asia,multilateral,2013,4572561.65
GR,South & Central Asia,multilateral,2013,15454551.22
GR,Middle East,multilateral,2013,14919630.57
GR,Oceania,multilateral,2013,1101111.12
GR,Unspecified,multilateral,2013,15343542.44
IS,Europe,multilateral,2013,95945.67
IS,North Africa,multilateral,2013,80074.46
IS,Sub-Saharan Africa,multilateral,2013,2318994.92
IS,North & Central America,multilateral,2013,124306.35
IS,South America,multilateral,2013,69856.79
IS,Far East Asia,multilateral,2013,420609.62
IS,South & Central Asia,multilateral,2013,930383.03
IS,Middle East,multilateral,2013,450835.59
IS,Oceania,multilateral,2013,34922.25
IS,Unspecified,multilateral,2013,669403.00
IE,Europe,multilateral,2013,43516103.46
IE,North Africa,multilateral,2013,13596786.49
IE,Sub-Saharan Africa,multilateral,2013,106612515.22
IE,North & Central America,multilateral,2013,9880362.87
IE,South America,multilateral,2013,6226626.22
IE,Far East Asia,multilateral,2013,15760182.89
IE,South & Central Asia,multilateral,2013,37587228.89
IE,Middle East,multilateral,2013,24034471.07
IE,Oceania,multilateral,2013,1855104.49
IE,Unspecified,multilateral,2013,30682283.06
IT,Europe,multilateral,2013,501538043.14
IT,North Africa,multilateral,2013,140767866.80
IT,Sub-Saharan Africa,multilateral,2013,844750865.01
IT,North & Central America,multilateral,2013,118554631.66
IT,South America,multilateral,2013,72685866.43
IT,Far East Asia,multilateral,2013,117840822.22
IT,South & Central Asia,multilateral,2013,317749657.25
IT,Middle East,multilateral,2013,153824390.83
IT,Oceania,multilateral,2013,17651860.07
IT,Unspecified,multilateral,2013,159821532.20
JP,Europe,multilateral,2013,55498927.43
JP,North Africa,multilateral,2013,31765960.80
JP,Sub-Saharan Africa,multilateral,2013,1594741690.31
JP,North & Central America,multilateral,2013,253199552.77
JP,South America,multilateral,2013,132991728.89
JP,Far East Asia,multilateral,2013,377270839.92
JP,South & Central Asia,multilateral,2013,796841539.21
JP,Middle East,multilateral,2013,158018014.31
JP,Oceania,multilateral,2013,37811949.98
JP,Unspecified,multilateral,2013,212520510.32
KR,Europe,multilateral,2013,6685794.41
KR,North Africa,multilateral,2013,3716105.95
KR,Sub-Saharan Africa,multilateral,2013,187238995.89
KR,North & Central America,multilateral,2013,29539963.92
KR,South America,multilateral,2013,14956158.21
KR,Far East Asia,multilateral,2013,39432194.48
KR,South & Central Asia,multilateral,2013,93127694.32
KR,Middle East,multilateral,2013,21430177.61
KR,Oceania,multilateral,2013,4267178.06
KR,Unspecified,multilateral,2013,27553885.56
LU,Europe,multilateral,2013,13003813.48
LU,North Africa,multilateral,2013,3944319.63
LU,Sub-Saharan Africa,multilateral,2013,46945742.31
LU,North & Central America,multilateral,2013,3438271.58
LU,South America,multilateral,2013,2169562.95
LU,Far East Asia,multilateral,2013,7392744.86
LU,South & Central Asia,multilateral,2013,17025839.83
LU,Middle East,multilateral,2013,11560867.11
LU,Oceania,multilateral,2013,746189.75
