id,bundle,year,value
gef,cash-loan-equity,2014,1874338
gef,gpgs-nngos,2014,
gef,mixed-project-aid,2014,569629367
gef,technical-ooperation,2014,14245607
gggi,cash-grant,2014,7225854
gggi,gpgs-nngos,2014,948097
gggi,mixed-project-aid,2014,7204488
global-fund,cash-grant,2014,1064052441
global-fund,gpgs-nngos,2014,194707
global-fund,mixed-project-aid,2014,1603894473
global-fund,technical-ooperation,2014,191790041
GR,cash-grant,2014,729884
GR,commodities-food,2014,675511
GR,gpgs-nngos,2014,1041678
GR,non-transfer,2014,42489076
GR,technical-ooperation,2014,2003397
HU,cash-grant,2014,108091
HU,commodities-food,2014,38839
HU,gpgs-nngos,2014,6027407
HU,mixed-project-aid,2014,3385223
HU,non-transfer,2014,19209192
HU,technical-ooperation,2014,508024
ida,cash-grant,2014,1906110279
ida,cash-loan-equity,2014,11502319683
ida,commodities-food,2014,5085915
ida,mixed-project-aid,2014,147784665
ida,non-transfer,2014,9595674
ida,technical-ooperation,2014,58690833
idb-special-fund,cash-grant,2014,204097551
idb-special-fund,cash-loan-equity,2014,869928270
idb-special-fund,mixed-project-aid,2014,4195666
idb-special-fund,non-transfer,2014,680524867
idb-special-fund,technical-ooperation,2014,161377871
IE,cash-grant,2014,324792410
IE,commodities-food,2014,24021163
IE,gpgs-nngos,2014,56473708
IE,mixed-project-aid,2014,39886215
IE,non-transfer,2014,41008828
IE,technical-ooperation,2014,15341866
ifad,cash-grant,2014,
ifad,cash-loan-equity,2014,
ifad,mixed-project-aid,2014,
ifad,non-transfer,2014,
imf-concessional-trust-funds,cash-loan-equity,2014,824239425
IS,cash-grant,2014,10648486
IS,commodities-food,2014,369231
IS,gpgs-nngos,2014,5493102
IS,mixed-project-aid,2014,3461877
IS,non-transfer,2014,4677892
IS,technical-ooperation,2014,2603427
islamic-dev-bank,cash-loan-equity,2014,243584836
islamic-dev-bank,technical-ooperation,2014,
IT,cash-grant,2014,184281996
IT,cash-loan-equity,2014,44904225
IT,commodities-food,2014,8436845
IT,gpgs-nngos,2014,71197993
IT,mixed-project-aid,2014,110059937
IT,non-transfer,2014,868954841
IT,technical-ooperation,2014,96484409
JP,cash-grant,2014,1387351500
JP,cash-loan-equity,2014,9672322383
JP,commodities-food,2014,529386749
JP,gpgs-nngos,2014,227642327
JP,mixed-project-aid,2014,1003056875
JP,non-transfer,2014,1095136813
JP,technical-ooperation,2014,2421377553
KR,cash-grant,2014,113600190
KR,cash-loan-equity,2014,546883551
KR,gpgs-nngos,2014,39818476
KR,mixed-project-aid,2014,180795093
KR,non-transfer,2014,130788026
KR,technical-ooperation,2014,349550301
KW,cash-grant,2014,963768
KW,cash-loan-equity,2014,357738884
KW,commodities-food,2014,1443081
KW,mixed-project-aid,2014,180760438
KW,technical-ooperation,2014,3831291
KZ,cash-grant,2014,
KZ,commodities-food,2014,
KZ,gpgs-nngos,2014,
KZ,mixed-project-aid,2014,
LT,cash-grant,2014,660946
LT,commodities-food,2014,33563
LT,gpgs-nngos,2014,1157347
LT,mixed-project-aid,2014,511357
LT,non-transfer,2014,3111830
LT,technical-ooperation,2014,584137
LU,cash-grant,2014,76324960
LU,commodities-food,2014,2839530
LU,gpgs-nngos,2014,28844484
LU,mixed-project-aid,2014,118598483
LU,non-transfer,2014,25948902
LU,technical-ooperation,2014,32983806
NL,cash-grant,2014,1369797435
NL,cash-loan-equity,2014,
NL,commodities-food,2014,85204549
NL,gpgs-nngos,2014,337043929
NL,mixed-project-aid,2014,548469735
NL,non-transfer,2014,1213882964
NL,technical-ooperation,2014,409316388
NO,cash-grant,2014,1200604886
NO,commodities-food,2014,59169060
NO,gpgs-nngos,2014,818535400
NO,mixed-project-aid,2014,1093182563
NO,non-transfer,2014,635783483
NO,technical-ooperation,2014,302482322
nordic-dev-fund,cash-grant,2014,3285707
nordic-dev-fund,cash-loan-equity,2014,8138354
nordic-dev-fund,mixed-project-aid,2014,36795152
nordic-dev-fund,non-transfer,2014,913856
NZ,cash-grant,2014,128135368
NZ,commodities-food,2014,925214
NZ,gpgs-nngos,2014,6635209
NZ,mixed-project-aid,2014,92228846
NZ,non-transfer,2014,99823689
NZ,technical-ooperation,2014,54064488
ofid,cash-grant,2014,5208024
ofid,cash-loan-equity,2014,419245939
ofid,commodities-food,2014,1634448
ofid,gpgs-nngos,2014,21744
ofid,mixed-project-aid,2014,17215431
ofid,non-transfer,2014,11671348
ofid,technical-ooperation,2014,925680
osce,cash-grant,2014,11242376
osce,mixed-project-aid,2014,118036684
PL,cash-grant,2014,5490585
PL,cash-loan-equity,2014,36508707
PL,gpgs-nngos,2014,777612
PL,mixed-project-aid,2014,16359623
PL,non-transfer,2014,29496537
PL,technical-ooperation,2014,10965953
PT,cash-grant,2014,2570766
PT,cash-loan-equity,2014,146600882
PT,commodities-food,2014,2309116
PT,gpgs-nngos,2014,648616
PT,mixed-project-aid,2014,27461432
PT,non-transfer,2014,45058658
PT,technical-ooperation,2014,48125140
RO,cash-grant,2014,41521468
RO,gpgs-nngos,2014,95260
RO,mixed-project-aid,2014,2412398
RO,non-transfer,2014,23279161
RO,technical-ooperation,2014,2026659
SE,cash-grant,2014,1247239377
SE,cash-loan-equity,2014,57614985
SE,commodities-food,2014,864788
SE,gpgs-nngos,2014,604698058
SE,mixed-project-aid,2014,521734003
SE,non-transfer,2014,1397036465
SE,technical-ooperation,2014,536957740
SI,cash-grant,2014,1336470
SI,commodities-food,2014,37925
SI,gpgs-nngos,2014,796018
SI,mixed-project-aid,2014,3383787
SI,non-transfer,2014,10634133
SI,technical-ooperation,2014,3069943
SK,cash-grant,2014,1386611
SK,commodities-food,2014,17930
SK,gpgs-nngos,2014,130596
SK,mixed-project-aid,2014,2760428
SK,non-transfer,2014,5382683
SK,technical-ooperation,2014,6115053
TL,cash-grant,2014,
TL,mixed-project-aid,2014,
unaids,cash-grant,2014,14038435
unaids,commodities-food,2014,18028461
unaids,mixed-project-aid,2014,204355586
undp,cash-grant,2014,14564254
undp,commodities-food,2014,155778
undp,gpgs-nngos,2014,310509
undp,mixed-project-aid,2014,435724959
undp,non-transfer,2014,932385
undp,technical-ooperation,2014,6916822
unece,cash-grant,2014,2262562
unece,mixed-project-aid,2014,11606353
unece,technical-ooperation,2014,7070
unfpa,cash-grant,2014,130824
unfpa,mixed-project-aid,2014,336671325
unhcr,mixed-project-aid,2014,339803897
unhcr,non-transfer,2014,135753319
unicef,cash-grant,2014,4926064
unicef,commodities-food,2014,7163561
unicef,gpgs-nngos,2014,759338
unicef,mixed-project-aid,2014,1005592463
unicef,non-transfer,2014,306188643
unicef,technical-ooperation,2014,5117162
unpbf,cash-grant,2014,6048
unpbf,mixed-project-aid,2014,62716832
unpbf,technical-ooperation,2014,1675276
unrwa,mixed-project-aid,2014,532209811
unrwa,non-transfer,2014,141480714
US,cash-grant,2014,4521649175
US,cash-loan-equity,2014,
US,commodities-food,2014,2620761753
US,gpgs-nngos,2014,2564921781
US,mixed-project-aid,2014,12726948416
US,non-transfer,2014,3194097795
US,technical-ooperation,2014,1724990336
wfp,commodities-food,2014,187255643
wfp,mixed-project-aid,2014,118427699
wfp,technical-ooperation,2014,218610
who,commodities-food,2014,10631966
who,mixed-project-aid,2014,456288402
