id,year,destination-institution-type,creditor-type,creditor-institution,financing-type,value
AR,2000,ppg,private,private,other-private,0
AT,2000,png,private,private,bonds,
AT,2000,png,private,private,commercial-banking,
AT,2000,ppg,official,bilateral,concessional,
AT,2000,ppg,official,bilateral,non-concessional,
AT,2000,ppg,official,multilateral,concessional,
AT,2000,ppg,official,multilateral,non-concessional,
AT,2000,ppg,private,private,bonds,
AT,2000,ppg,private,private,commercial-banking,
AT,2000,ppg,private,private,other-private,
AU,2000,png,private,private,bonds,
AU,2000,png,private,private,commercial-banking,
AU,2000,ppg,official,bilateral,concessional,
AU,2000,ppg,official,bilateral,non-concessional,
AU,2000,ppg,official,multilateral,concessional,
AU,2000,ppg,official,multilateral,non-concessional,
AU,2000,ppg,private,private,bonds,
AU,2000,ppg,private,private,commercial-banking,
AU,2000,ppg,private,private,other-private,
AZ,2000,png,private,private,bonds,0
AZ,2000,png,private,private,commercial-banking,17560848.65
AZ,2000,ppg,official,bilateral,concessional,283168684.5
AZ,2000,ppg,official,bilateral,non-concessional,213542960.5
AZ,2000,ppg,official,multilateral,concessional,106708129.4
AZ,2000,ppg,official,multilateral,non-concessional,42872670.73
AZ,2000,ppg,private,private,bonds,0
AZ,2000,ppg,private,private,commercial-banking,176172308.9
AZ,2000,ppg,private,private,other-private,10614430.71
BA,2000,png,private,private,bonds,0
BA,2000,png,private,private,commercial-banking,9548757.552
BA,2000,ppg,official,bilateral,concessional,15720313.84
BA,2000,ppg,official,bilateral,non-concessional,0
BA,2000,ppg,official,multilateral,concessional,128253041.6
BA,2000,ppg,official,multilateral,non-concessional,58679388.67
BA,2000,ppg,private,private,bonds,0
BA,2000,ppg,private,private,commercial-banking,0
BA,2000,ppg,private,private,other-private,0
BB,2000,png,private,private,bonds,
BB,2000,png,private,private,commercial-banking,
BB,2000,ppg,official,bilateral,concessional,
BB,2000,ppg,official,bilateral,non-concessional,
BB,2000,ppg,official,multilateral,concessional,
BB,2000,ppg,official,multilateral,non-concessional,
BB,2000,ppg,private,private,bonds,
BB,2000,ppg,private,private,commercial-banking,
BB,2000,ppg,private,private,other-private,
BD,2000,png,private,private,bonds,0
BD,2000,png,private,private,commercial-banking,0
BD,2000,ppg,official,bilateral,concessional,199407095.5
BD,2000,ppg,official,bilateral,non-concessional,7002974.541
BD,2000,ppg,official,multilateral,concessional,926985752.3
BD,2000,ppg,official,multilateral,non-concessional,0
BD,2000,ppg,private,private,bonds,0
BD,2000,ppg,private,private,commercial-banking,20716359.98
BD,2000,ppg,private,private,other-private,74593738.19
BE,2000,png,private,private,bonds,
BE,2000,png,private,private,commercial-banking,
BE,2000,ppg,official,bilateral,concessional,
BE,2000,ppg,official,bilateral,non-concessional,
BE,2000,ppg,official,multilateral,concessional,
BE,2000,ppg,official,multilateral,non-concessional,
BE,2000,ppg,private,private,bonds,
BE,2000,ppg,private,private,commercial-banking,
BE,2000,ppg,private,private,other-private,
BF,2000,png,private,private,bonds,0
BF,2000,png,private,private,commercial-banking,0
BF,2000,ppg,official,bilateral,concessional,31518944.69
BF,2000,ppg,official,bilateral,non-concessional,0
BF,2000,ppg,official,multilateral,concessional,150358519.2
BF,2000,ppg,official,multilateral,non-concessional,2422827.226
BF,2000,ppg,private,private,bonds,0
BF,2000,ppg,private,private,commercial-banking,0
BF,2000,ppg,private,private,other-private,0
BG,2000,png,private,private,bonds,0
BG,2000,png,private,private,commercial-banking,811072623.3
BG,2000,ppg,official,bilateral,concessional,581691312.8
BG,2000,ppg,official,bilateral,non-concessional,0
BG,2000,ppg,official,multilateral,concessional,2795186.795
BG,2000,ppg,official,multilateral,non-concessional,401575169.6
BG,2000,ppg,private,private,bonds,0
BG,2000,ppg,private,private,commercial-banking,62617360.49
BG,2000,ppg,private,private,other-private,0
BH,2000,png,private,private,bonds,
BH,2000,png,private,private,commercial-banking,
BH,2000,ppg,official,bilateral,concessional,
BH,2000,ppg,official,bilateral,non-concessional,
BH,2000,ppg,official,multilateral,concessional,
BH,2000,ppg,official,multilateral,non-concessional,
BH,2000,ppg,private,private,bonds,
BH,2000,ppg,private,private,commercial-banking,
BH,2000,ppg,private,private,other-private,
BI,2000,png,private,private,bonds,0
BI,2000,png,private,private,commercial-banking,0
BI,2000,ppg,official,bilateral,concessional,0
BI,2000,ppg,official,bilateral,non-concessional,0
BI,2000,ppg,official,multilateral,concessional,72221466.64
BI,2000,ppg,official,multilateral,non-concessional,0
BI,2000,ppg,private,private,bonds,0
BI,2000,ppg,private,private,commercial-banking,0
BI,2000,ppg,private,private,other-private,5757467.969
BJ,2000,png,private,private,bonds,0
BJ,2000,png,private,private,commercial-banking,0
BJ,2000,ppg,official,bilateral,concessional,23332867.49
BJ,2000,ppg,official,bilateral,non-concessional,0
BJ,2000,ppg,official,multilateral,concessional,54654140.4
BJ,2000,ppg,official,multilateral,non-concessional,0
BJ,2000,ppg,private,private,bonds,0
BJ,2000,ppg,private,private,commercial-banking,0
BJ,2000,ppg,private,private,other-private,0
BN,2000,png,private,private,bonds,
BN,2000,png,private,private,commercial-banking,
BN,2000,ppg,official,bilateral,concessional,
BN,2000,ppg,official,bilateral,non-concessional,
BN,2000,ppg,official,multilateral,concessional,
BN,2000,ppg,official,multilateral,non-concessional,
BN,2000,ppg,private,private,bonds,
BN,2000,ppg,private,private,commercial-banking,
BN,2000,ppg,private,private,other-private,
BO,2000,png,private,private,bonds,0
BO,2000,png,private,private,commercial-banking,934901175.2
BO,2000,ppg,official,bilateral,concessional,42688730.83
BO,2000,ppg,official,bilateral,non-concessional,6892492.93
BO,2000,ppg,official,multilateral,concessional,303928588.9
BO,2000,ppg,official,multilateral,non-concessional,173132953.2
BO,2000,ppg,private,private,bonds,0
BO,2000,ppg,private,private,commercial-banking,0
BO,2000,ppg,private,private,other-private,25467481.84
BR,2000,png,private,private,bonds,6800369338
BR,2000,png,private,private,commercial-banking,50729460931
BR,2000,ppg,official,bilateral,concessional,1242170371
BR,2000,ppg,official,bilateral,non-concessional,563338698.1
BR,2000,ppg,official,multilateral,concessional,44751348.13
BR,2000,ppg,official,multilateral,non-concessional,10572432950
BR,2000,ppg,private,private,bonds,25533997162
BR,2000,ppg,private,private,commercial-banking,8321806783
BR,2000,ppg,private,private,other-private,55246425.25
BS,2000,png,private,private,bonds,
BS,2000,png,private,private,commercial-banking,
BS,2000,ppg,official,bilateral,concessional,
BS,2000,ppg,official,bilateral,non-concessional,
BS,2000,ppg,official,multilateral,concessional,
BS,2000,ppg,official,multilateral,non-concessional,
BS,2000,ppg,private,private,bonds,
BS,2000,ppg,private,private,commercial-banking,
BS,2000,ppg,private,private,other-private,
BT,2000,png,private,private,bonds,0
BT,2000,png,private,private,commercial-banking,0
BT,2000,ppg,official,bilateral,concessional,1386022.615
BT,2000,ppg,official,bilateral,non-concessional,35285494.21
BT,2000,ppg,official,multilateral,concessional,18740744.36
BT,2000,ppg,official,multilateral,non-concessional,0
BT,2000,ppg,private,private,bonds,0
BT,2000,ppg,private,private,commercial-banking,0
BT,2000,ppg,private,private,other-private,0
BW,2000,png,private,private,bonds,0
BW,2000,png,private,private,commercial-banking,0
BW,2000,ppg,official,bilateral,concessional,25502081.33
BW,2000,ppg,official,bilateral,non-concessional,0
BW,2000,ppg,official,multilateral,concessional,10147009.67
BW,2000,ppg,official,multilateral,non-concessional,2109358.441
BW,2000,ppg,private,private,bonds,0
BW,2000,ppg,private,private,commercial-banking,5867625.399
BW,2000,ppg,private,private,other-private,0
BY,2000,png,private,private,bonds,0
BY,2000,png,private,private,commercial-banking,241470244.7
BY,2000,ppg,official,bilateral,concessional,0
BY,2000,ppg,official,bilateral,non-concessional,0
BY,2000,ppg,official,multilateral,concessional,0
BY,2000,ppg,official,multilateral,non-concessional,30689303.78
BY,2000,ppg,private,private,bonds,0
BY,2000,ppg,private,private,commercial-banking,108926283.2
BY,2000,ppg,private,private,other-private,159353218.2
BZ,2000,png,private,private,bonds,0
BZ,2000,png,private,private,commercial-banking,0
BZ,2000,ppg,official,bilateral,concessional,1809778.527
BZ,2000,ppg,official,bilateral,non-concessional,3362403.537
BZ,2000,ppg,official,multilateral,concessional,4691838.702
BZ,2000,ppg,official,multilateral,non-concessional,22369930.03
BZ,2000,ppg,private,private,bonds,104335187.7
BZ,2000,ppg,private,private,commercial-banking,88242472.05
BZ,2000,ppg,private,private,other-private,11849682.6
CA,2000,png,private,private,bonds,
CA,2000,png,private,private,commercial-banking,
CA,2000,ppg,official,bilateral,concessional,
CA,2000,ppg,official,bilateral,non-concessional,
CA,2000,ppg,official,multilateral,concessional,
CA,2000,ppg,official,multilateral,non-concessional,
CA,2000,ppg,private,private,bonds,
CA,2000,ppg,private,private,commercial-banking,
CA,2000,ppg,private,private,other-private,
CD,2000,png,private,private,bonds,
CD,2000,png,private,private,commercial-banking,
CD,2000,ppg,official,bilateral,concessional,
CD,2000,ppg,official,bilateral,non-concessional,
CD,2000,ppg,official,multilateral,concessional,
CD,2000,ppg,official,multilateral,non-concessional,
CD,2000,ppg,private,private,bonds,
CD,2000,ppg,private,private,commercial-banking,
CD,2000,ppg,private,private,other-private,
CF,2000,png,private,private,bonds,0
CF,2000,png,private,private,commercial-banking,0
CF,2000,ppg,official,bilateral,concessional,0
CF,2000,ppg,official,bilateral,non-concessional,0
CF,2000,ppg,official,multilateral,concessional,23036233.18
CF,2000,ppg,official,multilateral,non-concessional,0
CF,2000,ppg,private,private,bonds,0
CF,2000,ppg,private,private,commercial-banking,0
CF,2000,ppg,private,private,other-private,0
CG,2000,png,private,private,bonds,
CG,2000,png,private,private,commercial-banking,
CG,2000,ppg,official,bilateral,concessional,
CG,2000,ppg,official,bilateral,non-concessional,
CG,2000,ppg,official,multilateral,concessional,
CG,2000,ppg,official,multilateral,non-concessional,
CG,2000,ppg,private,private,bonds,
CG,2000,ppg,private,private,commercial-banking,
CG,2000,ppg,private,private,other-private,
CH,2000,png,private,private,bonds,
CH,2000,png,private,private,commercial-banking,
CH,2000,ppg,official,bilateral,concessional,
CH,2000,ppg,official,bilateral,non-concessional,
CH,2000,ppg,official,multilateral,concessional,
CH,2000,ppg,official,multilateral,non-concessional,
CH,2000,ppg,private,private,bonds,
CH,2000,ppg,private,private,commercial-banking,
CH,2000,ppg,private,private,other-private,
CI,2000,png,private,private,bonds,
CI,2000,png,private,private,commercial-banking,
CI,2000,ppg,official,bilateral,concessional,
CI,2000,ppg,official,bilateral,non-concessional,
CI,2000,ppg,official,multilateral,concessional,
CI,2000,ppg,official,multilateral,non-concessional,
CI,2000,ppg,private,private,bonds,
CI,2000,ppg,private,private,commercial-banking,
CI,2000,ppg,private,private,other-private,
CL,2000,png,private,private,bonds,
CL,2000,png,private,private,commercial-banking,
CL,2000,ppg,official,bilateral,concessional,
CL,2000,ppg,official,bilateral,non-concessional,
CL,2000,ppg,official,multilateral,concessional,
CL,2000,ppg,official,multilateral,non-concessional,
CL,2000,ppg,private,private,bonds,
CL,2000,ppg,private,private,commercial-banking,
CL,2000,ppg,private,private,other-private,
CM,2000,png,private,private,bonds,0
CM,2000,png,private,private,commercial-banking,72788577.25
CM,2000,ppg,official,bilateral,concessional,238344464.2
CM,2000,ppg,official,bilateral,non-concessional,12472534.46
CM,2000,ppg,official,multilateral,concessional,197124627.6
CM,2000,ppg,official,multilateral,non-concessional,19559201.77
CM,2000,ppg,private,private,bonds,0
CM,2000,ppg,private,private,commercial-banking,0
CM,2000,ppg,private,private,other-private,0
CN,2000,png,private,private,bonds,840017823.2
CN,2000,png,private,private,commercial-banking,14413844290
CN,2000,ppg,official,bilateral,concessional,4048306511
CN,2000,ppg,official,bilateral,non-concessional,1308616381
CN,2000,ppg,official,multilateral,concessional,913711079.1
CN,2000,ppg,official,multilateral,non-concessional,6201024494
CN,2000,ppg,private,private,bonds,1826500293
CN,2000,ppg,private,private,commercial-banking,282532456.2
CN,2000,ppg,private,private,other-private,11101307236
CO,2000,png,private,private,bonds,0
CO,2000,png,private,private,commercial-banking,1938897201
CO,2000,ppg,official,bilateral,concessional,217784344
CO,2000,ppg,official,bilateral,non-concessional,85194.61675
CO,2000,ppg,official,multilateral,concessional,11005799.31
CO,2000,ppg,official,multilateral,non-concessional,1138700038
CO,2000,ppg,private,private,bonds,4045248906
CO,2000,ppg,private,private,commercial-banking,1052265615
CO,2000,ppg,private,private,other-private,10857829.71
CR,2000,png,private,private,bonds,0
CR,2000,png,private,private,commercial-banking,15223694.64
CR,2000,ppg,official,bilateral,concessional,17201083.42
CR,2000,ppg,official,bilateral,non-concessional,183210398.9
CR,2000,ppg,official,multilateral,concessional,17380384.72
CR,2000,ppg,official,multilateral,non-concessional,203836813.6
CR,2000,ppg,private,private,bonds,845760813.4
CR,2000,ppg,private,private,commercial-banking,0
CR,2000,ppg,private,private,other-private,314623.0226
CV,2000,png,private,private,bonds,0
CV,2000,png,private,private,commercial-banking,0
CV,2000,ppg,official,bilateral,concessional,9390693.651
CV,2000,ppg,official,bilateral,non-concessional,0
CV,2000,ppg,official,multilateral,concessional,41774647.16
CV,2000,ppg,official,multilateral,non-concessional,0
CV,2000,ppg,private,private,bonds,0
CV,2000,ppg,private,private,commercial-banking,0
CV,2000,ppg,private,private,other-private,0
CY,2000,png,private,private,bonds,
CY,2000,png,private,private,commercial-banking,
CY,2000,ppg,official,bilateral,concessional,
CY,2000,ppg,official,bilateral,non-concessional,
CY,2000,ppg,official,multilateral,concessional,
CY,2000,ppg,official,multilateral,non-concessional,
CY,2000,ppg,private,private,bonds,
CY,2000,ppg,private,private,commercial-banking,
CY,2000,ppg,private,private,other-private,
CZ,2000,png,private,private,bonds,
CZ,2000,png,private,private,commercial-banking,
CZ,2000,ppg,official,bilateral,concessional,
CZ,2000,ppg,official,bilateral,non-concessional,
CZ,2000,ppg,official,multilateral,concessional,
CZ,2000,ppg,official,multilateral,non-concessional,
CZ,2000,ppg,private,private,bonds,
CZ,2000,ppg,private,private,commercial-banking,
CZ,2000,ppg,private,private,other-private,
DE,2000,png,private,private,bonds,
DE,2000,png,private,private,commercial-banking,
DE,2000,ppg,official,bilateral,concessional,
DE,2000,ppg,official,bilateral,non-concessional,
DE,2000,ppg,official,multilateral,concessional,
DE,2000,ppg,official,multilateral,non-concessional,
DE,2000,ppg,private,private,bonds,
DE,2000,ppg,private,private,commercial-banking,
DE,2000,ppg,private,private,other-private,
DJ,2000,png,private,private,bonds,0
DJ,2000,png,private,private,commercial-banking,0
DJ,2000,ppg,official,bilateral,concessional,0
DJ,2000,ppg,official,bilateral,non-concessional,0
DJ,2000,ppg,official,multilateral,concessional,11801204.46
DJ,2000,ppg,official,multilateral,non-concessional,0
DJ,2000,ppg,private,private,bonds,0
DJ,2000,ppg,private,private,commercial-banking,0
DJ,2000,ppg,private,private,other-private,0
DK,2000,png,private,private,bonds,
DK,2000,png,private,private,commercial-banking,
DK,2000,ppg,official,bilateral,concessional,
DK,2000,ppg,official,bilateral,non-concessional,
DK,2000,ppg,official,multilateral,concessional,
DK,2000,ppg,official,multilateral,non-concessional,
DK,2000,ppg,private,private,bonds,
DK,2000,ppg,private,private,commercial-banking,
DK,2000,ppg,private,private,other-private,
DM,2000,png,private,private,bonds,0
DM,2000,png,private,private,commercial-banking,0
DM,2000,ppg,official,bilateral,concessional,6685567.734
DM,2000,ppg,official,bilateral,non-concessional,854108.5999
DM,2000,ppg,official,multilateral,concessional,16491779.82
DM,2000,ppg,official,multilateral,non-concessional,6446797.457
DM,2000,ppg,private,private,bonds,36253880.89
DM,2000,ppg,private,private,commercial-banking,0
DM,2000,ppg,private,private,other-private,0
DO,2000,png,private,private,bonds,0
DO,2000,png,private,private,commercial-banking,0
DO,2000,ppg,official,bilateral,concessional,38493204.35
DO,2000,ppg,official,bilateral,non-concessional,34794805.78
DO,2000,ppg,official,multilateral,concessional,19374464.48
DO,2000,ppg,official,multilateral,non-concessional,128870417.5
DO,2000,ppg,private,private,bonds,0
DO,2000,ppg,private,private,commercial-banking,144873160.5
DO,2000,ppg,private,private,other-private,97537501.98
DZ,2000,png,private,private,bonds,0
DZ,2000,png,private,private,commercial-banking,0
DZ,2000,ppg,official,bilateral,concessional,374668628.8
DZ,2000,ppg,official,bilateral,non-concessional,695543429.1
DZ,2000,ppg,official,multilateral,concessional,91837843.61
DZ,2000,ppg,official,multilateral,non-concessional,737658662.8
DZ,2000,ppg,private,private,bonds,0
DZ,2000,ppg,private,private,commercial-banking,1155731.427
DZ,2000,ppg,private,private,other-private,997282075.5
EC,2000,png,private,private,bonds,0
EC,2000,png,private,private,commercial-banking,1072314068
EC,2000,ppg,official,bilateral,concessional,215561823.6
EC,2000,ppg,official,bilateral,non-concessional,2512585.442
EC,2000,ppg,official,multilateral,concessional,45507902.51
EC,2000,ppg,official,multilateral,non-concessional,1230998048
EC,2000,ppg,private,private,bonds,0
EC,2000,ppg,private,private,commercial-banking,198792496.4
EC,2000,ppg,private,private,other-private,0
EE,2000,png,private,private,bonds,
EE,2000,png,private,private,commercial-banking,
EE,2000,ppg,official,bilateral,concessional,
EE,2000,ppg,official,bilateral,non-concessional,
EE,2000,ppg,official,multilateral,concessional,
EE,2000,ppg,official,multilateral,non-concessional,
EE,2000,ppg,private,private,bonds,
EE,2000,ppg,private,private,commercial-banking,
EE,2000,ppg,private,private,other-private,
EG,2000,png,private,private,bonds,
EG,2000,png,private,private,commercial-banking,
EG,2000,ppg,official,bilateral,concessional,
EG,2000,ppg,official,bilateral,non-concessional,
EG,2000,ppg,official,multilateral,concessional,
EG,2000,ppg,official,multilateral,non-concessional,
EG,2000,ppg,private,private,bonds,
EG,2000,ppg,private,private,commercial-banking,
EG,2000,ppg,private,private,other-private,
ER,2000,png,private,private,bonds,0
ER,2000,png,private,private,commercial-banking,0
ER,2000,ppg,official,bilateral,concessional,39744605.61
ER,2000,ppg,official,bilateral,non-concessional,0
ER,2000,ppg,official,multilateral,concessional,131524718.9
ER,2000,ppg,official,multilateral,non-concessional,3671756.157
ER,2000,ppg,private,private,bonds,0
ER,2000,ppg,private,private,commercial-banking,0
ER,2000,ppg,private,private,other-private,0
ES,2000,png,private,private,bonds,
ES,2000,png,private,private,commercial-banking,
ES,2000,ppg,official,bilateral,concessional,
ES,2000,ppg,official,bilateral,non-concessional,
ES,2000,ppg,official,multilateral,concessional,
ES,2000,ppg,official,multilateral,non-concessional,
ES,2000,ppg,private,private,bonds,
ES,2000,ppg,private,private,commercial-banking,
ES,2000,ppg,private,private,other-private,
ET,2000,png,private,private,bonds,0
ET,2000,png,private,private,commercial-banking,0
ET,2000,ppg,official,bilateral,concessional,6106979.053
ET,2000,ppg,official,bilateral,non-concessional,0
ET,2000,ppg,official,multilateral,concessional,334960390.6
ET,2000,ppg,official,multilateral,non-concessional,8400421.405
ET,2000,ppg,private,private,bonds,0
ET,2000,ppg,private,private,commercial-banking,0
ET,2000,ppg,private,private,other-private,2884379.03
FI,2000,png,private,private,bonds,
FI,2000,png,private,private,commercial-banking,
FI,2000,ppg,official,bilateral,concessional,
FI,2000,ppg,official,bilateral,non-concessional,
FI,2000,ppg,official,multilateral,concessional,
FI,2000,ppg,official,multilateral,non-concessional,
FI,2000,ppg,private,private,bonds,
FI,2000,ppg,private,private,commercial-banking,
FI,2000,ppg,private,private,other-private,
FJ,2000,png,private,private,bonds,0
FJ,2000,png,private,private,commercial-banking,0
FJ,2000,ppg,official,bilateral,concessional,2815018.867
FJ,2000,ppg,official,bilateral,non-concessional,0
FJ,2000,ppg,official,multilateral,concessional,0
FJ,2000,ppg,official,multilateral,non-concessional,10498298.42
FJ,2000,ppg,private,private,bonds,0
FJ,2000,ppg,private,private,commercial-banking,0
FJ,2000,ppg,private,private,other-private,0
FM,2000,png,private,private,bonds,
FM,2000,png,private,private,commercial-banking,
FM,2000,ppg,official,bilateral,concessional,
FM,2000,ppg,official,bilateral,non-concessional,
FM,2000,ppg,official,multilateral,concessional,
FM,2000,ppg,official,multilateral,non-concessional,
FM,2000,ppg,private,private,bonds,
FM,2000,ppg,private,private,commercial-banking,
FM,2000,ppg,private,private,other-private,
FR,2000,png,private,private,bonds,
FR,2000,png,private,private,commercial-banking,
FR,2000,ppg,official,bilateral,concessional,
FR,2000,ppg,official,bilateral,non-concessional,
FR,2000,ppg,official,multilateral,concessional,
FR,2000,ppg,official,multilateral,non-concessional,
FR,2000,ppg,private,private,bonds,
FR,2000,ppg,private,private,commercial-banking,
FR,2000,ppg,private,private,other-private,
GA,2000,png,private,private,bonds,0
GA,2000,png,private,private,commercial-banking,0
GA,2000,ppg,official,bilateral,concessional,6280381.485
GA,2000,ppg,official,bilateral,non-concessional,0
GA,2000,ppg,official,multilateral,concessional,4820838.209
GA,2000,ppg,official,multilateral,non-concessional,22373699.28
GA,2000,ppg,private,private,bonds,0
GA,2000,ppg,private,private,commercial-banking,53402413.51
GA,2000,ppg,private,private,other-private,0
GB,2000,png,private,private,bonds,
GB,2000,png,private,private,commercial-banking,
GB,2000,ppg,official,bilateral,concessional,
GB,2000,ppg,official,bilateral,non-concessional,
GB,2000,ppg,official,multilateral,concessional,
GB,2000,ppg,official,multilateral,non-concessional,
GB,2000,ppg,private,private,bonds,
GB,2000,ppg,private,private,commercial-banking,
GB,2000,ppg,private,private,other-private,
GD,2000,png,private,private,bonds,0
GD,2000,png,private,private,commercial-banking,0
GD,2000,ppg,official,bilateral,concessional,9379408.179
GD,2000,ppg,official,bilateral,non-concessional,1102850.644
GD,2000,ppg,official,multilateral,concessional,9088162.411
GD,2000,ppg,official,multilateral,non-concessional,6042378.882
GD,2000,ppg,private,private,bonds,34431721.99
GD,2000,ppg,private,private,commercial-banking,38832769.17
GD,2000,ppg,private,private,other-private,1509300.295
GE,2000,png,private,private,bonds,0
GE,2000,png,private,private,commercial-banking,68938967.68
GE,2000,ppg,official,bilateral,concessional,31359632.86
GE,2000,ppg,official,bilateral,non-concessional,0
GE,2000,ppg,official,multilateral,concessional,47991926.64
GE,2000,ppg,official,multilateral,non-concessional,13197904.17
GE,2000,ppg,private,private,bonds,0
GE,2000,ppg,private,private,commercial-banking,0
GE,2000,ppg,private,private,other-private,0
GH,2000,png,private,private,bonds,0
GH,2000,png,private,private,commercial-banking,0
GH,2000,ppg,official,bilateral,concessional,343061758.8
GH,2000,ppg,official,bilateral,non-concessional,108261370.5
GH,2000,ppg,official,multilateral,concessional,843444143
GH,2000,ppg,official,multilateral,non-concessional,4042719.481
GH,2000,ppg,private,private,bonds,0
GH,2000,ppg,private,private,commercial-banking,51302679.61
GH,2000,ppg,private,private,other-private,233802045.3
GM,2000,png,private,private,bonds,
GM,2000,png,private,private,commercial-banking,
GM,2000,ppg,official,bilateral,concessional,
GM,2000,ppg,official,bilateral,non-concessional,
GM,2000,ppg,official,multilateral,concessional,
GM,2000,ppg,official,multilateral,non-concessional,
GM,2000,ppg,private,private,bonds,
GM,2000,ppg,private,private,commercial-banking,
GM,2000,ppg,private,private,other-private,
GN,2000,png,private,private,bonds,0
GN,2000,png,private,private,commercial-banking,0
GN,2000,ppg,official,bilateral,concessional,7190266.562
GN,2000,ppg,official,bilateral,non-concessional,0
GN,2000,ppg,official,multilateral,concessional,74769055.67
GN,2000,ppg,official,multilateral,non-concessional,13913597.65
GN,2000,ppg,private,private,bonds,0
GN,2000,ppg,private,private,commercial-banking,0
GN,2000,ppg,private,private,other-private,0
GQ,2000,png,private,private,bonds,
GQ,2000,png,private,private,commercial-banking,
GQ,2000,ppg,official,bilateral,concessional,
GQ,2000,ppg,official,bilateral,non-concessional,
GQ,2000,ppg,official,multilateral,concessional,
GQ,2000,ppg,official,multilateral,non-concessional,
GQ,2000,ppg,private,private,bonds,
GQ,2000,ppg,private,private,commercial-banking,
GQ,2000,ppg,private,private,other-private,
GR,2000,png,private,private,bonds,
GR,2000,png,private,private,commercial-banking,
GR,2000,ppg,official,bilateral,concessional,
GR,2000,ppg,official,bilateral,non-concessional,
GR,2000,ppg,official,multilateral,concessional,
GR,2000,ppg,official,multilateral,non-concessional,
GR,2000,ppg,private,private,bonds,
GR,2000,ppg,private,private,commercial-banking,
GR,2000,ppg,private,private,other-private,
GT,2000,png,private,private,bonds,0
GT,2000,png,private,private,commercial-banking,0
GT,2000,ppg,official,bilateral,concessional,91631686.35
GT,2000,ppg,official,bilateral,non-concessional,876774.3407
GT,2000,ppg,official,multilateral,concessional,32689654.52
GT,2000,ppg,official,multilateral,non-concessional,259740891.3
GT,2000,ppg,private,private,bonds,0
GT,2000,ppg,private,private,commercial-banking,0
GT,2000,ppg,private,private,other-private,0
GW,2000,png,private,private,bonds,0
GW,2000,png,private,private,commercial-banking,0
GW,2000,ppg,official,bilateral,concessional,0
GW,2000,ppg,official,bilateral,non-concessional,0
GW,2000,ppg,official,multilateral,concessional,25868707.89
GW,2000,ppg,official,multilateral,non-concessional,0
GW,2000,ppg,private,private,bonds,0
GW,2000,ppg,private,private,commercial-banking,0
