"id","destination-institution-type.2000","creditor-type.2000","creditor-institution.2000","financing-type.2000","value.2000","destination-institution-type.2001","creditor-type.2001","creditor-institution.2001","financing-type.2001","value.2001","destination-institution-type.2002","creditor-type.2002","creditor-institution.2002","financing-type.2002","value.2002","destination-institution-type.2003","creditor-type.2003","creditor-institution.2003","financing-type.2003","value.2003","destination-institution-type.2004","creditor-type.2004","creditor-institution.2004","financing-type.2004","value.2004","destination-institution-type.2005","creditor-type.2005","creditor-institution.2005","financing-type.2005","value.2005","destination-institution-type.2006","creditor-type.2006","creditor-institution.2006","financing-type.2006","value.2006","destination-institution-type.2007","creditor-type.2007","creditor-institution.2007","financing-type.2007","value.2007","destination-institution-type.2008","creditor-type.2008","creditor-institution.2008","financing-type.2008","value.2008","destination-institution-type.2009","creditor-type.2009","creditor-institution.2009","financing-type.2009","value.2009","destination-institution-type.2010","creditor-type.2010","creditor-institution.2010","financing-type.2010","value.2010","destination-institution-type.2011","creditor-type.2011","creditor-institution.2011","financing-type.2011","value.2011","destination-institution-type.2012","creditor-type.2012","creditor-institution.2012","financing-type.2012","value.2012","destination-institution-type.2013","creditor-type.2013","creditor-institution.2013","financing-type.2013","value.2013"
"BA","png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0
"BB","png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",
"BD","png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0
"BE","png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",
"BF","png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0
"BG","png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",97345780.63,"png","private","private","bonds",411251381.7,"png","private","private","bonds",379119401.2,"png","private","private","bonds",303719123.6,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",1.5e+08,"png","private","private","bonds",525804902.1
"BH","png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",
"BI","png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0
"BJ","png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0
"BN","png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",
"BO","png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0
"BR","png","private","private","bonds",6800369338,"png","private","private","bonds",8145391077,"png","private","private","bonds",6437797314,"png","private","private","bonds",14924978011,"png","private","private","bonds",13233387531,"png","private","private","bonds",12997643063,"png","private","private","bonds",16357894468,"png","private","private","bonds",19589081216,"png","private","private","bonds",8256945401,"png","private","private","bonds",21159403654,"png","private","private","bonds",32740047382,"png","private","private","bonds",27648669423,"png","private","private","bonds",8821764000,"png","private","private","bonds",4905925968
"BS","png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",
"BT","png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0
"BW","png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",79689000,"png","private","private","bonds",0
"BY","png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0
"BZ","png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0
"CA","png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",
"CD","png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",
"CF","png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0
"CG","png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",
"CH","png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",
"CI","png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",
"CL","png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",
"CM","png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0
"CN","png","private","private","bonds",840017823.2,"png","private","private","bonds",1003725039,"png","private","private","bonds",188784161.8,"png","private","private","bonds",357823784.5,"png","private","private","bonds",1409117970,"png","private","private","bonds",2955073568,"png","private","private","bonds",3321257855,"png","private","private","bonds",1120082101,"png","private","private","bonds",0,"png","private","private","bonds",1173804760,"png","private","private","bonds",13670529191,"png","private","private","bonds",12667552689,"png","private","private","bonds",10903256000,"png","private","private","bonds",24833091589
"CO","png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",370975044.5,"png","private","private","bonds",0,"png","private","private","bonds",298093540,"png","private","private","bonds",689573315.1,"png","private","private","bonds",0,"png","private","private","bonds",2609681002,"png","private","private","bonds",721300816.7,"png","private","private","bonds",2886255942,"png","private","private","bonds",2.6e+09,"png","private","private","bonds",4302518689
"CR","png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0
"CV","png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0
"CY","png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",
"CZ","png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",
"DE","png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",
"DJ","png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0
"DK","png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",
"DM","png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0
"DO","png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",534790593.7,"png","private","private","bonds",494729541,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",5.5e+08,"png","private","private","bonds",0
"DZ","png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0
"EC","png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0
"EE","png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",
"EG","png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",
"ER","png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0
"ES","png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",
"ET","png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0
"FI","png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",
"FJ","png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0
"FM","png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",
"FR","png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",
"GA","png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0
"GB","png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",
"GD","png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0
"GE","png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",7.5e+08,"png","private","private","bonds",152160956.3
"GH","png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0
"GM","png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",
"GN","png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0
"GQ","png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",
"GR","png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",
"GT","png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",79336390.47,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",5804084.719,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",154029694.6,"png","private","private","bonds",2e+08,"png","private","private","bonds",0
"GW","png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0
"GY","png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0,"png","private","private","bonds",0
"HK","png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",,"png","private","private","bonds",
