"id","year","out-oda-gross","capital-repayment","interest-repayment"
"LT",2003,2530000,0,0
"MT",2003,0,0,0
"RO",2003,0,0,0
"RU",2003,0,0,0
"SA",2003,3355970000,175140000,0
"TW",2003,0,0,0
"TH",2003,0,0,0
"TR",2003,112800000,0,0
"AE",2003,1294550000,62170000,0
"AU",2004,2728330000,0,0
"AT",2004,841850000,33090000,1560000
"BE",2004,1878080000,96540000,4440000
"CA",2004,4105990000,48860000,2780000
"CZ",2004,152190000,0,0
"DK",2004,2629800000,78850000,14720000
"FI",2004,823970000,10450000,690000
"FR",2004,11358910000,1321720000,430470000
"DE",2004,10049520000,1588420000,423820000
"GR",2004,388650000,0,0
"IS",2004,19390000,0,0
"IE",2004,630550000,0,0
"IT",2004,3266930000,341800000,0
"JP",2004,19813830000,8884640000,2940870000
"KR",2004,519780000,20290000,16620000
"LU",2004,329400000,0,0
"NL",2004,5511460000,634980000,51310000
"NZ",2004,313420000,0,0
"NO",2004,3810050000,9680000,0
"PL",2004,163660000,0,0
"PT",2004,1197040000,5290000,1120000
"SK",2004,43460000,0,0
"SI",2004,0,0,0
"ES",2004,3195060000,294090000,23240000
"SE",2004,3386450000,0,0
"CH",2004,2234110000,14580000,0
"GB",2004,8593650000,296310000,2100000
"US",2004,24260190000,1046800000,445650000
"BG",2004,0,0,0
"HR",2004,0,0,0
"CY",2004,0,0,0
"EE",2004,7300000,0,0
"HU",2004,83530000,0,0
"IL",2004,114620000,0,0
"KW",2004,576710000,380860000,0
"LV",2004,10140000,0,0
"LI",2004,0,0,0
"LT",2004,11030000,0,0
"MT",2004,0,0,0
"RO",2004,0,0,0
"RU",2004,0,0,0
"SA",2004,2248710000,138300000,0
"TW",2004,539090000,26770000,0
"TH",2004,0,0,0
"TR",2004,486350000,0,0
"AE",2004,645670000,55650000,0
"AU",2005,2902570000,0,0
"AT",2005,1854650000,14010000,1020000
"BE",2005,2387590000,53660000,1700000
"CA",2005,5319220000,28570000,43010000
"CZ",2005,177730000,0,0
"DK",2005,2650060000,79330000,4220000
"FI",2005,1080550000,6490000,330000
"FR",2005,13144710000,1493610000,0
"DE",2005,12935170000,1687570000,325700000
"GR",2005,456840000,210000,0
"IS",2005,21650000,0,0
"IE",2005,728860000,0,0
"IT",2005,6141700000,202250000,0
"JP",2005,23523240000,6940790000,2681930000
"KR",2005,808750000,20200000,21120000
"LU",2005,342030000,0,0
"NL",2005,5827930000,38530000,11210000
"NZ",2005,372180000,0,0
"NO",2005,4237220000,0,0
"PL",2005,246350000,0,0
"PT",2005,431740000,6750000,1010000
"SK",2005,82360000,0,0
"SI",2005,41160000,0,0
"ES",2005,4011730000,569650000,152510000
"SE",2005,4217570000,0,0
"CH",2005,2554150000,9570000,0
"GB",2005,11538090000,359310000,0
"US",2005,32804980000,919190000,334610000
"BG",2005,0,0,0
"HR",2005,0,0,0
"CY",2005,17870000,0,0
"EE",2005,13420000,0,0
"HU",2005,114910000,0,0
"IL",2005,129350000,0,0
"KW",2005,660220000,401200000,0
"LV",2005,12630000,0,0
"LI",2005,0,0,0
"LT",2005,18400000,0,0
"MT",2005,0,0,0
"RO",2005,0,0,0
"RU",2005,0,0,0
"SA",2005,1216780000,0,0
"TW",2005,572710000,0,0
"TH",2005,0,0,0
"TR",2005,754380000,0,0
"AE",2005,663900000,59340000,0
"AU",2006,3532970000,0,0
"AT",2006,1713880000,10110000,5e+06
"BE",2006,2322840000,49100000,3600000
"CA",2006,4781870000,53900000,0
"CZ",2006,198450000,0,0
"DK",2006,2738220000,92860000,10210000
"FI",2006,979630000,3850000,0
"FR",2006,13588130000,1646230000,417800000
"DE",2006,13269400000,1777970000,348270000
"GR",2006,487260000,0,0
"IS",2006,33700000,0,0
"IE",2006,992430000,0,0
"IT",2006,4546360000,410540000,0
"JP",2006,23050240000,8007930000,2985220000
"KR",2006,468880000,24700000,18520000
"LU",2006,359690000,0,0
"NL",2006,6150230000,146250000,37830000
"NZ",2006,371500000,0,0
"NO",2006,4087840000,0,0
"PL",2006,344070000,3090000,0
"PT",2006,436870000,6560000,1290000
"SK",2006,74110000,0,0
"SI",2006,50700000,0,0
"ES",2006,4510720000,375350000,5700000
"SE",2006,4806810000,0,0
"CH",2006,2342330000,15060000,0
"GB",2006,12971530000,554620000,1490000
"US",2006,27154850000,1095290000,357170000
"BG",2006,0,0,0
"HR",2006,0,0,0
"CY",2006,30080000,0,0
"EE",2006,18050000,0,0
"HU",2006,174350000,0,0
