"id","out-oda-gross.2000","capital-repayment.2000","interest-repayment.2000","out-oda-gross.2001","capital-repayment.2001","interest-repayment.2001","out-oda-gross.2002","capital-repayment.2002","interest-repayment.2002","out-oda-gross.2003","capital-repayment.2003","interest-repayment.2003","out-oda-gross.2004","capital-repayment.2004","interest-repayment.2004","out-oda-gross.2005","capital-repayment.2005","interest-repayment.2005","out-oda-gross.2006","capital-repayment.2006","interest-repayment.2006","out-oda-gross.2007","capital-repayment.2007","interest-repayment.2007","out-oda-gross.2008","capital-repayment.2008","interest-repayment.2008","out-oda-gross.2009","capital-repayment.2009","interest-repayment.2009","out-oda-gross.2010","capital-repayment.2010","interest-repayment.2010","out-oda-gross.2011","capital-repayment.2011","interest-repayment.2011","out-oda-gross.2012","capital-repayment.2012","interest-repayment.2012","out-oda-gross.2013","capital-repayment.2013","interest-repayment.2013"
"IS",10430000,0,0,13460000,0,0,15530000,0,0,18040000,0,0,19390000,0,0,21650000,0,0,33700000,0,0,33950000,0,0,43270000,0,0,38530000,0,0,29830000,0,0,24430000,0,0,26130000,0,0,32980000,0,0
"IE",388750000,0,0,462270000,0,0,577900000,0,0,588480000,0,0,630550000,0,0,728860000,0,0,992430000,0,0,1043820000,0,0,1135700000,0,0,926570000,0,0,880350000,0,0,850140000,0,0,808370000,0,0,816230000,0,0
"IT",2871590000,399910000,0,3258210000,335420000,79670000,4187460000,329920000,0,3571930000,316830000,0,3266930000,341800000,0,6141700000,202250000,0,4546360000,410540000,0,4364550000,325170000,380000,4799370000,222200000,890000,3320730000,170320000,410000,3181350000,183260000,0,4350340000,282390000,7170000,2837010000,99880000,2140000,3326720000,76320000,3250000
"JP",18777030000,3216050000,2596490000,16590750000,3650690000,2726220000,16821500000,4052950000,2320440000,16804070000,5300290000,2630060000,19813830000,8884640000,2940870000,23523240000,6940790000,2681930000,23050240000,8007930000,2985220000,18745300000,8123980000,2961870000,21457550000,9668460000,2762120000,18320720000,7778070000,2637040000,20177700000,8350440000,2268230000,19792490000,9069270000,2536490000,18662120000,8057640000,2388150000,27688090000,13453060000,5418470000
"KR",287640000,5060000,13490000,401200000,13900000,18680000,399710000,16350000,12740000,479900000,17490000,21390000,519780000,20290000,16620000,808750000,20200000,21120000,468880000,24700000,18520000,682270000,32620000,28050000,911640000,42710000,28630000,1022390000,41720000,29660000,1268930000,34290000,29540000,1359520000,44410000,31810000,1646480000,49020000,33720000,1747940000,62810000,36630000
"LU",255270000,0,0,296620000,0,0,291710000,0,0,303470000,0,0,329400000,0,0,342030000,0,0,359690000,0,0,410590000,0,0,428630000,0,0,440190000,0,0,419600000,180000,0,390830000,1260000,0,401890000,2860000,0,405630000,3240000,0
"NL",5665650000,161020000,62450000,5744040000,288760000,64750000,5478070000,224310000,63880000,5284330000,180810000,46520000,5511460000,634980000,51310000,5827930000,38530000,11210000,6150230000,146250000,37830000,6339410000,168030000,58230000,6553650000,109230000,28390000,6238920000,110590000,25370000,6432340000,110360000,0,6142520000,210530000,0,5629290000,106450000,17320000,5350790000,174810000,0
"NZ",2.71e+08,0,0,276650000,0,0,271340000,0,0,289090000,0,0,313420000,0,0,372180000,0,0,371500000,0,0,388910000,0,0,432660000,0,0,424070000,0,0,390830000,0,0,431270000,0,0,449130000,0,0,440670000,0,0
"NO",3119400000,14740000,24420000,3334040000,10840000,0,3797060000,11340000,0,3943390000,13230000,0,3810050000,9680000,0,4237220000,0,0,4087840000,0,0,4595090000,0,0,4328830000,0,0,5128260000,0,0,4974400000,0,0,4699840000,0,0,4849450000,96460000,0,5623980000,90120000,0
"PL",52980000,0,0,59450000,0,0,23260000,0,0,42100000,0,0,163660000,0,0,246350000,0,0,344070000,3090000,0,362750000,8840000,0,315180000,4070000,0,388750000,4310000,0,375940000,5100000,0,396660000,6970000,0,438700000,17640000,0,473820000,18440000,0
"PT",734980000,256710000,0,471380000,0,1580000,518890000,0,1190000,418590000,2340000,1110000,1197040000,5290000,1120000,431740000,6750000,1010000,436870000,6560000,1290000,461710000,6150000,1470000,567320000,6340000,8110000,508980000,33040000,10420000,664140000,34660000,12880000,687370000,35030000,16480000,618630000,37870000,16720000,504560000,38160000,26510000
"SK",15740000,0,0,22130000,0,0,16070000,0,0,28030000,0,0,43460000,0,0,82360000,0,0,74110000,0,0,74410000,0,0,86820000,0,0,72020000,0,0,73620000,0,0,80510000,0,0,79680000,0,0,82250000,0,0
"SI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41160000,0,0,50700000,0,0,54870000,0,0,62500000,0,0,65990000,0,0,57690000,0,0,58180000,0,0,58430000,0,0,59450000,0,0
"ES",2624270000,364910000,15620000,3458920000,214740000,0,3183030000,270990000,1820000,3018930000,347830000,45710000,3195060000,294090000,23240000,4011730000,569650000,152510000,4510720000,375350000,5700000,5238830000,290480000,13920000,6673840000,544940000,34530000,6451810000,369470000,5830000,6130110000,356730000,57380000,4138010000,280900000,51010000,2123280000,85930000,35490000,2501590000,220310000,5293150000
"SE",2964280000,410000,70000,3027220000,0,40000,3386630000,1220000,160000,3299590000,0,0,3386450000,0,0,4217570000,0,0,4806810000,0,0,4705840000,0,0,4916160000,0,0,5289360000,0,0,4937830000,7620000,0,5421940000,3160000,0,5247720000,7880000,0,5626240000,64290000,0
"CH",1803750000,4850000,4850000,1820910000,10950000,0,1724940000,7500000,0,2045020000,8220000,0,2234110000,14580000,0,2554150000,9570000,0,2342330000,15060000,0,2239270000,1.5e+07,0,2405850000,13630000,0,2704250000,11680000,0,2588080000,17790000,0,2916780000,26620000,0,3081510000,25900000,0,3185020000,25220000,0
"GB",6337790000,68550000,0,6706780000,171860000,0,6752580000,143780000,2450000,7754120000,203730000,67830000,8593650000,296310000,2100000,11538090000,359310000,0,12971530000,554620000,1490000,10410770000,1588200000,19470000,11500390000,457730000,0,12501440000,225800000,0,14301950000,367790000,0,14244170000,342690000,0,14209290000,317830000,0,18205400000,412370000,0
"US",13909600000,1145310000,564710000,15410930000,1084050000,524940000,17480240000,1073130000,463940000,22086160000,2333880000,497310000,24260190000,1046800000,445650000,32804980000,919190000,334610000,27154850000,1095290000,357170000,24467480000,964330000,352330000,28997100000,1024200000,484840000,31133180000,859720000,303180000,32317320000,827630000,246160000,32682770000,1222670000,236700000,31257710000,570760000,191780000,31087510000,663200000,172440000
"BG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42050000,0,0,47230000,0,0,39950000,0,0,49600000,0,0
"HR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21360000,0,0,45040000,0,0
"CY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17870000,0,0,30080000,0,0,37250000,0,0,38070000,0,0,47670000,0,0,53140000,0,0,36720000,0,0,25080000,0,0,20370000,0,0
"EE",1280000,0,0,1160000,0,0,2680000,0,0,1880000,0,0,7300000,0,0,13420000,0,0,18050000,0,0,17060000,0,0,20690000,0,0,18220000,0,0,19380000,0,0,23130000,0,0,23240000,0,0,28510000,0,0
"HU",0,0,0,0,0,0,0,0,0,29440000,0,0,83530000,0,0,114910000,0,0,174350000,0,0,99920000,0,0,93810000,0,0,113640000,0,0,111950000,0,0,128890000,0,0,118380000,0,0,123430000,0,0
"IL",215910000,0,0,123130000,0,0,188520000,0,0,155340000,0,0,114620000,0,0,129350000,0,0,118960000,0,0,135500000,0,0,143940000,0,0,135710000,0,0,148860000,0,0,199130000,0,0,181190000,0,0,184840000,0,0
"KW",655050000,404730000,0,608810000,492850000,0,489440000,458460000,0,635680000,452390000,0,576710000,380860000,0,660220000,401200000,0,541440000,358590000,0,522200000,404540000,0,674670000,386690000,0,554330000,322440000,0,640610000,421840000,137250000,483490000,342530000,128860000,451660000,302500000,127820000,495100000,309720000,117620000
"LV",0,0,0,0,0,0,2300000,0,0,1170000,0,0,10140000,0,0,12630000,0,0,13660000,0,0,16890000,0,0,22190000,0,0,21990000,0,0,16220000,0,0,18680000,0,0,21110000,0,0,23700000,0,0
"LI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19220000,0,0,24090000,0,0,27520000,0,0,27660000,0,0,30710000,0,0,28600000,0,0,28240000,0,0
"LT",0,0,0,2770000,0,0,2500000,0,0,2530000,0,0,11030000,0,0,18400000,0,0,2.9e+07,0,0,50890000,0,0,48640000,0,0,37960000,0,0,38140000,0,0,50450000,0,0,51910000,0,0,50370000,0,0
"MT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14360000,0,0,14330000,0,0,19480000,0,0,18580000,0,0,18240000,0,0
"RO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124940000,0,0,159960000,0,0,118620000,0,0,159930000,0,0,142410000,0,0,133780000,0,0
"RU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,578800000,0,0,538720000,0,0,465010000,0,0,688200000,0,0
"SA",647790000,229820000,0,772980000,449110000,0,3979980000,213700000,0,3355970000,175140000,0,2248710000,138300000,0,1216780000,0,0,2450530000,105300000,0,1767460000,109110000,0,5163990000,100440000,0,3403860000,117530000,0,3628370000,14490000,0,5114260000,141030000,0,1436180000,137320000,0,5819660000,141720000,0
"TW",0,0,0,0,0,0,0,0,0,0,0,0,539090000,26770000,0,572710000,0,0,594160000,0,0,549700000,0,0,442600000,0,0,431380000,0,0,395610000,0,0,372140000,0,0,304500000,0,0,271510000,0,0
"TH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85330000,0,0,71510000,0,0,181440000,0,0,42090000,0,0,47040000,37090000,0,48830000,18040000,0,35050000,18150000,0,64610000,18340000,0
"TR",149200000,0,0,150300000,0,0,153280000,0,0,112800000,0,0,486350000,0,0,754380000,0,0,874980000,0,0,631330000,0,0,735380000,0,0,747590000,0,0,938540000,0,0,1268390000,0,0,2533300000,0,0,3316130000,0,0
"AE",651180000,45580000,0,820680000,51380000,0,904460000,56200000,0,1294550000,62170000,0,645670000,55650000,0,663900000,59340000,0,982320000,75840000,0,2739720000,145650000,0,1387500000,100180000,0,1085820000,92840000,0,563330000,133550000,0,772120000,76340000,0,1103850000,94700000,0,5487900000,91070000,0
"QA",848624,0,0,1579139,0,0,0,0,0,20358067,0,0,0,0,0,54186589,0,0,5211879,0,0,213892,0,0,2692649,0,0,13579173,0,0,2118669,0,0,12133437,0,0,104942844,0,0,69172972,0,0
