Year,Country,district,finance_source,Unit_measure,"ug_dist_ed_budget_$perchild
",,District_name
2014,UG,27,E,$Spend per child,0,,Mayuge
2014,UG,22,E,$Spend per child,0.000319874,,Mbale
2014,UG,61,E,$Spend per child,0,,Mbarara
2014,UG,78,E,$Spend per child,0,,Mitooma
2014,UG,14,E,$Spend per child,0,,Mityana
2014,UG,73,E,$Spend per child,0.596453272,,Moroto
2014,UG,42,E,$Spend per child,0,,Moyo
2014,UG,103,E,$Spend per child,0,,Mpigi
2014,UG,6,E,$Spend per child,0.109258213,,Mubende
2014,UG,7,E,$Spend per child,0,,Mukono
2014,UG,44,E,$Spend per child,0.742407554,,Nakapiripirit
2014,UG,15,E,$Spend per child,0,,Nakaseke
2014,UG,8,E,$Spend per child,0,,Nakasongola
2014,UG,100,E,$Spend per child,0.050548693,,Namayingo
2014,UG,36,E,$Spend per child,0,,Namutumba
2014,UG,85,E,$Spend per child,0.170495571,,Napak
2014,UG,43,E,$Spend per child,2.390062045,,Nebbi
2014,UG,94,E,$Spend per child,0,,Ngora
2014,UG,99,E,$Spend per child,1.867915245,,Ntoroko
2014,UG,62,E,$Spend per child,0,,Ntungamo
2014,UG,72,E,$Spend per child,97.84635545,,Nwoya
2014,UG,105,E,$Spend per child,0.080294198,,Otuke
2014,UG,53,E,$Spend per child,5.02984,,Oyam
2014,UG,74,E,$Spend per child,0.672748298,,Pader 
2014,UG,23,E,$Spend per child,0,,Pallisa
2014,UG,9,E,$Spend per child,0,,Rakai
2014,UG,77,E,$Spend per child,0.068688554,,Rubirizi
2014,UG,63,E,$Spend per child,0,,Rukungiri
2014,UG,10,E,$Spend per child,0,,Sembabule
2014,UG,93,E,$Spend per child,0,,Serere
2014,UG,79,E,$Spend per child,0.111209611,,Sheema
2014,UG,111,E,$Spend per child,0.245599076,,Sironko
2014,UG,24,E,$Spend per child,0,,Soroti
2014,UG,25,E,$Spend per child,0,,Tororo
2014,UG,12,E,$Spend per child,0,,Wakiso
2014,UG,46,E,$Spend per child,0.014950906,,Yumbe
2014,UG,89,E,$Spend per child,0.189883483,,Zombo
2014,UG,#N/A,E,$Spend per child,0,,Arua Municipal Council
2014,UG,#N/A,E,$Spend per child,0,,Entebbe Municipal Council
2014,UG,#N/A,E,$Spend per child,0.7396395,,Fort-Portal Municipal Council
2014,UG,#N/A,E,$Spend per child,0,,Gulu Municipal Council
2014,UG,#N/A,E,$Spend per child,0,,Jinja Municipal Council
2014,UG,#N/A,E,$Spend per child,0,,Kabale Municipal Council
2014,UG,#N/A,E,$Spend per child,0,,Lira Municipal Council
2014,UG,#N/A,E,$Spend per child,0.113326487,,Masaka Municipal Council
2014,UG,#N/A,E,$Spend per child,0,,Mbale Municipal Council
2014,UG,#N/A,E,$Spend per child,0,,Mbarara Municipal Council
2014,UG,#N/A,E,$Spend per child,1.155444527,,Moroto Municipal Council
2014,UG,#N/A,E,$Spend per child,0,,Soroti Municipal Council
2014,UG,#N/A,E,$Spend per child,0,,Tororo Municipal Council
2014,UG,#N/A,E,$Spend per child,0,,Kasese Municipal Council
2014,UG,#N/A,E,$Spend per child,0,,Hoima Municipal Council
2014,UG,#N/A,E,$Spend per child,0,,Mukono Municipal Council
2014,UG,#N/A,E,$Spend per child,0,,Iganga Municipal Council
2014,UG,#N/A,E,$Spend per child,0,,Masindi Municipal Council
2014,UG,#N/A,E,$Spend per child,0,,Ntungamo Municipal Council
2014,UG,#N/A,E,$Spend per child,0,,Busia Municipal Council
2014,UG,#N/A,E,$Spend per child,0,,Bushenyi - Ishaka Municipal Council
2014,UG,#N/A,E,$Spend per child,0,,Rukungiri Municipal Council
