year,country,district,finance_source,"ug_dist_ed_budget_usd
",,District_name
2014,UG,#N/A,G,24955856,,Gulu Municipal Council
2014,UG,#N/A,G,20793748,,Jinja Municipal Council
2014,UG,#N/A,G,19679952,,Kabale Municipal Council
2014,UG,#N/A,G,16721180,,Lira Municipal Council
2014,UG,#N/A,G,14576388,,Masaka Municipal Council
2014,UG,#N/A,G,25452452,,Mbale Municipal Council
2014,UG,#N/A,G,23489080,,Mbarara Municipal Council
2014,UG,#N/A,G,4616416,,Moroto Municipal Council
2014,UG,#N/A,G,17286124,,Soroti Municipal Council
2014,UG,#N/A,G,12313332,,Tororo Municipal Council
2014,UG,#N/A,G,14810924,,Kasese Municipal Council
2014,UG,#N/A,G,17441884,,Hoima Municipal Council
2014,UG,#N/A,G,18732400,,Mukono Municipal Council
2014,UG,#N/A,G,13994888,,Iganga Municipal Council
2014,UG,#N/A,G,17142896,,Masindi Municipal Council
2014,UG,#N/A,G,3733680,,Ntungamo Municipal Council
2014,UG,#N/A,G,8149268,,Busia Municipal Council
2014,UG,#N/A,G,13107580,,Bushenyi - Ishaka Municipal Council
2014,UG,#N/A,G,11335228,,Rukungiri Municipal Council
2014,UG,47,E,2093004,,Abim
2014,UG,37,E,437172,,Adjumani
2014,UG,45,E,280000,,Agago
2014,UG,86,E,0,,Alebtong
2014,UG,106,E,0,,Amolatar
2014,UG,70,E,551196,,Amudat
2014,UG,28,E,0,,Amuria
2014,UG,48,E,13376332,,Amuru
2014,UG,107,E,400000,,Apac
2014,UG,38,E,0,,Arua
2014,UG,29,E,0,,Budaka
2014,UG,30,E,0,,Bududa
2014,UG,16,E,150300,,Bugiri
2014,UG,76,E,0,,Buhweju
2014,UG,83,E,0,,Buikwe
2014,UG,31,E,120020,,Bukedea
2014,UG,82,E,0,,Bukomansimbi
2014,UG,32,E,0,,Bukwa
2014,UG,97,E,0,,Bulambuli
2014,UG,108,E,280000,,Buliisa
2014,UG,54,E,974440,,Bundibugyo
2014,UG,75,E,0,,Bushenyi
2014,UG,17,E,0,,Busia
2014,UG,33,E,0,,Butaleja
2014,UG,92,E,0,,Butambala
2014,UG,101,E,0,,Buvuma
2014,UG,96,E,0,,Buyende
2014,UG,49,E,0,,Dokolo
2014,UG,104,E,5480,,Gomba
2014,UG,39,E,16998556,,Gulu
2014,UG,55,E,168964,,Hoima
2014,UG,67,E,0,,Ibanda
2014,UG,18,E,104760,,Iganga
2014,UG,68,E,0,,Isingiro
2014,UG,19,E,0,,Jinja
2014,UG,50,E,670904,,Kaabong
2014,UG,56,E,0,,Kabale
2014,UG,57,E,695328,,Kabarole
2014,UG,26,E,0,,Kaberamaido
2014,UG,1,E,5350136,,Kalangala 
2014,UG,34,E,0,,Kaliro
2014,UG,80,E,55000,,Kalungu
2014,UG,2,E,0,,Kampala
2014,UG,95,E,0,,Kamuli
2014,UG,64,E,0,,Kamwenge
2014,UG,65,E,0,,Kanungu
2014,UG,112,E,0,,Kapchorwa
2014,UG,58,E,0,,Kasese
2014,UG,20,E,0,,Katakwi
2014,UG,11,E,0,,Kayunga
2014,UG,59,E,76664,,Kibaale
2014,UG,3,E,0,,Kiboga
2014,UG,90,E,0,,Kibuku
2014,UG,69,E,0,,Kiruhura
2014,UG,110,E,0,,Kiryandongo
2014,UG,60,E,37584,,Kisoro
2014,UG,40,E,3767872,,Kitgum
2014,UG,51,E,0,,Koboko
2014,UG,88,E,0,,Kole
2014,UG,41,E,1036580,,Kotido
2014,UG,21,E,0,,Kumi
2014,UG,98,E,0,,Kween
2014,UG,91,E,0,,Kyankwanzi
2014,UG,66,E,824292,,Kyegegwa
2014,UG,84,E,584228,,Kyenjojo
2014,UG,71,E,2946836,,Lamwo
2014,UG,87,E,0,,Lira
2014,UG,81,E,0,,Luuka
2014,UG,4,E,0,,Luweero
2014,UG,102,E,0,,Lwengo
2014,UG,13,E,0,,Lyantonde
2014,UG,35,E,0,,Manafwa
2014,UG,52,E,0,,Maracha
2014,UG,5,E,900800,,Masaka 
2014,UG,109,E,371076,,Masindi
2014,UG,27,E,0,,Mayuge
2014,UG,22,E,800,,Mbale
2014,UG,61,E,0,,Mbarara
2014,UG,78,E,0,,Mitooma
2014,UG,14,E,0,,Mityana
2014,UG,73,E,440000,,Moroto
2014,UG,42,E,0,,Moyo
2014,UG,103,E,0,,Mpigi
2014,UG,6,E,400000,,Mubende
2014,UG,7,E,0,,Mukono
2014,UG,44,E,715156,,Nakapiripirit
2014,UG,15,E,0,,Nakaseke
2014,UG,8,E,0,,Nakasongola
2014,UG,100,E,69108,,Namayingo
2014,UG,36,E,0,,Namutumba
2014,UG,85,E,200000,,Napak
2014,UG,43,E,4769756,,Nebbi
2014,UG,94,E,0,,Ngora
2014,UG,99,E,926344,,Ntoroko
2014,UG,62,E,0,,Ntungamo
2014,UG,72,E,30464952,,Nwoya
2014,UG,105,E,40000,,Otuke
2014,UG,53,E,11058400,,Oyam
2014,UG,74,E,898232,,Pader 
2014,UG,23,E,0,,Pallisa
2014,UG,9,E,0,,Rakai
2014,UG,77,E,48900,,Rubirizi
2014,UG,63,E,0,,Rukungiri
2014,UG,10,E,0,,Sembabule
2014,UG,93,E,0,,Serere
2014,UG,79,E,140000,,Sheema
2014,UG,111,E,330080,,Sironko
2014,UG,24,E,0,,Soroti
2014,UG,25,E,0,,Tororo
2014,UG,12,E,0,,Wakiso
2014,UG,46,E,52000,,Yumbe
2014,UG,89,E,240000,,Zombo
2014,UG,#N/A,E,0,,Arua Municipal Council
2014,UG,#N/A,E,0,,Entebbe Municipal Council
2014,UG,#N/A,E,200000,,Fort-Portal Municipal Council
2014,UG,#N/A,E,0,,Gulu Municipal Council
2014,UG,#N/A,E,0,,Jinja Municipal Council
2014,UG,#N/A,E,0,,Kabale Municipal Council
2014,UG,#N/A,E,0,,Lira Municipal Council
2014,UG,#N/A,E,48000,,Masaka Municipal Council
2014,UG,#N/A,E,0,,Mbale Municipal Council
2014,UG,#N/A,E,0,,Mbarara Municipal Council
2014,UG,#N/A,E,88804,,Moroto Municipal Council
2014,UG,#N/A,E,0,,Soroti Municipal Council
2014,UG,#N/A,E,0,,Tororo Municipal Council
2014,UG,#N/A,E,0,,Kasese Municipal Council
2014,UG,#N/A,E,0,,Hoima Municipal Council
2014,UG,#N/A,E,0,,Mukono Municipal Council
2014,UG,#N/A,E,0,,Iganga Municipal Council
2014,UG,#N/A,E,0,,Masindi Municipal Council
2014,UG,#N/A,E,0,,Ntungamo Municipal Council
2014,UG,#N/A,E,0,,Busia Municipal Council
2014,UG,#N/A,E,0,,Bushenyi - Ishaka Municipal Council
2014,UG,#N/A,E,0,,Rukungiri Municipal Council
