"d410",68414.18,45475.14,135121.97,34935.48,52000,210802.8,0
"d423",11816.62,34181.22,28301.02,21588.13,0,9936.81,399000
"d115",148122.19,324607.37,330557.71,62143.54,25000,38850.68,6718270
"d308",10929.48,282861.79,,,,,
"d309",,,199126.56,140498.44,,1519529.09,856329.22
"d106",,262706.85,194737.24,145752.54,45400,630056.94,5603400
"d107",,642591.12,518176.48,391998.76,92000,303844.2,59900
"d108",151551.69,83484.32,187614.52,32235.75,99600,257261.24,99600
"d311",1077398.86,745429.11,617192.87,470797.04,,724480.53,586340.49
"d116",310148.6,89410.2,,,,,
"d109",,,91233.07,34480.48,1545480,,
"d230",460149.36,478065.23,362818.04,276758.97,,387134.59,
"d224",136291.7,148026.5,123269.9,94030.74,582840,74742.24,2001180
"d327",742794.79,286626.01,237317.71,162113.59,,715913.46,
"d310",,145346.76,120342.75,119738.18,,,
"d231",90325.5,92404.8,76508.4,58360.89,23400,,0
"d424",411655.58,361837.53,320350.92,208564.8,2000,,
"d411",,481144.1,247943.87,189132.52,,1173857.89,1089539.93
"d328",4626522.93,7408611.89,1992359.37,,0,,
"d329",69650.01,178027.26,207224.76,131835.9,3268380,121981.18,
"d321",,,281371.31,213280.15,,1101931.08,16458.17
"d312",,629996.69,351916.66,226602.64,,,
"d210",,,283581.2,136471.27,,102045.3,
"d110",,597037.69,499429.8,380966.93,59000,373564.24,13554000
"d425",17534.25,59468.91,57460.99,40528.4,45600,88410.2,41500
"d412",,,232364.14,,0,66504.15,0
"d111",26603.05,,103441.48,80824.43,0,22446.23,
"d232",101193.21,77859.6,64465.41,49174.45,2401800,44827.71,2001800
"d426",15314.6,84220.56,71636.65,54644.71,,53830.61,36511.49
"d215",81817.99,204493.54,199386.54,152092.81,,114621.96,73969.32
"d211",,146847.91,110251.08,60171.97,,320387.62,272871.91
"d212",,161362.31,243345.22,160822.89,13719830,161873.6,8819830
"d113",,340168.6,212302.65,161539.98,,478041.19,
"d313",,742465.31,604634.51,840521.94,,707496.56,1054432.7
"d330",373837.48,93260.4,346517.15,234524.32,,138353,233648.29
