"id","year","estimate","value"
"JP",1981,FALSE,2.64966289e+14
"KZ",1981,FALSE,
"KE",1981,FALSE,9.7555e+10
"KG",1981,FALSE,
"KH",1981,FALSE,
"KI",1981,FALSE,
"KN",1981,FALSE,1.87e+08
"KP",1981,FALSE,5.19224e+13
"KW",1981,FALSE,
"LA",1981,FALSE,
"LB",1981,FALSE,
"LR",1981,FALSE,
"LY",1981,FALSE,
"LC",1981,FALSE,4.48e+08
"LK",1981,FALSE,8.7915e+10
"LS",1981,FALSE,
"LT",1981,FALSE,
"LU",1981,FALSE,
"LV",1981,FALSE,
"MA",1981,FALSE,
"MD",1981,FALSE,
"MG",1981,FALSE,1.95363e+11
"MV",1981,FALSE,
"MX",1981,FALSE,
"MH",1981,FALSE,
"MK",1981,FALSE,
"ML",1981,FALSE,
"MT",1981,FALSE,1.173e+09
"MM",1981,FALSE,
"ME",1981,FALSE,
"MN",1981,FALSE,8.875e+09
"MZ",1981,FALSE,1.26e+08
"MR",1981,FALSE,
"MU",1981,FALSE,
"MW",1981,FALSE,
"MY",1981,FALSE,5.7796e+10
"NA",1981,FALSE,
"NE",1981,FALSE,
"NG",1981,FALSE,
"NI",1981,FALSE,
"NL",1981,FALSE,1.78826e+11
"NO",1981,FALSE,3.60827e+11
"NP",1981,FALSE,
"NZ",1981,FALSE,
"OM",1981,FALSE,
"PK",1981,FALSE,
"PA",1981,FALSE,
"PE",1981,FALSE,
"PH",1981,FALSE,
"PW",1981,FALSE,
"PG",1981,FALSE,
"PL",1981,FALSE,
"PT",1981,FALSE,
"PY",1981,FALSE,
"QA",1981,FALSE,
"RO",1981,FALSE,
"RU",1981,FALSE,
"RW",1981,FALSE,
"SA",1981,FALSE,
"SD",1981,FALSE,
"SN",1981,FALSE,
"SG",1981,FALSE,
"SB",1981,FALSE,
"SL",1981,FALSE,
"SV",1981,FALSE,
"SM",1981,FALSE,
"RS",1981,FALSE,
"SS",1981,FALSE,
"ST",1981,FALSE,
"SR",1981,FALSE,
"SK",1981,FALSE,
"SI",1981,FALSE,
"SE",1981,FALSE,6.06674e+11
"SZ",1981,FALSE,9.06e+08
"SC",1981,FALSE,
"SY",1981,FALSE,
"TD",1981,FALSE,
"TG",1981,FALSE,
