"id","estimate.1980","value.1980","estimate.1981","value.1981","estimate.1982","value.1982","estimate.1983","value.1983","estimate.1984","value.1984","estimate.1985","value.1985","estimate.1986","value.1986","estimate.1987","value.1987","estimate.1988","value.1988","estimate.1989","value.1989","estimate.1990","value.1990","estimate.1991","value.1991","estimate.1992","value.1992","estimate.1993","value.1993","estimate.1994","value.1994","estimate.1995","value.1995","estimate.1996","value.1996","estimate.1997","value.1997","estimate.1998","value.1998","estimate.1999","value.1999","estimate.2000","value.2000","estimate.2001","value.2001","estimate.2002","value.2002","estimate.2003","value.2003","estimate.2004","value.2004","estimate.2005","value.2005","estimate.2006","value.2006","estimate.2007","value.2007","estimate.2008","value.2008","estimate.2009","value.2009","estimate.2010","value.2010","estimate.2011","value.2011","estimate.2012","value.2012","estimate.2013","value.2013","estimate.2014","value.2014","estimate.2015","value.2015","estimate.2016","value.2016","estimate.2017","value.2017","estimate.2018","value.2018","estimate.2019","value.2019"
"BI",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,2.76938e+11,FALSE,2.79761e+11,FALSE,2.86907e+11,FALSE,3.06725e+11,FALSE,3.22948e+11,FALSE,4.20792e+11,FALSE,4.91229e+11,FALSE,5.59085e+11,FALSE,6.27333e+11,FALSE,7.28046e+11,FALSE,7.68235e+11,FALSE,8.49483e+11,FALSE,1.007616e+12,FALSE,1.2084e+12,FALSE,1.3099e+12,FALSE,1.467231e+12,FALSE,1.911139e+12,FALSE,2.184177e+12,FALSE,2.501047e+12,FALSE,2.989946e+12,FALSE,3.620605e+12,TRUE,4.226895e+12,TRUE,4.785205e+12,TRUE,5.344256e+12,TRUE,5.922531e+12,TRUE,6.565788e+12,TRUE,7.303771e+12,TRUE,8.078171e+12
"BE",FALSE,8.8287e+10,FALSE,9.2565e+10,FALSE,1.00165e+11,FALSE,1.06117e+11,FALSE,1.14648e+11,FALSE,1.21934e+11,FALSE,1.27629e+11,FALSE,1.32773e+11,FALSE,1.4206e+11,FALSE,1.5404e+11,FALSE,1.6334e+11,FALSE,1.7112e+11,FALSE,1.79689e+11,FALSE,1.85066e+11,FALSE,1.95039e+11,FALSE,2.07927e+11,FALSE,2.11673e+11,FALSE,2.21492e+11,FALSE,2.29988e+11,FALSE,2.38878e+11,FALSE,2.52542e+11,FALSE,2.59803e+11,FALSE,2.68619e+11,FALSE,2.76156e+11,FALSE,2.91287e+11,FALSE,3.03435e+11,FALSE,3.1883e+11,FALSE,3.35815e+11,FALSE,3.46375e+11,FALSE,3.40669e+11,FALSE,3.55791e+11,FALSE,3.69259e+11,FALSE,3.75853e+11,FALSE,3.82692e+11,TRUE,3.89673e+11,TRUE,3.99054e+11,TRUE,4.10241e+11,TRUE,4.21392e+11,TRUE,4.32482e+11,TRUE,4.43523e+11
"BJ",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,5.3363e+11,FALSE,5.60388e+11,FALSE,5.94416e+11,FALSE,6.4407e+11,FALSE,8.87259e+11,FALSE,1.082966e+12,FALSE,1.207835e+12,FALSE,1.323938e+12,FALSE,1.448386e+12,FALSE,1.532409e+12,FALSE,1.679702e+12,FALSE,1.8322e+12,FALSE,1.9567e+12,FALSE,2.0679e+12,FALSE,2.140013e+12,FALSE,2.298715e+12,FALSE,2.460244e+12,FALSE,2.638975e+12,FALSE,2.970544e+12,FALSE,3.109134e+12,FALSE,3.247927e+12,FALSE,3.4433e+12,FALSE,3.85105e+12,FALSE,4.1042e+12,TRUE,4.403979e+12,TRUE,4.75149e+12,TRUE,5.106985e+12,TRUE,5.489695e+12,TRUE,5.901873e+12,TRUE,6.345867e+12
"BF",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,6.97612e+11,FALSE,7.0532e+11,FALSE,7.12359e+11,FALSE,7.79333e+11,FALSE,8.34555e+11,FALSE,8.44538e+11,FALSE,8.84588e+11,FALSE,8.8866e+11,FALSE,9.06163e+11,FALSE,1.052477e+12,FALSE,1.187961e+12,FALSE,1.323411e+12,FALSE,1.428904e+12,FALSE,1.655076e+12,FALSE,1.83639e+12,FALSE,1.874781e+12,FALSE,2.077259e+12,FALSE,2.234958e+12,FALSE,2.443503e+12,FALSE,2.555288e+12,FALSE,2.882208e+12,FALSE,3.040542e+12,FALSE,3.236357e+12,FALSE,3.740656e+12,FALSE,3.941371e+12,FALSE,4.453867e+12,FALSE,4.936701e+12,FALSE,5.628925e+12,FALSE,5.947497e+12,TRUE,6.412807e+12,TRUE,6.982776e+12,TRUE,7.620859e+12,TRUE,8.303744e+12,TRUE,9.040477e+12,TRUE,9.833755e+12
"BD",FALSE,3.2224e+11,FALSE,3.69707e+11,FALSE,4.15159e+11,FALSE,4.68604e+11,FALSE,5.62115e+11,FALSE,6.44928e+11,FALSE,7.26122e+11,FALSE,8.35174e+11,FALSE,9.18057e+11,FALSE,1.022115e+12,FALSE,1.151446e+12,FALSE,1.268386e+12,FALSE,1.371956e+12,FALSE,1.438832e+12,FALSE,1.55409e+12,FALSE,1.750405e+12,FALSE,1.908855e+12,FALSE,2.07386e+12,FALSE,2.297372e+12,FALSE,2.521405e+12,FALSE,2.720967e+12,FALSE,2.909883e+12,FALSE,3.135453e+12,FALSE,3.449676e+12,FALSE,3.821441e+12,FALSE,4.254503e+12,FALSE,4.771196e+12,FALSE,5.422489e+12,FALSE,6.264255e+12,FALSE,7.055837e+12,FALSE,7.980857e+12,FALSE,9.167224e+12,FALSE,1.055204e+13,FALSE,1.1989232e+13,TRUE,1.3509204e+13,TRUE,1.5450553e+13,TRUE,1.7529254e+13,TRUE,1.9918378e+13,TRUE,2.258837e+13,TRUE,2.5642274e+13
"BG",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,2.7399e+10,FALSE,3.0299e+10,FALSE,3.3189e+10,FALSE,3.5812e+10,FALSE,3.9824e+10,FALSE,4.5484e+10,FALSE,5.1783e+10,FALSE,6.0185e+10,FALSE,6.9295e+10,FALSE,6.8322e+10,FALSE,7.0511e+10,FALSE,7.5308e+10,FALSE,7.8089e+10,FALSE,7.8115e+10,TRUE,7.8293e+10,TRUE,8.0421e+10,TRUE,8.3906e+10,TRUE,8.8325e+10,TRUE,9.2976e+10,TRUE,9.7872e+10
"BH",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,1.867e+09,FALSE,1.958e+09,FALSE,2.046e+09,FALSE,2.251e+09,FALSE,2.411e+09,FALSE,2.552e+09,FALSE,2.653e+09,FALSE,2.752e+09,FALSE,2.63e+09,FALSE,2.851e+09,FALSE,3.408e+09,FALSE,3.455e+09,FALSE,3.607e+09,FALSE,4.164e+09,FALSE,4.944e+09,FALSE,6.004e+09,FALSE,6.958e+09,FALSE,8.17e+09,FALSE,9.667e+09,FALSE,8.625e+09,FALSE,9.668e+09,FALSE,1.0921e+10,FALSE,1.153e+10,TRUE,1.2332e+10,TRUE,1.2804e+10,TRUE,1.3189e+10,TRUE,1.366e+10,TRUE,1.4176e+10,TRUE,1.4756e+10,TRUE,1.5198e+10
"BS",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,3.541e+09,FALSE,3.5e+09,FALSE,3.443e+09,FALSE,3.528e+09,FALSE,3.717e+09,FALSE,3.906e+09,FALSE,4.322e+09,FALSE,5.157e+09,FALSE,5.686e+09,FALSE,6.174e+09,FALSE,6.422e+09,FALSE,6.737e+09,FALSE,6.954e+09,FALSE,7.022e+09,FALSE,7.4e+09,FALSE,7.836e+09,FALSE,8.142e+09,FALSE,8.283e+09,FALSE,8.034e+09,FALSE,7.865e+09,FALSE,7.921e+09,FALSE,8.075e+09,FALSE,8.32e+09,TRUE,8.535e+09,TRUE,8.978e+09,TRUE,9.5e+09,TRUE,9.889e+09,TRUE,1.0258e+10,TRUE,1.0599e+10
"BA",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,9.219e+09,FALSE,1.0571e+10,FALSE,1.179e+10,FALSE,1.2641e+10,FALSE,1.3946e+10,FALSE,1.469e+10,FALSE,1.5998e+10,FALSE,1.7198e+10,FALSE,1.9426e+10,FALSE,2.1896e+10,FALSE,2.4984e+10,FALSE,2.4307e+10,FALSE,2.4879e+10,FALSE,2.5772e+10,FALSE,2.5734e+10,FALSE,2.6389e+10,TRUE,2.7126e+10,TRUE,2.8739e+10,TRUE,3.0577e+10,TRUE,3.2734e+10,TRUE,3.5032e+10,TRUE,3.7476e+10
"BY",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,9.3e+07,FALSE,9.85e+08,FALSE,1.7793e+10,FALSE,3.8984e+10,FALSE,1.91839e+11,FALSE,3.6683e+11,FALSE,7.02161e+11,FALSE,3.026e+12,FALSE,9.133812e+12,FALSE,1.7173162e+13,FALSE,2.6138268e+13,FALSE,3.6564791e+13,FALSE,4.9991816e+13,FALSE,6.50671e+13,FALSE,7.9267e+13,FALSE,9.71653e+13,FALSE,1.297908e+14,FALSE,1.374422e+14,FALSE,1.644761e+14,FALSE,2.971577e+14,FALSE,5.303555e+14,FALSE,6.367842e+14,TRUE,8.2035577e+14,TRUE,9.95519244e+14,TRUE,1.193215215e+15,TRUE,1.422281201e+15,TRUE,1.692549945e+15,TRUE,2.015007421e+15
"BZ",FALSE,3.48e+08,FALSE,3.59e+08,FALSE,3.63e+08,FALSE,3.89e+08,FALSE,4.21e+08,FALSE,4.28e+08,FALSE,4.75e+08,FALSE,5.57e+08,FALSE,6.54e+08,FALSE,7.51e+08,FALSE,8.4e+08,FALSE,9.26e+08,FALSE,1.057e+09,FALSE,1.13e+09,FALSE,1.181e+09,FALSE,1.251e+09,FALSE,1.289e+09,FALSE,1.326e+09,FALSE,1.399e+09,FALSE,1.515e+09,FALSE,1.684e+09,FALSE,1.774e+09,FALSE,1.894e+09,FALSE,2.014e+09,FALSE,2.144e+09,FALSE,2.28e+09,FALSE,2.471e+09,FALSE,2.621e+09,FALSE,2.724e+09,FALSE,2.707e+09,FALSE,2.842e+09,FALSE,3.02e+09,FALSE,3.167e+09,FALSE,3.256e+09,FALSE,3.365e+09,TRUE,3.502e+09,TRUE,3.648e+09,TRUE,3.803e+09,TRUE,3.964e+09,TRUE,4.135e+09
"BO",FALSE,,FALSE,,FALSE,,FALSE,1e+06,FALSE,1.9e+07,FALSE,2.366e+09,FALSE,7.608e+09,FALSE,8.884e+09,FALSE,1.0806e+10,FALSE,1.2694e+10,FALSE,1.5443e+10,FALSE,1.9132e+10,FALSE,2.2014e+10,FALSE,2.4459e+10,FALSE,2.7636e+10,FALSE,3.2235e+10,FALSE,3.7537e+10,FALSE,4.1644e+10,FALSE,4.6822e+10,FALSE,4.8156e+10,FALSE,5.1928e+10,FALSE,5.379e+10,FALSE,5.6682e+10,FALSE,6.1904e+10,FALSE,6.9626e+10,FALSE,7.7024e+10,FALSE,9.1748e+10,FALSE,1.03009e+11,FALSE,1.20694e+11,FALSE,1.21727e+11,FALSE,1.37876e+11,FALSE,1.66131e+11,FALSE,1.87035e+11,FALSE,2.11454e+11,TRUE,2.33808e+11,TRUE,2.55964e+11,TRUE,2.79741e+11,TRUE,3.06445e+11,TRUE,3.37893e+11,TRUE,3.72567e+11
"BR",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,3.49207e+11,FALSE,7.05641e+11,FALSE,8.43965e+11,FALSE,9.39147e+11,FALSE,9.79276e+11,FALSE,1.064999e+12,FALSE,1.179482e+12,FALSE,1.302136e+12,FALSE,1.477822e+12,FALSE,1.699948e+12,FALSE,1.941499e+12,FALSE,2.14724e+12,FALSE,2.369483e+12,FALSE,2.661343e+12,FALSE,3.032204e+12,FALSE,3.239404e+12,FALSE,3.770085e+12,FALSE,4.143015e+12,FALSE,4.392094e+12,FALSE,4.844815e+12,TRUE,5.122785e+12,TRUE,5.462382e+12,TRUE,5.862111e+12,TRUE,6.31939e+12,TRUE,6.827534e+12,TRUE,7.385735e+12
"BB",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,4.101e+09,FALSE,4.076e+09,FALSE,4.021e+09,FALSE,4.245e+09,FALSE,4.428e+09,FALSE,4.632e+09,FALSE,4.887e+09,FALSE,5.263e+09,FALSE,5.853e+09,FALSE,6.122e+09,FALSE,6.235e+09,FALSE,6.253e+09,FALSE,6.388e+09,FALSE,6.662e+09,FALSE,7.21e+09,FALSE,7.994e+09,FALSE,8.728e+09,FALSE,9.041e+09,FALSE,9.109e+09,FALSE,9.106e+09,FALSE,8.835e+09,FALSE,8.666e+09,FALSE,8.451e+09,FALSE,8.481e+09,FALSE,8.615e+09,TRUE,8.873e+09,TRUE,9.199e+09,TRUE,9.595e+09,TRUE,1.0076e+10,TRUE,1.0638e+10
"BN",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,8.787e+09,FALSE,5.303e+09,FALSE,5.891e+09,FALSE,5.357e+09,FALSE,5.823e+09,FALSE,6.381e+09,FALSE,6.394e+09,FALSE,6.817e+09,FALSE,6.634e+09,FALSE,6.243e+09,FALSE,6.71e+09,FALSE,7.213e+09,FALSE,7.716e+09,FALSE,6.778e+09,FALSE,7.796e+09,FALSE,1.0346e+10,FALSE,1.0035e+10,FALSE,1.0463e+10,FALSE,1.1424e+10,FALSE,1.3306e+10,FALSE,1.5864e+10,FALSE,1.8226e+10,FALSE,1.8459e+10,FALSE,2.0398e+10,FALSE,1.5611e+10,FALSE,1.6867e+10,FALSE,2.0996e+10,FALSE,2.1185e+10,FALSE,2.0158e+10,TRUE,2.1865e+10,TRUE,2.1897e+10,TRUE,2.2511e+10,TRUE,2.2888e+10,TRUE,2.4236e+10,TRUE,2.5135e+10
"BT",FALSE,,FALSE,1.189e+09,FALSE,1.365e+09,FALSE,1.573e+09,FALSE,1.832e+09,FALSE,2.065e+09,FALSE,2.38e+09,FALSE,2.963e+09,FALSE,3.644e+09,FALSE,4.242e+09,FALSE,4.925e+09,FALSE,5.539e+09,FALSE,6.177e+09,FALSE,6.929e+09,FALSE,7.944e+09,FALSE,9.29e+09,FALSE,1.0663e+10,FALSE,1.2449e+10,FALSE,1.4677e+10,FALSE,1.7082e+10,FALSE,1.9038e+10,FALSE,2.1108e+10,FALSE,2.4293e+10,FALSE,2.754e+10,FALSE,3.041e+10,FALSE,3.3979e+10,FALSE,3.8393e+10,FALSE,4.5068e+10,FALSE,5.2102e+10,FALSE,5.8e+10,FALSE,6.6869e+10,FALSE,7.9196e+10,FALSE,9.2684e+10,FALSE,1.06086e+11,TRUE,1.21888e+11,TRUE,1.40909e+11,TRUE,1.62517e+11,TRUE,1.87321e+11,TRUE,2.20986e+11,TRUE,2.5187e+11
"BW",FALSE,8.46e+08,FALSE,9.02e+08,FALSE,1.101e+09,FALSE,1.334e+09,FALSE,1.706e+09,FALSE,2.255e+09,FALSE,2.698e+09,FALSE,3.519e+09,FALSE,5.326e+09,FALSE,6.335e+09,FALSE,7.261e+09,FALSE,8.12e+09,FALSE,8.875e+09,FALSE,1.0491e+10,FALSE,1.1769e+10,FALSE,1.3822e+10,FALSE,1.6777e+10,FALSE,1.9724e+10,FALSE,2.3733e+10,FALSE,2.735e+10,FALSE,3.0165e+10,FALSE,3.2653e+10,FALSE,3.5107e+10,FALSE,3.8395e+10,FALSE,4.4215e+10,FALSE,5.2841e+10,FALSE,6.1118e+10,FALSE,6.9331e+10,FALSE,7.4979e+10,FALSE,7.7584e+10,FALSE,9.6186e+10,FALSE,1.06121e+11,FALSE,1.14128e+11,TRUE,1.28072e+11,TRUE,1.42733e+11,TRUE,1.55741e+11,TRUE,1.70683e+11,TRUE,1.86815e+11,TRUE,2.04234e+11,TRUE,2.22585e+11
"CF",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,3.72518e+11,FALSE,3.49552e+11,FALSE,3.6685e+11,FALSE,3.88769e+11,FALSE,3.90808e+11,FALSE,3.82289e+11,FALSE,3.6462e+11,FALSE,3.53414e+11,FALSE,4.57027e+11,FALSE,5.40418e+11,FALSE,4.98547e+11,FALSE,5.46206e+11,FALSE,5.85156e+11,FALSE,6.16293e+11,FALSE,6.28224e+11,FALSE,6.57803e+11,FALSE,6.71264e+11,FALSE,6.45111e+11,FALSE,6.6398e+11,FALSE,7.05415e+11,FALSE,7.63713e+11,FALSE,8.13587e+11,FALSE,8.8906e+11,FALSE,9.35747e+11,FALSE,9.83628e+11,FALSE,1.036029e+12,FALSE,1.107694e+12,TRUE,7.59705e+11,TRUE,8.29461e+11,TRUE,9.28236e+11,TRUE,1.011121e+12,TRUE,1.108026e+12,TRUE,1.209434e+12,TRUE,1.312231e+12
