id,parent,sector,year,value
afdf,African Development Bank and Fund,environment,2012,12831809.70
afdf,African Development Bank and Fund,environment,2011,12881420.57
afdf,African Development Bank and Fund,environment,2010,6684815.31
afdf,African Development Bank and Fund,environment,2009,647219.25
afdf,African Development Bank and Fund,environment,2008,7379303.96
afdf,African Development Bank and Fund,environment,2007,12092561.04
afdf,African Development Bank and Fund,environment,2006,8953598.94
afdf,African Development Bank and Fund,environment,2005,8444191.93
afdf,African Development Bank and Fund,environment,2004,8910946.31
afdf,African Development Bank and Fund,environment,2003,4383220.11
afdf,African Development Bank and Fund,environment,2002,10158553.64
afdf,African Development Bank and Fund,general-budget-support,2015,67077940.00
afdf,African Development Bank and Fund,general-budget-support,2014,193626255.82
afdf,African Development Bank and Fund,general-budget-support,2013,388428952.77
afdf,African Development Bank and Fund,general-budget-support,2012,300172788.72
afdf,African Development Bank and Fund,general-budget-support,2011,377963623.80
afdf,African Development Bank and Fund,general-budget-support,2010,288393094.84
afdf,African Development Bank and Fund,general-budget-support,2009,385400792.55
afdf,African Development Bank and Fund,general-budget-support,2008,288446697.70
afdf,African Development Bank and Fund,general-budget-support,2007,228220121.25
afdf,African Development Bank and Fund,general-budget-support,2006,131975779.19
afdf,African Development Bank and Fund,general-budget-support,2005,151005612.33
afdf,African Development Bank and Fund,general-budget-support,2004,112018479.50
afdf,African Development Bank and Fund,general-budget-support,2003,112139368.03
afdf,African Development Bank and Fund,general-budget-support,2002,93225769.43
afdf,African Development Bank and Fund,governance-and-security,2015,107921250.00
afdf,African Development Bank and Fund,governance-and-security,2014,59598179.14
afdf,African Development Bank and Fund,governance-and-security,2013,40851243.69
afdf,African Development Bank and Fund,governance-and-security,2012,51736583.69
afdf,African Development Bank and Fund,governance-and-security,2011,69810486.85
afdf,African Development Bank and Fund,governance-and-security,2010,13744457.07
afdf,African Development Bank and Fund,governance-and-security,2009,9713791.05
afdf,African Development Bank and Fund,governance-and-security,2008,111014333.52
afdf,African Development Bank and Fund,governance-and-security,2007,100930851.40
afdf,African Development Bank and Fund,governance-and-security,2006,57925555.28
afdf,African Development Bank and Fund,governance-and-security,2005,132898909.48
afdf,African Development Bank and Fund,governance-and-security,2004,121905183.73
afdf,African Development Bank and Fund,governance-and-security,2003,68835839.18
afdf,African Development Bank and Fund,governance-and-security,2002,104810662.91
afdf,African Development Bank and Fund,health,2015,142851140.00
afdf,African Development Bank and Fund,health,2014,115601030.03
afdf,African Development Bank and Fund,health,2013,37156110.89
afdf,African Development Bank and Fund,health,2012,64280128.29
afdf,African Development Bank and Fund,health,2011,79438598.94
afdf,African Development Bank and Fund,health,2010,72292980.77
afdf,African Development Bank and Fund,health,2009,99053104.07
afdf,African Development Bank and Fund,health,2008,102736888.09
afdf,African Development Bank and Fund,health,2007,76939841.52
afdf,African Development Bank and Fund,health,2006,81205757.79
afdf,African Development Bank and Fund,health,2005,62246065.54
afdf,African Development Bank and Fund,health,2004,77337195.13
afdf,African Development Bank and Fund,health,2003,38789485.14
afdf,African Development Bank and Fund,health,2002,80173681.07
afdf,African Development Bank and Fund,humanitarian,2015,12081440.00
afdf,African Development Bank and Fund,humanitarian,2014,1025305.00
afdf,African Development Bank and Fund,humanitarian,2013,7824.67
afdf,African Development Bank and Fund,humanitarian,2012,324373.49
afdf,African Development Bank and Fund,humanitarian,2011,83875758.28
afdf,African Development Bank and Fund,humanitarian,2010,0.00
afdf,African Development Bank and Fund,humanitarian,2009,0.00
afdf,African Development Bank and Fund,humanitarian,2008,4163164.73
afdf,African Development Bank and Fund,humanitarian,2007,4522279.61
afdf,African Development Bank and Fund,humanitarian,2006,4949210.72
afdf,African Development Bank and Fund,humanitarian,2005,6525778.52
afdf,African Development Bank and Fund,humanitarian,2004,9756590.38
afdf,African Development Bank and Fund,humanitarian,2003,8809931.41
afdf,African Development Bank and Fund,humanitarian,2002,13254258.96
afdf,African Development Bank and Fund,industry-and-trade,2015,1678760.00
afdf,African Development Bank and Fund,industry-and-trade,2014,8003255.30
afdf,African Development Bank and Fund,industry-and-trade,2013,0.00
afdf,African Development Bank and Fund,industry-and-trade,2012,0.00
afdf,African Development Bank and Fund,industry-and-trade,2011,1248032.04
afdf,African Development Bank and Fund,industry-and-trade,2010,0.00
afdf,African Development Bank and Fund,industry-and-trade,2009,15524071.93
afdf,African Development Bank and Fund,industry-and-trade,2008,1597571.17
afdf,African Development Bank and Fund,industry-and-trade,2007,3954865.67
afdf,African Development Bank and Fund,industry-and-trade,2006,4275122.22
afdf,African Development Bank and Fund,industry-and-trade,2005,7777388.31
afdf,African Development Bank and Fund,industry-and-trade,2004,10354669.90
afdf,African Development Bank and Fund,industry-and-trade,2003,5910685.22
afdf,African Development Bank and Fund,industry-and-trade,2002,4954169.86
afdf,African Development Bank and Fund,infrastructure,2015,1046628470.00
afdf,African Development Bank and Fund,infrastructure,2014,760809346.21
afdf,African Development Bank and Fund,infrastructure,2013,882674615.00
afdf,African Development Bank and Fund,infrastructure,2012,721464114.06
afdf,African Development Bank and Fund,infrastructure,2011,713234063.51
afdf,African Development Bank and Fund,infrastructure,2010,513373164.76
afdf,African Development Bank and Fund,infrastructure,2009,407336799.33
afdf,African Development Bank and Fund,infrastructure,2008,232257051.72
afdf,African Development Bank and Fund,infrastructure,2007,153526254.32
afdf,African Development Bank and Fund,infrastructure,2006,137111760.06
afdf,African Development Bank and Fund,infrastructure,2005,145949884.13
afdf,African Development Bank and Fund,infrastructure,2004,162839307.42
afdf,African Development Bank and Fund,infrastructure,2003,104144302.03
afdf,African Development Bank and Fund,infrastructure,2002,129556157.62
afdf,African Development Bank and Fund,other,2015,203777090.00
afdf,African Development Bank and Fund,other,2014,175197373.77
afdf,African Development Bank and Fund,other,2013,123624845.77
afdf,African Development Bank and Fund,other,2012,82530521.23
afdf,African Development Bank and Fund,other,2011,42028350.71
afdf,African Development Bank and Fund,other,2010,87524003.72
afdf,African Development Bank and Fund,other,2009,101465731.68
afdf,African Development Bank and Fund,other,2008,330794195.79
afdf,African Development Bank and Fund,other,2007,76703546.35
afdf,African Development Bank and Fund,other,2006,76039557.80
afdf,African Development Bank and Fund,other,2005,97230940.41
afdf,African Development Bank and Fund,other,2004,36779924.97
afdf,African Development Bank and Fund,other,2003,26138131.04
afdf,African Development Bank and Fund,other,2002,27983394.26
afdf,African Development Bank and Fund,other-social-services,2015,22711010.00
afdf,African Development Bank and Fund,other-social-services,2014,1399490.90
afdf,African Development Bank and Fund,other-social-services,2013,21306734.06
afdf,African Development Bank and Fund,other-social-services,2012,12092436.91
afdf,African Development Bank and Fund,other-social-services,2011,38249670.60
afdf,African Development Bank and Fund,other-social-services,2010,32515042.77
afdf,African Development Bank and Fund,other-social-services,2009,22063453.39
afdf,African Development Bank and Fund,other-social-services,2008,26409804.92
afdf,African Development Bank and Fund,other-social-services,2007,23705974.78
afdf,African Development Bank and Fund,other-social-services,2006,24091821.60
afdf,African Development Bank and Fund,other-social-services,2005,26527102.37
afdf,African Development Bank and Fund,other-social-services,2004,32145958.87
afdf,African Development Bank and Fund,other-social-services,2003,21576821.95
afdf,African Development Bank and Fund,other-social-services,2002,5719713.91
afdf,African Development Bank and Fund,water-and-sanitation,2015,285549530.00
afdf,African Development Bank and Fund,water-and-sanitation,2014,238777686.16
afdf,African Development Bank and Fund,water-and-sanitation,2013,239741074.50
afdf,African Development Bank and Fund,water-and-sanitation,2012,156174652.51
afdf,African Development Bank and Fund,water-and-sanitation,2011,159522146.70
afdf,African Development Bank and Fund,water-and-sanitation,2010,165963515.80
afdf,African Development Bank and Fund,water-and-sanitation,2009,186664307.54
afdf,African Development Bank and Fund,water-and-sanitation,2008,177403149.88
afdf,African Development Bank and Fund,water-and-sanitation,2007,140363544.44
afdf,African Development Bank and Fund,water-and-sanitation,2006,86527165.28
afdf,African Development Bank and Fund,water-and-sanitation,2005,50001835.24
afdf,African Development Bank and Fund,water-and-sanitation,2004,27382347.06
afdf,African Development Bank and Fund,water-and-sanitation,2003,30851646.05
afdf,African Development Bank and Fund,water-and-sanitation,2002,32327774.97
arab-fund-afesd,Arab Fund,agriculture-and-food-security,2015,96425077.50
arab-fund-afesd,Arab Fund,agriculture-and-food-security,2014,129995326.30
arab-fund-afesd,Arab Fund,agriculture-and-food-security,2013,68571564.86
arab-fund-afesd,Arab Fund,agriculture-and-food-security,2012,121147074.07
arab-fund-afesd,Arab Fund,agriculture-and-food-security,2011,140515419.26
arab-fund-afesd,Arab Fund,agriculture-and-food-security,2010,69193944.71
arab-fund-afesd,Arab Fund,agriculture-and-food-security,2009,63383446.76
arab-fund-afesd,Arab Fund,agriculture-and-food-security,2008,60524542.66
arab-fund-afesd,Arab Fund,banking-and-business,2015,0.00
arab-fund-afesd,Arab Fund,banking-and-business,2013,86607.07
arab-fund-afesd,Arab Fund,banking-and-business,2012,0.00
arab-fund-afesd,Arab Fund,education,2015,5322203.30
arab-fund-afesd,Arab Fund,education,2014,3376068.95
arab-fund-afesd,Arab Fund,education,2013,4431900.74
arab-fund-afesd,Arab Fund,education,2012,6588860.61
arab-fund-afesd,Arab Fund,education,2011,10190255.42
arab-fund-afesd,Arab Fund,education,2010,7275356.45
arab-fund-afesd,Arab Fund,education,2009,23937477.69
arab-fund-afesd,Arab Fund,education,2008,44185537.67
arab-fund-afesd,Arab Fund,environment,2015,2968747.00
arab-fund-afesd,Arab Fund,environment,2014,6484413.62
arab-fund-afesd,Arab Fund,environment,2013,7799243.82
arab-fund-afesd,Arab Fund,environment,2012,2107789.22
arab-fund-afesd,Arab Fund,environment,2011,66733.82
arab-fund-afesd,Arab Fund,environment,2010,34402.07
arab-fund-afesd,Arab Fund,environment,2009,528397.12
arab-fund-afesd,Arab Fund,environment,2008,760926.60
arab-fund-afesd,Arab Fund,governance-and-security,2015,159208.80
arab-fund-afesd,Arab Fund,governance-and-security,2014,27348.29
arab-fund-afesd,Arab Fund,governance-and-security,2013,112030.02
arab-fund-afesd,Arab Fund,governance-and-security,2012,2594037.37
arab-fund-afesd,Arab Fund,governance-and-security,2011,57168.73
arab-fund-afesd,Arab Fund,governance-and-security,2010,105529.08
arab-fund-afesd,Arab Fund,governance-and-security,2009,259131.05
arab-fund-afesd,Arab Fund,governance-and-security,2008,543552.22
arab-fund-afesd,Arab Fund,health,2015,2466123.10
arab-fund-afesd,Arab Fund,health,2014,3790148.24
arab-fund-afesd,Arab Fund,health,2013,1205961.06
arab-fund-afesd,Arab Fund,health,2012,4262559.20
arab-fund-afesd,Arab Fund,health,2011,2001965.70
arab-fund-afesd,Arab Fund,health,2010,1232321.74
arab-fund-afesd,Arab Fund,health,2009,1568848.63
arab-fund-afesd,Arab Fund,health,2008,4237078.92
arab-fund-afesd,Arab Fund,humanitarian,2015,8070550.00
arab-fund-afesd,Arab Fund,humanitarian,2014,5997745.08
arab-fund-afesd,Arab Fund,humanitarian,2013,5746230.53
arab-fund-afesd,Arab Fund,humanitarian,2012,3105498.13
arab-fund-afesd,Arab Fund,humanitarian,2011,5891773.75
arab-fund-afesd,Arab Fund,humanitarian,2010,6668889.82
arab-fund-afesd,Arab Fund,humanitarian,2009,10474185.16
arab-fund-afesd,Arab Fund,humanitarian,2008,26032627.86
arab-fund-afesd,Arab Fund,industry-and-trade,2015,1350800.00
arab-fund-afesd,Arab Fund,industry-and-trade,2014,2097340.74
arab-fund-afesd,Arab Fund,industry-and-trade,2013,1386655.27
arab-fund-afesd,Arab Fund,industry-and-trade,2012,1619714.91
arab-fund-afesd,Arab Fund,industry-and-trade,2011,13297292.34
arab-fund-afesd,Arab Fund,industry-and-trade,2010,8039874.16
arab-fund-afesd,Arab Fund,industry-and-trade,2009,17284622.46
arab-fund-afesd,Arab Fund,industry-and-trade,2008,20142779.40
arab-fund-afesd,Arab Fund,infrastructure,2015,389080226.44
arab-fund-afesd,Arab Fund,infrastructure,2014,497894617.92
arab-fund-afesd,Arab Fund,infrastructure,2013,604652629.15
arab-fund-afesd,Arab Fund,infrastructure,2012,548953828.21
arab-fund-afesd,Arab Fund,infrastructure,2011,464141329.51
arab-fund-afesd,Arab Fund,infrastructure,2010,767036794.67
arab-fund-afesd,Arab Fund,infrastructure,2009,576741847.61
arab-fund-afesd,Arab Fund,infrastructure,2008,621816805.81
arab-fund-afesd,Arab Fund,other,2015,1228458.04
arab-fund-afesd,Arab Fund,other,2014,183347.85
arab-fund-afesd,Arab Fund,other,2013,18207312.37
arab-fund-afesd,Arab Fund,other,2012,4037663.89
arab-fund-afesd,Arab Fund,other,2011,2757268.23
arab-fund-afesd,Arab Fund,other,2010,5053288.00
arab-fund-afesd,Arab Fund,other,2009,4728003.67
arab-fund-afesd,Arab Fund,other,2008,2830061.37
arab-fund-afesd,Arab Fund,other-social-services,2015,26461489.20
arab-fund-afesd,Arab Fund,other-social-services,2014,45832471.47
arab-fund-afesd,Arab Fund,other-social-services,2013,20966008.34
arab-fund-afesd,Arab Fund,other-social-services,2012,5337410.94
arab-fund-afesd,Arab Fund,other-social-services,2011,11496079.69
arab-fund-afesd,Arab Fund,other-social-services,2010,21844503.56
arab-fund-afesd,Arab Fund,other-social-services,2009,28850878.76
arab-fund-afesd,Arab Fund,other-social-services,2008,19093978.07
arab-fund-afesd,Arab Fund,water-and-sanitation,2015,84841848.80
arab-fund-afesd,Arab Fund,water-and-sanitation,2014,98172662.46
arab-fund-afesd,Arab Fund,water-and-sanitation,2013,74711693.53
arab-fund-afesd,Arab Fund,water-and-sanitation,2012,74354506.08
arab-fund-afesd,Arab Fund,water-and-sanitation,2011,85568647.47
arab-fund-afesd,Arab Fund,water-and-sanitation,2010,80172966.20
arab-fund-afesd,Arab Fund,water-and-sanitation,2009,111878037.26
arab-fund-afesd,Arab Fund,water-and-sanitation,2008,174317831.97
asdb-special-funds,Asian Development Bank,agriculture-and-food-security,2015,190301740.00
asdb-special-funds,Asian Development Bank,agriculture-and-food-security,2014,188467018.49
asdb-special-funds,Asian Development Bank,agriculture-and-food-security,2013,188264683.01
asdb-special-funds,Asian Development Bank,agriculture-and-food-security,2012,131113825.09
asdb-special-funds,Asian Development Bank,agriculture-and-food-security,2011,109672544.13
asdb-special-funds,Asian Development Bank,agriculture-and-food-security,2010,100694662.02
asdb-special-funds,Asian Development Bank,agriculture-and-food-security,2009,0.00
asdb-special-funds,Asian Development Bank,agriculture-and-food-security,2007,0.00
asdb-special-funds,Asian Development Bank,agriculture-and-food-security,2006,0.00
asdb-special-funds,Asian Development Bank,agriculture-and-food-security,2005,0.00
asdb-special-funds,Asian Development Bank,agriculture-and-food-security,2004,0.00
asdb-special-funds,Asian Development Bank,agriculture-and-food-security,2003,0.00
asdb-special-funds,Asian Development Bank,agriculture-and-food-security,2002,0.00
asdb-special-funds,Asian Development Bank,banking-and-business,2015,163050100.00
asdb-special-funds,Asian Development Bank,banking-and-business,2014,265251122.89
asdb-special-funds,Asian Development Bank,banking-and-business,2013,122599625.55
asdb-special-funds,Asian Development Bank,banking-and-business,2012,76336173.76
asdb-special-funds,Asian Development Bank,banking-and-business,2011,75581961.64
asdb-special-funds,Asian Development Bank,banking-and-business,2010,46652871.81
asdb-special-funds,Asian Development Bank,banking-and-business,2008,0.00
asdb-special-funds,Asian Development Bank,banking-and-business,2007,0.00
asdb-special-funds,Asian Development Bank,banking-and-business,2006,0.00
asdb-special-funds,Asian Development Bank,banking-and-business,2005,0.00
asdb-special-funds,Asian Development Bank,banking-and-business,2004,0.00
asdb-special-funds,Asian Development Bank,banking-and-business,2003,0.00
asdb-special-funds,Asian Development Bank,banking-and-business,2002,0.00
asdb-special-funds,Asian Development Bank,debt-relief,2015,6073590.00
asdb-special-funds,Asian Development Bank,debt-relief,2014,5491311.48
asdb-special-funds,Asian Development Bank,debt-relief,2013,4806451.34
asdb-special-funds,Asian Development Bank,debt-relief,2011,920239.74
asdb-special-funds,Asian Development Bank,debt-relief,2010,692735.44
asdb-special-funds,Asian Development Bank,education,2015,245775020.00
asdb-special-funds,Asian Development Bank,education,2014,199865474.15
asdb-special-funds,Asian Development Bank,education,2013,198829331.48
asdb-special-funds,Asian Development Bank,education,2012,202724859.43
asdb-special-funds,Asian Development Bank,education,2011,230226058.38
asdb-special-funds,Asian Development Bank,education,2010,197604984.79
asdb-special-funds,Asian Development Bank,education,2009,0.00
asdb-special-funds,Asian Development Bank,education,2008,0.00
asdb-special-funds,Asian Development Bank,education,2007,0.00
asdb-special-funds,Asian Development Bank,education,2006,0.00
asdb-special-funds,Asian Development Bank,education,2005,0.00
asdb-special-funds,Asian Development Bank,education,2004,0.00
asdb-special-funds,Asian Development Bank,education,2003,0.00
asdb-special-funds,Asian Development Bank,education,2002,0.00
asdb-special-funds,Asian Development Bank,environment,2015,44552660.00
asdb-special-funds,Asian Development Bank,environment,2014,29342064.77
asdb-special-funds,Asian Development Bank,environment,2013,15249542.87
asdb-special-funds,Asian Development Bank,environment,2012,24564613.30
