id,parent,year,purpose-code,purpose-name,total-purpose-value,bundle,total-bundle-value
afdb,African Development Bank and Fund,2014,15110,Public sector policy and administrative management,1403871.89,technical-ooperation,167786.53
afdb,African Development Bank and Fund,2014,15110,Public sector policy and administrative management,1403871.89,mixed-project-aid,1236085.36
afdb,African Development Bank and Fund,2014,14040,River basins development,215930.43,mixed-project-aid,215930.43
afdb,African Development Bank and Fund,2014,14022,Sanitation - large systems,376151.69,mixed-project-aid,376151.69
afdb,African Development Bank and Fund,2014,14010,Water resources policy/administrative management,2267364.21,mixed-project-aid,2267364.21
afdb,African Development Bank and Fund,2014,12250,Infectious disease control,0.00,mixed-project-aid,0.00
afdb,African Development Bank and Fund,2014,12110,Health policy & administrative management,595806.95,mixed-project-aid,595806.95
afdb,African Development Bank and Fund,2014,11420,Higher education,370439.30,mixed-project-aid,370439.30
afdb,African Development Bank and Fund,2014,11220,Primary education,0.00,mixed-project-aid,0.00
afdb,African Development Bank and Fund,2014,11110,Education policy & administrative management,87765.32,mixed-project-aid,87765.32
afdb,African Development Bank and Fund,2014,41030,Bio-diversity,0.00,mixed-project-aid,0.00
afdb,African Development Bank and Fund,2014,43010,Multisector aid,1859240.89,mixed-project-aid,1580138.82
afdb,African Development Bank and Fund,2014,60020,Debt forgiveness,123105264.46,non-transfer,123105264.46
afdb,African Development Bank and Fund,2014,22010,Communications policy & administrative management,298263.45,cash-grant,86129.88
afdf,African Development Bank and Fund,2014,21010,Transport policy & administrative management,829519.10,mixed-project-aid,829519.10
afdf,African Development Bank and Fund,2014,21010,Transport policy & administrative management,829519.10,technical-ooperation,0.00
afdf,African Development Bank and Fund,2014,21020,Road transport,612187211.94,cash-grant,196303480.01
afdf,African Development Bank and Fund,2014,21020,Road transport,612187211.94,cash-loan-equity,410361853.80
afdf,African Development Bank and Fund,2014,21020,Road transport,612187211.94,mixed-project-aid,5521878.13
afdf,African Development Bank and Fund,2014,21030,Rail transport,0.00,cash-loan-equity,0.00
afdf,African Development Bank and Fund,2014,21040,Water transport,0.00,cash-loan-equity,0.00
afdf,African Development Bank and Fund,2014,21050,Air transport,29227481.14,cash-loan-equity,0.00
afdf,African Development Bank and Fund,2014,21050,Air transport,29227481.14,cash-grant,28870995.07
afdf,African Development Bank and Fund,2014,21050,Air transport,29227481.14,mixed-project-aid,356486.07
afdf,African Development Bank and Fund,2014,22010,Communications policy & administrative management,0.00,cash-loan-equity,0.00
afdf,African Development Bank and Fund,2014,22010,Communications policy & administrative management,0.00,mixed-project-aid,0.00
afdf,African Development Bank and Fund,2014,22020,Telecommunications,0.00,cash-loan-equity,0.00
afdf,African Development Bank and Fund,2014,23110,Energy policy and administrative management,8766846.25,cash-loan-equity,8450741.95
afdf,African Development Bank and Fund,2014,23110,Energy policy and administrative management,8766846.25,mixed-project-aid,316104.30
afdf,African Development Bank and Fund,2014,23220,Hydro-electric power plants,3216435.90,cash-loan-equity,0.00
afdf,African Development Bank and Fund,2014,23220,Hydro-electric power plants,3216435.90,cash-grant,3216435.90
afdf,African Development Bank and Fund,2014,23220,Hydro-electric power plants,3216435.90,mixed-project-aid,0.00
afdf,African Development Bank and Fund,2014,23260,Geothermal energy,29727049.79,cash-loan-equity,29727049.79
afdf,African Development Bank and Fund,2014,23310,"Energy generation, non-renewable sources, unspecified",0.00,cash-loan-equity,0.00
afdf,African Development Bank and Fund,2014,23630,Electric power transmission and distribution,156114221.99,cash-loan-equity,97076990.15
afdf,African Development Bank and Fund,2014,23630,Electric power transmission and distribution,156114221.99,cash-grant,57701495.45
afdf,African Development Bank and Fund,2014,23630,Electric power transmission and distribution,156114221.99,mixed-project-aid,1335736.39
afdf,African Development Bank and Fund,2014,24030,Formal sector financial intermediaries,11093540.12,cash-loan-equity,0.00
afdf,African Development Bank and Fund,2014,24030,Formal sector financial intermediaries,11093540.12,cash-grant,11093540.12
afdf,African Development Bank and Fund,2014,31110,Agricultural policy & administrative management,61252041.45,cash-loan-equity,41086265.99
afdf,African Development Bank and Fund,2014,31110,Agricultural policy & administrative management,61252041.45,cash-grant,18299927.83
afdf,African Development Bank and Fund,2014,31110,Agricultural policy & administrative management,61252041.45,mixed-project-aid,1865847.63
afdf,African Development Bank and Fund,2014,31120,Agricultural development,9762490.78,cash-loan-equity,4989109.08
afdf,African Development Bank and Fund,2014,31120,Agricultural development,9762490.78,cash-grant,4773381.70
afdf,African Development Bank and Fund,2014,31140,Agricultural water resources,23607744.43,cash-loan-equity,22649027.54
afdf,African Development Bank and Fund,2014,31140,Agricultural water resources,23607744.43,mixed-project-aid,958716.89
afdf,African Development Bank and Fund,2014,31161,Food crop production,8078434.42,cash-loan-equity,8078434.42
afdf,African Development Bank and Fund,2014,31161,Food crop production,8078434.42,mixed-project-aid,0.00
afdf,African Development Bank and Fund,2014,31162,Industrial crops/export crops,1949520.49,cash-loan-equity,0.00
afdf,African Development Bank and Fund,2014,31162,Industrial crops/export crops,1949520.49,cash-grant,1949520.49
afdf,African Development Bank and Fund,2014,31163,Livestock,10712353.91,cash-loan-equity,8351515.08
afdf,African Development Bank and Fund,2014,31163,Livestock,10712353.91,cash-grant,1986766.10
afdf,African Development Bank and Fund,2014,31163,Livestock,10712353.91,mixed-project-aid,374072.73
afdf,African Development Bank and Fund,2014,31182,Agricultural research,15177982.86,cash-grant,15177982.86
afdf,African Development Bank and Fund,2014,31191,Agricultural services,19285034.63,cash-loan-equity,19285034.63
afdf,African Development Bank and Fund,2014,31220,Forestry development,7298432.07,cash-loan-equity,6629936.75
afdf,African Development Bank and Fund,2014,31220,Forestry development,7298432.07,mixed-project-aid,668495.33
afdf,African Development Bank and Fund,2014,31320,Fishery development,8780198.70,cash-loan-equity,7359810.07
afdf,African Development Bank and Fund,2014,31320,Fishery development,8780198.70,cash-grant,1191810.03
afdf,African Development Bank and Fund,2014,31320,Fishery development,8780198.70,mixed-project-aid,228578.60
afdf,African Development Bank and Fund,2014,32110,Industrial policy & admin. mgmt,0.00,cash-loan-equity,0.00
afdf,African Development Bank and Fund,2014,32130,Small and medium-sized enterprises (SME) development,8837016.58,cash-loan-equity,8837016.58
afdf,African Development Bank and Fund,2014,32161,Agro-industries,0.00,cash-loan-equity,0.00
afdf,African Development Bank and Fund,2014,32210,Mineral/mining policy & admin. mgmt,0.00,cash-loan-equity,0.00
afdf,African Development Bank and Fund,2014,33120,Trade facilitation,0.00,cash-loan-equity,0.00
afdf,African Development Bank and Fund,2014,41010,Environmental policy and admin. mgmt,27161821.71,cash-loan-equity,7972323.06
afdf,African Development Bank and Fund,2014,41010,Environmental policy and admin. mgmt,27161821.71,cash-grant,19105324.55
afdf,African Development Bank and Fund,2014,41010,Environmental policy and admin. mgmt,27161821.71,mixed-project-aid,84174.09
afdf,African Development Bank and Fund,2014,43010,Multisector aid,150654220.62,cash-loan-equity,85858589.13
afdf,African Development Bank and Fund,2014,43010,Multisector aid,150654220.62,cash-grant,58312296.34
afdf,African Development Bank and Fund,2014,43010,Multisector aid,150654220.62,mixed-project-aid,6483335.15
afdf,African Development Bank and Fund,2014,43030,Urban development and management,0.00,cash-loan-equity,0.00
afdf,African Development Bank and Fund,2014,43040,Rural development,42794824.59,cash-loan-equity,29180185.36
afdf,African Development Bank and Fund,2014,43040,Rural development,42794824.59,cash-grant,13600611.40
afdf,African Development Bank and Fund,2014,43040,Rural development,42794824.59,mixed-project-aid,14027.83
afdf,African Development Bank and Fund,2014,51010,General budget support-related aid,213797807.06,cash-loan-equity,155297557.68
afdf,African Development Bank and Fund,2014,51010,General budget support-related aid,213797807.06,cash-grant,58500249.38
afdf,African Development Bank and Fund,2014,52010,Food aid/Food security programmes,2341936.68,cash-loan-equity,2341936.68
afdf,African Development Bank and Fund,2014,52010,Food aid/Food security programmes,2341936.68,commodities-food,0.00
afdf,African Development Bank and Fund,2014,60020,Debt forgiveness,219134.95,non-transfer,219134.95
afdf,African Development Bank and Fund,2014,73010,Reconstruction relief and rehabilitation,1132118.99,cash-loan-equity,589299.86
afdf,African Development Bank and Fund,2014,73010,Reconstruction relief and rehabilitation,1132118.99,mixed-project-aid,542819.12
afdf,African Development Bank and Fund,2014,15110,Public sector policy and administrative management,63667836.35,mixed-project-aid,6551241.53
afdf,African Development Bank and Fund,2014,11110,Education policy & administrative management,7987666.19,cash-grant,7283409.02
afdf,African Development Bank and Fund,2014,11110,Education policy & administrative management,7987666.19,cash-loan-equity,390646.16
afdf,African Development Bank and Fund,2014,11110,Education policy & administrative management,7987666.19,mixed-project-aid,313611.02
afdf,African Development Bank and Fund,2014,11130,Teacher training,0.00,cash-loan-equity,0.00
afdf,African Development Bank and Fund,2014,11220,Primary education,0.00,cash-loan-equity,0.00
afdf,African Development Bank and Fund,2014,11320,Secondary education,16853143.85,cash-loan-equity,16853143.85
afdf,African Development Bank and Fund,2014,11330,Vocational training,19769371.21,cash-loan-equity,14975231.02
afdf,African Development Bank and Fund,2014,11330,Vocational training,19769371.21,cash-grant,3994363.99
afdf,African Development Bank and Fund,2014,11330,Vocational training,19769371.21,mixed-project-aid,799776.20
afdf,African Development Bank and Fund,2014,11420,Higher education,24026459.69,cash-loan-equity,7601620.56
afdf,African Development Bank and Fund,2014,11420,Higher education,24026459.69,cash-grant,16424839.13
afdf,African Development Bank and Fund,2014,12110,Health policy & administrative management,36046777.55,cash-loan-equity,28312965.08
afdf,African Development Bank and Fund,2014,12110,Health policy & administrative management,36046777.55,cash-grant,6604419.54
afdf,African Development Bank and Fund,2014,12110,Health policy & administrative management,36046777.55,mixed-project-aid,1129392.93
afdf,African Development Bank and Fund,2014,12220,Basic health care,0.00,cash-loan-equity,0.00
afdf,African Development Bank and Fund,2014,12230,Basic health infrastructure,0.00,cash-loan-equity,0.00
afdf,African Development Bank and Fund,2014,12250,Infectious disease control,85247398.66,cash-loan-equity,33497444.82
afdf,African Development Bank and Fund,2014,12250,Infectious disease control,85247398.66,cash-grant,51749953.84
afdf,African Development Bank and Fund,2014,13020,Reproductive health care,6349911.17,cash-loan-equity,6349911.17
afdf,African Development Bank and Fund,2014,14010,Water resources policy/administrative management,245055526.27,cash-loan-equity,168396474.86
afdf,African Development Bank and Fund,2014,14010,Water resources policy/administrative management,245055526.27,cash-grant,74955831.99
afdf,African Development Bank and Fund,2014,14010,Water resources policy/administrative management,245055526.27,mixed-project-aid,1703219.42
afdf,African Development Bank and Fund,2014,14021,Water supply - large systems,0.00,cash-loan-equity,0.00
afdf,African Development Bank and Fund,2014,14022,Sanitation - large systems,16382739.50,cash-loan-equity,16368862.74
afdf,African Development Bank and Fund,2014,14022,Sanitation - large systems,16382739.50,mixed-project-aid,13876.76
afdf,African Development Bank and Fund,2014,14040,River basins development,2214746.88,cash-grant,2214746.88
afdf,African Development Bank and Fund,2014,15110,Public sector policy and administrative management,63667836.35,cash-loan-equity,3421362.05
afdf,African Development Bank and Fund,2014,15110,Public sector policy and administrative management,63667836.35,cash-grant,53639426.67
afdf,African Development Bank and Fund,2014,15110,Public sector policy and administrative management,63667836.35,technical-ooperation,55806.11
afdf,African Development Bank and Fund,2014,15111,Public finance management,1532593.51,cash-grant,1472231.85
afdf,African Development Bank and Fund,2014,15111,Public finance management,1532593.51,mixed-project-aid,60361.66
afdf,African Development Bank and Fund,2014,15170,Women's equality organisations and institutions,606554.59,cash-loan-equity,392728.23
afdf,African Development Bank and Fund,2014,15170,Women's equality organisations and institutions,606554.59,mixed-project-aid,213826.36
afdf,African Development Bank and Fund,2014,16020,Employment policy and administrative management,1545286.74,cash-grant,1545286.74
afdf,African Development Bank and Fund,2014,21010,Transport policy & administrative management,829519.10,cash-loan-equity,0.00
arab-fund-afesd,Arab Fund,2014,16010,Social/welfare services,49921521.21,cash-loan-equity,49921521.21
arab-fund-afesd,Arab Fund,2014,16030,Housing policy and administrative management,0.00,cash-loan-equity,0.00
arab-fund-afesd,Arab Fund,2014,16061,Culture and recreation,685674.87,mixed-project-aid,685674.87
arab-fund-afesd,Arab Fund,2014,21010,Transport policy & administrative management,5397766.04,cash-loan-equity,5397766.04
arab-fund-afesd,Arab Fund,2014,21010,Transport policy & administrative management,5397766.04,mixed-project-aid,0.00
arab-fund-afesd,Arab Fund,2014,21020,Road transport,105888938.03,cash-loan-equity,105706480.10
arab-fund-afesd,Arab Fund,2014,21020,Road transport,105888938.03,mixed-project-aid,182457.93
arab-fund-afesd,Arab Fund,2014,21030,Rail transport,115754.61,mixed-project-aid,115754.61
arab-fund-afesd,Arab Fund,2014,21040,Water transport,26842813.04,cash-loan-equity,26842813.04
arab-fund-afesd,Arab Fund,2014,21050,Air transport,41969056.96,cash-loan-equity,41969056.96
arab-fund-afesd,Arab Fund,2014,22020,Telecommunications,0.00,cash-loan-equity,0.00
arab-fund-afesd,Arab Fund,2014,16010,Social/welfare services,49921521.21,technical-ooperation,0.00
arab-fund-afesd,Arab Fund,2014,23110,Energy policy and administrative management,8830350.11,cash-loan-equity,1098319.59
arab-fund-afesd,Arab Fund,2014,23110,Energy policy and administrative management,8830350.11,cash-grant,5894119.58
arab-fund-afesd,Arab Fund,2014,23110,Energy policy and administrative management,8830350.11,mixed-project-aid,1837910.94
arab-fund-afesd,Arab Fund,2014,23310,"Energy generation, non-renewable sources, unspecified",349749393.92,cash-loan-equity,349749393.92
arab-fund-afesd,Arab Fund,2014,23630,Electric power transmission and distribution,10970095.43,cash-grant,337924.68
arab-fund-afesd,Arab Fund,2014,23630,Electric power transmission and distribution,10970095.43,cash-loan-equity,10632170.75
arab-fund-afesd,Arab Fund,2014,31110,Agricultural policy & administrative management,25795140.55,gpgs-nngos,166352.17
arab-fund-afesd,Arab Fund,2014,31110,Agricultural policy & administrative management,25795140.55,cash-loan-equity,20975836.80
arab-fund-afesd,Arab Fund,2014,31110,Agricultural policy & administrative management,25795140.55,cash-grant,1146979.59
arab-fund-afesd,Arab Fund,2014,31110,Agricultural policy & administrative management,25795140.55,mixed-project-aid,3505971.99
arab-fund-afesd,Arab Fund,2014,31140,Agricultural water resources,117009435.72,cash-loan-equity,117009435.72
arab-fund-afesd,Arab Fund,2014,31163,Livestock,733373.02,cash-loan-equity,733373.02
arab-fund-afesd,Arab Fund,2014,32110,Industrial policy & admin. mgmt,1751757.19,cash-loan-equity,1751757.19
arab-fund-afesd,Arab Fund,2014,32162,Forest industries,564079.83,mixed-project-aid,564079.83
arab-fund-afesd,Arab Fund,2014,32210,Mineral/mining policy & admin. mgmt,0.00,cash-loan-equity,0.00
arab-fund-afesd,Arab Fund,2014,33210,Tourism policy and admin. management,0.00,cash-loan-equity,0.00
arab-fund-afesd,Arab Fund,2014,41010,Environmental policy and admin. mgmt,52135.54,mixed-project-aid,52135.54
arab-fund-afesd,Arab Fund,2014,41050,Flood prevention/control,7107809.83,cash-loan-equity,7107809.83
arab-fund-afesd,Arab Fund,2014,43010,Multisector aid,202448.62,cash-loan-equity,0.00
arab-fund-afesd,Arab Fund,2014,43010,Multisector aid,202448.62,mixed-project-aid,202448.62
arab-fund-afesd,Arab Fund,2014,73010,Reconstruction relief and rehabilitation,6622576.78,cash-grant,6622576.78
arab-fund-afesd,Arab Fund,2014,74010,Disaster prevention and preparedness,0.00,cash-loan-equity,0.00
arab-fund-afesd,Arab Fund,2014,15110,Public sector policy and administrative management,30197.37,mixed-project-aid,30197.37
arab-fund-afesd,Arab Fund,2014,14020,Water supply and sanitation - large systems,102178568.10,mixed-project-aid,0.00
arab-fund-afesd,Arab Fund,2014,14020,Water supply and sanitation - large systems,102178568.10,cash-loan-equity,102178568.10
arab-fund-afesd,Arab Fund,2014,14010,Water resources policy/administrative management,6221503.26,mixed-project-aid,86892.53
arab-fund-afesd,Arab Fund,2014,14010,Water resources policy/administrative management,6221503.26,cash-loan-equity,6134610.73
arab-fund-afesd,Arab Fund,2014,12240,Basic nutrition,1066155.62,cash-grant,1066155.62
arab-fund-afesd,Arab Fund,2014,12191,Medical services,673846.41,mixed-project-aid,673846.41
arab-fund-afesd,Arab Fund,2014,12181,Medical education/training,86892.53,mixed-project-aid,86892.53
arab-fund-afesd,Arab Fund,2014,12110,Health policy & administrative management,2358102.86,mixed-project-aid,1829796.65
arab-fund-afesd,Arab Fund,2014,12110,Health policy & administrative management,2358102.86,cash-grant,0.00
arab-fund-afesd,Arab Fund,2014,12110,Health policy & administrative management,2358102.86,cash-loan-equity,528306.21
arab-fund-afesd,Arab Fund,2014,11120,Education facilities and training,820172.43,mixed-project-aid,797948.19
arab-fund-afesd,Arab Fund,2014,11120,Education facilities and training,820172.43,gpgs-nngos,22224.24
arab-fund-afesd,Arab Fund,2014,11110,Education policy & administrative management,2907607.84,mixed-project-aid,747275.34
arab-fund-afesd,Arab Fund,2014,11110,Education policy & administrative management,2907607.84,gpgs-nngos,460714.22
arab-fund-afesd,Arab Fund,2014,11110,Education policy & administrative management,2907607.84,cash-loan-equity,1699618.28
asdb-special-funds,Asian Development Bank,2014,33210,Tourism policy and admin. management,12824358.41,cash-grant,1287747.20
asdb-special-funds,Asian Development Bank,2014,33210,Tourism policy and admin. management,12824358.41,cash-loan-equity,8331663.02
asdb-special-funds,Asian Development Bank,2014,33210,Tourism policy and admin. management,12824358.41,technical-ooperation,3204948.18
asdb-special-funds,Asian Development Bank,2014,41050,Flood prevention/control,32398855.60,cash-loan-equity,29098618.04
asdb-special-funds,Asian Development Bank,2014,41050,Flood prevention/control,32398855.60,technical-ooperation,769755.75
asdb-special-funds,Asian Development Bank,2014,41050,Flood prevention/control,32398855.60,mixed-project-aid,1307823.69
asdb-special-funds,Asian Development Bank,2014,41050,Flood prevention/control,32398855.60,cash-grant,1222658.12
asdb-special-funds,Asian Development Bank,2014,43010,Multisector aid,143643.25,technical-ooperation,143643.25
asdb-special-funds,Asian Development Bank,2014,43030,Urban development and management,68900078.43,cash-loan-equity,60285285.65
asdb-special-funds,Asian Development Bank,2014,43030,Urban development and management,68900078.43,cash-grant,3956216.26
asdb-special-funds,Asian Development Bank,2014,43030,Urban development and management,68900078.43,mixed-project-aid,1081591.03
asdb-special-funds,Asian Development Bank,2014,43030,Urban development and management,68900078.43,technical-ooperation,3576985.50
asdb-special-funds,Asian Development Bank,2014,60020,Debt forgiveness,6063384.06,non-transfer,6063384.06
asdb-special-funds,Asian Development Bank,2014,99810,Sectors not specified,18777561.09,cash-loan-equity,13011397.72
asdb-special-funds,Asian Development Bank,2014,99810,Sectors not specified,18777561.09,technical-ooperation,5766163.37
asdb-special-funds,Asian Development Bank,2014,31191,Agricultural services,4800311.05,cash-loan-equity,1132728.63
asdb-special-funds,Asian Development Bank,2014,11110,Education policy & administrative management,80337212.36,cash-loan-equity,66154197.75
asdb-special-funds,Asian Development Bank,2014,11110,Education policy & administrative management,80337212.36,cash-grant,12034096.65
asdb-special-funds,Asian Development Bank,2014,11110,Education policy & administrative management,80337212.36,mixed-project-aid,602785.45
asdb-special-funds,Asian Development Bank,2014,11110,Education policy & administrative management,80337212.36,technical-ooperation,1546132.51
asdb-special-funds,Asian Development Bank,2014,11220,Primary education,15385754.84,technical-ooperation,987324.61
asdb-special-funds,Asian Development Bank,2014,11220,Primary education,15385754.84,cash-loan-equity,9483366.62
asdb-special-funds,Asian Development Bank,2014,11220,Primary education,15385754.84,cash-grant,4915063.61
asdb-special-funds,Asian Development Bank,2014,11230,Basic life skills for youth & adults,5068736.50,cash-grant,4915063.61
asdb-special-funds,Asian Development Bank,2014,11230,Basic life skills for youth & adults,5068736.50,technical-ooperation,153672.89
asdb-special-funds,Asian Development Bank,2014,11320,Secondary education,42589233.36,mixed-project-aid,801045.92
asdb-special-funds,Asian Development Bank,2014,11320,Secondary education,42589233.36,cash-loan-equity,36305769.86
asdb-special-funds,Asian Development Bank,2014,11320,Secondary education,42589233.36,cash-grant,5052832.75
asdb-special-funds,Asian Development Bank,2014,11320,Secondary education,42589233.36,technical-ooperation,429584.83
asdb-special-funds,Asian Development Bank,2014,11330,Vocational training,55928301.01,cash-grant,15193534.88
asdb-special-funds,Asian Development Bank,2014,11330,Vocational training,55928301.01,cash-loan-equity,37536898.97
asdb-special-funds,Asian Development Bank,2014,11330,Vocational training,55928301.01,technical-ooperation,3197867.16
asdb-special-funds,Asian Development Bank,2014,11420,Higher education,21377775.17,cash-grant,7320347.55
asdb-special-funds,Asian Development Bank,2014,11420,Higher education,21377775.17,cash-loan-equity,12986256.63
asdb-special-funds,Asian Development Bank,2014,11420,Higher education,21377775.17,technical-ooperation,1071170.99
asdb-special-funds,Asian Development Bank,2014,12110,Health policy & administrative management,36699172.67,mixed-project-aid,1246440.23
asdb-special-funds,Asian Development Bank,2014,12110,Health policy & administrative management,36699172.67,cash-loan-equity,30544072.79
asdb-special-funds,Asian Development Bank,2014,12110,Health policy & administrative management,36699172.67,cash-grant,4058087.66
asdb-special-funds,Asian Development Bank,2014,12110,Health policy & administrative management,36699172.67,technical-ooperation,850571.98
asdb-special-funds,Asian Development Bank,2014,12220,Basic health care,14487324.68,cash-grant,2147417.52
asdb-special-funds,Asian Development Bank,2014,12220,Basic health care,14487324.68,technical-ooperation,495230.20
asdb-special-funds,Asian Development Bank,2014,12220,Basic health care,14487324.68,cash-loan-equity,11844676.96
asdb-special-funds,Asian Development Bank,2014,12240,Basic nutrition,380709.72,cash-loan-equity,66987.42
asdb-special-funds,Asian Development Bank,2014,12240,Basic nutrition,380709.72,technical-ooperation,313722.30
asdb-special-funds,Asian Development Bank,2014,13020,Reproductive health care,151148.94,technical-ooperation,151148.94
asdb-special-funds,Asian Development Bank,2014,13040,Std control including hiv/aids,5392281.33,mixed-project-aid,813360.94
asdb-special-funds,Asian Development Bank,2014,13040,Std control including hiv/aids,5392281.33,technical-ooperation,0.00
asdb-special-funds,Asian Development Bank,2014,13040,Std control including hiv/aids,5392281.33,cash-grant,1057686.21
asdb-special-funds,Asian Development Bank,2014,13040,Std control including hiv/aids,5392281.33,cash-loan-equity,3521234.17
asdb-special-funds,Asian Development Bank,2014,14010,Water resources policy/administrative management,12271488.00,technical-ooperation,237805.75
asdb-special-funds,Asian Development Bank,2014,14010,Water resources policy/administrative management,12271488.00,cash-loan-equity,11522201.63
asdb-special-funds,Asian Development Bank,2014,14010,Water resources policy/administrative management,12271488.00,mixed-project-aid,511480.63
asdb-special-funds,Asian Development Bank,2014,14015,Water resources protection,29458138.95,mixed-project-aid,528683.32
asdb-special-funds,Asian Development Bank,2014,14015,Water resources protection,29458138.95,technical-ooperation,4339450.23
asdb-special-funds,Asian Development Bank,2014,14015,Water resources protection,29458138.95,cash-loan-equity,23839634.12
asdb-special-funds,Asian Development Bank,2014,14015,Water resources protection,29458138.95,cash-grant,750371.28
asdb-special-funds,Asian Development Bank,2014,14022,Sanitation - large systems,74371925.66,technical-ooperation,243856.09
asdb-special-funds,Asian Development Bank,2014,14022,Sanitation - large systems,74371925.66,cash-loan-equity,70741098.99
asdb-special-funds,Asian Development Bank,2014,14022,Sanitation - large systems,74371925.66,cash-grant,3386970.58
asdb-special-funds,Asian Development Bank,2014,14031,Basic drinking water supply,189631769.66,technical-ooperation,5280141.95
asdb-special-funds,Asian Development Bank,2014,14031,Basic drinking water supply,189631769.66,mixed-project-aid,2892670.40
asdb-special-funds,Asian Development Bank,2014,14031,Basic drinking water supply,189631769.66,cash-loan-equity,160154289.32
asdb-special-funds,Asian Development Bank,2014,14031,Basic drinking water supply,189631769.66,cash-grant,21304668.00
asdb-special-funds,Asian Development Bank,2014,14032,Basic sanitation,9394274.93,cash-grant,3132421.29
asdb-special-funds,Asian Development Bank,2014,14032,Basic sanitation,9394274.93,cash-loan-equity,5571390.71
asdb-special-funds,Asian Development Bank,2014,14032,Basic sanitation,9394274.93,mixed-project-aid,432354.81
asdb-special-funds,Asian Development Bank,2014,14032,Basic sanitation,9394274.93,technical-ooperation,258108.12
asdb-special-funds,Asian Development Bank,2014,14050,Waste management/disposal,12529450.33,cash-loan-equity,8977926.89
asdb-special-funds,Asian Development Bank,2014,14050,Waste management/disposal,12529450.33,cash-grant,16866.02
asdb-special-funds,Asian Development Bank,2014,14050,Waste management/disposal,12529450.33,mixed-project-aid,1104365.35
asdb-special-funds,Asian Development Bank,2014,14050,Waste management/disposal,12529450.33,technical-ooperation,2430292.07
asdb-special-funds,Asian Development Bank,2014,15110,Public sector policy and administrative management,30090089.13,cash-loan-equity,1807935.65
asdb-special-funds,Asian Development Bank,2014,15110,Public sector policy and administrative management,30090089.13,cash-grant,5349103.76
asdb-special-funds,Asian Development Bank,2014,15110,Public sector policy and administrative management,30090089.13,mixed-project-aid,1512966.26
asdb-special-funds,Asian Development Bank,2014,15110,Public sector policy and administrative management,30090089.13,technical-ooperation,21420083.46
asdb-special-funds,Asian Development Bank,2014,15111,Public finance management,84912330.05,mixed-project-aid,1155345.00
asdb-special-funds,Asian Development Bank,2014,15111,Public finance management,84912330.05,technical-ooperation,5218940.50
asdb-special-funds,Asian Development Bank,2014,15111,Public finance management,84912330.05,cash-grant,8382838.05
asdb-special-funds,Asian Development Bank,2014,15111,Public finance management,84912330.05,cash-loan-equity,70155206.51
asdb-special-funds,Asian Development Bank,2014,15112,Decentralisation and support to subnational government,2610841.89,technical-ooperation,1151794.60
asdb-special-funds,Asian Development Bank,2014,15112,Decentralisation and support to subnational government,2610841.89,cash-loan-equity,1459047.30
asdb-special-funds,Asian Development Bank,2014,15130,Legal and judicial development,2268435.80,technical-ooperation,1277861.03
asdb-special-funds,Asian Development Bank,2014,15130,Legal and judicial development,2268435.80,cash-loan-equity,0.00
