parent,year,sector,sector-rank,sector-value,purpose-code,purpose-name,purpose-rank,purpose-value
Global Green Growth Institute,2015,environment,1,6034060.20,41081,Environmental education/training,2,233541.80
Global Green Growth Institute,2015,environment,1,6034060.20,41082,Environmental research,3,199.00
Global Green Growth Institute,2015,environment,1,6034060.20,41010,Environmental policy and admin. mgmt,1,5800319.40
Global Green Growth Institute,2015,infrastructure,3,628205.00,23110,Energy policy and administrative management,1,392814.00
Global Green Growth Institute,2015,infrastructure,3,628205.00,21010,Transport policy & administrative management,2,235391.00
Global Green Growth Institute,2015,other,2,2191385.50,43030,Urban development and management,1,2191385.50
Inter-American Development Bank,2015,governance-and-security,5,115564210.00,15110,Public sector policy and administrative management,3,11710480.00
Inter-American Development Bank,2015,governance-and-security,5,115564210.00,15111,Public finance management,1,68844270.00
Inter-American Development Bank,2015,governance-and-security,5,115564210.00,15210,Security system management and reform,2,22858240.00
Inter-American Development Bank,2015,governance-and-security,5,115564210.00,15112,Decentralisation and support to subnational government,4,7190430.00
Inter-American Development Bank,2015,governance-and-security,5,115564210.00,15160,Human rights,5,2679760.00
Inter-American Development Bank,2015,governance-and-security,5,115564210.00,0,Other,6,2281030.00
Inter-American Development Bank,2015,humanitarian,4,150640200.00,74010,Disaster prevention and preparedness,1,149640200.00
Inter-American Development Bank,2015,humanitarian,4,150640200.00,73010,Reconstruction relief and rehabilitation,2,1000000.00
Inter-American Development Bank,2015,infrastructure,2,397080160.00,23210,"Energy generation, renewable sources - multiple technologies",3,69834470.00
Inter-American Development Bank,2015,infrastructure,2,397080160.00,21020,Road transport,4,69559860.00
Inter-American Development Bank,2015,infrastructure,2,397080160.00,21040,Water transport,5,27515270.00
Inter-American Development Bank,2015,infrastructure,2,397080160.00,0,Other,6,61284640.00
Inter-American Development Bank,2015,infrastructure,2,397080160.00,21010,Transport policy & administrative management,1,92283080.00
Inter-American Development Bank,2015,infrastructure,2,397080160.00,23630,Electric power transmission and distribution,2,76602840.00
Inter-American Development Bank,2015,other,1,824460450.00,0,Other,6,429300.00
Inter-American Development Bank,2015,other,1,824460450.00,91010,Administrative costs (non-sector allocable),1,791000000.00
Inter-American Development Bank,2015,other,1,824460450.00,43040,Rural development,2,19144610.00
Inter-American Development Bank,2015,other,1,824460450.00,99810,Sectors not specified,3,8626630.00
Inter-American Development Bank,2015,other,1,824460450.00,43030,Urban development and management,4,4732090.00
Inter-American Development Bank,2015,other,1,824460450.00,43082,Research/scientific institutions,5,527820.00
Inter-American Development Bank,2015,other-social-services,3,291590010.00,16010,Social/welfare services,1,218347490.00
Inter-American Development Bank,2015,other-social-services,3,291590010.00,16062,Statistical capacity building,4,642720.00
Inter-American Development Bank,2015,other-social-services,3,291590010.00,16040,Low-cost housing,2,57826580.00
Inter-American Development Bank,2015,other-social-services,3,291590010.00,16020,Employment policy and administrative management,3,14549160.00
Inter-American Development Bank,2015,other-social-services,3,291590010.00,16030,Housing policy and administrative management,5,224060.00
International Atomic Energy Agency,2015,other,1,63679783.50,99810,Sectors not specified,1,63679783.50
International Fund for Agricultural Development,2015,debt-relief,2,21399164.10,60020,Debt forgiveness,1,21399164.10
International Fund for Agricultural Development,2015,other,1,524678318.00,99810,Sectors not specified,1,524678318.00
International Labour Organisation,2015,banking-and-business,4,14756720.00,25010,Business support services & institutions,1,13407430.00
International Labour Organisation,2015,banking-and-business,4,14756720.00,24010,Financial policy & administrative management,2,1349290.00
International Labour Organisation,2015,education,5,4859100.00,11330,Vocational training,1,2615050.00
International Labour Organisation,2015,education,5,4859100.00,11430,Advanced technical & managerial training,2,2244050.00
International Labour Organisation,2015,governance-and-security,3,36256070.00,15160,Human rights,1,22808410.00
International Labour Organisation,2015,governance-and-security,3,36256070.00,15150,Democratic participation and civil society,2,10075300.00
International Labour Organisation,2015,governance-and-security,3,36256070.00,15170,Women's equality organisations and institutions,3,3372360.00
International Labour Organisation,2015,other,2,40742210.00,91010,Administrative costs (non-sector allocable),1,40742210.00
International Labour Organisation,2015,other-social-services,1,188932230.00,16010,Social/welfare services,2,8514490.00
International Labour Organisation,2015,other-social-services,1,188932230.00,16020,Employment policy and administrative management,1,179208000.00
International Labour Organisation,2015,other-social-services,1,188932230.00,16064,Social mitigation of HIV/AIDS,3,1209740.00
International Monetary Fund,2015,debt-relief,2,107004400.00,60020,Debt forgiveness,1,107004400.00
International Monetary Fund,2015,general-budget-support,1,1364757250.00,51010,General budget support-related aid,1,1364757250.00
Islamic Development Bank,2015,other,1,194857180.00,99810,Sectors not specified,1,194857180.00
Montreal Protocol,2015,environment,1,45297760.00,41020,Biosphere protection,1,45297760.00
Nordic Development Fund,2015,agriculture-and-food-security,3,5546310.00,31320,Fishery development,1,5546310.00
Nordic Development Fund,2015,humanitarian,2,5973312.00,74010,Disaster prevention and preparedness,1,5973312.00
Nordic Development Fund,2015,infrastructure,1,6452906.80,21010,Transport policy & administrative management,5,910715.00
Nordic Development Fund,2015,infrastructure,1,6452906.80,23260,Geothermal energy,1,2243411.80
Nordic Development Fund,2015,infrastructure,1,6452906.80,23210,"Energy generation, renewable sources - multiple technologies",2,1265956.30
Nordic Development Fund,2015,infrastructure,1,6452906.80,23230,Solar energy,3,1039855.70
Nordic Development Fund,2015,infrastructure,1,6452906.80,21020,Road transport,4,992968.00
Nordic Development Fund,2015,other-social-services,3,5546310.00,16050,Multisector aid for basic social services,1,5546310.00
Nordic Development Fund,2015,water-and-sanitation,5,5387432.02,14010,Water resources policy/administrative management,1,4437050.00
Nordic Development Fund,2015,water-and-sanitation,5,5387432.02,14031,Basic drinking water supply,2,554631.00
Nordic Development Fund,2015,water-and-sanitation,5,5387432.02,14015,Water resources protection,3,365856.42
Nordic Development Fund,2015,water-and-sanitation,5,5387432.02,14020,Water supply and sanitation - large systems,4,29894.60
OPEC Fund for International Development,2015,agriculture-and-food-security,2,71689190.80,0,Other,6,5159958.00
OPEC Fund for International Development,2015,agriculture-and-food-security,2,71689190.80,31140,Agricultural water resources,1,24837918.80
OPEC Fund for International Development,2015,agriculture-and-food-security,2,71689190.80,31110,Agricultural policy & administrative management,2,21060783.00
OPEC Fund for International Development,2015,agriculture-and-food-security,2,71689190.80,31120,Agricultural development,3,11140471.00
OPEC Fund for International Development,2015,agriculture-and-food-security,2,71689190.80,31191,Agricultural services,4,6972630.00
OPEC Fund for International Development,2015,agriculture-and-food-security,2,71689190.80,31320,Fishery development,5,2517430.00
OPEC Fund for International Development,2015,education,5,22083533.00,11110,Education policy & administrative management,2,4259348.00
OPEC Fund for International Development,2015,education,5,22083533.00,11120,Education facilities and training,1,14381425.00
OPEC Fund for International Development,2015,education,5,22083533.00,11130,Teacher training,5,450000.00
OPEC Fund for International Development,2015,education,5,22083533.00,0,Other,6,300000.00
OPEC Fund for International Development,2015,education,5,22083533.00,11220,Primary education,3,2107460.00
OPEC Fund for International Development,2015,education,5,22083533.00,11420,Higher education,4,585300.00
OPEC Fund for International Development,2015,infrastructure,1,219661507.02,0,Other,6,17001468.00
OPEC Fund for International Development,2015,infrastructure,1,219661507.02,21020,Road transport,1,119438901.02
OPEC Fund for International Development,2015,infrastructure,1,219661507.02,23630,Electric power transmission and distribution,2,43022693.00
OPEC Fund for International Development,2015,infrastructure,1,219661507.02,23220,Hydro-electric power plants,3,22105476.00
OPEC Fund for International Development,2015,infrastructure,1,219661507.02,23340,Natural gas-fired electric power plants,4,11362210.00
OPEC Fund for International Development,2015,infrastructure,1,219661507.02,21050,Air transport,5,6730759.00
OPEC Fund for International Development,2015,other,3,28391349.00,43030,Urban development and management,2,8152460.00
OPEC Fund for International Development,2015,other,3,28391349.00,43010,Multisector aid,1,12680889.00
OPEC Fund for International Development,2015,other,3,28391349.00,43081,Multisector education/training,4,65430.00
OPEC Fund for International Development,2015,other,3,28391349.00,43040,Rural development,3,7492570.00
OPEC Fund for International Development,2015,water-and-sanitation,4,23870828.20,14021,Water supply - large systems,2,5848801.00
OPEC Fund for International Development,2015,water-and-sanitation,4,23870828.20,14030,Basic drinking water supply and basic sanitation,4,1902826.00
OPEC Fund for International Development,2015,water-and-sanitation,4,23870828.20,14050,Waste management/disposal,5,1321460.00
OPEC Fund for International Development,2015,water-and-sanitation,4,23870828.20,0,Other,6,1400240.00
OPEC Fund for International Development,2015,water-and-sanitation,4,23870828.20,14032,Basic sanitation,3,2349120.00
OPEC Fund for International Development,2015,water-and-sanitation,4,23870828.20,14031,Basic drinking water supply,1,11048381.20
Organization for Security and Co-operation in Europe,2015,environment,3,5108717.00,41010,Environmental policy and admin. mgmt,1,5108717.00
Organization for Security and Co-operation in Europe,2015,governance-and-security,1,56265527.70,15153,Media and free flow of information,5,1704385.00
Organization for Security and Co-operation in Europe,2015,governance-and-security,1,56265527.70,15210,Security system management and reform,1,24377293.70
Organization for Security and Co-operation in Europe,2015,governance-and-security,1,56265527.70,15130,Legal and judicial development,2,17265184.00
Organization for Security and Co-operation in Europe,2015,governance-and-security,1,56265527.70,15160,Human rights,3,7220440.00
Organization for Security and Co-operation in Europe,2015,governance-and-security,1,56265527.70,15150,Democratic participation and civil society,4,5040078.00
Organization for Security and Co-operation in Europe,2015,governance-and-security,1,56265527.70,0,Other,6,658147.00
Organization for Security and Co-operation in Europe,2015,other,2,51038737.00,43010,Multisector aid,1,51038737.00
Organization for Security and Co-operation in Europe,2015,other-social-services,4,2569320.00,16010,Social/welfare services,1,2569320.00
The Joint United Nations Programme on HIV/AIDS,2015,health,1,156330013.00,13040,Std control including hiv/aids,1,156330013.00
The Joint United Nations Programme on HIV/AIDS,2015,other-social-services,2,84987510.00,16064,Social mitigation of HIV/AIDS,1,84987510.00
United Nations Children's Fund,2015,education,4,89321536.02,11220,Primary education,2,14152155.89
United Nations Children's Fund,2015,education,4,89321536.02,11240,Early childhood education,3,4907501.20
United Nations Children's Fund,2015,education,4,89321536.02,0,Other,6,4669533.83
United Nations Children's Fund,2015,education,4,89321536.02,11130,Teacher training,5,2367584.60
United Nations Children's Fund,2015,education,4,89321536.02,11120,Education facilities and training,4,4092311.63
United Nations Children's Fund,2015,education,4,89321536.02,11110,Education policy & administrative management,1,59132448.87
United Nations Children's Fund,2015,governance-and-security,5,68490842.15,15150,Democratic participation and civil society,3,12426387.86
United Nations Children's Fund,2015,governance-and-security,5,68490842.15,15112,Decentralisation and support to subnational government,4,9540767.65
United Nations Children's Fund,2015,governance-and-security,5,68490842.15,0,Other,6,9123222.21
United Nations Children's Fund,2015,governance-and-security,5,68490842.15,15130,Legal and judicial development,5,7560445.66
