id,parent,region,year,value
osce,Organization for Security and Co-operation in Europe,europe,2015,53380000.00
osce,Organization for Security and Co-operation in Europe,south-central-asia,2015,23900000.00
osce,Organization for Security and Co-operation in Europe,unspecified,2015,37700000.00
unaids,The Joint United Nations Programme on HIV/AIDS,europe,2015,4270000.00
unaids,The Joint United Nations Programme on HIV/AIDS,far-east-asia,2015,6379228.35
unaids,The Joint United Nations Programme on HIV/AIDS,middle-east,2015,3071480.31
unaids,The Joint United Nations Programme on HIV/AIDS,north-central-america,2015,5840000.00
unaids,The Joint United Nations Programme on HIV/AIDS,north-of-sahara,2015,983121.61
unaids,The Joint United Nations Programme on HIV/AIDS,oceania,2015,1710000.00
unaids,The Joint United Nations Programme on HIV/AIDS,south-america,2015,6220000.00
unaids,The Joint United Nations Programme on HIV/AIDS,south-central-asia,2015,7219291.34
unaids,The Joint United Nations Programme on HIV/AIDS,south-of-sahara,2015,44396878.39
unaids,The Joint United Nations Programme on HIV/AIDS,unspecified,2015,161230000.00
undp,United Nations Development Programme,europe,2015,6610000.00
undp,United Nations Development Programme,far-east-asia,2015,29323303.27
undp,United Nations Development Programme,middle-east,2015,13008772.33
undp,United Nations Development Programme,north-central-america,2015,12280790.29
undp,United Nations Development Programme,north-of-sahara,2015,4750060.02
undp,United Nations Development Programme,oceania,2015,4840000.00
undp,United Nations Development Programme,south-america,2015,7749209.71
undp,United Nations Development Programme,south-central-asia,2015,70777924.41
undp,United Nations Development Programme,south-of-sahara,2015,230069939.98
undp,United Nations Development Programme,unspecified,2015,40930000.00
unece,United Nations Economic Commission for Europe,europe,2015,13710000.00
unece,United Nations Economic Commission for Europe,south-central-asia,2015,50000.00
unep,United Nations Environment Programme,unspecified,2015,125180000.00
unfpa,United Nations Population Fund,europe,2015,4610000.00
unfpa,United Nations Population Fund,far-east-asia,2015,31064943.78
unfpa,United Nations Population Fund,middle-east,2015,18356047.37
unfpa,United Nations Population Fund,north-central-america,2015,19660000.00
unfpa,United Nations Population Fund,north-of-sahara,2015,4700000.00
unfpa,United Nations Population Fund,oceania,2015,1890000.00
unfpa,United Nations Population Fund,south-america,2015,8600000.00
unfpa,United Nations Population Fund,south-central-asia,2015,53429008.84
unfpa,United Nations Population Fund,south-of-sahara,2015,140040000.00
unfpa,United Nations Population Fund,unspecified,2015,30920000.00
unhcr,United Nations High Commissioner for Refugees,europe,2015,14110000.00
unhcr,United Nations High Commissioner for Refugees,far-east-asia,2015,5974102.93
unhcr,United Nations High Commissioner for Refugees,middle-east,2015,948590.67
unhcr,United Nations High Commissioner for Refugees,north-central-america,2015,8483728.22
unhcr,United Nations High Commissioner for Refugees,north-of-sahara,2015,14560000.00
unhcr,United Nations High Commissioner for Refugees,south-america,2015,12026271.78
unhcr,United Nations High Commissioner for Refugees,south-central-asia,2015,14057306.40
unhcr,United Nations High Commissioner for Refugees,south-of-sahara,2015,116320000.00
unhcr,United Nations High Commissioner for Refugees,unspecified,2015,274230000.00
unicef,United Nations Children's Fund,europe,2015,10650000.00
unicef,United Nations Children's Fund,far-east-asia,2015,40870000.00
unicef,United Nations Children's Fund,middle-east,2015,37200000.00
unicef,United Nations Children's Fund,north-central-america,2015,19654752.36
unicef,United Nations Children's Fund,north-of-sahara,2015,9360000.00
unicef,United Nations Children's Fund,oceania,2015,8400000.00
unicef,United Nations Children's Fund,south-america,2015,16035247.64
unicef,United Nations Children's Fund,south-central-asia,2015,187550000.00
unicef,United Nations Children's Fund,south-of-sahara,2015,533340000.00
unicef,United Nations Children's Fund,unspecified,2015,538860000.00
unpbf,United Nations Peacebuilding Fund,europe,2015,1530000.00
unpbf,United Nations Peacebuilding Fund,far-east-asia,2015,760000.00
unpbf,United Nations Peacebuilding Fund,middle-east,2015,5420000.00
unpbf,United Nations Peacebuilding Fund,north-central-america,2015,2450000.00
unpbf,United Nations Peacebuilding Fund,north-of-sahara,2015,180000.00
unpbf,United Nations Peacebuilding Fund,oceania,2015,1550000.00
unpbf,United Nations Peacebuilding Fund,south-america,2015,110000.00
unpbf,United Nations Peacebuilding Fund,south-central-asia,2015,13340000.00
unpbf,United Nations Peacebuilding Fund,south-of-sahara,2015,46150000.00
unpbf,United Nations Peacebuilding Fund,unspecified,2015,270000.00
unrwa,United Nations Relief and Works Agency for Palestine Refugees in the Near East,middle-east,2015,771380000.00
wfp,World Food Programme,europe,2015,1720000.00
wfp,World Food Programme,far-east-asia,2015,6580000.00
wfp,World Food Programme,middle-east,2015,55880000.00
wfp,World Food Programme,north-central-america,2015,8070000.00
wfp,World Food Programme,north-of-sahara,2015,3700000.00
wfp,World Food Programme,oceania,2015,390000.00
wfp,World Food Programme,south-america,2015,1650000.00
wfp,World Food Programme,south-central-asia,2015,21300000.00
wfp,World Food Programme,south-of-sahara,2015,163460000.00
wfp,World Food Programme,unspecified,2015,23820000.00
who,World Health Organisation,europe,2015,47670000.00
who,World Health Organisation,far-east-asia,2015,54350000.00
who,World Health Organisation,middle-east,2015,49810000.00
who,World Health Organisation,north-of-sahara,2015,10670815.82
who,World Health Organisation,oceania,2015,13390000.00
who,World Health Organisation,south-central-asia,2015,59240000.00
who,World Health Organisation,south-of-sahara,2015,142519184.18
who,World Health Organisation,unspecified,2015,224800000.00
