id,parent,bundle,year,value
cardb,Caribbean Development Bank,non-transfer,2015,0.00
cardb,Caribbean Development Bank,technical-ooperation,2015,0.00
ceb,Council of Europe Development Bank,cash-grant,2015,0.00
ceb,Council of Europe Development Bank,cash-loan-equity,2015,48606807.00
ceb,Council of Europe Development Bank,commodities-food,2015,0.00
ceb,Council of Europe Development Bank,gpgs-nngos,2015,0.00
ceb,Council of Europe Development Bank,mixed-project-aid,2015,5068211.00
ceb,Council of Europe Development Bank,non-transfer,2015,0.00
ceb,Council of Europe Development Bank,technical-ooperation,2015,465889.40
cif,Climate Investment Funds,cash-grant,2015,0.00
cif,Climate Investment Funds,cash-loan-equity,2015,197125860.00
cif,Climate Investment Funds,commodities-food,2015,0.00
cif,Climate Investment Funds,gpgs-nngos,2015,0.00
cif,Climate Investment Funds,mixed-project-aid,2015,40036070.00
cif,Climate Investment Funds,non-transfer,2015,0.00
cif,Climate Investment Funds,technical-ooperation,2015,10277440.00
dac-countries-total,,cash-grant,2015,24405132666.47
dac-countries-total,,cash-loan-equity,2015,16624047912.93
dac-countries-total,,commodities-food,2015,4573485717.02
dac-countries-total,,gpgs-nngos,2015,1170834555.05
dac-countries-total,,mixed-project-aid,2015,21825464443.15
dac-countries-total,,non-transfer,2015,22472223483.60
dac-countries-total,,technical-ooperation,2015,14469237350.22
ebrd,European Bank for Reconstruction and Development,cash-grant,2015,0.00
ebrd,European Bank for Reconstruction and Development,cash-loan-equity,2015,0.00
ebrd,European Bank for Reconstruction and Development,commodities-food,2015,0.00
ebrd,European Bank for Reconstruction and Development,gpgs-nngos,2015,0.00
ebrd,European Bank for Reconstruction and Development,mixed-project-aid,2015,0.00
ebrd,European Bank for Reconstruction and Development,non-transfer,2015,0.00
ebrd,European Bank for Reconstruction and Development,technical-ooperation,2015,0.00
EU,EU Institutions,cash-grant,2015,4760771016.99
EU,EU Institutions,cash-loan-equity,2015,4314241069.90
EU,EU Institutions,commodities-food,2015,482540707.21
EU,EU Institutions,gpgs-nngos,2015,74697546.43
EU,EU Institutions,mixed-project-aid,2015,3505935669.80
EU,EU Institutions,non-transfer,2015,880957259.48
EU,EU Institutions,technical-ooperation,2015,1535984157.20
fao,Food and Agriculture Organisation,cash-grant,2015,0.00
fao,Food and Agriculture Organisation,cash-loan-equity,2015,0.00
fao,Food and Agriculture Organisation,commodities-food,2015,0.00
fao,Food and Agriculture Organisation,gpgs-nngos,2015,0.00
fao,Food and Agriculture Organisation,mixed-project-aid,2015,0.00
fao,Food and Agriculture Organisation,non-transfer,2015,0.00
fao,Food and Agriculture Organisation,technical-ooperation,2015,0.00
gavi,Global Alliance for Vaccines and Immunization,cash-grant,2015,176683560.00
gavi,Global Alliance for Vaccines and Immunization,cash-loan-equity,2015,0.00
gavi,Global Alliance for Vaccines and Immunization,commodities-food,2015,1355576670.00
gavi,Global Alliance for Vaccines and Immunization,gpgs-nngos,2015,0.00
gavi,Global Alliance for Vaccines and Immunization,mixed-project-aid,2015,81504780.00
gavi,Global Alliance for Vaccines and Immunization,non-transfer,2015,111423550.00
gavi,Global Alliance for Vaccines and Immunization,technical-ooperation,2015,0.00
gef,Global Environment Facility,cash-grant,2015,23052833.00
gef,Global Environment Facility,cash-loan-equity,2015,0.00
gef,Global Environment Facility,commodities-food,2015,0.00
gef,Global Environment Facility,gpgs-nngos,2015,0.00
gef,Global Environment Facility,mixed-project-aid,2015,790015292.40
gef,Global Environment Facility,non-transfer,2015,0.00
gef,Global Environment Facility,technical-ooperation,2015,0.00
gggi,Global Green Growth Institute,cash-grant,2015,593375.00
gggi,Global Green Growth Institute,cash-loan-equity,2015,0.00
gggi,Global Green Growth Institute,commodities-food,2015,0.00
gggi,Global Green Growth Institute,gpgs-nngos,2015,0.00
gggi,Global Green Growth Institute,mixed-project-aid,2015,8222697.70
gggi,Global Green Growth Institute,non-transfer,2015,0.00
gggi,Global Green Growth Institute,technical-ooperation,2015,251061.00
global-fund,Global Fund,cash-grant,2015,779916100.00
global-fund,Global Fund,cash-loan-equity,2015,0.00
global-fund,Global Fund,commodities-food,2015,0.00
global-fund,Global Fund,gpgs-nngos,2015,0.00
global-fund,Global Fund,mixed-project-aid,2015,2393079220.00
global-fund,Global Fund,non-transfer,2015,0.00
global-fund,Global Fund,technical-ooperation,2015,66206440.00
iaea,International Atomic Energy Agency,cash-grant,2015,63679783.50
iaea,International Atomic Energy Agency,cash-loan-equity,2015,0.00
iaea,International Atomic Energy Agency,commodities-food,2015,0.00
iaea,International Atomic Energy Agency,gpgs-nngos,2015,0.00
iaea,International Atomic Energy Agency,mixed-project-aid,2015,0.00
iaea,International Atomic Energy Agency,non-transfer,2015,0.00
iaea,International Atomic Energy Agency,technical-ooperation,2015,0.00
ibrd,World Bank Group,cash-grant,2015,0.00
ibrd,World Bank Group,cash-loan-equity,2015,0.00
ibrd,World Bank Group,commodities-food,2015,0.00
ibrd,World Bank Group,gpgs-nngos,2015,0.00
ibrd,World Bank Group,mixed-project-aid,2015,0.00
ibrd,World Bank Group,non-transfer,2015,0.00
ibrd,World Bank Group,technical-ooperation,2015,0.00
ida,World Bank Group,cash-grant,2015,1115103578.00
ida,World Bank Group,cash-loan-equity,2015,11503292147.64
ida,World Bank Group,commodities-food,2015,10030940.00
ida,World Bank Group,gpgs-nngos,2015,0.00
ida,World Bank Group,mixed-project-aid,2015,158275092.37
ida,World Bank Group,non-transfer,2015,534823432.55
ida,World Bank Group,technical-ooperation,2015,53167493.26
idb,Inter-American Development Bank,cash-grant,2015,0.00
idb,Inter-American Development Bank,cash-loan-equity,2015,19948390.00
idb,Inter-American Development Bank,commodities-food,2015,0.00
idb,Inter-American Development Bank,gpgs-nngos,2015,0.00
idb,Inter-American Development Bank,mixed-project-aid,2015,0.00
idb,Inter-American Development Bank,non-transfer,2015,0.00
idb,Inter-American Development Bank,technical-ooperation,2015,99208450.00
idb-special-fund,Inter-American Development Bank,cash-grant,2015,183865890.00
idb-special-fund,Inter-American Development Bank,cash-loan-equity,2015,970026350.00
idb-special-fund,Inter-American Development Bank,commodities-food,2015,0.00
idb-special-fund,Inter-American Development Bank,gpgs-nngos,2015,0.00
idb-special-fund,Inter-American Development Bank,mixed-project-aid,2015,3983370.00
idb-special-fund,Inter-American Development Bank,non-transfer,2015,791000000.00
idb-special-fund,Inter-American Development Bank,technical-ooperation,2015,57885540.00
ifad,International Fund for Agricultural Development,cash-grant,2015,0.00
ifad,International Fund for Agricultural Development,cash-loan-equity,2015,380212970.00
ifad,International Fund for Agricultural Development,commodities-food,2015,0.00
ifad,International Fund for Agricultural Development,gpgs-nngos,2015,0.00
ifad,International Fund for Agricultural Development,mixed-project-aid,2015,144465348.00
ifad,International Fund for Agricultural Development,non-transfer,2015,21399164.10
ifad,International Fund for Agricultural Development,technical-ooperation,2015,0.00
ifc,World Bank Group,cash-grant,2015,0.00
ifc,World Bank Group,cash-loan-equity,2015,0.00
ifc,World Bank Group,commodities-food,2015,0.00
ifc,World Bank Group,gpgs-nngos,2015,0.00
ifc,World Bank Group,mixed-project-aid,2015,0.00
ifc,World Bank Group,non-transfer,2015,0.00
ifc,World Bank Group,technical-ooperation,2015,0.00
imf,International Monetary Fund,cash-grant,2015,0.00
imf,International Monetary Fund,cash-loan-equity,2015,0.00
imf,International Monetary Fund,commodities-food,2015,0.00
imf,International Monetary Fund,gpgs-nngos,2015,0.00
imf,International Monetary Fund,mixed-project-aid,2015,0.00
imf,International Monetary Fund,non-transfer,2015,0.00
imf,International Monetary Fund,technical-ooperation,2015,0.00
imf-concessional-trust-funds,International Monetary Fund,cash-grant,2015,0.00
imf-concessional-trust-funds,International Monetary Fund,cash-loan-equity,2015,1364757250.00
imf-concessional-trust-funds,International Monetary Fund,commodities-food,2015,0.00
imf-concessional-trust-funds,International Monetary Fund,gpgs-nngos,2015,0.00
imf-concessional-trust-funds,International Monetary Fund,mixed-project-aid,2015,0.00
imf-concessional-trust-funds,International Monetary Fund,non-transfer,2015,107004400.00
imf-concessional-trust-funds,International Monetary Fund,technical-ooperation,2015,0.00
international-labour-organisation,International Labour Organisation,cash-grant,2015,5682110.00
international-labour-organisation,International Labour Organisation,cash-loan-equity,2015,0.00
international-labour-organisation,International Labour Organisation,commodities-food,2015,0.00
international-labour-organisation,International Labour Organisation,gpgs-nngos,2015,0.00
international-labour-organisation,International Labour Organisation,mixed-project-aid,2015,215669300.00
international-labour-organisation,International Labour Organisation,non-transfer,2015,40742210.00
international-labour-organisation,International Labour Organisation,technical-ooperation,2015,23641800.00
islamic-dev-bank,Islamic Development Bank,cash-grant,2015,0.00
islamic-dev-bank,Islamic Development Bank,cash-loan-equity,2015,194857180.00
islamic-dev-bank,Islamic Development Bank,commodities-food,2015,0.00
islamic-dev-bank,Islamic Development Bank,gpgs-nngos,2015,0.00
islamic-dev-bank,Islamic Development Bank,mixed-project-aid,2015,0.00
islamic-dev-bank,Islamic Development Bank,non-transfer,2015,0.00
islamic-dev-bank,Islamic Development Bank,technical-ooperation,2015,0.00
montreal-protocol,Montreal Protocol,cash-grant,2015,0.00
montreal-protocol,Montreal Protocol,cash-loan-equity,2015,0.00
montreal-protocol,Montreal Protocol,commodities-food,2015,0.00
montreal-protocol,Montreal Protocol,gpgs-nngos,2015,0.00
montreal-protocol,Montreal Protocol,mixed-project-aid,2015,45297760.00
montreal-protocol,Montreal Protocol,non-transfer,2015,0.00
montreal-protocol,Montreal Protocol,technical-ooperation,2015,0.00
nordic-dev-fund,Nordic Development Fund,cash-grant,2015,4991681.00
nordic-dev-fund,Nordic Development Fund,cash-loan-equity,2015,2582196.00
nordic-dev-fund,Nordic Development Fund,commodities-food,2015,0.00
nordic-dev-fund,Nordic Development Fund,gpgs-nngos,2015,0.00
nordic-dev-fund,Nordic Development Fund,mixed-project-aid,2015,31127202.43
nordic-dev-fund,Nordic Development Fund,non-transfer,2015,0.00
nordic-dev-fund,Nordic Development Fund,technical-ooperation,2015,485235.80
ofid,OPEC Fund for International Development,cash-grant,2015,3265740.00
ofid,OPEC Fund for International Development,cash-loan-equity,2015,371918263.72
ofid,OPEC Fund for International Development,commodities-food,2015,750000.00
ofid,OPEC Fund for International Development,gpgs-nngos,2015,0.00
ofid,OPEC Fund for International Development,mixed-project-aid,2015,16488300.00
ofid,OPEC Fund for International Development,non-transfer,2015,715730.00
ofid,OPEC Fund for International Development,technical-ooperation,2015,2334270.00
osce,Organization for Security and Co-operation in Europe,cash-grant,2015,9719782.00
osce,Organization for Security and Co-operation in Europe,cash-loan-equity,2015,0.00
osce,Organization for Security and Co-operation in Europe,commodities-food,2015,0.00
osce,Organization for Security and Co-operation in Europe,gpgs-nngos,2015,0.00
osce,Organization for Security and Co-operation in Europe,mixed-project-aid,2015,105262519.70
osce,Organization for Security and Co-operation in Europe,non-transfer,2015,0.00
osce,Organization for Security and Co-operation in Europe,technical-ooperation,2015,0.00
un-agencies,UN Agencies,cash-grant,2015,0.00
un-agencies,UN Agencies,cash-loan-equity,2015,0.00
un-agencies,UN Agencies,commodities-food,2015,0.00
un-agencies,UN Agencies,gpgs-nngos,2015,0.00
un-agencies,UN Agencies,mixed-project-aid,2015,0.00
un-agencies,UN Agencies,non-transfer,2015,0.00
un-agencies,UN Agencies,technical-ooperation,2015,0.00
unaids,The Joint United Nations Programme on HIV/AIDS,cash-grant,2015,14146059.00
unaids,The Joint United Nations Programme on HIV/AIDS,cash-loan-equity,2015,0.00
unaids,The Joint United Nations Programme on HIV/AIDS,commodities-food,2015,0.00
unaids,The Joint United Nations Programme on HIV/AIDS,gpgs-nngos,2015,0.00
unaids,The Joint United Nations Programme on HIV/AIDS,mixed-project-aid,2015,227171464.00
unaids,The Joint United Nations Programme on HIV/AIDS,non-transfer,2015,0.00
unaids,The Joint United Nations Programme on HIV/AIDS,technical-ooperation,2015,0.00
undp,United Nations Development Programme,cash-grant,2015,9573929.94
undp,United Nations Development Programme,cash-loan-equity,2015,0.00
undp,United Nations Development Programme,commodities-food,2015,82353.30
undp,United Nations Development Programme,gpgs-nngos,2015,0.00
undp,United Nations Development Programme,mixed-project-aid,2015,405227336.64
undp,United Nations Development Programme,non-transfer,2015,98673.81
undp,United Nations Development Programme,technical-ooperation,2015,5364270.94
unece,United Nations Economic Commission for Europe,cash-grant,2015,2425600.00
unece,United Nations Economic Commission for Europe,cash-loan-equity,2015,0.00
unece,United Nations Economic Commission for Europe,commodities-food,2015,0.00
unece,United Nations Economic Commission for Europe,gpgs-nngos,2015,0.00
unece,United Nations Economic Commission for Europe,mixed-project-aid,2015,11334900.00
unece,United Nations Economic Commission for Europe,non-transfer,2015,0.00
unece,United Nations Economic Commission for Europe,technical-ooperation,2015,0.00
unep,United Nations Environment Programme,cash-grant,2015,0.00
unep,United Nations Environment Programme,cash-loan-equity,2015,0.00
unep,United Nations Environment Programme,commodities-food,2015,0.00
unep,United Nations Environment Programme,gpgs-nngos,2015,0.00
unep,United Nations Environment Programme,mixed-project-aid,2015,109326840.00
unep,United Nations Environment Programme,non-transfer,2015,15848700.00
unep,United Nations Environment Programme,technical-ooperation,2015,0.00
unfpa,United Nations Population Fund,cash-grant,2015,270159.57
unfpa,United Nations Population Fund,cash-loan-equity,2015,0.00
unfpa,United Nations Population Fund,commodities-food,2015,0.00
unfpa,United Nations Population Fund,gpgs-nngos,2015,0.00
unfpa,United Nations Population Fund,mixed-project-aid,2015,313003950.72
unfpa,United Nations Population Fund,non-transfer,2015,0.00
unfpa,United Nations Population Fund,technical-ooperation,2015,0.00
unhcr,United Nations High Commissioner for Refugees,cash-grant,2015,0.00
unhcr,United Nations High Commissioner for Refugees,cash-loan-equity,2015,0.00
unhcr,United Nations High Commissioner for Refugees,commodities-food,2015,0.00
unhcr,United Nations High Commissioner for Refugees,gpgs-nngos,2015,0.00
unhcr,United Nations High Commissioner for Refugees,mixed-project-aid,2015,398556718.12
unhcr,United Nations High Commissioner for Refugees,non-transfer,2015,62166800.00
unhcr,United Nations High Commissioner for Refugees,technical-ooperation,2015,0.00
unicef,United Nations Children's Fund,cash-grant,2015,4255355.02
unicef,United Nations Children's Fund,cash-loan-equity,2015,0.00
unicef,United Nations Children's Fund,commodities-food,2015,4823168.06
unicef,United Nations Children's Fund,gpgs-nngos,2015,0.00
unicef,United Nations Children's Fund,mixed-project-aid,2015,1074678277.49
unicef,United Nations Children's Fund,non-transfer,2015,312130000.00
unicef,United Nations Children's Fund,technical-ooperation,2015,6039082.75
unpbf,United Nations Peacebuilding Fund,cash-grant,2015,446502.90
unpbf,United Nations Peacebuilding Fund,cash-loan-equity,2015,0.00
unpbf,United Nations Peacebuilding Fund,commodities-food,2015,0.00
unpbf,United Nations Peacebuilding Fund,gpgs-nngos,2015,0.00
unpbf,United Nations Peacebuilding Fund,mixed-project-aid,2015,71127308.10
unpbf,United Nations Peacebuilding Fund,non-transfer,2015,0.00
unpbf,United Nations Peacebuilding Fund,technical-ooperation,2015,179324.30
unrwa,United Nations Relief and Works Agency for Palestine Refugees in the Near East,cash-grant,2015,0.00
unrwa,United Nations Relief and Works Agency for Palestine Refugees in the Near East,cash-loan-equity,2015,0.00
unrwa,United Nations Relief and Works Agency for Palestine Refugees in the Near East,commodities-food,2015,0.00
unrwa,United Nations Relief and Works Agency for Palestine Refugees in the Near East,gpgs-nngos,2015,0.00
unrwa,United Nations Relief and Works Agency for Palestine Refugees in the Near East,mixed-project-aid,2015,640193800.00
unrwa,United Nations Relief and Works Agency for Palestine Refugees in the Near East,non-transfer,2015,131185860.00
unrwa,United Nations Relief and Works Agency for Palestine Refugees in the Near East,technical-ooperation,2015,0.00
unta,United Nations Regular Programme for Technical Assistance,cash-grant,2015,0.00
unta,United Nations Regular Programme for Technical Assistance,cash-loan-equity,2015,0.00
unta,United Nations Regular Programme for Technical Assistance,commodities-food,2015,0.00
unta,United Nations Regular Programme for Technical Assistance,gpgs-nngos,2015,0.00
unta,United Nations Regular Programme for Technical Assistance,mixed-project-aid,2015,0.00
unta,United Nations Regular Programme for Technical Assistance,non-transfer,2015,0.00
unta,United Nations Regular Programme for Technical Assistance,technical-ooperation,2015,0.00
wfp,World Food Programme,cash-grant,2015,0.00
wfp,World Food Programme,cash-loan-equity,2015,0.00
wfp,World Food Programme,commodities-food,2015,178003744.00
wfp,World Food Programme,gpgs-nngos,2015,0.00
wfp,World Food Programme,mixed-project-aid,2015,108565503.00
wfp,World Food Programme,non-transfer,2015,0.00
wfp,World Food Programme,technical-ooperation,2015,0.00
who,World Health Organisation,cash-grant,2015,0.00
who,World Health Organisation,cash-loan-equity,2015,0.00
who,World Health Organisation,commodities-food,2015,23932075.85
who,World Health Organisation,gpgs-nngos,2015,0.00
who,World Health Organisation,mixed-project-aid,2015,640031025.39
who,World Health Organisation,non-transfer,2015,0.00
who,World Health Organisation,technical-ooperation,2015,0.00
