channel-code,channel-name,parent,aid-to-or-through,year,value
42003,European Commission - European Development Fund,EU Institutions,Earmarked contributions through,2015,100678281.59
42003,European Commission - European Development Fund,EU Institutions,Core contributions to,2015,3668859570.70
42004,European Investment Bank,EU Institutions,Core contributions to,2015,20063488.96
42004,European Investment Bank,EU Institutions,Earmarked contributions through,2015,92830052.14
42999,"European Union Institutions, Other",EU Institutions,Core contributions to,2015,40890837.00
42999,"European Union Institutions, Other",EU Institutions,Earmarked contributions through,2015,99835428.37
43001,International Monetary Fund - Poverty Reduction and Growth Trust,International Monetary Fund,Earmarked contributions through,2015,15253229.38
43001,International Monetary Fund - Poverty Reduction and Growth Trust,International Monetary Fund,Core contributions to,2015,69374402.35
43002,"International Monetary Fund - Poverty Reduction and Growth - Heavily Indebted Poor Countries Debt Relief Initiative Trust Fund [includes HIPC, Extended Credit Facility (ECF), and ECF-HIPC sub-accounts]",International Monetary Fund,Core contributions to,2015,183100466.00
43005,International Monetary Fund - Post-Catastrophe Debt Relief Trust,International Monetary Fund,Earmarked contributions through,2015,42014660.41
43006,Catastrophe Containment and Relief Trust,International Monetary Fund,Earmarked contributions through,2015,2075716.03
43999,"International Monetary Fund, Other",International Monetary Fund,Earmarked contributions through,2015,37145184.80
43999,"International Monetary Fund, Other",International Monetary Fund,Core contributions to,2015,665557.40
44001,International Bank for Reconstruction and Development,World Bank Group,Core contributions to,2015,515605345.03
44001,International Bank for Reconstruction and Development,World Bank Group,Earmarked contributions through,2015,1463052778.68
44002,International Development Association,World Bank Group,Earmarked contributions through,2015,189942975.64
44002,International Development Association,World Bank Group,Core contributions to,2015,7640090707.37
44003,International Development Association - Heavily Indebted Poor Countries Debt Initiative Trust Fund,World Bank Group,Core contributions to,2015,38074010.15
44003,International Development Association - Heavily Indebted Poor Countries Debt Initiative Trust Fund,World Bank Group,Earmarked contributions through,2015,20963408.32
44004,International Finance Corporation,World Bank Group,Earmarked contributions through,2015,213508943.72
44004,International Finance Corporation,World Bank Group,Core contributions to,2015,7628683.90
44005,Multilateral Investment Guarantee Agency,World Bank Group,Core contributions to,2015,4733082.73
44006,Advance Market Commitments,World Bank Group,Core contributions to,2015,103211055.92
44007,International Development Association - Multilateral Debt Relief Initiative,World Bank Group,Earmarked contributions through,2015,29380185.23
44007,International Development Association - Multilateral Debt Relief Initiative,World Bank Group,Core contributions to,2015,375322629.07
44999,"World Bank Group, Other",World Bank Group,Core contributions to,2015,11570282.86
44999,"World Bank Group, Other",World Bank Group,Earmarked contributions through,2015,737383303.77
46002,African Development Bank,African Development Bank and Fund,Earmarked contributions through,2015,358693772.60
46002,African Development Bank,African Development Bank and Fund,Core contributions to,2015,279099792.35
46003,African Development Fund,African Development Bank and Fund,Core contributions to,2015,1588464951.26
46003,African Development Fund,African Development Bank and Fund,Earmarked contributions through,2015,16255176.46
46004,Asian Development Bank,Asian Development Bank,Core contributions to,2015,208239295.49
46004,Asian Development Bank,Asian Development Bank,Earmarked contributions through,2015,345158509.88
46005,Asian Development Fund,Asian Development Bank,Earmarked contributions through,2015,6647322.04
46005,Asian Development Fund,Asian Development Bank,Core contributions to,2015,862035097.49
46009,Caribbean Development Bank,Caribbean Development Bank,Earmarked contributions through,2015,1134098.92
46009,Caribbean Development Bank,Caribbean Development Bank,Core contributions to,2015,39690138.76
46012,"Inter-American Development Bank, Inter-American Investment Corporation and Multilateral Investment Fund",Inter-American Development Bank,Earmarked contributions through,2015,56615621.32
46012,"Inter-American Development Bank, Inter-American Investment Corporation and Multilateral Investment Fund",Inter-American Development Bank,Core contributions to,2015,67575794.38
46013,"Inter-American Development Bank, Fund for Special Operations",Inter-American Development Bank,Core contributions to,2015,110954868.65
46013,"Inter-American Development Bank, Fund for Special Operations",Inter-American Development Bank,Earmarked contributions through,2015,36987.23
46015,European Bank for Reconstruction and Development,European Bank for Reconstruction and Development,Earmarked contributions through,2015,87269412.53
46016,European Bank for Reconstruction and Development - technical co-operation and special funds (ODA-eligible countries only),European Bank for Reconstruction and Development,Core contributions to,2015,14036697.43
46016,European Bank for Reconstruction and Development - technical co-operation and special funds (ODA-eligible countries only),European Bank for Reconstruction and Development,Earmarked contributions through,2015,13407219.11
46017,European Bank for Reconstruction and Development - technical co-operation and special funds (all EBRD countries of operations),European Bank for Reconstruction and Development,Earmarked contributions through,2015,14159123.68
46018,European Bank for Reconstruction and Development - Early Transition Countries Fund,European Bank for Reconstruction and Development,Earmarked contributions through,2015,3000000.00
46018,European Bank for Reconstruction and Development - Early Transition Countries Fund,European Bank for Reconstruction and Development,Core contributions to,2015,2567604.83
46019,European Bank for Reconstruction and Development - Western Balkans Joint Trust Fund,European Bank for Reconstruction and Development,Earmarked contributions through,2015,1127021.22
46024,Council of Europe Development Bank,Council of Europe Development Bank,Core contributions to,2015,41104.48
46024,Council of Europe Development Bank,Council of Europe Development Bank,Earmarked contributions through,2015,9099699.67
47044,Global Environment Facility Trust Fund,Global Environment Facility,Core contributions to,2015,654561558.66
47044,Global Environment Facility Trust Fund,Global Environment Facility,Earmarked contributions through,2015,1837373.27
47045,"Global Fund to Fight AIDS, Tuberculosis and Malaria",Global Fund,Core contributions to,2015,2318023308.08
47111,Adaptation Fund,Adaptation Fund,Earmarked contributions through,2015,2218524.68
47111,Adaptation Fund,Adaptation Fund,Core contributions to,2015,55463117.03
47122,Global Alliance for Vaccines and Immunization,Global Alliance for Vaccines and Immunization,Earmarked contributions through,2015,23560631.42
47122,Global Alliance for Vaccines and Immunization,Global Alliance for Vaccines and Immunization,Core contributions to,2015,890395740.57
47128,Nordic Development Fund,Nordic Development Fund,Core contributions to,2015,21366819.34
47129,Global Environment Facility - Least Developed Countries Fund,Global Environment Facility,Core contributions to,2015,64667807.11
47130,Global Environment Facility - Special Climate Change Fund,Global Environment Facility,Core contributions to,2015,5643951.80
47131,Organization for Security and Co-operation in Europe,Organization for Security and Co-operation in Europe,Core contributions to,2015,99741813.46
47131,Organization for Security and Co-operation in Europe,Organization for Security and Co-operation in Europe,Earmarked contributions through,2015,70134088.10
47134,Clean Technology Fund,Climate Investment Funds,Core contributions to,2015,467340485.10
47135,Strategic Climate Fund,Climate Investment Funds,Core contributions to,2015,199409475.56
47136,Global Green Growth Institute,Global Green Growth Institute,Earmarked contributions through,2015,9110047.46
47136,Global Green Growth Institute,Global Green Growth Institute,Core contributions to,2015,43667344.21
