parent,id-to,rank,year,total-value,sector,sector-value
African Development Bank and Fund,TZ,3,2014,181799025.69,water-and-sanitation,11672986.58
African Development Bank and Fund,TZ,3,2014,181799025.69,agriculture-and-food-security,13759261.86
African Development Bank and Fund,TZ,3,2014,181799025.69,general-budget-support,57659277.15
African Development Bank and Fund,TZ,3,2014,181799025.69,infrastructure,80000438.01
African Development Bank and Fund,TZ,3,2014,181799025.69,other,23020.07
African Development Bank and Fund,TZ,3,2014,181799025.69,education,981579.36
African Development Bank and Fund,TZ,3,2014,181799025.69,governance-and-security,2515534.91
African Development Bank and Fund,TZ,3,2014,181799025.69,industry-and-trade,8837016.58
African Development Bank and Fund,UG,5,2014,121335739.73,education,18179275.82
African Development Bank and Fund,UG,5,2014,121335739.73,infrastructure,37752937.19
African Development Bank and Fund,UG,5,2014,121335739.73,other,21972348.38
African Development Bank and Fund,UG,5,2014,121335739.73,health,16858057.10
African Development Bank and Fund,UG,5,2014,121335739.73,water-and-sanitation,16346427.31
African Development Bank and Fund,UG,5,2014,121335739.73,agriculture-and-food-security,10226693.93
Arab Bank for Economic Development in Africa,BJ,4,2014,7682434.13,governance-and-security,4450403.31
Arab Bank for Economic Development in Africa,BJ,4,2014,7682434.13,banking-and-business,105630.93
Arab Bank for Economic Development in Africa,BJ,4,2014,7682434.13,education,925340.47
Arab Bank for Economic Development in Africa,BJ,4,2014,7682434.13,infrastructure,2201059.42
Arab Bank for Economic Development in Africa,CI,5,2014,7316218.83,education,1089969.04
Arab Bank for Economic Development in Africa,CI,5,2014,7316218.83,infrastructure,4957905.97
Arab Bank for Economic Development in Africa,CI,5,2014,7316218.83,water-and-sanitation,169910.32
Arab Bank for Economic Development in Africa,CI,5,2014,7316218.83,governance-and-security,187165.14
Arab Bank for Economic Development in Africa,CI,5,2014,7316218.83,agriculture-and-food-security,911268.36
Arab Bank for Economic Development in Africa,CM,9,2014,4382907.27,water-and-sanitation,108775.02
Arab Bank for Economic Development in Africa,CM,9,2014,4382907.27,health,1246479.86
Arab Bank for Economic Development in Africa,CM,9,2014,4382907.27,infrastructure,3027652.40
Arab Bank for Economic Development in Africa,CV,3,2014,7712604.66,other,4026885.55
Arab Bank for Economic Development in Africa,CV,3,2014,7712604.66,infrastructure,1811558.88
Arab Bank for Economic Development in Africa,CV,3,2014,7712604.66,water-and-sanitation,1147114.01
Arab Bank for Economic Development in Africa,CV,3,2014,7712604.66,environment,712187.60
Arab Bank for Economic Development in Africa,CV,3,2014,7712604.66,banking-and-business,14858.62
Arab Bank for Economic Development in Africa,GM,10,2014,4238312.83,infrastructure,4208595.59
Arab Bank for Economic Development in Africa,GM,10,2014,4238312.83,education,29717.24
Arab Bank for Economic Development in Africa,GN,8,2014,6231802.86,agriculture-and-food-security,250509.82
Arab Bank for Economic Development in Africa,GN,8,2014,6231802.86,infrastructure,4166235.64
Arab Bank for Economic Development in Africa,GN,8,2014,6231802.86,other,413413.41
Arab Bank for Economic Development in Africa,GN,8,2014,6231802.86,water-and-sanitation,1401643.98
Arab Bank for Economic Development in Africa,LS,6,2014,7095017.55,infrastructure,3477432.54
Arab Bank for Economic Development in Africa,LS,6,2014,7095017.55,water-and-sanitation,3617585.00
Arab Bank for Economic Development in Africa,ML,7,2014,6782310.92,infrastructure,2266940.27
Arab Bank for Economic Development in Africa,ML,7,2014,6782310.92,other,4515370.65
Arab Bank for Economic Development in Africa,MZ,1,2014,10067672.20,governance-and-security,33038.64
Arab Bank for Economic Development in Africa,MZ,1,2014,10067672.20,water-and-sanitation,4117007.05
Arab Bank for Economic Development in Africa,MZ,1,2014,10067672.20,environment,3344745.05
Arab Bank for Economic Development in Africa,MZ,1,2014,10067672.20,agriculture-and-food-security,1556599.10
Arab Bank for Economic Development in Africa,MZ,1,2014,10067672.20,education,816677.39
Arab Bank for Economic Development in Africa,MZ,1,2014,10067672.20,health,115824.04
Arab Bank for Economic Development in Africa,MZ,1,2014,10067672.20,infrastructure,83780.93
Arab Bank for Economic Development in Africa,other,11,2014,55039580.50,agriculture-and-food-security,2636689.54
Arab Bank for Economic Development in Africa,other,11,2014,55039580.50,education,2404481.47
Arab Bank for Economic Development in Africa,other,11,2014,55039580.50,industry-and-trade,2163897.71
Arab Bank for Economic Development in Africa,other,11,2014,55039580.50,environment,870162.98
Arab Bank for Economic Development in Africa,other,11,2014,55039580.50,banking-and-business,753008.19
Arab Bank for Economic Development in Africa,other,11,2014,55039580.50,governance-and-security,463639.61
Arab Bank for Economic Development in Africa,other,11,2014,55039580.50,infrastructure,27934862.49
Arab Bank for Economic Development in Africa,other,11,2014,55039580.50,water-and-sanitation,7767715.78
Arab Bank for Economic Development in Africa,other,11,2014,55039580.50,other,6899345.94
Arab Bank for Economic Development in Africa,other,11,2014,55039580.50,health,3145776.79
Arab Bank for Economic Development in Africa,SN,2,2014,8250802.75,health,234827.64
Arab Bank for Economic Development in Africa,SN,2,2014,8250802.75,other,1003828.07
Arab Bank for Economic Development in Africa,SN,2,2014,8250802.75,infrastructure,1074729.05
Arab Bank for Economic Development in Africa,SN,2,2014,8250802.75,water-and-sanitation,1728504.44
Arab Bank for Economic Development in Africa,SN,2,2014,8250802.75,agriculture-and-food-security,4208913.57
Arab Fund,DJ,9,2014,17312468.42,water-and-sanitation,8883890.58
Arab Fund,DJ,9,2014,17312468.42,education,1160884.29
Arab Fund,DJ,9,2014,17312468.42,infrastructure,7267693.55
Arab Fund,EG,2,2014,171674159.68,water-and-sanitation,86892.53
Arab Fund,EG,2,2014,171674159.68,infrastructure,169381637.53
Arab Fund,EG,2,2014,171674159.68,health,1032642.50
Arab Fund,EG,2,2014,171674159.68,industry-and-trade,564079.83
Arab Fund,EG,2,2014,171674159.68,other-social-services,338104.96
Arab Fund,EG,2,2014,171674159.68,agriculture-and-food-security,270802.34
Arab Fund,JO,6,2014,47873776.71,health,525054.16
Arab Fund,JO,6,2014,47873776.71,education,695139.81
Arab Fund,JO,6,2014,47873776.71,agriculture-and-food-security,1296434.54
Arab Fund,JO,6,2014,47873776.71,infrastructure,4726247.58
Arab Fund,JO,6,2014,47873776.71,water-and-sanitation,40630900.63
Arab Fund,LB,8,2014,41524352.81,other-social-services,1522354.93
Arab Fund,LB,8,2014,41524352.81,agriculture-and-food-security,17757340.50
Arab Fund,LB,8,2014,41524352.81,infrastructure,10171367.75
Arab Fund,LB,8,2014,41524352.81,water-and-sanitation,9464333.71
Arab Fund,LB,8,2014,41524352.81,education,1279824.58
Arab Fund,LB,8,2014,41524352.81,health,1126682.72
Arab Fund,LB,8,2014,41524352.81,other,202448.62
Arab Fund,MA,5,2014,70525338.73,agriculture-and-food-security,9954404.73
Arab Fund,MA,5,2014,70525338.73,infrastructure,38319534.07
Arab Fund,MA,5,2014,70525338.73,water-and-sanitation,22251399.93
Arab Fund,MR,4,2014,86778634.55,infrastructure,76052619.62
Arab Fund,MR,4,2014,86778634.55,water-and-sanitation,10726014.93
Arab Fund,other,11,2014,6425346.38,environment,52135.54
Arab Fund,other,11,2014,6425346.38,infrastructure,568945.73
Arab Fund,other,11,2014,6425346.38,health,1500618.05
Arab Fund,other,11,2014,6425346.38,agriculture-and-food-security,4299047.94
Arab Fund,other,11,2014,6425346.38,education,4599.11
Arab Fund,PS,10,2014,52135.54,education,52135.54
Arab Fund,SD,3,2014,127678790.08,education,535196.95
Arab Fund,SD,3,2014,127678790.08,agriculture-and-food-security,93391267.47
Arab Fund,SD,3,2014,127678790.08,industry-and-trade,1143509.61
Arab Fund,SD,3,2014,127678790.08,humanitarian,2605132.40
Arab Fund,SD,3,2014,127678790.08,water-and-sanitation,5505505.61
Arab Fund,SD,3,2014,127678790.08,infrastructure,24498178.04
Arab Fund,TN,7,2014,42759342.69,water-and-sanitation,2485124.27
Arab Fund,TN,7,2014,42759342.69,agriculture-and-food-security,15835278.74
Arab Fund,TN,7,2014,42759342.69,infrastructure,22784501.51
Arab Fund,TN,7,2014,42759342.69,other-social-services,1654438.17
Arab Fund,YE,1,2014,263948822.13,infrastructure,195993442.76
Arab Fund,YE,1,2014,263948822.13,environment,7107809.83
Arab Fund,YE,1,2014,263948822.13,humanitarian,4017444.38
Arab Fund,YE,1,2014,263948822.13,industry-and-trade,608247.58
Arab Fund,YE,1,2014,263948822.13,agriculture-and-food-security,733373.02
Arab Fund,YE,1,2014,263948822.13,governance-and-security,30197.37
Arab Fund,YE,1,2014,263948822.13,water-and-sanitation,8366009.17
Arab Fund,YE,1,2014,263948822.13,other-social-services,47092298.01
Asian Development Bank,AF,7,2014,105329908.71,industry-and-trade,1028712.99
Asian Development Bank,AF,7,2014,105329908.71,infrastructure,76367180.93
Asian Development Bank,AF,7,2014,105329908.71,agriculture-and-food-security,17383036.59
Asian Development Bank,AF,7,2014,105329908.71,debt-relief,6063384.06
Asian Development Bank,AF,7,2014,105329908.71,water-and-sanitation,2370654.53
Asian Development Bank,AF,7,2014,105329908.71,governance-and-security,1112085.51
Asian Development Bank,AF,7,2014,105329908.71,environment,916465.91
Asian Development Bank,AF,7,2014,105329908.71,banking-and-business,76868.40
Asian Development Bank,AF,7,2014,105329908.71,health,11519.79
Asian Development Bank,BD,2,2014,450074763.78,other,14666464.16
Asian Development Bank,BD,2,2014,450074763.78,industry-and-trade,9762691.86
Asian Development Bank,BD,2,2014,450074763.78,banking-and-business,153913087.55
Asian Development Bank,BD,2,2014,450074763.78,health,4013991.04
Asian Development Bank,BD,2,2014,450074763.78,governance-and-security,1232630.61
Asian Development Bank,BD,2,2014,450074763.78,education,78138512.93
Asian Development Bank,BD,2,2014,450074763.78,other-social-services,52093634.05
Asian Development Bank,BD,2,2014,450074763.78,infrastructure,45128967.12
Asian Development Bank,BD,2,2014,450074763.78,water-and-sanitation,36150892.26
Asian Development Bank,BD,2,2014,450074763.78,agriculture-and-food-security,28755604.17
Asian Development Bank,BD,2,2014,450074763.78,environment,26218288.02
Asian Development Bank,GE,6,2014,116638021.70,infrastructure,35867317.79
Asian Development Bank,GE,6,2014,116638021.70,governance-and-security,28857027.97
Asian Development Bank,GE,6,2014,116638021.70,water-and-sanitation,19965807.14
Asian Development Bank,GE,6,2014,116638021.70,banking-and-business,16706707.18
Asian Development Bank,GE,6,2014,116638021.70,other-social-services,11390916.45
Asian Development Bank,GE,6,2014,116638021.70,other,3748425.96
Asian Development Bank,GE,6,2014,116638021.70,industry-and-trade,101819.20
Asian Development Bank,KH,8,2014,100590123.09,education,8595140.01
Asian Development Bank,KH,8,2014,100590123.09,environment,271095.05
Asian Development Bank,KH,8,2014,100590123.09,infrastructure,38505873.95
Asian Development Bank,KH,8,2014,100590123.09,agriculture-and-food-security,34345475.39
Asian Development Bank,KH,8,2014,100590123.09,industry-and-trade,1352562.49
Asian Development Bank,KH,8,2014,100590123.09,other,1423191.36
Asian Development Bank,KH,8,2014,100590123.09,health,2005022.39
Asian Development Bank,KH,8,2014,100590123.09,banking-and-business,2378325.45
Asian Development Bank,KH,8,2014,100590123.09,governance-and-security,5296291.17
Asian Development Bank,KH,8,2014,100590123.09,water-and-sanitation,6417145.83
Asian Development Bank,LK,5,2014,134181523.09,water-and-sanitation,36217369.03
Asian Development Bank,LK,5,2014,134181523.09,agriculture-and-food-security,161675.67
Asian Development Bank,LK,5,2014,134181523.09,environment,107784.44
Asian Development Bank,LK,5,2014,134181523.09,governance-and-security,13256.27
Asian Development Bank,LK,5,2014,134181523.09,education,47207467.99
Asian Development Bank,LK,5,2014,134181523.09,infrastructure,43636750.62
Asian Development Bank,LK,5,2014,134181523.09,other,6837219.08
Asian Development Bank,NP,4,2014,151877915.06,environment,909037.59
Asian Development Bank,NP,4,2014,151877915.06,infrastructure,52122796.29
Asian Development Bank,NP,4,2014,151877915.06,water-and-sanitation,37000719.58
Asian Development Bank,NP,4,2014,151877915.06,education,17210213.28
Asian Development Bank,NP,4,2014,151877915.06,other,16803878.70
Asian Development Bank,NP,4,2014,151877915.06,industry-and-trade,11494530.57
Asian Development Bank,NP,4,2014,151877915.06,agriculture-and-food-security,7786942.36
Asian Development Bank,NP,4,2014,151877915.06,other-social-services,5355487.67
Asian Development Bank,NP,4,2014,151877915.06,banking-and-business,3100668.52
Asian Development Bank,NP,4,2014,151877915.06,governance-and-security,93640.51
Asian Development Bank,other,11,2014,565206847.08,governance-and-security,80877132.51
Asian Development Bank,other,11,2014,565206847.08,infrastructure,262596884.61
Asian Development Bank,other,11,2014,565206847.08,water-and-sanitation,52954007.28
Asian Development Bank,other,11,2014,565206847.08,education,35660901.49
Asian Development Bank,other,11,2014,565206847.08,banking-and-business,30869931.34
Asian Development Bank,other,11,2014,565206847.08,agriculture-and-food-security,28946691.47
Asian Development Bank,other,11,2014,565206847.08,industry-and-trade,25472355.87
Asian Development Bank,other,11,2014,565206847.08,other,20876019.65
Asian Development Bank,other,11,2014,565206847.08,health,17673721.05
Asian Development Bank,other,11,2014,565206847.08,other-social-services,7415563.73
Asian Development Bank,other,11,2014,565206847.08,environment,1863638.07
Asian Development Bank,PK,1,2014,522338509.84,agriculture-and-food-security,42555445.75
Asian Development Bank,PK,1,2014,522338509.84,water-and-sanitation,7000616.36
Asian Development Bank,PK,1,2014,522338509.84,other,2466293.24
Asian Development Bank,PK,1,2014,522338509.84,banking-and-business,2390643.24
Asian Development Bank,PK,1,2014,522338509.84,education,1099389.41
Asian Development Bank,PK,1,2014,522338509.84,industry-and-trade,148666.45
Asian Development Bank,PK,1,2014,522338509.84,other-social-services,66650575.76
Asian Development Bank,PK,1,2014,522338509.84,governance-and-security,133927.89
Asian Development Bank,PK,1,2014,522338509.84,infrastructure,399892951.73
Asian Development Bank,TJ,10,2014,85261072.17,governance-and-security,103823.16
Asian Development Bank,TJ,10,2014,85261072.17,other-social-services,25855.39
Asian Development Bank,TJ,10,2014,85261072.17,water-and-sanitation,244217.99
Asian Development Bank,TJ,10,2014,85261072.17,industry-and-trade,250002.06
Asian Development Bank,TJ,10,2014,85261072.17,agriculture-and-food-security,1128863.84
Asian Development Bank,TJ,10,2014,85261072.17,infrastructure,81102805.59
Asian Development Bank,TJ,10,2014,85261072.17,banking-and-business,2190639.56
Asian Development Bank,TJ,10,2014,85261072.17,environment,214864.58
Asian Development Bank,UZ,9,2014,95476496.77,industry-and-trade,53724.32
Asian Development Bank,UZ,9,2014,95476496.77,water-and-sanitation,74073623.07
Asian Development Bank,UZ,9,2014,95476496.77,infrastructure,14854096.43
Asian Development Bank,UZ,9,2014,95476496.77,agriculture-and-food-security,4814967.02
Asian Development Bank,UZ,9,2014,95476496.77,other,1440573.08
Asian Development Bank,UZ,9,2014,95476496.77,banking-and-business,163125.48
Asian Development Bank,UZ,9,2014,95476496.77,other-social-services,76387.38
Asian Development Bank,VN,3,2014,444237558.21,other,19559217.53
Asian Development Bank,VN,3,2014,444237558.21,infrastructure,154582308.48
Asian Development Bank,VN,3,2014,444237558.21,banking-and-business,81094396.24
Asian Development Bank,VN,3,2014,444237558.21,water-and-sanitation,55261994.48
Asian Development Bank,VN,3,2014,444237558.21,agriculture-and-food-security,42222389.63
Asian Development Bank,VN,3,2014,444237558.21,health,33406383.06
Asian Development Bank,VN,3,2014,444237558.21,education,32775388.12
Asian Development Bank,VN,3,2014,444237558.21,other-social-services,18345165.96
Asian Development Bank,VN,3,2014,444237558.21,industry-and-trade,2930751.46
Asian Development Bank,VN,3,2014,444237558.21,governance-and-security,2161881.29
Asian Development Bank,VN,3,2014,444237558.21,environment,1897681.93
Climate Investment Funds,EG,7,2014,6982477.45,environment,6982477.45
Climate Investment Funds,ID,5,2014,14151192.33,environment,14133163.12
Climate Investment Funds,ID,5,2014,14151192.33,agriculture-and-food-security,18029.20
Climate Investment Funds,IN,2,2014,99196167.37,infrastructure,138690.37
Climate Investment Funds,IN,2,2014,99196167.37,environment,99057477.00
Climate Investment Funds,KE,6,2014,8490642.30,infrastructure,8490642.30
Climate Investment Funds,MA,1,2014,146350191.07,infrastructure,90127643.56
Climate Investment Funds,MA,1,2014,146350191.07,environment,56222547.51
Climate Investment Funds,MX,4,2014,17869502.29,industry-and-trade,59573.17
Climate Investment Funds,MX,4,2014,17869502.29,infrastructure,176307.45
Climate Investment Funds,MX,4,2014,17869502.29,environment,16902685.47
Climate Investment Funds,MX,4,2014,17869502.29,banking-and-business,562892.13
Climate Investment Funds,MX,4,2014,17869502.29,other-social-services,168044.08
Climate Investment Funds,MZ,9,2014,2604354.80,agriculture-and-food-security,1923216.77
Climate Investment Funds,MZ,9,2014,2604354.80,environment,681138.03
Climate Investment Funds,NE,8,2014,5282400.73,environment,5282400.73
Climate Investment Funds,other,11,2014,15791044.20,governance-and-security,369938.07
Climate Investment Funds,other,11,2014,15791044.20,infrastructure,4821797.51
Climate Investment Funds,other,11,2014,15791044.20,environment,4451747.45
Climate Investment Funds,other,11,2014,15791044.20,agriculture-and-food-security,3377903.91
Climate Investment Funds,other,11,2014,15791044.20,water-and-sanitation,1278262.67
Climate Investment Funds,other,11,2014,15791044.20,other,1242836.23
Climate Investment Funds,other,11,2014,15791044.20,banking-and-business,245091.06
Climate Investment Funds,other,11,2014,15791044.20,other-social-services,3467.30
Climate Investment Funds,TJ,10,2014,2222293.28,water-and-sanitation,46376.04
Climate Investment Funds,TJ,10,2014,2222293.28,environment,1851285.19
Climate Investment Funds,TJ,10,2014,2222293.28,agriculture-and-food-security,185503.95
Climate Investment Funds,TJ,10,2014,2222293.28,infrastructure,92752.07
Climate Investment Funds,TJ,10,2014,2222293.28,education,46376.04
Climate Investment Funds,ZA,3,2014,27978649.76,environment,27978649.76
Council of Europe Development Bank,BA,2,2014,19716312.66,governance-and-security,11699184.91
Council of Europe Development Bank,BA,2,2014,19716312.66,health,8017127.75
Council of Europe Development Bank,MD,3,2014,4167237.11,other-social-services,4030302.04
Council of Europe Development Bank,MD,3,2014,4167237.11,governance-and-security,136935.08
Council of Europe Development Bank,TR,1,2014,52571387.96,humanitarian,52571387.96
EU Institutions,AF,8,2014,340291859.47,other-social-services,3401378.81
EU Institutions,AF,8,2014,340291859.47,agriculture-and-food-security,29009206.98
EU Institutions,AF,8,2014,340291859.47,health,32308032.48
EU Institutions,AF,8,2014,340291859.47,humanitarian,42769335.71
EU Institutions,AF,8,2014,340291859.47,governance-and-security,195214359.38
EU Institutions,AF,8,2014,340291859.47,other,25867266.71
EU Institutions,AF,8,2014,340291859.47,water-and-sanitation,203848.37
EU Institutions,AF,8,2014,340291859.47,education,1828818.44
EU Institutions,AF,8,2014,340291859.47,industry-and-trade,9689612.60
EU Institutions,BA,7,2014,366491507.70,other,4093572.57
EU Institutions,BA,7,2014,366491507.70,education,1708641.96
EU Institutions,BA,7,2014,366491507.70,environment,1058252.74
EU Institutions,BA,7,2014,366491507.70,health,359061.76
EU Institutions,BA,7,2014,366491507.70,infrastructure,148459276.48
EU Institutions,BA,7,2014,366491507.70,humanitarian,51132422.32
EU Institutions,BA,7,2014,366491507.70,banking-and-business,46551653.51
EU Institutions,BA,7,2014,366491507.70,governance-and-security,41544596.63
EU Institutions,BA,7,2014,366491507.70,other-social-services,34732299.62
EU Institutions,BA,7,2014,366491507.70,water-and-sanitation,28955493.95
EU Institutions,BA,7,2014,366491507.70,industry-and-trade,5090648.60
EU Institutions,BA,7,2014,366491507.70,agriculture-and-food-security,2805587.57
EU Institutions,EG,9,2014,329712046.77,governance-and-security,22516447.12
EU Institutions,EG,9,2014,329712046.77,other,29968300.14
EU Institutions,EG,9,2014,329712046.77,other-social-services,44524994.42
EU Institutions,EG,9,2014,329712046.77,banking-and-business,66774884.64
EU Institutions,EG,9,2014,329712046.77,infrastructure,133530189.90
EU Institutions,EG,9,2014,329712046.77,environment,10378.49
EU Institutions,EG,9,2014,329712046.77,health,136477.86
EU Institutions,EG,9,2014,329712046.77,industry-and-trade,188331.07
EU Institutions,EG,9,2014,329712046.77,water-and-sanitation,4295843.14
EU Institutions,EG,9,2014,329712046.77,agriculture-and-food-security,8925997.51
EU Institutions,EG,9,2014,329712046.77,education,18840202.48
EU Institutions,MA,2,2014,538705726.52,other-social-services,962534.77
EU Institutions,MA,2,2014,538705726.52,other,3902138.70
EU Institutions,MA,2,2014,538705726.52,education,27486413.01
EU Institutions,MA,2,2014,538705726.52,agriculture-and-food-security,39010206.81
EU Institutions,MA,2,2014,538705726.52,governance-and-security,40333987.07
EU Institutions,MA,2,2014,538705726.52,water-and-sanitation,48869900.14
EU Institutions,MA,2,2014,538705726.52,health,12878845.36
EU Institutions,MA,2,2014,538705726.52,infrastructure,314880373.24
EU Institutions,MA,2,2014,538705726.52,industry-and-trade,50381327.43
EU Institutions,ML,10,2014,292793933.36,infrastructure,18907387.07
EU Institutions,ML,10,2014,292793933.36,other,147071.59
EU Institutions,ML,10,2014,292793933.36,environment,492314.66
EU Institutions,ML,10,2014,292793933.36,other-social-services,552588.81
EU Institutions,ML,10,2014,292793933.36,education,2012798.24
EU Institutions,ML,10,2014,292793933.36,agriculture-and-food-security,21291060.49
EU Institutions,ML,10,2014,292793933.36,health,22381721.84
EU Institutions,ML,10,2014,292793933.36,governance-and-security,25365967.96
EU Institutions,ML,10,2014,292793933.36,water-and-sanitation,26073963.33
EU Institutions,ML,10,2014,292793933.36,humanitarian,55518748.43
EU Institutions,ML,10,2014,292793933.36,general-budget-support,120050310.93
EU Institutions,other,11,2014,10698049914.03,other,1505172259.18
EU Institutions,other,11,2014,10698049914.03,general-budget-support,561139151.81
EU Institutions,other,11,2014,10698049914.03,health,523865988.83
EU Institutions,other,11,2014,10698049914.03,water-and-sanitation,492811631.96
EU Institutions,other,11,2014,10698049914.03,industry-and-trade,421215867.67
EU Institutions,other,11,2014,10698049914.03,banking-and-business,330135174.59
EU Institutions,other,11,2014,10698049914.03,other-social-services,290447370.24
EU Institutions,other,11,2014,10698049914.03,environment,273899663.37
EU Institutions,other,11,2014,10698049914.03,debt-relief,1258001.27
EU Institutions,other,11,2014,10698049914.03,infrastructure,1586763150.45
EU Institutions,other,11,2014,10698049914.03,humanitarian,1763431888.04
EU Institutions,other,11,2014,10698049914.03,governance-and-security,1624779233.17
EU Institutions,other,11,2014,10698049914.03,agriculture-and-food-security,690423351.98
EU Institutions,other,11,2014,10698049914.03,education,632707181.47
EU Institutions,PS,5,2014,458271941.88,health,1313334.40
EU Institutions,PS,5,2014,458271941.88,infrastructure,481386.33
EU Institutions,PS,5,2014,458271941.88,banking-and-business,18862.48
EU Institutions,PS,5,2014,458271941.88,education,3908518.71
EU Institutions,PS,5,2014,458271941.88,agriculture-and-food-security,4815499.81
EU Institutions,PS,5,2014,458271941.88,governance-and-security,42144792.41
EU Institutions,PS,5,2014,458271941.88,humanitarian,164606645.06
