id,parent,region,year,value
wfp,World Food Programme,middle-east,2014,55800000.00
wfp,World Food Programme,north-central-america,2014,10640000.00
wfp,World Food Programme,north-of-sahara,2014,5290000.00
wfp,World Food Programme,south-america,2014,3680000.00
wfp,World Food Programme,south-central-asia,2014,19080000.00
wfp,World Food Programme,south-of-sahara,2014,174910000.00
wfp,World Food Programme,unspecified,2014,26700000.00
who,World Health Organisation,europe,2014,31490000.00
who,World Health Organisation,far-east-asia,2014,37580000.00
who,World Health Organisation,middle-east,2014,34260000.00
who,World Health Organisation,north-of-sahara,2014,6228542.18
who,World Health Organisation,oceania,2014,9290000.00
who,World Health Organisation,south-central-asia,2014,50300000.00
who,World Health Organisation,south-of-sahara,2014,102301457.82
who,World Health Organisation,unspecified,2014,167180000.00
