"district_id","district_name","year","budget_type","value"
"d402","Bushenyi",2013,"actual",13.36184931
"d402","Bushenyi",2014,"actual",20.05117762
"d402","Bushenyi",2015,"actual",14.69854514
"d402","Bushenyi",2015,"approved",14.69854514
"d402","Bushenyi",2016,"approved",13.83721552
"d402","Bushenyi",2016,"actual",14.33578594
"d402","Bushenyi",2016,"proposed",12.19422837
"d402","Bushenyi",2017,"approved",12.69065509
"d402","Bushenyi",2017,"actual",6.569033627
"d402","Bushenyi",2018,"approved",12
"d402","Bushenyi",2019,"proposed",13
"d202","Busia",2012,"actual",10.30586116
"d202","Busia",2013,"actual",9.57085527
"d202","Busia",2014,"actual",8.742546383
"d202","Busia",2015,"approved",8.350470473
"d202","Busia",2015,"actual",8.350470473
"d202","Busia",2016,"proposed",9.742568774
"d202","Busia",2016,"approved",5.824091951
"d202","Busia",2016,"actual",9.727568554
"d202","Busia",2017,"approved",8.484497932
"d202","Busia",2017,"actual",11.70755919
"d202","Busia",2018,"approved",9
"d202","Busia",2019,"proposed",21
"d221","Butaleja",2012,"actual",18.52836262
"d221","Butaleja",2013,"actual",14.81646394
"d221","Butaleja",2014,"actual",15.71669037
"d221","Butaleja",2015,"actual",14.40815805
"d221","Butaleja",2015,"approved",14.40815805
"d221","Butaleja",2016,"proposed",14.66522305
"d221","Butaleja",2016,"actual",14.47102308
"d221","Butaleja",2016,"approved",15.37777764
"d221","Butaleja",2017,"approved",20.22042259
"d221","Butaleja",2017,"actual",11.70755919
"d221","Butaleja",2018,"approved",15
"d221","Butaleja",2019,"proposed",20
"d119","Butambala",2012,"actual",11.83279611
"d119","Butambala",2013,"actual",13.10462293
"d119","Butambala",2014,"actual",13.85669617
"d119","Butambala",2015,"approved",12.39556578
"d119","Butambala",2015,"actual",12.39556578
"d119","Butambala",2016,"actual",12.84939737
"d119","Butambala",2016,"proposed",13.40006318
"d119","Butambala",2016,"approved",13.54642881
"d119","Butambala",2017,"actual",13.32493957
"d119","Butambala",2017,"approved",19.56365393
"d119","Butambala",2018,"approved",18
"d119","Butambala",2019,"proposed",19
"d120","Buvuma",2013,"actual",18.24637998
"d120","Buvuma",2014,"actual",22.63680757
"d120","Buvuma",2015,"approved",20.12690049
"d120","Buvuma",2015,"actual",20.12690049
"d120","Buvuma",2016,"actual",24.19464243
"d120","Buvuma",2016,"approved",16.6689998
"d120","Buvuma",2016,"proposed",17.01771757
"d120","Buvuma",2017,"actual",19.97981705
"d120","Buvuma",2017,"approved",20.60813167
"d120","Buvuma",2018,"approved",14
"d120","Buvuma",2019,"proposed",19
"d226","Buyende",2012,"actual",5.160240772
"d226","Buyende",2013,"actual",8.040920655
"d226","Buyende",2014,"actual",10.73441939
"d226","Buyende",2015,"approved",10.91504949
"d226","Buyende",2015,"actual",10.91504949
"d226","Buyende",2016,"actual",10.4825618
"d226","Buyende",2016,"proposed",10.83177567
"d226","Buyende",2017,"actual",10.13571007
"d226","Buyende",2018,"approved",9
"d226","Buyende",2019,"proposed",16
"d317","Dokolo",2013,"actual",8.947683057
"d317","Dokolo",2014,"actual",15.57633079
"d317","Dokolo",2015,"approved",15.08215771
"d317","Dokolo",2015,"actual",15.08215771
"d317","Dokolo",2016,"proposed",15.64526116
"d317","Dokolo",2016,"actual",15.58024728
"d317","Dokolo",2017,"actual",12.38034191
"d317","Dokolo",2018,"approved",11
"d317","Dokolo",2019,"proposed",15
"d121","Gomba",2012,"actual",8.50734884
"d121","Gomba",2013,"actual",7.206443317
"d121","Gomba",2014,"actual",9.556061008
"d121","Gomba",2015,"approved",8.690270174
"d121","Gomba",2015,"actual",8.690270174
"d121","Gomba",2016,"actual",8.765627052
"d121","Gomba",2016,"proposed",9.00331956
"d121","Gomba",2016,"approved",9.010188052
"d121","Gomba",2017,"approved",9.082745476
"d121","Gomba",2017,"actual",8.904849666
"d121","Gomba",2018,"approved",9
"d121","Gomba",2019,"proposed",12
"d304","Gulu",2012,"actual",17.51606031
"d304","Gulu",2013,"actual",12.76541713
"d304","Gulu",2014,"actual",13.51656346
"d304","Gulu",2015,"actual",13.65748924
"d304","Gulu",2015,"approved",8.938431554
"d304","Gulu",2016,"proposed",15.71584563
"d304","Gulu",2016,"actual",10.91454111
"d304","Gulu",2016,"approved",16.20673807
"d304","Gulu",2017,"actual",10.83152017
"d304","Gulu",2017,"approved",11.12458744
"d304","Gulu",2018,"approved",2
"d304","Gulu",2019,"proposed",11
"d403","Hoima",2012,"actual",12.31760738
"d403","Hoima",2013,"actual",16.49033719
"d403","Hoima",2014,"actual",14.0729095
"d403","Hoima",2015,"approved",11.41005428
"d403","Hoima",2015,"actual",3.025779249
"d403","Hoima",2016,"actual",12.97955845
"d403","Hoima",2016,"approved",16.02717579
"d403","Hoima",2016,"proposed",3.954880962
"d403","Hoima",2017,"approved",18.48157887
"d403","Hoima",2017,"actual",17.45399653
"d403","Hoima",2018,"approved",15
"d403","Hoima",2019,"proposed",20
"d417","Ibanda",2012,"actual",10.59555449
"d417","Ibanda",2013,"actual",15.05308681
"d417","Ibanda",2014,"actual",14.77624037
"d417","Ibanda",2015,"approved",13.39418298
"d417","Ibanda",2015,"actual",13.39418298
"d417","Ibanda",2016,"proposed",14.75953102
"d417","Ibanda",2016,"actual",14.12550302
"d417","Ibanda",2016,"approved",15.19989862
"d417","Ibanda",2017,"approved",14.51030286
"d417","Ibanda",2017,"actual",11.24585727
"d417","Ibanda",2018,"approved",12
"d417","Ibanda",2019,"proposed",13
"d203","Iganga",2012,"actual",12.87653539
"d203","Iganga",2013,"actual",15.80893835
"d203","Iganga",2015,"approved",16.81076714
"d203","Iganga",2015,"actual",16.83344345
"d203","Iganga",2016,"approved",5.269373464
"d203","Iganga",2016,"actual",17.15453769
"d203","Iganga",2016,"proposed",14.33659359
"d203","Iganga",2017,"approved",6.211413725
"d203","Iganga",2019,"proposed",18
"d418","Isingiro",2012,"actual",14.76609959
"d418","Isingiro",2013,"actual",12.81574538
"d418","Isingiro",2014,"actual",15.74100625
"d418","Isingiro",2015,"approved",12.37715254
"d418","Isingiro",2015,"actual",12.37715254
"d418","Isingiro",2016,"actual",12.75532116
"d418","Isingiro",2016,"proposed",14.8559849
"d418","Isingiro",2016,"approved",16.68785075
"d418","Isingiro",2017,"approved",16.44161901
"d418","Isingiro",2017,"actual",14.01399898
"d418","Isingiro",2018,"approved",14
"d418","Isingiro",2019,"proposed",18
"d204","Jinja",2012,"actual",8.84026079
"d204","Jinja",2013,"actual",14.68799307
"d204","Jinja",2015,"approved",15.05740231
"d204","Jinja",2015,"actual",16.517969
"d204","Jinja",2016,"proposed",17.11549923
"d204","Jinja",2016,"actual",18.33769089
"d204","Jinja",2016,"approved",5.593336698
"d204","Jinja",2017,"approved",5.493861509
"d204","Jinja",2017,"actual",7.085443068
"d204","Jinja",2018,"approved",19
"d204","Jinja",2019,"proposed",21
"d318","Kaabong",2012,"actual",17.52097223
"d318","Kaabong",2013,"actual",15.63301576
"d318","Kaabong",2014,"actual",22.38610489
"d318","Kaabong",2015,"approved",19.45626343
"d318","Kaabong",2015,"actual",19.45626343
"d318","Kaabong",2016,"proposed",20.72743452
"d318","Kaabong",2016,"approved",21.70312665
"d318","Kaabong",2016,"actual",18.64233093
"d318","Kaabong",2017,"approved",25.44399161
"d318","Kaabong",2019,"proposed",28
"d404","Kabale",2013,"actual",11.74674512
"d404","Kabale",2014,"actual",15.29897726
"d404","Kabale",2015,"approved",11.67039217
"d404","Kabale",2015,"actual",11.67039217
"d404","Kabale",2016,"approved",13.61266633
"d404","Kabale",2016,"proposed",10.87356565
"d404","Kabale",2016,"actual",11.73350058
"d404","Kabale",2017,"approved",16.71400065
"d404","Kabale",2017,"actual",8.071897726
"d404","Kabale",2018,"approved",11
"d404","Kabale",2019,"proposed",13
"d405","Kabarole",2012,"actual",10.7547688
"d405","Kabarole",2013,"actual",10.45928436
"d405","Kabarole",2014,"actual",14.13322385
"d405","Kabarole",2015,"approved",12.57721915
"d405","Kabarole",2015,"actual",12.57721915
"d405","Kabarole",2016,"approved",13.42710108
"d405","Kabarole",2016,"proposed",12.81090871
"d405","Kabarole",2016,"actual",13.92187872
"d405","Kabarole",2017,"approved",12.27165347
"d405","Kabarole",2017,"actual",11.22766352
"d405","Kabarole",2018,"proposed",11.58057748
"d405","Kabarole",2018,"approved",11
"d405","Kabarole",2019,"proposed",18
"d213","Kaberamaido",2012,"actual",12.30434188
"d213","Kaberamaido",2013,"actual",16.56803612
"d213","Kaberamaido",2014,"actual",17.88161974
"d213","Kaberamaido",2015,"approved",16.24855941
"d213","Kaberamaido",2015,"actual",16.24855941
"d213","Kaberamaido",2016,"actual",16.57443674
"d213","Kaberamaido",2016,"approved",21.2032277
"d213","Kaberamaido",2016,"proposed",20.42464725
"d213","Kaberamaido",2017,"approved",17.86680132
"d213","Kaberamaido",2019,"proposed",17
"d101","Kalangala",2012,"actual",27.91281026
"d101","Kalangala",2013,"actual",33.54625618
"d101","Kalangala",2014,"actual",33.28402177
"d101","Kalangala",2015,"actual",34.10803518
"d101","Kalangala",2015,"approved",34.10803518
"d101","Kalangala",2016,"actual",37.35822824
"d101","Kalangala",2016,"proposed",34.00349439
