"district_id","2012","2013","2014","2015","2016","2017","2018","2019"
"d321",11.98920425,9.429623802,11.40485191,13.32513082,14.78367958,10.6492035,9,12
"d312",13.07073009,12.56738753,14.549853,17.26995349,17.58356539,,,19
"d210",16.77355514,15.08421854,16.79334845,15.75030935,20.12620712,15.40852857,14,19
"d110",17.0512113,18.79510299,18.25576815,18.83084993,19.07817553,19.04987005,16,21
"d425",8.145049024,8.768687314,11.08085538,9.948533672,10.34615339,13.11095495,10,13
"d412",15.00866744,16.48672913,,14.02013166,14.24163871,14.0352478,11,14
"d111",11.25484374,12.41089528,12.00264293,8.950377484,9.325841003,8.154415701,,11
"d232",9.586453556,11.75442474,13.96636161,12.28710096,13.62218938,10.37534841,9,14
"d426",12.09786767,11.60118575,,12.3012472,14.42906174,17.0784929,14,19
"d215",13.21571746,14.75569007,16.85079911,13.36267059,15.57569994,13.32785925,12,16
"d211",9.036272523,8.210962453,9.190123583,7.851306967,7.862234798,6.387331618,7,11
"d212",13.27988048,16.53057756,15.26763759,12.65583752,12.3439502,16.39397486,16,19
"d113",10.96276745,12.45750907,12.46948015,11.0889737,9.384015413,11.76853032,8.545847876,15
"d313",14.79970305,18.01970757,17.72571101,17.03941312,20.1133017,20.84706367,14,19
"d330",,11.30726491,16.03314239,17.34302934,16.22660289,15.55711135,15,17
