"id","entity-name","year","direction","flow-type","flow-name","value"
"AT","Austria",2014,"out","official","oofs-out",274162188.3
"AT","Austria",2014,"out","private","pda-out",0
"AT","Austria",2014,"out","official","dfis-out",0
"AT","Austria",2014,"out","commercial","fdi-devcountries",702989833.488125
"AT","Austria",2014,"in","official","oda-capital-repay",3984422.65
"AT","Austria",2014,"out","private","remittances-devcountries",1268767412.45287
"AT","Austria",2014,"in","official","oofs-capital-repay",168685195.51
"AT","Austria",2015,"out","official","oofs-out",251270000
"AT","Austria",2015,"out","official","dfis-out",0
"AT","Austria",2015,"in","official","oda-capital-repay",6460000
"AT","Austria",2015,"out","official","oda-out",1329970000
"AT","Austria",2015,"in","official","oofs-interest",38490000
"AT","Austria",2015,"out","private","pda-out",0
"AT","Austria",2015,"out","private","remittances-devcountries",1448184831.42005
"AT","Austria",2015,"out","commercial","fdi-devcountries",1722684414.86412
"AT","Austria",2015,"in","official","oda-interest",70000
"AT","Austria",2015,"in","official","oofs-capital-repay",252350000
"AU","Australia",2000,"out","official","oda-out",1970846436.57398
"AU","Australia",2000,"out","private","pda-out",0
"AU","Australia",2000,"out","private","remittances-devcountries",0
"AU","Australia",2000,"in","official","oofs-interest",80300103.003632
"AU","Australia",2000,"out","official","dfis-out",0
"AU","Australia",2000,"in","official","oofs-capital-repay",168266849.357188
"AU","Australia",2000,"out","commercial","fdi-devcountries",0
"AU","Australia",2000,"in","official","oda-interest",0
"AU","Australia",2000,"in","official","oda-capital-repay",0
"AU","Australia",2000,"out","official","oofs-out",1170860154.31328
"AU","Australia",2001,"out","official","oda-out",1884115389.49864
"AU","Australia",2001,"out","private","pda-out",0
"AU","Australia",2001,"in","official","oofs-capital-repay",182371351.434319
"AU","Australia",2001,"out","private","remittances-devcountries",0
"AU","Australia",2001,"out","commercial","fdi-devcountries",0
"AU","Australia",2001,"in","official","oofs-interest",73008985.6239189
"AU","Australia",2001,"out","official","dfis-out",0
"AU","Australia",2001,"out","official","oofs-out",124646328.501629
"AU","Australia",2001,"in","official","oda-capital-repay",0
"AU","Australia",2001,"in","official","oda-interest",0
"AU","Australia",2002,"out","private","remittances-devcountries",0
"AU","Australia",2002,"in","official","oda-capital-repay",0
"AU","Australia",2002,"out","official","oda-out",1972397819.61179
"AU","Australia",2002,"out","private","pda-out",0
"AU","Australia",2002,"in","official","oofs-capital-repay",175408034.749747
"AU","Australia",2002,"out","commercial","fdi-devcountries",0
"AU","Australia",2002,"in","official","oofs-interest",28127525.1901675
"AU","Australia",2002,"out","official","oofs-out",106006857.347908
"AU","Australia",2002,"out","official","dfis-out",0
"AU","Australia",2002,"in","official","oda-interest",0
"AU","Australia",2003,"out","commercial","fdi-devcountries",0
"AU","Australia",2003,"out","official","oda-out",1972860843.64979
"AU","Australia",2003,"out","private","pda-out",0
"AU","Australia",2003,"in","official","oda-interest",0
"AU","Australia",2003,"out","private","remittances-devcountries",0
"AU","Australia",2003,"in","official","oda-capital-repay",0
"AU","Australia",2003,"in","official","oofs-capital-repay",193934843.640907
"AU","Australia",2003,"in","official","oofs-interest",8418575.73197024
"AU","Australia",2003,"out","official","dfis-out",0
"AU","Australia",2003,"out","official","oofs-out",182731662.0899
"AU","Australia",2004,"out","official","oofs-out",132036661.873157
"AU","Australia",2004,"out","commercial","fdi-devcountries",0
"AU","Australia",2004,"out","official","oda-out",2011589013.99053
"AU","Australia",2004,"out","private","pda-out",0
"AU","Australia",2004,"in","official","oda-interest",0
"AU","Australia",2004,"out","official","dfis-out",0
"AU","Australia",2004,"out","private","remittances-devcountries",0
"AU","Australia",2004,"in","official","oofs-interest",61940403.9839015
"AU","Australia",2004,"in","official","oda-capital-repay",0
"AU","Australia",2004,"in","official","oofs-capital-repay",233681746.524675
"AU","Australia",2005,"in","official","oofs-interest",43960103.2315537
"AU","Australia",2005,"out","private","remittances-devcountries",0
"AU","Australia",2005,"out","official","oofs-out",132096924.696092
"AU","Australia",2005,"out","private","pda-out",0
"AU","Australia",2005,"out","commercial","fdi-devcountries",0
"AU","Australia",2005,"out","official","oda-out",2140869769.43557
"AU","Australia",2005,"out","official","dfis-out",0
"AU","Australia",2005,"in","official","oofs-capital-repay",223610391.77117
"AU","Australia",2005,"in","official","oda-interest",0
"AU","Australia",2005,"in","official","oda-capital-repay",0
"AU","Australia",2006,"in","official","oofs-capital-repay",0
"AU","Australia",2006,"out","private","pda-out",0
"AU","Australia",2006,"in","official","oda-interest",0
"AU","Australia",2006,"in","official","oofs-interest",0
"AU","Australia",2006,"out","private","remittances-devcountries",0
"AU","Australia",2006,"out","commercial","fdi-devcountries",0
"AU","Australia",2006,"out","official","oofs-out",233132730.51466
"AU","Australia",2006,"out","official","dfis-out",0
"AU","Australia",2006,"out","official","oda-out",2605907218.12759
"AU","Australia",2006,"in","official","oda-capital-repay",0
"AU","Australia",2007,"out","official","oofs-out",284852157.032321
"AU","Australia",2007,"out","private","pda-out",0
"AU","Australia",2007,"in","official","oofs-capital-repay",0
"AU","Australia",2007,"out","commercial","fdi-devcountries",0
"AU","Australia",2007,"in","official","oda-interest",0
"AU","Australia",2007,"out","private","remittances-devcountries",0
"AU","Australia",2007,"in","official","oofs-interest",0
"AU","Australia",2007,"out","official","dfis-out",0
"AU","Australia",2007,"in","official","oda-capital-repay",0
"AU","Australia",2007,"out","official","oda-out",2823466600.11845
"AU","Australia",2008,"out","official","dfis-out",0
"AU","Australia",2008,"out","commercial","fdi-devcountries",0
"AU","Australia",2008,"out","official","oofs-out",147904919.124705
"AU","Australia",2008,"out","private","pda-out",0
"AU","Australia",2008,"in","official","oofs-capital-repay",0
"AU","Australia",2008,"out","private","remittances-devcountries",0
"AU","Australia",2008,"in","official","oda-interest",0
"AU","Australia",2008,"in","official","oda-capital-repay",0
"AU","Australia",2008,"in","official","oofs-interest",0
"AU","Australia",2008,"out","official","oda-out",2979755059.93806
