"di_id","entity_name","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"JP","Japan",0,12870433550,13037285810,0,15302127241,437950000,0,0,16415337425,14031206072,6995970000,0,14209126041,20937151798,15855992010,872840000,13717710000
"KW","Kuwait",574834278,539297723,0,569595842,343520000,0,0,468091552,607391495,0,4858256247.62,0,437098036,279390000,288140000,0,0
"LV","Latvia",0,0,0,1448857,12169973,0,0,0,0,0,14923063,16346760,18960530,0,21202700,23161519,0
"LI","Liechtenstein",0,0,0,0,0,0,0,0,0,0,24995547,0,25922785,0,0,0,0
"LT","Lithuania",0,0,0,0,0,0,29134180,0,0,33008442,34345998,0,0,42961871,0,0,0
"LU","Luxembourg",0,0,0,0,0,0,315277135,367896465,0,0,0,348563187,0,0,16735097.05,0,392010000
"MT","Malta",0,0,0,0,0,0,0,0,0,0,12953006,0,0,0,0,16487855,20550000
"NL","Netherlands",0,0,4960834723,4853500741,45580000,0,0,5802490757,0,5515239908,5645405046,0,4985007095,0,4840293682,0,5145310000
"NZ","New Zealand",0,0,0,0,0,0,0,0,0,391058631,364819775,401097275,0,0,14040000,448628643,16080000
"NO","Norway",106380000,0,0,0,6630000,14150000,2804274905,3151508153,0,0,0,0,3318878719,0,375360000,4086312095,2120000
"PL","Poland",0,0,0,35863405,138969465,209159317,291370592,307874959,0,0,301132100.78,0,14830000,412346288,382826645,0,688650000
"PT","Portugal",687675823,1480000,328660000,0,1040000,0,0,422350833,518149009,0,605464014,0,120000,0,409170819,28330000,392340000
"QA","Qatar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RO","Romania",0,0,0,0,0,0,0,0,112487367,0,0,0,0,0,191758699,157401272,0
"RU","Russian Federation",0,0,0,0,0,0,0,0,0,0,0,318621973,273416538,0,564922225,1099469625,0
"SA","Saudi Arabia",0,684676185,0,0,0,1099368784,2195823900,1584273734,4648907116,0,3279166146,0,1301740746,5249822600,0,0,0
"SK","Slovakia",0,19017323,0,24045120,0,0,63606575,0,0,0,0,0,68376290,0,0,0,106020000
"SI","Slovenia",0,0,0,0,0,0,45789865,49571237,56207206,59360722,51849334,0,0,69253937.06,0,63659149,0
"KR","South Korea",0,434429669,16810000,881710000,0,404650000,18990000,240710000,933695030,1045832582,30360000,2649210000,2513810684.14,37740000,0,1980310582,8964470000
"ES","Spain",13470000,0,2753089297,2617349483,2773286106,0,3928618936,12110000,0,0,5334580533,3600611301,0,2161817457,1781424885,0,4672120000
"SE","Sweden",2521474556,2571545543,2875389495,2801589157,101350000,0,1215070000,3550000,3560000,6250000,4165345790,2600000,4428748059,4734052761,62930000,0,2472880000
"CH","Switzerland",1627990000,1684839016,0,1902927799,2090058998,2377174176,2183320501,2088574095,223970000,0,896617805.39,2741302804,0,0,3309678869,3521505487,2034627511.6
"TW","Taiwan",0,0,0,0,486255937,517448325,0,492727949,0,0,357531129,337458932,275996085,244929596,245921129,24450000,0
"AE","UAE",571426670,45520000,803085557,1159946091,0,599822242,880241210,2455750346,0,980859792,509118846,704597326,773922026,4950548321,4661676141,4470439057,4490190000
"GB","United Kingdom",5559046656,5999333923,6068292077,0,7669818292,10222699517,1310000,12880000,10136204323,0,12885401058,309780000,12905527861,16450844813,4132465197.59,16833532235,18204400000
"US","USA",14779722118,16374391656,18565751605,23452765039,25758868235,34822613944,28827153870,25972528425,30775661657,33045058662,33604757590,34817298851,33249052007,33512755407,34668262910,32140615620,35120600000
