"id","value.1990","original-value.1990","value.1991","original-value.1991","value.1992","original-value.1992","value.1993","original-value.1993","value.1994","original-value.1994","value.1995","original-value.1995","value.1996","original-value.1996","value.1997","original-value.1997","value.1998","original-value.1998","value.1999","original-value.1999","value.2000","original-value.2000","value.2001","original-value.2001","value.2002","original-value.2002","value.2003","original-value.2003","value.2004","original-value.2004","value.2005","original-value.2005","value.2006","original-value.2006","value.2007","original-value.2007","value.2008","original-value.2008","value.2009","original-value.2009","value.2010","original-value.2010","value.2011","original-value.2011","value.2012","original-value.2012","value.2013","original-value.2013"
"CZ",,,,,,,0,0,4469.9376666667,,8939.8753333333,,13409.813,13409.813,11919.8337777778,,10429.8545555556,,8939.8753333333,,7449.8961111111,,5959.9168888889,,4469.9376666667,,2979.9584444444,,1489.9792222222,,0,0,7167.234,7167.234,5660.5375,,4153.841,4153.841,3133.181,3133.181,4189.764,4189.764,3148.826,3148.826,,,,
"DE",,,,,,,,,276890.383,276890.383,230741.985833333,,184593.588666667,,138445.1915,,92296.7943333333,,46148.3971666667,,0,0,0,,0,,0,,0,0,0,,0,,0,0,92680.5206666667,,185361.041333333,,278041.562,278041.562,,,,,,
"DJ",,,,,,,,,,,,,,,,,,,,,,,,,140176.922,140176.922,,,,,,,,,,,,,,,,,,,,,,
"DK",,,,,34648.179,34648.179,28855.4963333333,,23062.8136666667,,17270.131,17270.131,17447.0436,,17623.9562,,17800.8688,,17977.7814,,18154.694,18154.694,18074.752,,17994.81,,17914.868,,17834.926,17834.926,18989.82,,20144.714,,21299.608,21299.608,26589.564,,31879.52,,37169.476,37169.476,,,,,,
"DM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DO",,,,,351383.619,351383.619,358727.9475,,366072.276,,373416.6045,,380760.933,380760.933,408696.552,408696.552,423785.454666667,,438874.357333333,,453963.26,453963.26,323814.166,323814.166,470888.255,470888.255,583285.747,583285.747,720938.559,720938.559,502672.876,502672.876,400973.079,400973.079,357678.558,357678.558,326631.533,326631.533,295539.524,295539.524,224376.253,224376.253,257748.989,257748.989,231223.973,231223.973,,
"DZ",,,,,,,,,,,1870326.539,1870326.539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EC",,,,,,,,,1615908.739,1615908.739,1072737.84,1072737.84,1122996.33533333,,1173254.83066667,,1223513.326,1223513.326,1989264.491,1989264.491,2546723.278,2546723.278,2229007.75866667,,1911292.23933333,,1593576.72,1593576.72,1413790.01,1413790.01,1261985.2,1261985.2,858238.384,858238.384,990226.752,990226.752,908476.365,908476.365,889812.367,889812.367,687049.098,687049.098,615957.832,615957.832,611944.428,611944.428,,
"EE",,,,,,,11803.611,11803.611,7697.598,,3591.585,3591.585,2625.416,,1659.247,,693.078,693.078,4537.494,,8381.91,8381.91,7912.256,7912.256,7862.295,7862.295,5071.664,5071.664,7413.022,,9754.38,9754.38,9831.713,9831.713,6301.196,6301.196,6016.905,6016.905,7873.639,7873.639,10784.948,10784.948,13008.902,13008.902,,,,
"EG",,,2559486.469,2559486.469,2353237.2478,,2146988.0266,,1940738.8054,,1734489.5842,,1528240.363,1528240.363,1445448.342,,1362656.321,,1279864.3,,1197072.279,1197072.279,1282092.9278,,1367113.5766,,1452134.2254,,1537154.8742,,1622175.523,1622175.523,1504205.112,,1386234.701,,1268264.29,1268264.29,,,,,,,,,,
"ER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ES",132091.479,132091.479,237225.82,,342360.161,,447494.502,,552628.843,,657763.184,657763.184,552784.2698,,447805.3556,,342826.4414,,237847.5272,,132868.613,132868.613,243439.808,,354011.003,,464582.198,,575153.393,575153.393,534191.605333333,,493229.817666667,,452268.03,452268.03,664811.816666667,,877355.603333333,,1089899.39,1089899.39,,,,,,
"ET",,,,,,,,,,,36038864.01,36038864.01,36036972.286,,36035080.562,,36033188.838,,36031297.114,,36029405.39,36029405.39,34758475.652,,33487545.914,,32216616.176,,30945686.438,,29674756.7,29674756.7,30210248.5633333,,30745740.4266667,,31281232.29,,31816724.1533333,,32352216.0166667,,32887707.88,32887707.88,,,,
"FI",,,0,0,0,,0,,0,,0,0,0,,0,,0,,0,,0,0,0,,0,,0,,0,0,0,,0,,0,0,0,,0,,0,0,,,,,,
"FJ",,,,,,,,,,,,,,,,,,,,,,,,,,,238302.518,238302.518,206939.725833333,,175576.933666667,,144214.1415,,112851.349333333,,81488.5571666667,,50125.765,50125.765,,,,,,,,
"FM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FR",,,,,,,,,207640.276,207640.276,208565.013333333,,209489.750666667,,210414.488,,211339.225333333,,212263.962666667,,213188.7,213188.7,212247.2824,,211305.8648,,210364.4472,,209423.0296,,208481.612,208481.612,,,,,,,,,,,,,,,,
"GA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84009.419,84009.419,,,,,,,,,,,,,,,,
"GB",,,390489.3,390489.3,389559.697333333,,388630.094666667,,387700.492,387700.492,783256.905,783256.905,685735.80925,,588214.7135,,490693.61775,,393172.522,393172.522,394921.8104,,396671.0988,,398420.3872,,400169.6756,,401918.964,401918.964,474398.268,,546877.572,,619356.876,619356.876,624218.013,,629079.15,,633940.287,633940.287,,,,,,
"GD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GE",,,,,,,,,,,,,217879.92,217879.92,793936.32,793936.32,599503.28,599503.28,765384.75,765384.75,784248.25,784248.25,764110.88,764110.88,618258.3,618258.3,676174.18,676174.18,652495.13,652495.13,648104.04,648104.04,610002.6,610002.6,647289,647289,615923.9,615923.9,617084.91,617084.91,803285.12,803285.12,719577.675,719577.675,634984.98,634984.98,,
"GH",,,,,7901394.637,7901394.637,7756063.24683333,,7610731.85666667,,7465400.4665,,7320069.07633333,,7174737.68616667,,7029406.296,7029406.296,6935089.261,,6840772.226,,6746455.191,,6652138.156,,6557821.121,,6463504.086,,6369187.051,,6274870.016,6274870.016,,,,,,,,,,,,,,
"GL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GM",,,,,,,,,,,,,,,,,760597.703,760597.703,699181.5008,,637765.2986,,576349.0964,,514932.8942,,453516.692,453516.692,,,,,,,,,,,,,,,,,,,,
"GN",,,5954139.824,5954139.824,5567665.62233333,,5181191.42066667,,4794717.219,4794717.219,4837973.08566667,,4881228.95233333,,4924484.819,,4967740.68566667,,5010996.55233333,,5054252.419,,5097508.28566667,,5140764.15233333,,5184020.019,5184020.019,4875883.0445,,4567746.07,,4259609.0955,,3951472.121,3951472.121,4097204.7518,,4242937.3826,,4388670.0134,,4534402.6442,,4680135.275,4680135.275,,
"GQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GR",,,,,,,,,,,177594.23,177594.23,156923.1596,,136252.0892,,115581.0188,,94909.9484,,74238.878,74238.878,83594.87425,,92950.8705,,102306.86675,,111662.863,111662.863,112768.215666667,,113873.568333333,,114978.921,114978.921,127586.720666667,,140194.520333333,,152802.32,152802.32,,,,,,
"GT",,,,,,,,,,,,,,,,,1735163.907,1735163.907,1528068.5415,,1320973.176,1320973.176,1831765.806,,2342558.436,2342558.436,2167691.45,2167691.45,2036976.66,2036976.66,1892427.2315,,1747877.803,1747877.803,1801262.4796,,1854647.1562,,1908031.8328,,1961416.5094,,2014801.186,2014801.186,,,,
"GU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GW",,,429920.193,429920.193,570758.7095,,711597.226,711597.226,704840.329888889,,698083.433777778,,691326.537666667,,684569.641555556,,677812.745444444,,671055.849333333,,664298.953222222,,657542.057111111,,650785.161,650785.161,,,,,,,,,,,,,,,,,,,,,,
"GY",,,,,,,50029.367,50029.367,52856.446,,55683.525,,58510.604,,61337.683,,64164.762,64164.762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HN",2300322.855,2300322.855,1665804.442,1665804.442,1391585.442,1391585.442,1115570.658,1115570.658,1321185.457,1321185.457,1463968.583,1463968.583,1630092.387,1630092.387,1138353.846,1138353.846,1459157.088,1459157.088,1517074.434,1517074.434,1298292.609,,1079510.784,1079510.784,1785046.115,1785046.115,1696148.959,1696148.959,1662880.553,1662880.553,1783346.263,1783346.263,1576383.872,1576383.872,1134192.888,1134192.888,1069797.965,1069797.965,926260.656,926260.656,1022003.456,1022003.456,1281595.051,1281595.051,,,,
"HR",,,,,,,,,,,,,,,,,0,0,8652.6,8652.6,3098.2,3098.2,2664,2664,1776,,888,,0,0,0,,0,,0,,0,0,,,,,,,,,,
"HT",,,,,,,,,,,,,,,,,,,,,,,5381264.424,5381264.424,,,,,,,,,,,,,,,,,,,,,,,,
"HU",,,,,,,15536.285,15536.285,12429.028,,9321.771,,6214.514,,3107.257,,0,0,2047.506,2047.506,0,0,0,0,0,0,0,0,0,,0,0,13092.781,13092.781,8052.1185,,3011.456,3011.456,4005.734,,5000.012,5000.012,4985.864,4985.864,,,,
"ID",96944258.81,96944258.81,98723668.2733333,,100503077.736667,,102282487.2,102282487.2,96688679.26,,91094871.32,,85501063.38,85501063.38,89746255.05,,93991446.72,,98236638.39,98236638.39,86557676.2466667,,74878714.1033333,,63199751.96,63199751.96,58265862.06,,53331972.16,,48398082.26,48398082.26,49997620.29,,51597158.32,,53196696.35,53196696.35,48307367.12,,43418037.89,43418037.89,39495865.52,39495865.52,,,,
"IE",,,,,,,,,12566.351,12566.351,12270.059,12270.059,0,0,3519.786,,7039.572,,10559.358,,14079.144,14079.144,10559.358,,7039.572,,3519.786,,0,0,0,,0,,0,0,5472.186,,10944.372,,16416.558,16416.558,,,,,,
"IL",,,,,0,0,4201.92,,8403.84,,12605.76,,16807.68,,21009.6,21009.6,21069.375,,21129.15,,21188.925,,21248.7,21248.7,27544.4425,,33840.185,,40135.9275,,46431.67,46431.67,35063,,23694.33,23694.33,25706.9,,27719.47,,29732.04,29732.04,,,,,,
"IM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IN",,,,,,,,,463595559.7,463595559.7,464118015.490909,,464640471.281818,,465162927.072727,,465685382.863636,,466207838.654545,,466730294.445455,,467252750.236364,,467775206.027273,,468297661.818182,,468820117.609091,,469342573.4,469342573.4,454273685.72,,439204798.04,,424135910.36,,409067022.68,,393998135,393998135,343110289.25,,292222443.5,292222443.5,,
"IQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,968559.231,968559.231,1029608.9792,,1090658.7274,,1151708.4756,,1212758.2238,,1273807.972,1273807.972,,
"IR",2169931.918,2169931.918,1839252.96825,,1508574.0185,,1177895.06875,,847216.119,847216.119,836109.28975,,825002.4605,,813895.63125,,802788.802,802788.802,833420.34,,864051.878,,894683.416,,925314.954,,955946.492,,986578.03,,1017209.568,1017209.568,,,,,,,,,,,,,,,,
"IS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,963.844,963.844,1016.442,,1069.04,,1121.638,1121.638,747.7586666667,,373.8793333333,,0,0,,,,,,
"IT",,,210006.528,210006.528,389162.369,,568318.21,568318.21,571222.835,,574127.46,574127.46,699532.515,,824937.57,,950342.625,950342.625,856683.436,,763024.247,763024.247,668891.108,,574757.969,,480624.83,,386491.691,386491.691,438406.264,,490320.837,,542235.41,,594149.983,594149.983,697197.5565,,800245.13,800245.13,,,,,,
"JM",30353,30353,51317.7056666667,,72282.4113333333,,93247.117,93247.117,76889.6263333333,,60532.1356666667,,44174.645,44174.645,40862.4446666667,,37550.2443333333,,34238.044,34238.044,503446.0495,,972654.055,972654.055,8107.284,8107.284,7214.616,,6321.948,6321.948,,,,,,,,,,,,,,,,,,
"JO",,,,,102284.2,102284.2,95115.18,,87946.16,,80777.14,,73608.12,,66439.1,66439.1,65349.65,,64260.2,,63170.75,,62081.3,,60991.85,,59902.4,59902.4,44548.2666666667,,29194.1333333333,,13840,13840,8945.1,,4050.2,4050.2,4443.5,,4836.8,4836.8,,,,,,
"JP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446964.14,446964.14,,,,,,,,,,
"KE",,,,,9619192.732,9619192.732,8605035.2735,,7590877.815,7590877.815,8131506.15666667,,8672134.49833333,,9212762.84,9212762.84,10001200.7225,,10789638.605,,11578076.4875,,12366514.37,,13154952.2525,,13943390.135,,14731828.0175,,15520265.9,15520265.9,,,,,,,,,,,,,,,,
"KG",,,,,,,840557.87,840557.87,976136.216,,1111714.562,,1247292.908,,1382871.254,,1518449.6,1518449.6,1660775.32,,1803101.04,1803101.04,1611113.58,1611113.58,1484234.18,1484234.18,1246199.43,1246199.43,561006.53,561006.53,1027873.66,1027873.66,698221.92,698221.92,100099.6,100099.6,292528.5,292528.5,303079.79,303079.79,327963.58,327963.58,281796.06,281796.06,,,,
"KH",,,,,,,,,4641469.26,4641469.26,4608227.7132,,4574986.1664,,4541744.6196,,4508503.0728,,4475261.526,,4442019.9792,,4408778.4324,,4375536.8856,,4342295.3388,,4309053.792,4309053.792,4285007.24866667,,4260960.70533333,,4236914.162,4236914.162,2912174.21,2912174.21,1828848.293,1828848.293,1616054.738,1616054.738,1467889.131,1467889.131,,,,
"KI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,269922.868,269922.868,,,,,,,,,,,,,,,,,,
"KN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KZ",,,,,,,687510.64,687510.64,716933.467,,746356.294,,775779.121,775779.121,802489.3172,,829199.5134,,855909.7096,,882619.9058,,909330.102,909330.102,558696.445,558696.445,359307.334,359307.334,217688.283,217688.283,3029.406,3029.406,62763.144,62763.144,24774.707,24774.707,1567.4,1567.4,5680.1745,,9792.949,9792.949,,,,,,
"LA",,,,,2504390.074,2504390.074,2488006.6426,,2471623.2112,,2455239.7798,,2438856.3484,,2422472.917,2422472.917,2395128.3314,,2367783.7458,,2340439.1602,,2313094.5746,,2285749.989,2285749.989,2250732.1068,,2215714.2246,,2180696.3424,,2145678.4602,,2110660.578,2110660.578,2090733.9124,,2070807.2468,,2050880.5812,,2030953.9156,,2011027.25,2011027.25,,
"LB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LC",,,,,,,,,,,30819.584,30819.584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LK",,,2591776.7,2591776.7,2671908.4,,2752040.1,,2832171.8,,2912303.5,,2992435.2,2992435.2,2933609.25,,2874783.3,,2815957.35,,2757131.4,,2698305.45,,2639479.5,2639479.5,2393732.72,,2147985.94,,1902239.16,,1656492.38,,1410745.6,1410745.6,1223443.16666667,,1036140.73333333,,848838.3,848838.3,,,,,,
"LR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2950273.454,2950273.454,,,,,,,,,,,,
