"id","dfis-out.2000","fdi-out.2000","oda-capital-repay.2000","oda-interest.2000","oda-out.2000","oofs-capital-repay.2000","oofs-interest.2000","oofs-out.2000","remittances-devcountries.2000","dfis-out.2001","fdi-out.2001","oda-capital-repay.2001","oda-interest.2001","oda-out.2001","oofs-capital-repay.2001","oofs-interest.2001","oofs-out.2001","remittances-devcountries.2001","dfis-out.2002","fdi-out.2002","oda-capital-repay.2002","oda-interest.2002","oda-out.2002","oofs-capital-repay.2002","oofs-interest.2002","oofs-out.2002","remittances-devcountries.2002","dfis-out.2003","fdi-out.2003","oda-capital-repay.2003","oda-interest.2003","oda-out.2003","oofs-capital-repay.2003","oofs-interest.2003","oofs-out.2003","remittances-devcountries.2003","dfis-out.2004","fdi-out.2004","oda-capital-repay.2004","oda-interest.2004","oda-out.2004","oofs-capital-repay.2004","oofs-interest.2004","oofs-out.2004","remittances-devcountries.2004","dfis-out.2005","fdi-out.2005","oda-capital-repay.2005","oda-interest.2005","oda-out.2005","oofs-capital-repay.2005","oofs-interest.2005","oofs-out.2005","remittances-devcountries.2005","dfis-out.2006","fdi-out.2006","oda-capital-repay.2006","oda-interest.2006","oda-out.2006","oofs-capital-repay.2006","oofs-interest.2006","oofs-out.2006","remittances-devcountries.2006","dfis-out.2007","fdi-out.2007","oda-capital-repay.2007","oda-interest.2007","oda-out.2007","oofs-capital-repay.2007","oofs-interest.2007","oofs-out.2007","remittances-devcountries.2007","dfis-out.2008","fdi-out.2008","oda-capital-repay.2008","oda-interest.2008","oda-out.2008","oofs-capital-repay.2008","oofs-interest.2008","oofs-out.2008","remittances-devcountries.2008","dfis-out.2009","fdi-out.2009","oda-capital-repay.2009","oda-interest.2009","oda-out.2009","oofs-capital-repay.2009","oofs-interest.2009","oofs-out.2009","remittances-devcountries.2009","dfis-out.2010","fdi-out.2010","oda-capital-repay.2010","oda-interest.2010","oda-out.2010","oofs-capital-repay.2010","oofs-interest.2010","oofs-out.2010","remittances-devcountries.2010","dfis-out.2011","fdi-out.2011","oda-capital-repay.2011","oda-interest.2011","oda-out.2011","oofs-capital-repay.2011","oofs-interest.2011","oofs-out.2011","remittances-devcountries.2011","dfis-out.2012","fdi-out.2012","oda-capital-repay.2012","oda-interest.2012","oda-out.2012","oofs-capital-repay.2012","oofs-interest.2012","oofs-out.2012","remittances-devcountries.2012","dfis-out.2013","fdi-out.2013","oda-capital-repay.2013","oda-interest.2013","oda-out.2013","oofs-capital-repay.2013","oofs-interest.2013","oofs-out.2013","remittances-devcountries.2013"
"NO",,0,14740000,24420000,3119400000,0,0,0,,,0,10840000,0,3334040000,0,0,0,,,0,11340000,0,3797060000,0,0,0,,,0,13230000,0,3943390000,0,0,440000,,,0,9680000,0,3810050000,0,20000,460000,,,-1506765372,0,0,4237220000,60000,20000,7030000,,102681090,833683094.4,0,0,4087840000,70000,0,6890000,,61197892,695354812,0,0,4595090000,60000,0,6250000,,110551667,-271897191.6,0,0,4328830000,110000,0,660000,,100007453,649827884.7,0,0,5128260000,0,0,150000,,49408212,4205142171,0,0,4974400000,0,0,750000,642933146.2,158467552,0,0,0,4699840000,0,0,0,631923619.8,,0,96460000,0,4849450000,210000,0,0,685257702.3,,,90120000,0,5623980000,1e+05,0,310000,
"SE",,1483862507,410000,70000,2964280000,8350000,1150000,8530000,,,-1270333106,0,40000,3027220000,2300000,8e+05,4430000,,,-18186253.29,1220000,160000,3386630000,3170000,720000,6160000,,,-665256647.7,0,0,3299590000,114920000,265130000,93680000,,,1926463012,0,0,3386450000,119460000,23980000,39730000,,,2767909831,0,0,4217570000,55940000,5610000,50940000,,,845130574.5,0,0,4806810000,100730000,108800000,98580000,,47146143,1469782538,0,0,4705840000,92270000,4190000,41970000,,66696297,2204744775,0,0,4916160000,34140000,4160000,66110000,,86091467,2511120024,0,0,5289360000,10220000,15170000,89640000,,72813576,3661830070,7620000,0,4937830000,0,0,50000,1267928082,48057600,5101174297,3160000,0,5421940000,179640000,21590000,50720000,1230903855,55306000,6323686000,7880000,,5247720000,97660000,5950000,49220000,1309655779,,,64290000,0,5626240000,66600000,5630000,44310000,
"US",1651699556,23994178107,1145310000,564710000,13909600000,1363700000,938600000,2084520000,,1289505550,28630257052,1084050000,524940000,15410930000,1382490000,895010000,2329490000,,867247054,8167702790,1073130000,463940000,17480240000,1744740000,1280800000,2024510000,,1463175333,11711273677,2333880000,497310000,22086160000,2420510000,3167840000,3713280000,,1688116274,27131725961,1046800000,445650000,24260190000,1892530000,895920000,1092140000,,973478285,22379073331,919190000,334610000,32804980000,2046480000,5298400000,850830000,,502898012,37220864831,1095290000,357170000,27154850000,5036250000,745450000,588090000,,1077896784,53334301636,964330000,352330000,24467480000,2164900000,525520000,404850000,,647844316,48076010971,1024200000,484840000,28997100000,1600030000,376010000,436500000,,1857453117,30031577940,859720000,303180000,31133180000,1194050000,454610000,2231670000,,296943992,39187924289,827630000,246160000,32317320000,1292330000,348980000,1297350000,95293529220,,44194083770,1222670000,236700000,32682770000,2168220000,760660000,4779860000,1.01747e+11,242325500,4.4995e+10,570760000,191780000,31257710000,993250000,-597060000,3455130000,1.03317e+11,,,663200000,172440000,31087510000,1384970000,470400000,2.791e+09,
"AU",,-45168038.93,0,0,2654330000,226610000,108150000,1576950000,,,545329658.7,0,0,2544700000,246300000,98600000,168360000,,,-469112638.7,0,0,2660620000,236600000,37930000,142970000,,,670161655.5,0,0,2678470000,265920000,11430000,248090000,,,-114099822.7,0,0,2728330000,326190000,84010000,179100000,,,743508886.6,0,0,2902570000,335740000,59610000,179090000,,,894714438.7,0,0,3532970000,0,0,316090000,,,2650876985,0,0,3843080000,420080000,0,387630000,,,3201335162,0,0,4048860000,351020000,0,200920000,,,-645024303.6,0,0,3992960000,4280000,0,540650000,,,2109303925,0,0,4459300000,8820000,0,318970000,8598559103,,2821890896,0,12710000,4967350000,0,0,260910000,8100280730,,2570393000,111880000,0,5514610000,0,0,326860000,8569046797,,,79430000,0,5235820000,0,0,492930000,
"CA",,0,47810000,3270000,3458270000,2355470000,32870000,2364870000,,,0,45560000,3130000,3120980000,2716220000,1258410000,2519900000,,,0,58940000,2990000,4087390000,2.871e+09,596300000,2018320000,,,0,584400000,2850000,4107050000,1873100000,508870000,1251520000,,,0,48860000,2780000,4105990000,2258310000,478410000,1018850000,,,0,28570000,43010000,5319220000,2596520000,474560000,1843840000,,,0,53900000,0,4781870000,2379190000,485840000,2836590000,,,0,46520000,0,4850880000,1949760000,99900000,1944780000,,,0,44090000,0,5484100000,1634270000,484210000,3448810000,,,0,50260000,2420000,4971550000,3228250000,400360000,1828010000,,,0,46500000,2360000,5689420000,2124790000,231110000,3586720000,14397021420,,0,47080000,2290000,5540640000,10247900000,1063980000,10580610000,14936766090,,0,52480000,2250000,5697890000,2370880000,282960000,3996690000,15641652110,,,43620000,2230000,5087680000,2070170000,338200000,3228360000,
"CL",,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,427795369.2,,,,,,,,,3876294592,,,,,,,,,8162346181,,,,,,,,,6861502154,,,,,,,,,6689679438,,,,,,,,,5986296931,,,,,,,,,7314278000,,,,,,,,,,,,,,,,
"CZ",,2712521.857,0,0,38520000,,,,,,4400133.479,0,0,59340000,,,,,,-3148943.9,0,0,85490000,,,,,,44963023.71,0,0,145020000,,,,,,-25657920.39,0,0,152190000,,,,,,28662785.56,0,0,177730000,,,,,,12623792.33,0,0,198450000,,,,,,210615518,0,0,191820000,,,,,,6596079.172,0,0,224190000,,,,,,759553548,0,0,206770000,,,,,,72063746.16,0,0,223800000,,,,104615637.9,,1241845.962,0,0,230260000,,,,107931255.9,,-181371000,0,0,219620000,,,,125031743,,,0,0,207860000,,,,
"EE",,0,0,0,1280000,,,,,,0,0,0,1160000,,,,,,0,0,0,2680000,,,,,,20689844,0,0,1880000,,,,,,22598606.51,0,0,7300000,,,,,,86414219.12,0,0,13420000,,,,,,40256391.1,0,0,18050000,,,,,,99871497.89,0,0,17060000,,,,,,120862669.7,0,0,20690000,,,,,,-87757789.72,0,0,18220000,,,,,,-51300003.23,0,0,19380000,,,,19753077.4,,20903167.15,0,0,23130000,,,,22007271.71,,26849000,0,0,23240000,,,,22195996.76,,,0,0,28510000,,,,
"GR",,0,0,0,416200000,0,0,4640000,,,97145710.29,0,0,374740000,0,0,0,,,10484597.91,0,0,471860000,0,0,0,,,10941808.71,0,0,496700000,0,0,0,,,46026887.16,0,0,388650000,0,0,4300000,,,145213065.6,210000,0,456840000,0,0,0,,,3455171587,0,0,487260000,0,0,9420000,,,2860883786,0,0,510630000,0,0,3610000,,,180922512.9,0,0,649800000,0,0,0,,,193119191.8,0,0,568240000,0,0,0,,,715438604,0,0,493930000,0,0,0,942572780.2,,482046168.5,0,0,389590000,0,0,0,929530471.2,,819371000,0,0,327390000,0,0,0,988452855.9,,,0,0,236740000,0,0,0,
"HU",,0,0,0,0,,,,,,781208.3096,0,0,0,,,,,,9205938.92,0,0,0,,,,,,61436517.95,0,0,29440000,,,,,,29963254.05,0,0,83530000,,,,,,75635400.46,0,0,114910000,,,,,,1020842480,0,0,174350000,,,,,,107746281.6,0,0,99920000,,,,,,392553607.1,0,0,93810000,,,,,,375099814.7,0,0,113640000,,,,,,235287353.2,0,0,111950000,,,,66908418.69,,-121781094.3,0,0,128890000,,,,70146206.79,,69408000,0,0,118380000,,,,77215520.94,,,0,0,123430000,,,,
"IE",,0,0,0,388750000,,,,,,0,0,0,462270000,,,,,,0,0,0,577900000,,,,,,-2639588.022,0,0,588480000,,,,,,50293062.91,0,0,630550000,,,,,,57963386.87,0,0,728860000,,,,,,106076653.6,0,0,992430000,,,,,,70712031.8,0,0,1043820000,,,,,,103784222.8,0,0,1135700000,,,,,,17914709.4,0,0,926570000,,,,,,-121134537.9,0,0,880350000,,,,953193037.5,,159416347.6,0,0,850140000,,,,957378764.4,,75836000,0,0,808370000,,,,1049351321,,,0,0,816230000,,,,
"IL",,0,0,0,215910000,,,,,,0,0,0,123130000,,,,,,0,0,0,188520000,,,,,,0,0,0,155340000,,,,,,0,0,0,114620000,,,,,,0,0,0,129350000,,,,,,0,0,0,118960000,,,,,,216106720.4,0,0,135500000,,,,,,142329545.4,0,0,143940000,,,,,,66003163.11,0,0,135710000,,,,,,-2329522.309,0,0,148860000,,,,1729135548,,102741218.6,0,0,199130000,,,,1887673203,,29818000,0,0,181190000,,,,2031361273,,,0,0,184840000,,,,
"IS",,716390.6769,0,0,10430000,,,,,,3170974.99,0,0,13460000,,,,,,1001340.655,0,0,15530000,,,,,,-230799.1805,0,0,18040000,,,,,,86808340.3,0,0,19390000,,,,,,57581280.43,0,0,21650000,,,,,,20535047.71,0,0,33700000,,,,,,72593496.58,0,0,33950000,,,,,,-8821830.621,0,0,43270000,,,,,,6193513.578,0,0,38530000,,,,,,-18183699.45,0,0,29830000,,,,26798462.54,,-17375252.38,0,0,24430000,,,,27188165.15,,1366000,0,0,26130000,,,,29954304.08,,,0,0,32980000,,,,
"IT",,2572028131,399910000,0,2871590000,370860000,0,185040000,,,1941917680,335420000,79670000,3258210000,12990000,5570000,111070000,,,1189382279,329920000,0,4187460000,1029320000,0,417540000,,,473105650,316830000,0,3571930000,932120000,0,550360000,,,594972249.7,341800000,0,3266930000,1800410000,771610000,2402380000,,,1766147955,202250000,0,6141700000,1419730000,608470000,106940000,,,2720264677,410540000,0,4546360000,1268070000,543450000,181190000,,,-1985916512,325170000,380000,4364550000,405460000,173790000,140180000,,,7573081824,222200000,890000,4799370000,589460000,250790000,973680000,,,2956764736,170320000,410000,3320730000,110250000,47240000,41440000,,,7741753488,183260000,0,3181350000,207060000,68790000,56280000,8199759803,,8332888523,282390000,7170000,4350340000,370310000,158710000,169390000,8431560872,,15103563000,99880000,2140000,2837010000,1450000,0,197600000,9239879433,,,76320000,3250000,3326720000,0,0,153530000,
"KR",,546307313,5060000,13490000,287640000,1668160000,218660000,746830000,,,-727740824.2,13900000,18680000,401200000,1145010000,199800000,850970000,,,0,16350000,12740000,399710000,711390000,151690000,1028500000,,,1885403249,17490000,21390000,479900000,915410000,147940000,935660000,,,3236554640,20290000,16620000,519780000,906720000,93010000,1257540000,,,0,20200000,21120000,808750000,749330000,121060000,1504870000,,,4161130318,24700000,18520000,468880000,877970000,169970000,1876330000,,,6803484866,32620000,28050000,682270000,1409620000,234900000,2347800000,,,7414989409,42710000,28630000,911640000,1791840000,290130000,3852950000,,,8226451557,41720000,29660000,1022390000,2554640000,329070000,3098220000,,,11995588309,34290000,29540000,1268930000,2621650000,232400000,4614790000,0,,9593265955,44410000,31810000,1359520000,2893090000,206390000,5114810000,0,,11859862000,49020000,33720000,1646480000,3358660000,273920000,4530060000,2641297658,,,62810000,36630000,1747940000,4799730000,417260000,6062330000,
"LU",,0,0,0,255270000,0,0,0,,,0,0,0,296620000,0,0,0,,,-56512207.65,0,0,291710000,0,0,0,,,652464825.1,0,0,303470000,0,0,0,,,4050906597,0,0,329400000,0,0,0,,,1810224131,0,0,342030000,0,0,0,,,969892636.4,0,0,359690000,0,0,0,,,4943797394,0,0,410590000,0,0,0,,,3644227659,0,0,428630000,0,0,0,,,4636467860,0,0,440190000,0,0,0,,,5524998530,180000,0,419600000,0,0,0,39764112.74,,506883263.4,1260000,0,390830000,0,0,0,41688944.2,,23931105000,2860000,0,401890000,0,0,0,44630058.27,,,3240000,0,405630000,0,0,0,
"MX",,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,
"NZ",,-30402276.22,0,0,2.71e+08,0,0,0,,,6451946.643,0,0,276650000,0,0,0,,,-1853376.036,0,0,271340000,0,0,4920000,,,1419873.777,0,0,289090000,0,0,5160000,,,-23021127.98,0,0,313420000,0,0,7760000,,,957942.631,0,0,372180000,0,0,9580000,,,0,0,0,371500000,0,0,10620000,,,-4468490.888,0,0,388910000,0,0,9970000,,,-14207141.67,0,0,432660000,0,0,10270000,,,-67219903.02,0,0,424070000,0,0,10380000,,,-57512218.82,0,0,390830000,0,0,9500000,1320419169,,-727097.6396,0,0,431270000,0,0,9810000,1329310890,,-21726000,0,0,449130000,0,0,11270000,1337086411,,,0,0,440670000,0,0,10700000,
"PL",,7336588.276,0,0,52980000,,,,,,-34391573.9,0,0,59450000,,,,,,27660248.16,0,0,23260000,,,,,,134411765.3,0,0,42100000,,,,,,88558536.28,0,0,163660000,,,,,,206285696.1,0,0,246350000,,,,,,126749782.5,3090000,0,344070000,,,,,,439208777.2,8840000,0,362750000,,,,,,-20588919.11,4070000,0,315180000,,,,,,165555885,4310000,0,388750000,,,,,,15871978.57,5100000,0,375940000,,,,357824890.7,,281007121.2,6970000,0,396660000,,,,403411665,,141900000,17640000,0,438700000,,,,421529506.1,,,18440000,0,473820000,,,,
