country-id,admin1-id,admin2-id,admin2-name,latitude,longitude,geonameid,modification date
UG,E,69,Katakwi District,1.92157,34.04753,443785,28/04/2012
UG,E,76,Tororo District,0.75,34.08333,443366,28/04/2012
UG,E,78,Iganga District,0.7,33.5333,443334,28/04/2012
UG,E,80,Kaberamaido District,1.75732,33.22576,448215,28/04/2012
UG,E,86,Mayuge District,0.269,33.561,448220,14/05/2012
UG,E,87,Mbale District,1.016,34.191,443353,14/05/2012
UG,E,94,Sironko District,1.157,34.314,448223,15/05/2012
UG,E,95,Soroti District,1.78481,33.59432,443365,28/04/2012
UG,E,B8,Amuria District,2.08333,33.66667,7056276,28/04/2012
UG,E,C1,Budaka District,1.05249,33.99221,7056279,28/04/2012
UG,E,C2,Bududa District,1.05,34.4,7056280,28/04/2012
UG,E,C3,Bukedea District,1.36667,34.13333,234411,14/05/2012
UG,E,C4,Bukwa District,1.27115,34.66778,7056296,14/12/2013
UG,E,C6,Butaleja District,0.89076,33.94498,7056282,28/04/2012
UG,E,D2,Kaliro District,1.07782,33.48763,7056287,28/04/2012
UG,E,D6,Manafwa District,0.88333,34.33333,7056291,28/04/2012
UG,E,E1,Namutumba District,0.86667,33.66667,234069,28/04/2012
UG,E,E9,Bulambuli District,1.32055,34.28062,8030573,15/12/2013
UG,E,F3,Buyende District,1.2663,33.14268,8030571,28/04/2012
UG,E,F6,Kibuku District,1.05,33.80879,8030572,15/12/2013
UG,E,F9,Kween District,1.37732,34.57456,8030574,28/04/2012
UG,E,G4,Luuka District,0.82405,33.33251,8030588,28/04/2012
UG,E,G7,Namayingo District,0.278,33.809,8030575,05/05/2012
UG,E,G9,Ngora District,1.48203,33.75832,8030570,28/04/2012
UG,E,H5,Serere District,1.487,33.452,8030569,14/05/2012
UG,N,26,Apac District,1.902,32.6,443327,14/05/2012
UG,N,30,Gulu District,2.85604,32.43001,443331,28/04/2012
UG,N,45,Kotido District,3,34.1,443347,28/04/2012
UG,N,47,Lira District,2.274,32.953,443349,14/05/2012
UG,N,58,Nebbi District,2.46732,31.26293,443360,28/04/2012
UG,N,65,Adjumani District,3.25,31.75,443782,28/04/2012
UG,N,72,Moyo District,3.65,31.72,443357,28/04/2012
UG,N,77,Arua District,2.96667,31.16667,443328,28/04/2012
UG,N,84,Kitgum District,3.406,33.336,443346,15/05/2012
UG,N,88,Moroto District,2.6389,34.64395,443356,28/04/2012
UG,N,91,Nakapiripirit District,1.90718,34.59601,448221,28/04/2012
UG,N,92,Pader District,2.956,32.8,448222,15/05/2012
UG,N,97,Yumbe District,3.52354,31.28243,448225,28/04/2012
UG,N,B6,Abim District,2.75,33.75,7056273,28/04/2012
UG,N,B7,Amolatar District,1.63333,32.83333,7056275,14/05/2012
UG,N,B9,Amuru District,3,32,7056278,28/04/2012
UG,N,C7,Dokolo District,1.93607,33.06137,7056283,28/04/2012
UG,N,D1,Kaabong District,3.58333,34,7056286,28/04/2012
UG,N,D4,Koboko District,3.5,31,7056289,28/04/2012
UG,N,D7,Maracha District,3.25091,30.92516,7056292,28/04/2012
UG,N,E2,Oyam District,2.38129,32.50072,7056295,15/12/2013
UG,N,E3,Agago District,2.92023,33.35336,8030566,07/05/2012
UG,N,E4,Alebtong District,2.26925,33.24234,8030568,28/04/2012
UG,N,E5,Amudat District,1.80626,34.9278,8030560,28/04/2012
UG,N,F8,Kole District,2.29701,32.74402,8030565,28/04/2012
UG,N,G3,Lamwo District,3.55004,32.75057,8030562,07/05/2012
UG,N,G8,Napak District,2.38153,34.16834,8030561,28/04/2012
UG,N,H2,Nwoya District,2.50974,31.88448,7869939,28/04/2012
UG,N,H3,Otuke District,2.48372,33.342,8030567,15/12/2013
UG,N,H7,Zombo District,2.52031,30.88824,8030563,28/04/2012
UG,W,28,Bundibugyo District,0.66667,30.05,443329,28/04/2012
UG,W,29,Bushenyi District,-0.491,30.183,443330,14/05/2012
UG,W,31,Hoima District,1.393,31.11,443332,14/05/2012
UG,W,34,Kabale District,-1.20774,29.98588,443336,17/05/2012
UG,W,40,Kasese District,0.121,30.00777,443342,28/04/2012
UG,W,41,Kibale District,0.93015,31.03261,443343,28/04/2012
UG,W,43,Kisoro District,-1.20662,29.68113,443345,28/04/2012
UG,W,50,Masindi District,1.569,31.743,443351,14/05/2012
UG,W,52,Mbarara District,-0.5,30.6,443355,28/04/2012
UG,W,59,Ntungamo District,-0.93702,30.30483,443361,28/04/2012
UG,W,79,Kabarole District,0.65454,30.28816,443337,28/04/2012
UG,W,81,Kamwenge District,0.21644,30.44076,448216,28/04/2012
UG,W,82,Kanungu District,-0.75,29.73,448217,28/04/2012
UG,W,85,Kyenjojo District,0.65696,30.6599,448219,28/04/2012
UG,W,93,Rukungiri District,-0.69077,29.87781,443364,28/04/2012
UG,W,C5,Bulisa District,1.96389,31.39353,7056281,28/04/2012
UG,W,C8,Ibanda District,-0.081,30.556,7056284,14/05/2012
UG,W,C9,Isingiro District,-0.83354,30.87175,7056285,28/04/2012
UG,W,D3,Kiruhura District,-0.25,30.91667,7056288,28/04/2012
UG,W,E6,Buhweju District,-0.3287,30.32488,8030585,28/04/2012
UG,W,F7,Kiryandongo District,2.01568,32.07034,8030564,28/04/2012
UG,W,G2,Kyegegwa District,0.42923,31.01062,8030581,28/04/2012
UG,W,G6,Mitoma District,-0.62618,30.01,8030586,28/04/2012
UG,W,H1,Ntoroko District,1.00669,30.35878,8030583,28/04/2012
UG,W,H4,Rubirizi District,-0.25432,29.98912,8030584,28/04/2012
UG,W,H6,Sheema District,-0.62618,30.33035,8030587,28/04/2012
