"id","value.2000","value.2001","value.2002","value.2003","value.2004","value.2005","value.2006","value.2007","value.2008","value.2009","value.2010","value.2011","value.2012","value.2013","value.2014"
"SN",6795261863.25443,7130928722.98233,7156553156.99854,7675797726.86082,8148694779.95422,8551474716.96359,8834834536.54212,9279553427.16796,9668030605.97831,9801754301.31335,10257530582.8814,10457540761.212,10807016206.6408,11109966533.8378,
"SO",,,,,,,,,,,,,,,
"SR",,,,,,1753157833.08931,,,,,,,,,
"SS",,,,,,,,,,,,,,,
"ST",,,,,,120330979.022452,,,,,,,,,
"SV",14927613516.612,15179783851.6494,15480517205.4876,15744771584.5312,16028210769.7387,16603500000,17346354399.6232,18030308226.1018,18351553234.1212,17623234525.5343,17888025930.4131,18252764406.3799,18407991672.6538,18764845872.0186,
"SX",,,,,,,,,,,,,,,
"SY",21727660872.8263,23076473426.8359,24288032751.6338,24474256069.0915,26424783307.8269,27979782708.655,29543116871.7786,31570128602.7838,,,,,,,
"SZ",2376879500.26514,2542302269.96002,2399994852.18656,2391386096.7481,2520926154.71643,2762365752.98702,2678307840.23898,2796275515.24398,2819125730.18596,2784524288.48948,2840341348.99165,2706636887.72233,2706458264.05529,,
"TC",,,,,,,,,,,,,,,
"TD",3001026482.96485,3342748523.20584,3505230563.52313,3216154662.94968,4523320577.96,5622160309.08409,,,,,,,,,
"TG",1952503308.50369,1919795165.76512,1916879354.91124,2014266996.5697,2052089926.56225,2079925422.47126,2164011369.93169,2223653692.92445,2287839591.71274,2364891859.51587,2456986301.30722,2576109813.09805,,,
"TH",134738807819.087,136372425801.435,142474523105.565,151665220950.528,160734689562.441,167798662857.626,177625026734.257,187082806594.202,192159579217.293,186844220064.374,200765742326.177,202455170065.33,217214520399.33,215487243484.24,
"TJ",1384635206.14656,1523928681.94174,1687520495.59034,1854868837.53485,2086816854.76096,2233776163.0919,2397554622.07871,2614670519.10557,2848525380.62406,2944610728.95768,3136228796.13446,3391251048.51141,3643383367.04312,3915772654.16919,
"TL",694465058.482754,728116058.246381,822041380.639954,687894873.29178,690217427.874087,8.33e+08,1246089267.37933,1739122219.15677,2671797492.21307,2098622233.82565,2567239300.6065,3407350349.282,3150710260.07666,,
"TM",5901097033.11675,6397794498.20199,6422248030.70672,6741511031.30705,7060656467.27535,7541355716.8784,8485388155.4575,,,,,,,,
"TN",25202088233.6237,26335672766.4165,26791526887.0986,28319196709.7947,29852537552.025,30645412490.3624,,,,,,,,,
"TO",,,,,,264725246.035005,,,,,,,,,
"TR",380261791182.044,354448789539.582,379547448150.614,400025440306.54,439199926616.455,477153050759.155,509873534803.225,534482589383.289,537855926252.384,510786213620.985,559612636524.406,608686160248.364,622304253872.799,646447878763.521,
"TT",10142736150.0765,10731710094.8399,11670106941.3713,13253419240.9601,14765249772.2743,15328539469.4791,17219423750.4207,18322496097.8291,19006074598.7311,,,,,,
"TV",,,,,,37401601.6617369,,,,,,,,,
"TZ",9994811443.83091,10545895065.5902,11315510850.2514,12089626771.716,13058569328.169,13836255848.8537,14923378635.7522,16025046844.9163,17137658186.5943,18200743980.8087,19469933101.6545,20769139145.8559,21843517329.6621,23870628129.3107,
"UA",57610307535.477,63849182347.7963,67402212708.8064,73985240818.9292,82855924002.9322,85157018069.3504,90904152990.3765,98129435715.0797,101058870625.939,85032730268.1163,89164813262.5219,93752312207.6135,97972485250.7737,,
"UG",6399098394.25644,6638764221.54916,7291701324.48142,7772598314.22087,8247148269.32169,8748333478.54466,9737340184.278,10615856603.234,11555537285.3197,12372338086.5023,13091539833.4558,13960233892.3668,14360834374.3606,16218211385.229,
"US",11675022643129.7,11773738307800.5,11989501914091.7,12308829077015.9,12756624895779.6,1.31863e+13,13567811110683,13755859593782.9,13680103102792.3,13311079247593.6,13602925697279.9,13791770165346.5,14137297302392.2,14460940634914.3,
"UY",17154272312.6409,16488319575.25,15352680655.4001,14738023972.8276,15442221555.0071,16863010416.931,17673736382.6429,18830322925.9282,20016566144.8165,20388501247.0328,21973835286.3353,23694235716.7744,24652203057.7921,25647558302.9321,
"UZ",10819699040.343,11251161052.9077,11736201622.259,12269323704.8496,13315897722.1692,14283209838.8053,15219499659.6715,17515685811.8954,19453810124.1328,20350148503.3702,22121430083.4152,24185145088.2103,25804776604.0552,27842803572.2516,
"VC",,,,,,521126435.24102,,,,,,,,,
"VE",127259236098.672,131013116285.983,117615690730.975,108598497928.076,127374943538.45,143311489651.872,159428356612.838,177565675352.465,184375663673.78,175786188760.446,171513941372.48,176874935464.353,185963631730.93,,
"VI",,,,,,,,,,,,,,,
"VN",40731509273.2332,43284691681.5023,45925812621.0016,49113476171.1884,52719510018.4658,56575238956.0025,60326442847.9368,64225113968.6894,67716985851.6917,70399154301.3026,75243476402.705,79546290957.8847,83870507203.5951,88210776349.7758,
"VU",,,,,355088863.212773,369039358.950184,408128739.382756,426158227.424006,475067586.706492,474865922.594778,486497431.346614,496077203.103741,489949884.369218,500977395.028838,
"WS",,,,,436287796.114464,438633010.947065,,,,,,,,,
"YE",,,,,,15139185522.8736,,,,,,,,,
"ZA",199942258762.163,203801136042.599,212592525290.284,218338649397.418,230059943804.422,242110002707.309,255712843806.374,265857629354.663,275910204679.6,274526898240.744,283769948925.932,293008902205.829,300129933390.266,306557427887.08,
"ZM",5890480571.46912,6220173388.1591,6520741438.26787,7024657567.9124,7248001068.4231,7700136128.27986,8128325075.73767,8613141219.46783,9590383147.112,11122648190.4883,11734626448.7905,12716663318.4563,14088211073.6435,14800645551.827,
"ZW",7960475661.91105,8126805853.12498,7449496984.59564,6213618754.29661,5800106541.63625,5480616600,5244751119.36558,4995889983.91191,4006741935.91304,4912625498.34567,5075035843.9462,5338036826.70158,5930325105.32472,6198407860.30976,
