"id","entity-name","year","budget-type","value"
"d222","Kaliro",2016,"budget",2.5698900722
"d122","Kalungu",2012,"budget",7.3746937033
"d122","Kalungu",2013,"budget",5.8273738288
"d122","Kalungu",2014,"budget",5.3083274749
"d122","Kalungu",2015,"budget",1.6479605751
"d122","Kalungu",2016,"budget",1.6284100442
"d205","Kamuli",2012,"budget",7.6399693665
"d205","Kamuli",2013,"budget",7.0947080953
"d205","Kamuli",2014,"budget",6.329421772
"d205","Kamuli",2015,"budget",2.6610069428
"d205","Kamuli",2016,"budget",2.7786140667
"d413","Kamwenge",2012,"budget",13.0536543651
"d413","Kamwenge",2013,"budget",11.6357403754
"d413","Kamwenge",2014,"budget",8.8756071755
"d413","Kamwenge",2015,"budget",3.5156283773
"d413","Kamwenge",2016,"budget",3.8423517174
"d414","Kanungu",2012,"budget",9.3258823462
"d414","Kanungu",2013,"budget",8.5212854995
"d414","Kanungu",2014,"budget",7.6134721791
"d414","Kanungu",2015,"budget",3.0573297568
"d414","Kanungu",2016,"budget",3.1098435126
"d206","Kapchorwa",2012,"budget",13.3034218561
"d206","Kapchorwa",2013,"budget",11.7309862975
"d206","Kapchorwa",2014,"budget",11.1486499498
"d206","Kapchorwa",2015,"budget",4.4568187397
"d206","Kapchorwa",2016,"budget",4.6514623199
"d406","Kasese",2012,"budget",9.2737050951
"d406","Kasese",2013,"budget",7.3086487038
"d406","Kasese",2014,"budget",6.2159912117
"d406","Kasese",2015,"budget",4.3821209272
"d406","Kasese",2016,"budget",4.1609321606
"d207","Katakwi",2012,"budget",8.2681208926
"d207","Katakwi",2013,"budget",10.0725961775
"d207","Katakwi",2014,"budget",7.7392729165
"d207","Katakwi",2015,"budget",3.649594552
"d207","Katakwi",2016,"budget",3.8955935389
"d112","Kayunga",2012,"budget",0
"d112","Kayunga",2013,"budget",5.4296971151
"d112","Kayunga",2014,"budget",5.9113793778
"d112","Kayunga",2015,"budget",3.0440563239
"d112","Kayunga",2016,"budget",3.1073596049
