"id","value.2000","estimate.2000","value.2001","estimate.2001","value.2002","estimate.2002","value.2003","estimate.2003","value.2004","estimate.2004","value.2005","estimate.2005","value.2006","estimate.2006","value.2007","estimate.2007","value.2008","estimate.2008","value.2009","estimate.2009","value.2010","estimate.2010","value.2011","estimate.2011","value.2012","estimate.2012","value.2013","estimate.2013","value.2014","estimate.2014"
"LA",13.1738859458,FALSE,13.917883513,FALSE,13.6906982604,FALSE,11.5031383946,FALSE,11.6682051993,FALSE,12.0969833045,FALSE,12.4654326044,FALSE,13.8770482847,FALSE,14.3798923234,FALSE,14.8882051641,FALSE,15.9756722157,FALSE,16.4155031804,FALSE,17.6677598794,FALSE,17.7408341933,FALSE,18.5876669229,TRUE
"LR",13.4183673469,FALSE,10.5709624796,FALSE,11.4128728414,FALSE,11.0980392157,FALSE,9.5890410959,FALSE,11.7830609212,FALSE,11.2052980132,FALSE,15.6336528222,FALSE,18.5925925926,FALSE,18.5839929639,FALSE,21.3675213675,FALSE,21.7272727273,FALSE,24.5916619075,FALSE,26.0358056266,TRUE,22.6724553787,TRUE
"LS",,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,40.147299509,FALSE,41.1149650631,FALSE,50.7492463203,FALSE,48.7590298236,TRUE
"MA",,FALSE,22.4670615991,FALSE,22.068761141,FALSE,21.5713773607,FALSE,22.1379562983,FALSE,23.4043803145,FALSE,25.063047334,FALSE,27.4724383128,FALSE,29.5713246705,FALSE,25.8994141572,FALSE,27.289468621,FALSE,27.6598634201,FALSE,28.6647564885,FALSE,27.9448344449,FALSE,26.6927033783,TRUE
"MG",11.6892410967,FALSE,10.1497566605,FALSE,7.9988416159,FALSE,10.3103429454,FALSE,12.0457508013,FALSE,10.9244911299,FALSE,11.2137686196,FALSE,11.6848197563,FALSE,14.532769592,FALSE,12.0612650566,FALSE,13.6156913271,FALSE,11.8283351969,FALSE,9.659801614,FALSE,9.5899139134,FALSE,10.0976079017,TRUE
"MH",,FALSE,,FALSE,,FALSE,,FALSE,25.4961832061,FALSE,25.7246376812,FALSE,25.2083333333,FALSE,25.7333333333,FALSE,25.5555555556,FALSE,20.2631578947,FALSE,20.1226993865,FALSE,20.1754385965,FALSE,20.6976744186,FALSE,20.6857142857,TRUE,22.6775956284,TRUE
"ML",13.8739758488,FALSE,14.0683980923,FALSE,16.6865069189,FALSE,17.191276385,FALSE,17.2755076841,FALSE,17.5060905023,FALSE,17.9792407863,FALSE,17.6373538129,FALSE,16.095964457,FALSE,17.2930883164,FALSE,17.4424926401,FALSE,17.0733350517,FALSE,17.4464965187,FALSE,17.6977583088,FALSE,18.4273502971,TRUE
"MM",,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,10.3630028998,FALSE,10.7329202894,FALSE,9.3834635315,FALSE,10.4915133342,FALSE,10.8671696244,FALSE,20.3209174543,TRUE,18.8667294,TRUE
"MN",28.301344213,FALSE,30.2168006104,FALSE,30.267249663,FALSE,29.8173062624,FALSE,29.8944966387,FALSE,27.4215280696,FALSE,33.575175435,FALSE,37.493087565,FALSE,32.8117971148,FALSE,29.9364082713,FALSE,36.5796918535,FALSE,40.1795715694,FALSE,35.2603722656,FALSE,32.6891364547,FALSE,31.6753521517,TRUE
"MR",,FALSE,,FALSE,,FALSE,30.7359166492,FALSE,29.7305339392,FALSE,24.5282865877,FALSE,21.1724137931,FALSE,23.04605941,FALSE,21.3693478075,FALSE,22.9668831144,FALSE,25.5584421991,FALSE,25.2326606057,FALSE,33.8649166104,FALSE,32.8560395934,TRUE,30.8752953749,TRUE
"MW",,,,,12.1459305813,FALSE,14.443060707,FALSE,15.9422775748,FALSE,18.5615144842,FALSE,17.9465509243,FALSE,18.0413584686,FALSE,18.8847364245,FALSE,20.9334748891,FALSE,24.0381457789,FALSE,24.7960817468,FALSE,22.3913323875,FALSE,24.9091972866,FALSE,27.5587185706,TRUE
"MZ",,FALSE,,FALSE,12.1201459605,FALSE,13.2590810377,FALSE,13.0863928871,FALSE,14.1180037836,FALSE,14.978195981,FALSE,15.9214809963,FALSE,15.922082893,FALSE,17.5536130843,FALSE,19.5643270119,FALSE,20.7820977855,FALSE,23.2408195086,FALSE,27.4560237345,FALSE,27.2963013512,TRUE
"NE",9.2811297183,FALSE,9.9891308027,FALSE,11.1772592443,FALSE,10.2130865681,FALSE,11.356189025,FALSE,10.6361845249,FALSE,12.9638700299,FALSE,15.0514232606,FALSE,18.2670594498,FALSE,14.2675127244,FALSE,13.614444304,FALSE,14.1727234567,FALSE,15.9060238133,FALSE,17.0164089532,FALSE,18.4966078588,TRUE
