"id","out-oof-gross.2000","capital-repayment.2000","interest-repayment.2000","out-oof-gross.2001","capital-repayment.2001","interest-repayment.2001","out-oof-gross.2002","capital-repayment.2002","interest-repayment.2002","out-oof-gross.2003","capital-repayment.2003","interest-repayment.2003","out-oof-gross.2004","capital-repayment.2004","interest-repayment.2004","out-oof-gross.2005","capital-repayment.2005","interest-repayment.2005","out-oof-gross.2006","capital-repayment.2006","interest-repayment.2006","out-oof-gross.2007","capital-repayment.2007","interest-repayment.2007","out-oof-gross.2008","capital-repayment.2008","interest-repayment.2008","out-oof-gross.2009","capital-repayment.2009","interest-repayment.2009","out-oof-gross.2010","capital-repayment.2010","interest-repayment.2010","out-oof-gross.2011","capital-repayment.2011","interest-repayment.2011","out-oof-gross.2012","capital-repayment.2012","interest-repayment.2012","out-oof-gross.2013","capital-repayment.2013","interest-repayment.2013"
"JP",5506300000,11206170000,0,9340220000,10488180000,0,9018720000,11352050000,15870000,11539770000,14821500000,0,7951620000,10408380000,30700000,1.0098e+10,11896240000,23290000,16268670000,12578020000,0,12028220000,12344820000,480700000,6800700000,9969440000,349290000,13828490000,6353700000,0,9754570000,6355730000,0,9897090000,6662720000,0,12236270000,6030350000,838360000,8695310000,6845420000,1001780000
"KR",746830000,1668160000,218660000,850970000,1145010000,199800000,1028500000,711390000,151690000,935660000,915410000,147940000,1257540000,906720000,93010000,1504870000,749330000,121060000,1876330000,877970000,169970000,2347800000,1409620000,234900000,3852950000,1791840000,290130000,3098220000,2554640000,329070000,4614790000,2621650000,232400000,5114810000,2893090000,206390000,4530060000,3358660000,273920000,6062330000,4799730000,417260000
"LU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NL",233110000,166710000,0,522880000,4.51e+08,0,360110000,0,0,1757170000,602060000,0,174930000,0,0,172540000,0,0,378200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NZ",0,0,0,0,0,0,4920000,0,0,5160000,0,0,7760000,0,0,9580000,0,0,10620000,0,0,9970000,0,0,10270000,0,0,10380000,0,0,9500000,0,0,9810000,0,0,11270000,0,0,10700000,0,0
"NO",0,0,0,0,0,0,0,0,0,440000,0,0,460000,0,20000,7030000,60000,20000,6890000,70000,0,6250000,60000,0,660000,110000,0,150000,0,0,750000,0,0,0,0,0,0,210000,0,310000,1e+05,0
"PT",138780000,1380000,33750000,0,1860000,33140000,0,2250000,39870000,0,2340000,7780000,0,800420000,6810000,0,3090000,4180000,0,22020000,277170000,2053450000,2282920000,503460000,0,0,0,0,0,0,0,0,0,0,0,0,2060000,130000,110000,3010000,190000,210000
"ES",6210000,0,0,273290000,0,0,92490000,0,0,109320000,9930000,2570000,29750000,0,0,76150000,0,0,0,0,0,6060000,0,0,0,0,0,3210000,0,0,0,0,0,3780000,0,0,2480000,0,0,13930000,0,0
"SE",8530000,8350000,1150000,4430000,2300000,8e+05,6160000,3170000,720000,93680000,114920000,265130000,39730000,119460000,23980000,50940000,55940000,5610000,98580000,100730000,108800000,41970000,92270000,4190000,66110000,34140000,4160000,89640000,10220000,15170000,50000,0,0,50720000,179640000,21590000,49220000,97660000,5950000,44310000,66600000,5630000
"CH",15190000,0,0,12800000,0,0,5870000,0,0,90000,0,0,0,0,0,0,0,0,24370000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GB",247930000,348040000,0,354330000,321860000,0,240540000,245660000,0,292910000,233010000,0,71840000,234570000,0,54360000,1.57e+08,0,10910000,197250000,43270000,16940000,55560000,0,14380000,35890000,5260000,8360000,22500000,0,29150000,49460000,0,19990000,59910000,0,63740000,27720000,0,187200000,1950000,0
"US",2084520000,1363700000,938600000,2329490000,1382490000,895010000,2024510000,1744740000,1280800000,3713280000,2420510000,3167840000,1092140000,1892530000,895920000,850830000,2046480000,5298400000,588090000,5036250000,745450000,404850000,2164900000,525520000,436500000,1600030000,376010000,2231670000,1194050000,454610000,1297350000,1292330000,348980000,4779860000,2168220000,760660000,3455130000,993250000,-597060000,2.791e+09,1384970000,470400000
"afdb",766930000,1227550000,886110000,969130000,1088490000,576290000,1032810000,2210050000,1031880000,1289640000,2107270000,749860000,1191190000,2090080000,586180000,1008960000,1404070000,509430000,955580000,1442470000,517540000,1495250000,1378380000,613440000,1139660000,727870000,778060000,3803070000,1207380000,709650000,2120970000,924870000,530820000,2977940000,977170000,532710000,3510110000,849650000,590330000,2302030000,1238310000,564550000
"arab-fund-afesd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asdb",4372280000,2721300000,2245270000,4497470000,1838520000,2400440000,4661280000,5042610000,2345620000,3576380000,6778590000,1630550000,3052380000,4775450000,1125820000,4148170000,2104820000,1091930000,5119390000,2010090000,1298680000,5597310000,1535300000,1425440000,6582520000,1930920000,1363570000,8282310000,1953090000,1106340000,5474940000,2119810000,687530000,5491840000,2411950000,597450000,6899660000,2917610000,677190000,6157160000,4577300000,610660000
"badea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cardb",99040000,23300000,31260000,79520000,31020000,42370000,164580000,76660000,49390000,99270000,38220000,34250000,193310000,51690000,33880000,41180000,19960000,11230000,97180000,56370000,46370000,109420000,60370000,45070000,103100000,73760000,43440000,119780000,63530000,39180000,256690000,119380000,38150000,81130000,45770000,29250000,3.6e+07,46270000,26490000,54330000,64280000,28980000
"ebrd",665340000,306070000,154910000,866110000,515480000,207360000,952900000,812440000,141260000,1136390000,845780000,112380000,2066390000,1025450000,87420000,1834490000,1792260000,2.03e+08,1562570000,1026250000,296900000,2381610000,876060000,349770000,2806300000,784890000,366590000,3781980000,1370120000,345070000,3769120000,1657740000,395370000,3937660000,1636930000,447700000,3336320000,1523170000,0,3823230000,2204730000,0
"EU",1047470000,313140000,466520000,1144160000,571160000,446250000,2299690000,884020000,585410000,2023810000,524780000,0,2790820000,624610000,491720000,2998580000,1171470000,550740000,3660720000,1593660000,651860000,5986670000,1278650000,853080000,5758930000,1624110000,940770000,6365600000,1889380000,918790000,8217370000,2662830000,996230000,919540000,1663170000,668420000,762060000,1761480000,687320000,1366230000,1950030000,568440000
"ibrd",17870590000,13840160000,10315050000,16991560000,14145100000,10516060000,14680840000,20062590000,8805030000,13839480000,23112580000,6227490000,11415560000,15653670000,4569030000,9878120000,12928500000,4399910000,13357610000,18978420000,5110710000,10684010000,10592280000,5371330000,13621280000,9770800000,4312870000,22450110000,10369770000,3225710000,27534370000,8616710000,2266100000,15589690000,13822420000,2148020000,15136130000,7411390000,2297200000,16218620000,8200590000,2102690000
"idb",10105110000,3490720000,4504130000,9500270000,3019490000,4767990000,8372490000,6223960000,4218940000,11187800000,9504080000,3800460000,4580370000,6321410000,2972690000,5803600000,6189860000,2874180000,7042280000,9971550000,2844390000,7181710000,5625630000,2603870000,7279280000,4827080000,2462830000,11971220000,4.786e+09,2406990000,10567600000,5875040000,2417420000,7015850000,4424250000,2169460000,6446510000,4532390000,2104120000,9818310000,8400630000,2125890000
"ifad",50260000,43160000,13160000,52590000,43330000,12980000,30560000,37790000,9790000,30820000,41080000,10570000,37340000,49070000,10200000,31610000,30990000,7040000,45330000,32190000,6610000,42880000,34950000,6980000,54140000,31430000,8840000,39550000,33480000,6450000,45900000,34270000,2720000,47700000,36650000,1710000,63390000,35590000,2070000,57450000,30960000,1700000
"ifc",1936130000,1588940000,1022290000,1675180000,1640930000,1045180000,2141350000,2093130000,782130000,2828890000,1161760000,644770000,2800760000,2150690000,694760000,2938400000,2515090000,811420000,4364090000,2575880000,939280000,4622270000,2494020000,1072760000,5107480000,1842880000,1087240000,4688730000,2334430000,1067570000,4345450000,2587460000,1002230000,4619840000,3228420000,1076910000,6414080000,4232670000,1178090000,6736730000,4725090000,1214210000
"islamic-dev-bank",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1548800000,344630000,0,1643650000,106400000,0,1304530000,485970000,0,0,0,0
"nordic-dev-fund",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ofid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379330000,107300000,18130000,510460000,211260000,0,598550000,282380000,0,447930000,350690000,0,678020000,449510000,0
"KW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TR",0,0,0,0,0,0,0,0,0,69210000,0,0,1131630000,0,0,624220000,129470000,0,8440000,160070000,23700000,7280000,50880000,11610000,32710000,35100000,8130000,29240000,40890000,5870000,6530000,3.1e+07,4490000,37150000,25480000,4200000,70090000,13540000,4380000,2590000,15670000,3860000
"AE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13420000,3630000,0,29620000,31490000,0,23970000,0,0,60820000,250000,0,7890000,5e+05,0
