"id","entity-name","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"SI","Slovenia",0,0,0,0,0,41160000,50700000,54870000,62500000,65990000,57690000,58180000,58430000,59450000
"KR","South Korea",287640000,401200000,399710000,479900000,519780000,808750000,468880000,682270000,911640000,1022390000,1268930000,1359520000,1646480000,1747940000
"ES","Spain",2624270000,3458920000,3183030000,3018930000,3195060000,4011730000,4510720000,5238830000,6673840000,6451810000,6130110000,4138010000,2123280000,2501590000
"SE","Sweden",2964280000,3027220000,3386630000,3299590000,3386450000,4217570000,4806810000,4705840000,4916160000,5289360000,4937830000,5421940000,5247720000,5626240000
"CH","Switzerland",1803750000,1820910000,1724940000,2045020000,2234110000,2554150000,2342330000,2239270000,2405850000,2704250000,2588080000,2916780000,3081510000,3185020000
"TW","Taiwan",0,0,0,0,539090000,572710000,594160000,549700000,442600000,431380000,395610000,372140000,304500000,271510000
"TH","Thailand",0,0,0,0,0,0,85330000,71510000,181440000,42090000,47040000,48830000,35050000,64610000
"TR","Turkey",149200000,150300000,153280000,112800000,486350000,754380000,874980000,631330000,735380000,747590000,938540000,1268390000,2533300000,3316130000
"AE","UAE",651180000,820680000,904460000,1294550000,645670000,663900000,982320000,2739720000,1387500000,1085820000,563330000,772120000,1103850000,5487900000
"GB","United Kingdom",6337790000,6706780000,6752580000,7754120000,8593650000,11538090000,12971530000,10410770000,11500390000,12501440000,14301950000,14244170000,14209290000,18205400000
"US","USA",13909600000,15410930000,17480240000,22086160000,24260190000,32804980000,27154850000,24467480000,28997100000,31133180000,32317320000,32682770000,31257710000,31087510000
