"id-from","entity-from-name","id-to","entity-to-name","year","value"
"imf-concessional-trust-fund","IMF (Concessional Trust Funds)","AL","Albania",2012,8900000
"islamic-dev-bank","Islamic Dev Bank","AL","Albania",2012,3940000
"IT","Italy","AL","Albania",2012,520000
"JP","Japan","AL","Albania",2012,4250000
"KW","Kuwait","AL","Albania",2012,2920000
"ofid","OFID","AL","Albania",2012,1660000
"DE","Germany","AL","Albania",2013,14380000
"ES","Spain","AL","Albania",2013,4850000
"EU","European Union","AL","Albania",2013,2770000
"ida","IDA","AL","Albania",2013,19790000
"ifad","IFAD","AL","Albania",2013,1100000
"imf-concessional-trust-fund","IMF (Concessional Trust Funds)","AL","Albania",2013,8350000
"JP","Japan","AL","Albania",2013,4280000
"KW","Kuwait","AL","Albania",2013,3220000
"ofid","OFID","AL","Albania",2013,2290000
"CA","Canada","DZ","Algeria",2000,2170000
"DE","Germany","DZ","Algeria",2000,7170000
"DK","Denmark","DZ","Algeria",2000,20000
"ES","Spain","DZ","Algeria",2000,2.6e+07
"EU","European Union","DZ","Algeria",2000,29680000
"FR","France","DZ","Algeria",2000,15530000
"IT","Italy","DZ","Algeria",2000,9790000
"JP","Japan","DZ","Algeria",2000,6700000
"KW","Kuwait","DZ","Algeria",2000,2470000
"CA","Canada","DZ","Algeria",2001,2150000
"DE","Germany","DZ","Algeria",2001,13690000
"DK","Denmark","DZ","Algeria",2001,40000
"ES","Spain","DZ","Algeria",2001,32590000
"EU","European Union","DZ","Algeria",2001,30330000
"FR","France","DZ","Algeria",2001,10090000
"ifad","IFAD","DZ","Algeria",2001,1220000
"islamic-dev-bank","Islamic Dev Bank","DZ","Algeria",2001,2750000
"IT","Italy","DZ","Algeria",2001,9380000
"JP","Japan","DZ","Algeria",2001,6570000
"KW","Kuwait","DZ","Algeria",2001,2570000
"AE","UAE","DZ","Algeria",2002,4060000
"CA","Canada","DZ","Algeria",2002,4080000
"DE","Germany","DZ","Algeria",2002,20540000
"ES","Spain","DZ","Algeria",2002,28280000
"EU","European Union","DZ","Algeria",2002,1.3e+07
"FR","France","DZ","Algeria",2002,12340000
"ifad","IFAD","DZ","Algeria",2002,1060000
"islamic-dev-bank","Islamic Dev Bank","DZ","Algeria",2002,1110000
"IT","Italy","DZ","Algeria",2002,5040000
"JP","Japan","DZ","Algeria",2002,3960000
"KW","Kuwait","DZ","Algeria",2002,2510000
"AE","UAE","DZ","Algeria",2003,6980000
"BE","Belgium","DZ","Algeria",2003,770000
"CA","Canada","DZ","Algeria",2003,1750000
"DE","Germany","DZ","Algeria",2003,15390000
"ES","Spain","DZ","Algeria",2003,21650000
"EU","European Union","DZ","Algeria",2003,8210000
"FR","France","DZ","Algeria",2003,16290000
"islamic-dev-bank","Islamic Dev Bank","DZ","Algeria",2003,480000
"IT","Italy","DZ","Algeria",2003,30000
"JP","Japan","DZ","Algeria",2003,1360000
"KW","Kuwait","DZ","Algeria",2003,2240000
"AE","UAE","DZ","Algeria",2004,5050000
"BE","Belgium","DZ","Algeria",2004,1500000
"CA","Canada","DZ","Algeria",2004,3640000
"DE","Germany","DZ","Algeria",2004,13930000
"DK","Denmark","DZ","Algeria",2004,60000
"ES","Spain","DZ","Algeria",2004,21860000
"EU","European Union","DZ","Algeria",2004,12030000
"FR","France","DZ","Algeria",2004,23530000
"islamic-dev-bank","Islamic Dev Bank","DZ","Algeria",2004,1870000
"IT","Italy","DZ","Algeria",2004,2200000
"JP","Japan","DZ","Algeria",2004,3310000
"KW","Kuwait","DZ","Algeria",2004,2070000
"AE","UAE","DZ","Algeria",2005,6110000
"CA","Canada","DZ","Algeria",2005,3e+06
"DE","Germany","DZ","Algeria",2005,8130000
"DK","Denmark","DZ","Algeria",2005,70000
"ES","Spain","DZ","Algeria",2005,24190000
"EU","European Union","DZ","Algeria",2005,14350000
"FR","France","DZ","Algeria",2005,29100000
"islamic-dev-bank","Islamic Dev Bank","DZ","Algeria",2005,1900000
"IT","Italy","DZ","Algeria",2005,20000
"JP","Japan","DZ","Algeria",2005,2580000
"KW","Kuwait","DZ","Algeria",2005,2030000
"AE","UAE","DZ","Algeria",2006,5200000
"BE","Belgium","DZ","Algeria",2006,3250000
"CA","Canada","DZ","Algeria",2006,8130000
"DE","Germany","DZ","Algeria",2006,38850000
"DK","Denmark","DZ","Algeria",2006,650000
"ES","Spain","DZ","Algeria",2006,41700000
"EU","European Union","DZ","Algeria",2006,68840000
"FR","France","DZ","Algeria",2006,53840000
"islamic-dev-bank","Islamic Dev Bank","DZ","Algeria",2006,1880000
"IT","Italy","DZ","Algeria",2006,20000
"JP","Japan","DZ","Algeria",2006,23300000
"KW","Kuwait","DZ","Algeria",2006,2e+06
"AE","UAE","DZ","Algeria",2007,13340000
"BE","Belgium","DZ","Algeria",2007,3130000
"CA","Canada","DZ","Algeria",2007,2060000
"DE","Germany","DZ","Algeria",2007,1990000
"ES","Spain","DZ","Algeria",2007,3350000
"EU","European Union","DZ","Algeria",2007,510000
"FR","France","DZ","Algeria",2007,43940000
"ifad","IFAD","DZ","Algeria",2007,70000
"IT","Italy","DZ","Algeria",2007,20000
"JP","Japan","DZ","Algeria",2007,280000
"KW","Kuwait","DZ","Algeria",2007,1880000
"PL","Poland","DZ","Algeria",2007,130000
"AE","UAE","DZ","Algeria",2008,30090000
"BE","Belgium","DZ","Algeria",2008,1410000
"CA","Canada","DZ","Algeria",2008,1e+06
"DE","Germany","DZ","Algeria",2008,1970000
"ES","Spain","DZ","Algeria",2008,5630000
"FR","France","DZ","Algeria",2008,52530000
"ifad","IFAD","DZ","Algeria",2008,80000
"IT","Italy","DZ","Algeria",2008,20000
"KW","Kuwait","DZ","Algeria",2008,23200000
"AE","UAE","DZ","Algeria",2009,6990000
"BE","Belgium","DZ","Algeria",2009,1140000
"CA","Canada","DZ","Algeria",2009,1960000
"DE","Germany","DZ","Algeria",2009,1980000
"ES","Spain","DZ","Algeria",2009,5570000
"FR","France","DZ","Algeria",2009,62180000
"ifad","IFAD","DZ","Algeria",2009,20000
"IT","Italy","DZ","Algeria",2009,20000
"AE","UAE","DZ","Algeria",2010,8090000
"CA","Canada","DZ","Algeria",2010,1890000
"DE","Germany","DZ","Algeria",2010,1930000
"ES","Spain","DZ","Algeria",2010,6440000
"FR","France","DZ","Algeria",2010,68140000
"GB","United Kingdom","DZ","Algeria",2010,1e+05
"IT","Italy","DZ","Algeria",2010,20000
"AE","UAE","DZ","Algeria",2011,7090000
"BE","Belgium","DZ","Algeria",2011,2880000
"CA","Canada","DZ","Algeria",2011,1770000
"DE","Germany","DZ","Algeria",2011,1900000
"ES","Spain","DZ","Algeria",2011,14390000
"EU","European Union","DZ","Algeria",2011,10480000
"FR","France","DZ","Algeria",2011,69040000
"GB","United Kingdom","DZ","Algeria",2011,50000
"IT","Italy","DZ","Algeria",2011,20000
"AE","UAE","DZ","Algeria",2012,1e+07
"BE","Belgium","DZ","Algeria",2012,720000
"CA","Canada","DZ","Algeria",2012,1870000
"DE","Germany","DZ","Algeria",2012,1880000
"EU","European Union","DZ","Algeria",2012,15300000
"FR","France","DZ","Algeria",2012,76970000
"GB","United Kingdom","DZ","Algeria",2012,370000
"IT","Italy","DZ","Algeria",2012,110000
"JP","Japan","DZ","Algeria",2012,1010000
"AE","UAE","DZ","Algeria",2013,6660000
"BE","Belgium","DZ","Algeria",2013,2600000
"CA","Canada","DZ","Algeria",2013,950000
"DE","Germany","DZ","Algeria",2013,1840000
"ES","Spain","DZ","Algeria",2013,22850000
"EU","European Union","DZ","Algeria",2013,15190000
"FR","France","DZ","Algeria",2013,62950000
"JP","Japan","DZ","Algeria",2013,1010000
"CA","Canada","america","America, regional",2000,1e+05
"US","USA","america","America, regional",2000,4220000
"CA","Canada","america","America, regional",2001,1e+05
"DE","Germany","america","America, regional",2001,550000
"US","USA","america","America, regional",2001,12130000
"CA","Canada","america","America, regional",2002,1e+05
"DE","Germany","america","America, regional",2002,150000
"US","USA","america","America, regional",2002,3910000
"CA","Canada","america","America, regional",2003,50000
"DE","Germany","america","America, regional",2003,5170000
"EU","European Union","america","America, regional",2003,1740000
"US","USA","america","America, regional",2003,2740000
"CA","Canada","america","America, regional",2004,90000
"DE","Germany","america","America, regional",2004,470000
"EU","European Union","america","America, regional",2004,1590000
"US","USA","america","America, regional",2004,3180000
"CA","Canada","america","America, regional",2005,80000
"DE","Germany","america","America, regional",2005,1180000
"EU","European Union","america","America, regional",2005,1590000
"GB","United Kingdom","america","America, regional",2005,810000
"US","USA","america","America, regional",2005,3180000
"CA","Canada","america","America, regional",2006,90000
"DE","Germany","america","America, regional",2006,5960000
"EU","European Union","america","America, regional",2006,1530000
"GB","United Kingdom","america","America, regional",2006,2570000
"US","USA","america","America, regional",2006,3610000
"CA","Canada","america","America, regional",2007,80000
"DE","Germany","america","America, regional",2007,2780000
"US","USA","america","America, regional",2007,2330000
"CA","Canada","america","America, regional",2008,80000
"DE","Germany","america","America, regional",2008,2290000
"ES","Spain","america","America, regional",2008,20000
"GB","United Kingdom","america","America, regional",2008,3040000
"US","USA","america","America, regional",2008,1090000
"DE","Germany","america","America, regional",2009,1040000
"ES","Spain","america","America, regional",2009,5590000
"US","USA","america","America, regional",2009,1090000
"DE","Germany","america","America, regional",2010,31240000
"ES","Spain","america","America, regional",2010,10000
"GB","United Kingdom","america","America, regional",2010,670000
"US","USA","america","America, regional",2010,350000
"DE","Germany","america","America, regional",2011,36390000
"EU","European Union","america","America, regional",2011,2400000
"US","USA","america","America, regional",2011,370000
"DE","Germany","america","America, regional",2012,29050000
"EU","European Union","america","America, regional",2012,1140000
"NO","Norway","america","America, regional",2012,1810000
"US","USA","america","America, regional",2012,370000
"DE","Germany","america","America, regional",2013,18950000
"ES","Spain","america","America, regional",2013,1160000
"EU","European Union","america","America, regional",2013,14730000
"NO","Norway","america","America, regional",2013,3600000
"US","USA","america","America, regional",2013,370000
"afdf","AfDF","AO","Angola",2000,2210000
"badea","BADEA","AO","Angola",2000,2640000
"EU","European Union","AO","Angola",2000,280000
"ifad","IFAD","AO","Angola",2000,30000
"KW","Kuwait","AO","Angola",2000,3910000
"ofid","OFID","AO","Angola",2000,3870000
"afdf","AfDF","AO","Angola",2001,410000
"badea","BADEA","AO","Angola",2001,3710000
"EU","European Union","AO","Angola",2001,260000
"ida","IDA","AO","Angola",2001,980000
"ifad","IFAD","AO","Angola",2001,20000
"KW","Kuwait","AO","Angola",2001,3300000
"ofid","OFID","AO","Angola",2001,60000
"US","USA","AO","Angola",2001,1120000
"afdf","AfDF","AO","Angola",2002,430000
"DK","Denmark","AO","Angola",2002,1650000
"EU","European Union","AO","Angola",2002,260000
"ida","IDA","AO","Angola",2002,4100000
"ifad","IFAD","AO","Angola",2002,50000
"KW","Kuwait","AO","Angola",2002,2360000
"ofid","OFID","AO","Angola",2002,120000
"US","USA","AO","Angola",2002,1570000
"afdf","AfDF","AO","Angola",2003,440000
"DK","Denmark","AO","Angola",2003,1410000
"ida","IDA","AO","Angola",2003,5e+06
"KW","Kuwait","AO","Angola",2003,2180000
"ofid","OFID","AO","Angola",2003,120000
"US","USA","AO","Angola",2003,1940000
"afdf","AfDF","AO","Angola",2004,780000
"DK","Denmark","AO","Angola",2004,1160000
"ida","IDA","AO","Angola",2004,7550000
"ifad","IFAD","AO","Angola",2004,40000
"KW","Kuwait","AO","Angola",2004,3300000
"ofid","OFID","AO","Angola",2004,50000
"US","USA","AO","Angola",2004,1500000
"afdf","AfDF","AO","Angola",2005,740000
"DK","Denmark","AO","Angola",2005,1260000
"ida","IDA","AO","Angola",2005,5810000
"ifad","IFAD","AO","Angola",2005,20000
"KW","Kuwait","AO","Angola",2005,1300000
"US","USA","AO","Angola",2005,2610000
"afdf","AfDF","AO","Angola",2006,750000
"BE","Belgium","AO","Angola",2006,980000
"DK","Denmark","AO","Angola",2006,1150000
"ES","Spain","AO","Angola",2006,89680000
"FR","France","AO","Angola",2006,120800000
"ida","IDA","AO","Angola",2006,6270000
"ifad","IFAD","AO","Angola",2006,540000
"IT","Italy","AO","Angola",2006,42770000
"KW","Kuwait","AO","Angola",2006,1290000
"US","USA","AO","Angola",2006,2170000
"afdf","AfDF","AO","Angola",2007,1130000
"BE","Belgium","AO","Angola",2007,6970000
"ES","Spain","AO","Angola",2007,8650000
"FR","France","AO","Angola",2007,6510000
"ida","IDA","AO","Angola",2007,5010000
"ifad","IFAD","AO","Angola",2007,510000
"IT","Italy","AO","Angola",2007,51340000
"KW","Kuwait","AO","Angola",2007,1210000
"NL","Netherlands","AO","Angola",2007,50090000
"ofid","OFID","AO","Angola",2007,1e+05
"US","USA","AO","Angola",2007,2110000
"afdf","AfDF","AO","Angola",2008,440000
"ES","Spain","AO","Angola",2008,8890000
"FR","France","AO","Angola",2008,3840000
"ida","IDA","AO","Angola",2008,6030000
"ifad","IFAD","AO","Angola",2008,770000
"IT","Italy","AO","Angola",2008,4940000
"KW","Kuwait","AO","Angola",2008,470000
"NL","Netherlands","AO","Angola",2008,3600000
"US","USA","AO","Angola",2008,2070000
"afdf","AfDF","AO","Angola",2009,1100000
"BE","Belgium","AO","Angola",2009,1230000
"ES","Spain","AO","Angola",2009,9060000
"FR","France","AO","Angola",2009,3390000
"ida","IDA","AO","Angola",2009,6e+06
"ifad","IFAD","AO","Angola",2009,8e+05
"IT","Italy","AO","Angola",2009,4660000
"NL","Netherlands","AO","Angola",2009,3600000
"ofid","OFID","AO","Angola",2009,1540000
"PT","Portugal","AO","Angola",2009,25910000
"US","USA","AO","Angola",2009,2060000
"afdf","AfDF","AO","Angola",2010,1110000
"BE","Belgium","AO","Angola",2010,440000
"ES","Spain","AO","Angola",2010,7660000
"FR","France","AO","Angola",2010,2150000
"ida","IDA","AO","Angola",2010,7290000
"ifad","IFAD","AO","Angola",2010,740000
"IT","Italy","AO","Angola",2010,3700000
"KR","South Korea","AO","Angola",2010,250000
"NL","Netherlands","AO","Angola",2010,3470000
"ofid","OFID","AO","Angola",2010,980000
"PT","Portugal","AO","Angola",2010,27070000
"US","USA","AO","Angola",2010,1880000
"afdf","AfDF","AO","Angola",2011,1110000
"BE","Belgium","AO","Angola",2011,430000
"ES","Spain","AO","Angola",2011,7350000
"FR","France","AO","Angola",2011,1030000
"ida","IDA","AO","Angola",2011,7250000
"ifad","IFAD","AO","Angola",2011,750000
"IT","Italy","AO","Angola",2011,3660000
"KR","South Korea","AO","Angola",2011,460000
"NL","Netherlands","AO","Angola",2011,3390000
"ofid","OFID","AO","Angola",2011,1200000
"PL","Poland","AO","Angola",2011,330000
"PT","Portugal","AO","Angola",2011,25720000
"US","USA","AO","Angola",2011,2150000
"afdf","AfDF","AO","Angola",2012,1180000
"ida","IDA","AO","Angola",2012,10100000
"ifad","IFAD","AO","Angola",2012,730000
"KR","South Korea","AO","Angola",2012,5e+05
"NL","Netherlands","AO","Angola",2012,3100000
"ofid","OFID","AO","Angola",2012,1210000
"PL","Poland","AO","Angola",2012,440000
"PT","Portugal","AO","Angola",2012,27910000
"US","USA","AO","Angola",2012,1960000
"afdf","AfDF","AO","Angola",2013,1270000
"BE","Belgium","AO","Angola",2013,520000
"ES","Spain","AO","Angola",2013,6580000
"GB","United Kingdom","AO","Angola",2013,280000
"ida","IDA","AO","Angola",2013,12220000
"ifad","IFAD","AO","Angola",2013,720000
"KR","South Korea","AO","Angola",2013,470000
"NL","Netherlands","AO","Angola",2013,3050000
"ofid","OFID","AO","Angola",2013,1220000
"PL","Poland","AO","Angola",2013,420000
"PT","Portugal","AO","Angola",2013,26660000
"US","USA","AO","Angola",2013,1930000
"cardb","CarDB","AI","Anguilla",2000,560000
"EU","European Union","AI","Anguilla",2000,140000
"cardb","CarDB","AI","Anguilla",2001,650000
"EU","European Union","AI","Anguilla",2001,140000
"cardb","CarDB","AI","Anguilla",2002,990000
"EU","European Union","AI","Anguilla",2002,1200000
"cardb","CarDB","AI","Anguilla",2003,590000
"cardb","CarDB","AI","Anguilla",2004,460000
"cardb","CarDB","AI","Anguilla",2005,390000
"cardb","CarDB","AI","Anguilla",2006,450000
"cardb","CarDB","AI","Anguilla",2007,450000
"cardb","CarDB","AI","Anguilla",2008,4e+05
"cardb","CarDB","AI","Anguilla",2009,360000
"cardb","CarDB","AI","Anguilla",2010,390000
"cardb","CarDB","AI","Anguilla",2011,510000
"cardb","CarDB","AI","Anguilla",2012,380000
"cardb","CarDB","AI","Anguilla",2013,270000
"cardb","CarDB","AG","Antigua and Barbuda",2000,60000
"EU","European Union","AG","Antigua and Barbuda",2000,190000
"KW","Kuwait","AG","Antigua and Barbuda",2000,640000
"US","USA","AG","Antigua and Barbuda",2000,590000
"cardb","CarDB","AG","Antigua and Barbuda",2001,510000
"EU","European Union","AG","Antigua and Barbuda",2001,190000
"KW","Kuwait","AG","Antigua and Barbuda",2001,330000
"US","USA","AG","Antigua and Barbuda",2001,2e+05
"cardb","CarDB","AG","Antigua and Barbuda",2002,490000
"EU","European Union","AG","Antigua and Barbuda",2002,180000
"KW","Kuwait","AG","Antigua and Barbuda",2002,2390000
"US","USA","AG","Antigua and Barbuda",2002,1e+05
"cardb","CarDB","AG","Antigua and Barbuda",2003,290000
"EU","European Union","AG","Antigua and Barbuda",2003,540000
"US","USA","AG","Antigua and Barbuda",2003,210000
"cardb","CarDB","AG","Antigua and Barbuda",2004,290000
"EU","European Union","AG","Antigua and Barbuda",2004,530000
"KW","Kuwait","AG","Antigua and Barbuda",2004,1240000
"US","USA","AG","Antigua and Barbuda",2004,210000
"cardb","CarDB","AG","Antigua and Barbuda",2005,370000
"EU","European Union","AG","Antigua and Barbuda",2005,520000
