"id","currency.2000","budget-type.2000","l1.2000","l2.2000","l3.2000","l4.2000","l5.2000","l6.2000","value.2000","currency.2001","budget-type.2001","l1.2001","l2.2001","l3.2001","l4.2001","l5.2001","l6.2001","value.2001","currency.2002","budget-type.2002","l1.2002","l2.2002","l3.2002","l4.2002","l5.2002","l6.2002","value.2002","currency.2003","budget-type.2003","l1.2003","l2.2003","l3.2003","l4.2003","l5.2003","l6.2003","value.2003","currency.2004","budget-type.2004","l1.2004","l2.2004","l3.2004","l4.2004","l5.2004","l6.2004","value.2004","currency.2005","budget-type.2005","l1.2005","l2.2005","l3.2005","l4.2005","l5.2005","l6.2005","value.2005","currency.2006","budget-type.2006","l1.2006","l2.2006","l3.2006","l4.2006","l5.2006","l6.2006","value.2006","currency.2007","budget-type.2007","l1.2007","l2.2007","l3.2007","l4.2007","l5.2007","l6.2007","value.2007","currency.2008","budget-type.2008","l1.2008","l2.2008","l3.2008","l4.2008","l5.2008","l6.2008","value.2008","currency.2009","budget-type.2009","l1.2009","l2.2009","l3.2009","l4.2009","l5.2009","l6.2009","value.2009","currency.2010","budget-type.2010","l1.2010","l2.2010","l3.2010","l4.2010","l5.2010","l6.2010","value.2010","currency.2011","budget-type.2011","l1.2011","l2.2011","l3.2011","l4.2011","l5.2011","l6.2011","value.2011","currency.2012","budget-type.2012","l1.2012","l2.2012","l3.2012","l4.2012","l5.2012","l6.2012","value.2012","currency.2013","budget-type.2013","l1.2013","l2.2013","l3.2013","l4.2013","l5.2013","l6.2013","value.2013","currency.2014","budget-type.2014","l1.2014","l2.2014","l3.2014","l4.2014","l5.2014","l6.2014","value.2014","currency.2015","budget-type.2015","l1.2015","l2.2015","l3.2015","l4.2015","l5.2015","l6.2015","value.2015","currency.2016","budget-type.2016","l1.2016","l2.2016","l3.2016","l4.2016","l5.2016","l6.2016","value.2016","currency.2017","budget-type.2017","l1.2017","l2.2017","l3.2017","l4.2017","l5.2017","l6.2017","value.2017","currency.2018","budget-type.2018","l1.2018","l2.2018","l3.2018","l4.2018","l5.2018","l6.2018","value.2018","currency.2019","budget-type.2019","l1.2019","l2.2019","l3.2019","l4.2019","l5.2019","l6.2019","value.2019","currency.2020","budget-type.2020","l1.2020","l2.2020","l3.2020","l4.2020","l5.2020","l6.2020","value.2020"
"MW","kwacha","actual","total-revenue-and-grants",,,,,,2.2375e+10,"kwacha","actual","total-revenue-and-grants",,,,,,3.1243e+10,"kwacha","actual","total-revenue-and-grants",,,,,,3.2432e+10,"kwacha","actual","total-revenue-and-grants",,,,,,4.2684e+10,"kwacha","actual","total-revenue-and-grants",,,,,,6.5817e+10,"kwacha","actual","total-revenue-and-grants",,,,,,8.4926e+10,"kwacha","actual","total-revenue-and-grants",,,,,,1.16985e+11,"kwacha","actual","total-revenue-and-grants",,,,,,1.47632e+11,"kwacha","actual","total-revenue-and-grants",,,,,,1.64554e+11,"kwacha","actual","total-revenue-and-grants",,,,,,2.13213e+11,"kwacha","actual","total-revenue-and-grants",,,,,,2.61e+11,"kwacha","actual","total-revenue-and-grants",,,,,,2.74e+11,"kwacha","actual","total-revenue-and-grants",,,,,,2.6e+11,"kwacha","actual","total-revenue-and-grants",,,,,,4.77e+11,"kwacha","proj","total-revenue-and-grants",,,,,,5.86e+11,"kwacha","proj","total-revenue-and-grants",,,,,,6.54e+11,"kwacha","proj","total-revenue-and-grants",,,,,,7.85e+11,"kwacha","proj","total-revenue-and-grants",,,,,,,"kwacha","proj","total-revenue-and-grants",,,,,,,"kwacha","proj","total-revenue-and-grants",,,,,,,"kwacha","proj","total-revenue-and-grants",,,,,,
"NG","Nigerian naira","actual","total-revenue-and-grants",,,,,,,"Nigerian naira","actual","total-revenue-and-grants",,,,,,,"Nigerian naira","actual","total-revenue-and-grants",,,,,,2.053e+12,"Nigerian naira","actual","total-revenue-and-grants",,,,,,2.795e+12,"Nigerian naira","actual","total-revenue-and-grants",,,,,,4.127e+12,"Nigerian naira","actual","total-revenue-and-grants",,,,,,5.621e+12,"Nigerian naira","actual","total-revenue-and-grants",,,,,,6.336e+12,"Nigerian naira","actual","total-revenue-and-grants",,,,,,5.926e+12,"Nigerian naira","actual","total-revenue-and-grants",,,,,,8.063e+12,"Nigerian naira","actual","total-revenue-and-grants",,,,,,4.471e+12,"Nigerian naira","actual","total-revenue-and-grants",,,,,,6.883e+12,"Nigerian naira","actual","total-revenue-and-grants",,,,,,1.1285e+13,"Nigerian naira","actual","total-revenue-and-grants",,,,,,1.0393e+13,"Nigerian naira","actual","total-revenue-and-grants",,,,,,8.938e+12,"Nigerian naira","proj","total-revenue-and-grants",,,,,,1.0469e+13,"Nigerian naira","proj","total-revenue-and-grants",,,,,,1.2189e+13,"Nigerian naira","proj","total-revenue-and-grants",,,,,,1.2401e+13,"Nigerian naira","proj","total-revenue-and-grants",,,,,,,"Nigerian naira","proj","total-revenue-and-grants",,,,,,,"Nigerian naira","proj","total-revenue-and-grants",,,,,,,"Nigerian naira","proj","total-revenue-and-grants",,,,,,
"SD","Sudanese Pound","actual","total-revenue-and-grants",,,,,,,"Sudanese Pound","actual","total-revenue-and-grants",,,,,,,"Sudanese Pound","actual","total-revenue-and-grants",,,,,,,"Sudanese Pound","actual","total-revenue-and-grants",,,,,,,"Sudanese Pound","actual","total-revenue-and-grants",,,,,,,"Sudanese Pound","actual","total-revenue-and-grants",,,,,,,"Sudanese Pound","actual","total-revenue-and-grants",,,,,,,"Sudanese Pound","actual","total-revenue-and-grants",,,,,,,"Sudanese Pound","actual","total-revenue-and-grants",,,,,,,"Sudanese Pound","actual","total-revenue-and-grants",,,,,,,"Sudanese Pound","actual","total-revenue-and-grants",,,,,,2.9245e+10,"Sudanese Pound","actual","total-revenue-and-grants",,,,,,3.2357e+10,"Sudanese Pound","actual","total-revenue-and-grants",,,,,,2.2077e+10,"Sudanese Pound","actual","total-revenue-and-grants",,,,,,3.1309e+10,"Sudanese Pound","proj","total-revenue-and-grants",,,,,,4.9421e+10,"Sudanese Pound","proj","total-revenue-and-grants",,,,,,6.5949e+10,"Sudanese Pound","proj","total-revenue-and-grants",,,,,,7.8103e+10,"Sudanese Pound","proj","total-revenue-and-grants",,,,,,8.8916e+10,"Sudanese Pound","proj","total-revenue-and-grants",,,,,,1.00585e+11,"Sudanese Pound","proj","total-revenue-and-grants",,,,,,1.13394e+11,"Sudanese Pound","proj","total-revenue-and-grants",,,,,,
"ML","CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,3.523e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,3.949e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,4.567e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,5.365e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,5.58e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,6.216e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,1.8201e+12,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,7.644e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,7.64e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,9.259e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,9.47e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,1.053e+12,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,9.258e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,1.1511e+12,"CFA franc BCEAO","proj","total-revenue-and-grants",,,,,,1.3814e+12,"CFA franc BCEAO","proj","total-revenue-and-grants",,,,,,1.3952e+12,"CFA franc BCEAO","proj","total-revenue-and-grants",,,,,,1.4946e+12,"CFA franc BCEAO","proj","total-revenue-and-grants",,,,,,1.6465e+12,"CFA franc BCEAO","proj","total-revenue-and-grants",,,,,,,"CFA franc BCEAO","proj","total-revenue-and-grants",,,,,,,"CFA franc BCEAO","proj","total-revenue-and-grants",,,,,,
"PK","Pakistani rupees","actual","total-revenue-and-grants",,,,,,,"Pakistani rupees","actual","total-revenue-and-grants",,,,,,5.935e+11,"Pakistani rupees","actual","total-revenue-and-grants",,,,,,7.07e+11,"Pakistani rupees","actual","total-revenue-and-grants",,,,,,8.38e+11,"Pakistani rupees","actual","total-revenue-and-grants",,,,,,8.25e+11,"Pakistani rupees","actual","total-revenue-and-grants",,,,,,9.19e+11,"Pakistani rupees","actual","total-revenue-and-grants",,,,,,1.121e+12,"Pakistani rupees","actual","total-revenue-and-grants",,,,,,1.327e+12,"Pakistani rupees","actual","total-revenue-and-grants",,,,,,1.53e+12,"Pakistani rupees","actual","total-revenue-and-grants",,,,,,1.878e+12,"Pakistani rupees","actual","total-revenue-and-grants",,,,,,2.13e+12,"Pakistani rupees","actual","total-revenue-and-grants",,,,,,2.306e+12,"Pakistani rupees","actual","total-revenue-and-grants",,,,,,2.642e+12,"Pakistani rupees","actual","total-revenue-and-grants",,,,,,2.988e+12,"Pakistani rupees","actual","total-revenue-and-grants",,,,,,3.831e+12,"Pakistani rupees","proj","total-revenue-and-grants",,,,,,4.288e+12,"Pakistani rupees","proj","total-revenue-and-grants",,,,,,,"Pakistani rupees","proj","total-revenue-and-grants",,,,,,,"Pakistani rupees","proj","total-revenue-and-grants",,,,,,,"Pakistani rupees","proj","total-revenue-and-grants",,,,,,,"Pakistani rupees","proj","total-revenue-and-grants",,,,,,
"TZ","Tanzanian Shillings","actual","total-revenue-and-grants",,,,,,1.0798e+12,"Tanzanian Shillings","actual","total-revenue-and-grants",,,,,,1.2159e+12,"Tanzanian Shillings","actual","total-revenue-and-grants",,,,,,1.4281e+12,"Tanzanian Shillings","actual","total-revenue-and-grants",,,,,,1.8398e+12,"Tanzanian Shillings","actual","total-revenue-and-grants",,,,,,2.156e+12,"Tanzanian Shillings","actual","total-revenue-and-grants",,,,,,2.795e+12,"Tanzanian Shillings","actual","total-revenue-and-grants",,,,,,3.036e+12,"Tanzanian Shillings","actual","total-revenue-and-grants",,,,,,3.697e+12,"Tanzanian Shillings","actual","total-revenue-and-grants",,,,,,5.216e+12,"Tanzanian Shillings","actual","total-revenue-and-grants",,,,,,5.633e+12,"Tanzanian Shillings","actual","total-revenue-and-grants",,,,,,6.205e+12,"Tanzanian Shillings","actual","total-revenue-and-grants",,,,,,7.366e+12,"Tanzanian Shillings","actual","total-revenue-and-grants",,,,,,9.076e+12,"Tanzanian Shillings","actual","total-revenue-and-grants",,,,,,1.0171e+13,"Tanzanian Shillings","actual","total-revenue-and-grants",,,,,,1.2029e+13,"Tanzanian Shillings","proj","total-revenue-and-grants",,,,,,1.3304e+13,"Tanzanian Shillings","proj","total-revenue-and-grants",,,,,,1.5437e+13,"Tanzanian Shillings","proj","total-revenue-and-grants",,,,,,1.7587e+13,"Tanzanian Shillings","proj","total-revenue-and-grants",,,,,,1.9936e+13,"Tanzanian Shillings","proj","total-revenue-and-grants",,,,,,,"Tanzanian Shillings","proj","total-revenue-and-grants",,,,,,
"NE","CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,1.694e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,1.993e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,2.355e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,2.327e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,2.63e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,2.912e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,1.1458e+12,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,4.555e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,5.839e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,4.745e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,5.157e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,5.423e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,7.595e+11,"CFA franc BCEAO","proj","total-revenue-and-grants",,,,,,8.505e+11,"CFA franc BCEAO","proj","total-revenue-and-grants",,,,,,9.608e+11,"CFA franc BCEAO","proj","total-revenue-and-grants",,,,,,1.0444e+12,"CFA franc BCEAO","proj","total-revenue-and-grants",,,,,,1.3075e+12,"CFA franc BCEAO","proj","total-revenue-and-grants",,,,,,1.5953e+12,"CFA franc BCEAO","proj","total-revenue-and-grants",,,,,,1.7793e+12,"CFA franc BCEAO","proj","total-revenue-and-grants",,,,,,,"CFA franc BCEAO","proj","total-revenue-and-grants",,,,,,
"IN","rupees","actual","total-revenue-and-grants",,,,,,3788698098000,"rupees","actual","total-revenue-and-grants",,,,,,4169846004000,"rupees","actual","total-revenue-and-grants",,,,,,3.992e+12,"rupees","actual","total-revenue-and-grants",,,,,,4.498e+12,"rupees","actual","total-revenue-and-grants",,,,,,5.171e+12,"rupees","actual","total-revenue-and-grants",,,,,,6.127e+12,"rupees","actual","total-revenue-and-grants",,,,,,7.04e+12,"rupees","actual","total-revenue-and-grants",,,,,,8.7345e+12,"rupees","actual","total-revenue-and-grants",,,,,,1.09525e+13,"rupees","actual","total-revenue-and-grants",,,,,,1.10956e+13,"rupees","actual","total-revenue-and-grants",,,,,,1.21012e+13,"rupees","actual","total-revenue-and-grants",,,,,,1.6937296e+13,"rupees","actual","total-revenue-and-grants",,,,,,19012966400000,"rupees","actual","total-revenue-and-grants",,,,,,22142386500000,"rupees","proj","total-revenue-and-grants",,,,,,25230470636000,"rupees","proj","total-revenue-and-grants",,,,,,28792642626000,"rupees","proj","total-revenue-and-grants",,,,,,,"rupees","proj","total-revenue-and-grants",,,,,,,"rupees","proj","total-revenue-and-grants",,,,,,,"rupees","proj","total-revenue-and-grants",,,,,,,"rupees","proj","total-revenue-and-grants",,,,,,
"AF","Afghanis","actual","total-revenue-and-grants",,,,,,,"Afghanis","actual","total-revenue-and-grants",,,,,,,"Afghanis","actual","total-revenue-and-grants",,,,,,,"Afghanis","actual","total-revenue-and-grants",,,,,,1.5294e+10,"Afghanis","actual","total-revenue-and-grants",,,,,,2.4811e+10,"Afghanis","actual","total-revenue-and-grants",,,,,,3.6034e+10,"Afghanis","actual","total-revenue-and-grants",,,,,,5.67e+10,"Afghanis","actual","total-revenue-and-grants",,,,,,6.46e+10,"Afghanis","actual","total-revenue-and-grants",,,,,,8.68e+10,"Afghanis","actual","total-revenue-and-grants",,,,,,9.36e+10,"Afghanis","actual","total-revenue-and-grants",,,,,,1.264e+11,"Afghanis","actual","total-revenue-and-grants",,,,,,1.777e+11,"Afghanis","actual","total-revenue-and-grants",,,,,,2.606e+11,"Afghanis","proj","total-revenue-and-grants",,,,,,2.719e+11,"Afghanis","budget","total-revenue-and-grants",,,,,,3.559e+11,"Afghanis","proj","total-revenue-and-grants",,,,,,,"Afghanis","proj","total-revenue-and-grants",,,,,,,"Afghanis","proj","total-revenue-and-grants",,,,,,,"Afghanis","proj","total-revenue-and-grants",,,,,,,"Afghanis","proj","total-revenue-and-grants",,,,,,,"Afghanis","proj","total-revenue-and-grants",,,,,,
"AO","kwanzas","actual","total-revenue-and-grants",,,,,,,"kwanzas","actual","total-revenue-and-grants",,,,,,,"kwanzas","actual","total-revenue-and-grants",,,,,,,"kwanzas","actual","total-revenue-and-grants",,,,,,,"kwanzas","actual","total-revenue-and-grants",,,,,,,"kwanzas","actual","total-revenue-and-grants",,,,,,,"kwanzas","actual","total-revenue-and-grants",,,,,,1.6849e+12,"kwanzas","actual","total-revenue-and-grants",,,,,,2.127e+12,"kwanzas","actual","total-revenue-and-grants",,,,,,3.219e+12,"kwanzas","actual","total-revenue-and-grants",,,,,,2.072e+12,"kwanzas","actual","total-revenue-and-grants",,,,,,3.297e+12,"kwanzas","actual","total-revenue-and-grants",,,,,,4.778e+12,"kwanzas","actual","total-revenue-and-grants",,,,,,5.056e+12,"kwanzas","actual","total-revenue-and-grants",,,,,,4.922e+12,"kwanzas","proj","total-revenue-and-grants",,,,,,4.842e+12,"kwanzas","proj","total-revenue-and-grants",,,,,,5.245e+12,"kwanzas","proj","total-revenue-and-grants",,,,,,,"kwanzas","proj","total-revenue-and-grants",,,,,,,"kwanzas","proj","total-revenue-and-grants",,,,,,,"kwanzas","proj","total-revenue-and-grants",,,,,,,"kwanzas","proj","total-revenue-and-grants",,,,,,
"BJ","kwanzas","actual","total-revenue-and-grants",,,,,,2.932e+11,"kwanzas","actual","total-revenue-and-grants",,,,,,3.27e+11,"kwanzas","actual","total-revenue-and-grants",,,,,,3.372e+11,"kwanzas","actual","total-revenue-and-grants",,,,,,3.875e+11,"kwanzas","actual","total-revenue-and-grants",,,,,,4.071e+11,"kwanzas","actual","total-revenue-and-grants",,,,,,4.313e+11,"kwanzas","actual","total-revenue-and-grants",,,,,,4.726e+11,"kwanzas","actual","total-revenue-and-grants",,,,,,6.269e+11,"kwanzas","actual","total-revenue-and-grants",,,,,,6.333e+11,"kwanzas","actual","total-revenue-and-grants",,,,,,6.759e+11,"kwanzas","actual","total-revenue-and-grants",,,,,,6.222e+11,"kwanzas","actual","total-revenue-and-grants",,,,,,6.824e+11,"kwanzas","actual","total-revenue-and-grants",,,,,,7.659e+11,"kwanzas","proj","total-revenue-and-grants",,,,,,8.236e+11,"kwanzas","budget","total-revenue-and-grants",,,,,,8.954e+11,"kwanzas","proj","total-revenue-and-grants",,,,,,9.726e+11,"kwanzas","proj","total-revenue-and-grants",,,,,,1.0526e+12,"kwanzas","proj","total-revenue-and-grants",,,,,,1.1393e+12,"kwanzas","proj","total-revenue-and-grants",,,,,,1.2337e+12,"kwanzas","proj","total-revenue-and-grants",,,,,,1.3293e+12,"kwanzas","proj","total-revenue-and-grants",,,,,,
"BT","ngultrum","actual","total-revenue-and-grants",,,,,,,"ngultrum","actual","total-revenue-and-grants",,,,,,,"ngultrum","actual","total-revenue-and-grants",,,,,,8.849e+09,"ngultrum","actual","total-revenue-and-grants",,,,,,7.054e+09,"ngultrum","actual","total-revenue-and-grants",,,,,,1.0421e+10,"ngultrum","actual","total-revenue-and-grants",,,,,,1.0439e+10,"ngultrum","actual","total-revenue-and-grants",,,,,,1.3328e+10,"ngultrum","actual","total-revenue-and-grants",,,,,,1.6083e+10,"ngultrum","actual","total-revenue-and-grants",,,,,,1.8282e+10,"ngultrum","actual","total-revenue-and-grants",,,,,,2.0624e+10,"ngultrum","actual","total-revenue-and-grants",,,,,,3.099e+10,"ngultrum","actual","total-revenue-and-grants",,,,,,2.8172e+10,"ngultrum","proj","total-revenue-and-grants",,,,,,3.2856e+10,"ngultrum","proj","total-revenue-and-grants",,,,,,3.0664e+10,"ngultrum","budget","total-revenue-and-grants",,,,,,3.16e+10,"ngultrum","proj","total-revenue-and-grants",,,,,,3.0733e+10,"ngultrum","proj","total-revenue-and-grants",,,,,,,"ngultrum","proj","total-revenue-and-grants",,,,,,,"ngultrum","proj","total-revenue-and-grants",,,,,,,"ngultrum","proj","total-revenue-and-grants",,,,,,,"ngultrum","proj","total-revenue-and-grants",,,,,,
"BF","CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,3.763e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,3.781e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,4.35e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,4.618e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,4.967e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,5.701e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,6.505e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,6.308e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,7.715e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,8.802e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,1.0473e+12,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,1.2765e+12,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,1.4417e+12,"CFA franc BCEAO","proj","total-revenue-and-grants",,,,,,1.582e+12,"CFA franc BCEAO","proj","total-revenue-and-grants",,,,,,1.7172e+12,"CFA franc BCEAO","proj","total-revenue-and-grants",,,,,,1.8675e+12,"CFA franc BCEAO","proj","total-revenue-and-grants",,,,,,,"CFA franc BCEAO","proj","total-revenue-and-grants",,,,,,,"CFA franc BCEAO","proj","total-revenue-and-grants",,,,,,,"CFA franc BCEAO","proj","total-revenue-and-grants",,,,,,
"BI","Burundian Franc","actual","total-revenue-and-grants",,,,,,,"Burundian Franc","actual","total-revenue-and-grants",,,,,,,"Burundian Franc","actual","total-revenue-and-grants",,,,,,,"Burundian Franc","actual","total-revenue-and-grants",,,,,,,"Burundian Franc","actual","total-revenue-and-grants",,,,,,2.554e+11,"Burundian Franc","actual","total-revenue-and-grants",,,,,,2.729e+11,"Burundian Franc","actual","total-revenue-and-grants",,,,,,3.478e+11,"Burundian Franc","actual","total-revenue-and-grants",,,,,,4.191e+11,"Burundian Franc","actual","total-revenue-and-grants",,,,,,773992800000,"Burundian Franc","actual","total-revenue-and-grants",,,,,,703304994000,"Burundian Franc","actual","total-revenue-and-grants",,,,,,9.306e+11,"Burundian Franc","actual","total-revenue-and-grants",,,,,,1.072e+12,"Burundian Franc","actual","total-revenue-and-grants",,,,,,1.1369e+12,"Burundian Franc","actual","total-revenue-and-grants",,,,,,1.2664e+12,"Burundian Franc","proj","total-revenue-and-grants",,,,,,1.3519e+12,"Burundian Franc","proj","total-revenue-and-grants",,,,,,1.5149e+12,"Burundian Franc","proj","total-revenue-and-grants",,,,,,1.7164e+12,"Burundian Franc","proj","total-revenue-and-grants",,,,,,1.9199e+12,"Burundian Franc","proj","total-revenue-and-grants",,,,,,,"Burundian Franc","proj","total-revenue-and-grants",,,,,,,"Burundian Franc","proj","total-revenue-and-grants",,,,,,
"KH","riels",,"total-revenue-and-grants",,,,,,,"riels",,"total-revenue-and-grants",,,,,,,"riels",,"total-revenue-and-grants",,,,,,,"riels",,"total-revenue-and-grants",,,,,,,"riels",,"total-revenue-and-grants",,,,,,,"riels",,"total-revenue-and-grants",,,,,,,"riels","actual","total-revenue-and-grants",,,,,,4.192e+12,"riels","actual","total-revenue-and-grants",,,,,,4.929e+12,"riels","actual","total-revenue-and-grants",,,,,,6.868e+12,"riels","actual","total-revenue-and-grants",,,,,,8.636e+12,"riels","actual","total-revenue-and-grants",,,,,,1.0348e+13,"riels","actual","total-revenue-and-grants",,,,,,9.792e+12,"riels","actual","total-revenue-and-grants",,,,,,1.1182e+13,"riels","proj","total-revenue-and-grants",,,,,,1.2682e+13,"riels","proj","total-revenue-and-grants",,,,,,1.4071e+13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CF","CFA francs","actual","total-revenue-and-grants",,,,,,,"CFA francs","actual","total-revenue-and-grants",,,,,,8.75e+10,"CFA francs","actual","total-revenue-and-grants",,,,,,1.059e+11,"CFA francs","actual","total-revenue-and-grants",,,,,,6.38e+10,"CFA francs","actual","total-revenue-and-grants",,,,,,1.012e+11,"CFA francs","actual","total-revenue-and-grants",,,,,,1.175e+11,"CFA francs","actual","total-revenue-and-grants",,,,,,2.792e+11,"CFA francs","actual","total-revenue-and-grants",,,,,,1.504e+11,"CFA francs","actual","total-revenue-and-grants",,,,,,1.77e+11,"CFA francs","actual","total-revenue-and-grants",,,,,,1.997e+11,"CFA francs","actual","total-revenue-and-grants",,,,,,2.232e+11,"CFA francs","actual","total-revenue-and-grants",,,,,,1.644e+11,"CFA francs","actual","total-revenue-and-grants",,,,,,2.353e+11,"CFA francs","actual","total-revenue-and-grants",,,,,,8.45e+10,"CFA francs","proj","total-revenue-and-grants",,,,,,9.87e+10,"CFA francs","proj","total-revenue-and-grants",,,,,,1.442e+11,"CFA francs","proj","total-revenue-and-grants",,,,,,,"CFA francs","proj","total-revenue-and-grants",,,,,,,"CFA francs","proj","total-revenue-and-grants",,,,,,,"CFA francs","proj","total-revenue-and-grants",,,,,,,"CFA francs","proj","total-revenue-and-grants",,,,,,
"TD","CFA franc BEAC","actual","total-revenue-and-grants",,,,,,1.354e+11,"CFA franc BEAC","actual","total-revenue-and-grants",,,,,,1.555e+11,"CFA franc BEAC","actual","total-revenue-and-grants",,,,,,1.973e+11,"CFA franc BEAC","actual","total-revenue-and-grants",,,,,,2.473e+11,"CFA franc BEAC","actual","total-revenue-and-grants",,,,,,2.674e+11,"CFA franc BEAC","actual","total-revenue-and-grants",,,,,,3.939e+11,"CFA franc BEAC","actual","total-revenue-and-grants",,,,,,6.206e+11,"CFA franc BEAC","actual","total-revenue-and-grants",,,,,,8.143e+11,"CFA franc BEAC","actual","total-revenue-and-grants",,,,,,1.0425e+12,"CFA franc BEAC","actual","total-revenue-and-grants",,,,,,6.55e+11,"CFA franc BEAC","actual","total-revenue-and-grants",,,,,,1.069e+12,"CFA franc BEAC","actual","total-revenue-and-grants",,,,,,1.422e+12,"CFA franc BEAC","actual","total-revenue-and-grants",,,,,,1.341e+12,"CFA franc BEAC","proj","total-revenue-and-grants",,,,,,1.229e+12,"CFA franc BEAC","proj","total-revenue-and-grants",,,,,,1.521e+12,"CFA franc BEAC","proj","total-revenue-and-grants",,,,,,1.753e+12,"CFA franc BEAC","proj","total-revenue-and-grants",,,,,,1.745e+12,"CFA franc BEAC","proj","total-revenue-and-grants",,,,,,1.764e+12,"CFA franc BEAC","proj","total-revenue-and-grants",,,,,,1.727e+12,"CFA franc BEAC","proj","total-revenue-and-grants",,,,,,,"CFA franc BEAC","proj","total-revenue-and-grants",,,,,,
"KM","Comorian francs","actual","total-revenue-and-grants",,,,,,1.5556e+10,"Comorian francs","actual","total-revenue-and-grants",,,,,,2.2235e+10,"Comorian francs","actual","total-revenue-and-grants",,,,,,2.6929e+10,"Comorian francs","actual","total-revenue-and-grants",,,,,,2.5482e+10,"Comorian francs","actual","total-revenue-and-grants",,,,,,2.6434e+10,"Comorian francs","actual","total-revenue-and-grants",,,,,,3.0509e+10,"Comorian francs","actual","total-revenue-and-grants",,,,,,2.9534e+10,"Comorian francs","actual","total-revenue-and-grants",,,,,,3.3945e+10,"Comorian francs","actual","total-revenue-and-grants",,,,,,4.1853e+10,"Comorian francs","actual","total-revenue-and-grants",,,,,,4.4776e+10,"Comorian francs","actual","total-revenue-and-grants",,,,,,5.8869e+10,"Comorian francs","actual","total-revenue-and-grants",,,,,,5.0907e+10,"Comorian francs","actual","total-revenue-and-grants",,,,,,6.5962e+10,"Comorian francs","actual","total-revenue-and-grants",,,,,,1.06461e+11,"Comorian francs","proj","total-revenue-and-grants",,,,,,6.3004e+10,"Comorian francs","proj","total-revenue-and-grants",,,,,,6.7037e+13,"Comorian francs","proj","total-revenue-and-grants",,,,,,7.2488e+10,"Comorian francs","proj","total-revenue-and-grants",,,,,,7.8288e+10,"Comorian francs","proj","total-revenue-and-grants",,,,,,8.458e+10,"Comorian francs","proj","total-revenue-and-grants",,,,,,,"Comorian francs","proj","total-revenue-and-grants",,,,,,
