"id","population-0-14.2000","population-15-64.2000","population-65-.2000","population-0-14.2001","population-15-64.2001","population-65-.2001","population-0-14.2002","population-15-64.2002","population-65-.2002","population-0-14.2003","population-15-64.2003","population-65-.2003","population-0-14.2004","population-15-64.2004","population-65-.2004","population-0-14.2005","population-15-64.2005","population-65-.2005","population-0-14.2006","population-15-64.2006","population-65-.2006","population-0-14.2007","population-15-64.2007","population-65-.2007","population-0-14.2008","population-15-64.2008","population-65-.2008","population-0-14.2009","population-15-64.2009","population-65-.2009","population-0-14.2010","population-15-64.2010","population-65-.2010","population-0-14.2011","population-15-64.2011","population-65-.2011","population-0-14.2012","population-15-64.2012","population-65-.2012","population-0-14.2013","population-15-64.2013","population-65-.2013"
"BB",58516,177924,30750,58109,179411,30776,57684,181225,30617,57246,183273,30326,56792,185420,29994,56326,187561,29681,55845,189672,29407,55359,191741,29173,54893,193712,29031,54485,195500,29019,54163,197052,29181,53934,198333,29536,53791,199343,30087,53737,199970,30937
"BN",100888,221673,9240,101904,227553,9659,103094,233169,10142,104326,238652,10671,105412,244182,11202,106214,249882,11719,106685,255797,12216,106868,261857,12713,106834,267930,13253,106693,273818,13888,106525,279384,14660,106362,284562,15585,106171,289403,16663,105782,294113,17889
"BT",229013,313763,21574,228549,329804,22529,227210,347762,23485,225256,366677,24451,223112,385336,25447,221096,402829,26492,219261,418720,27585,217536,433112,28721,215959,446310,29892,214565,458891,31088,213368,471264,32307,212402,483468,33557,211674,495306,34844,211586,506207,36154
"BW",672891,1031025,51459,672989,1057143,53217,672498,1081484,54995,671719,1104109,56770,671024,1125187,58530,670683,1144866,60256,670845,1163131,61968,671482,1180027,63678,672457,1195895,65367,673540,1211168,67008,674562,1226180,68599,675468,1241138,70094,676322,1256043,71543,677362,1270390,73392
"CF",1538678,1954571,145067,1564036,1992484,147524,1588521,2028811,149916,1612245,2065124,152266,1635396,2103576,154619,1658135,2145759,157003,1680478,2192185,159437,1702452,2242522,161921,1724241,2296435,164433,1746067,2353251,166929,1768099,2412430,169392,1790431,2473968,171818,1813053,2537915,174239,1838566,2600383,177468
"CA",5898831,21009408,3861462,5867051,21282240,3932610,5826177,21536498,3999324,5789197,21814617,4072185,5750972,22093615,4150412,5711227,22365314,4235458,5660216,22590063,4320225,5620906,22846494,4420528,5595685,23113800,4536288,5589189,23371213,4668166,5601292,23590292,4813689,5628600,23744726,4969453,5687780,23915383,5151152,5781001,24039023,5338280
"CH",1252774,4832211,1099265,1248391,4867923,1113540,1242493,4913981,1128278,1233947,4962078,1142977,1223109,5007872,1158644,1210881,5049844,1176389,1197992,5089193,1196751,1188162,5140279,1222676,1183606,5208611,1255455,1180683,5273291,1289857,1178007,5323917,1322985,1179214,5374612,1358571,1182888,5419040,1394933,1193971,5456597,1430914
"CL",4293653,10040921,1119828,4262049,10221872,1155373,4221485,10406262,1191771,4173820,10592148,1229688,4121268,10776979,1269990,4065866,10958573,1313310,4008375,11136140,1360014,3949909,11308988,1409993,3893226,11475113,1462848,3841551,11632260,1517919,3797214,11778760,1574786,3761454,11913474,1633522,3733959,12036368,1694483,3715100,12147675,1756933
"CN",323182264,852719640,86743084,313318261,869138287,89393428,301693884,886584881,92121265,289310145,904236379,94853482,277521125,921052269,97501643,267363508,936333988,100022504,259101015,949534181,102384829,252594441,960656943,104633591,247849811,969935551,106869588,244622148,977445600,109192289,242694634,983311866,111698500,242126399,987638876,114364687,242914002,990545665,117235332,244746591,992158430,120474979
"CI",6790861,8873248,467223,6912964,9030623,476590,7029675,9160204,485109,7142106,9274170,493525,7251888,9389602,502834,7360628,9519628,513738,7468283,9667605,526531,7575704,9832353,541007,7686451,10016832,556759,7805033,10223168,573141,7934587,10452338,589663,8076714,10706961,606280,8230452,10986183,623114,8397252,11274611,644223
