"id","population-0-14.2000","population-15-64.2000","population-65-.2000","population-0-14.2001","population-15-64.2001","population-65-.2001","population-0-14.2002","population-15-64.2002","population-65-.2002","population-0-14.2003","population-15-64.2003","population-65-.2003","population-0-14.2004","population-15-64.2004","population-65-.2004","population-0-14.2005","population-15-64.2005","population-65-.2005","population-0-14.2006","population-15-64.2006","population-65-.2006","population-0-14.2007","population-15-64.2007","population-65-.2007","population-0-14.2008","population-15-64.2008","population-65-.2008","population-0-14.2009","population-15-64.2009","population-65-.2009","population-0-14.2010","population-15-64.2010","population-65-.2010","population-0-14.2011","population-15-64.2011","population-65-.2011","population-0-14.2012","population-15-64.2012","population-65-.2012","population-0-14.2013","population-15-64.2013","population-65-.2013"
"ST",61339,72491,5598,61566,74546,5672,62032,76629,5787,62753,78780,5924,63727,81055,6060,64943,83499,6173,66415,86130,6261,68131,88932,6328,70039,91837,6377,72052,94771,6414,74107,97677,6444,76180,100531,6465,78254,103362,6481,80312,106186,6495
"SR",142856,297111,26701,143939,301889,27482,145295,306565,28239,146771,311127,28966,148145,315570,29680,149247,319892,30384,150039,324063,31087,150550,328095,31789,150765,332124,32483,150689,336319,33166,150333,340798,33829,149688,345595,34482,148765,350640,35134,147589,355817,35870
"SK",1062019,3713907,612794,1026246,3737147,615475,992317,3766262,618332,959153,3793528,620692,928436,3820251,623593,900779,3844635,627393,876083,3864872,632103,854717,3881955,637949,837412,3896600,645222,824528,3907966,653911,815564,3912327,663537,811258,3912658,674464,811313,3909325,686939,815068,3897146,701881
"SI",315906,1392733,280287,308056,1396870,287135,300519,1400527,293481,293539,1402914,299281,287743,1404466,304803,283716,1406312,310446,281671,1408803,316392,281740,1413404,322978,281859,1411346,328112,284881,1419247,335541,287071,1420212,341300,288962,1417818,346062,291195,1415211,350756,294443,1410833,355208
"SE",1635227,5705160,1531723,1623925,5739123,1532911,1612177,5777297,1535486,1599873,5818079,1540278,1586502,5858827,1548201,1572079,5897500,1559993,1558796,5943675,1578034,1547882,5997767,1602443,1540060,6047969,1631608,1539655,6092055,1666805,1548067,6122938,1707120,1564978,6132782,1751453,1590469,6128589,1800316,1622522,6116123,1853907
"SZ",474442,557897,31376,473292,569342,32127,470790,578580,32814,467563,586886,33479,464458,596128,34169,462103,607603,34936,460738,621729,35783,460294,637980,36705,460710,655523,37699,461803,673127,38751,463432,689862,39854,465595,705558,41010,468334,720439,42214,472535,733377,43602
"SX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SC",22887,51699,6545,22338,52336,6530,22347,54722,6633,21400,54974,6428,20657,55559,6282,20181,56490,6229,20097,58183,6321,19776,58899,6356,19870,60556,6533,19673,61033,6596,20028,62924,6818,19397,61372,6673,19556,61974,6771,19737,62534,6902
"SY",6681244,9140077,549887,6742210,9396453,562321,6794595,9627750,572330,6849083,9866697,582697,6920274,10158490,597250,7017268,10531499,618600,7146708,11009937,648270,7301895,11574425,685155,7462418,12157553,726083,7599836,12665269,766444,7694524,13035030,803093,7793973,13326977,840724,7919152,13597182,882918,8016704,13900686,928160
"TC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TD",4065218,3999691,236242,4230043,4148768,242105,4403604,4308028,248331,4581794,4474709,254730,4759044,4644944,261038,4931316,4816037,267060,5097014,4987014,272795,5257093,5158958,278319,5413227,5333775,283631,5568229,5514346,288750,5724211,5702831,293739,5881523,5899978,298535,6039543,6105377,303254,6208030,6307774,309510
"TG",2151365,2574349,139039,2192338,2658248,141641,2234774,2744507,144394,2278984,2832657,147316,2325282,2922164,150407,2373900,3012637,153677,2424795,3103906,157143,2477940,3196044,160823,2533543,3289249,164702,2591848,3383848,168763,2652872,3480144,172998,2716706,3578187,177411,2782850,3678058,182018,2852689,3776414,187879
"TH",15071779,43174555,4097045,14980755,43800803,4287512,14938087,44375830,4483925,14902816,44904276,4681242,14818143,45396475,4872782,14645408,45859784,5054293,14366948,46292545,5224470,14000678,46689823,5386427,13587072,47052272,5545999,13185097,47380821,5711416,12837196,47675761,5889361,12557549,47937448,6081335,12332690,48164499,6287813,12163650,48342701,6504151
"TJ",2653438,3313576,219138,2648211,3416733,224397,2636646,3535090,232383,2622956,3665146,241508,2612675,3801758,249495,2610072,3940816,254767,2616526,4081185,256811,2631950,4222763,256311,2657250,4363655,254344,2692952,4501917,252524,2739207,4636047,252072,2796173,4765317,253363,2863334,4889465,256191,2945542,5001002,261290
"TM",1634193,2673813,193413,1619728,2733313,198723,1604199,2791300,204675,1587729,2849870,210434,1570134,2911896,214847,1551501,2979193,217145,1531756,3052780,217054,1511800,3131393,215045,1493795,3211724,212029,1480504,3289156,209304,1473766,3360373,207856,1474554,3424106,208006,1481965,3481326,209640,1492388,3533643,214041
"TL",424745,408551,20289,435953,414079,21321,447152,429543,22671,458080,451066,24225,468367,472820,25803,471635,484332,26922,477185,493801,28067,484303,501938,29244,492100,509629,30453,499208,518263,31687,504685,528788,32936,525345,559712,35337,532318,579677,36961,539408,600158,38686
"TO",37579,54774,5609,37670,55122,5712,37835,55423,5826,38049,55703,5937,38267,56021,6032,38459,56406,6095,38613,56876,6128,38736,57421,6131,38836,57988,6121,38925,58523,6109,39010,58984,6104,39095,59347,6114,39168,59632,6134,39183,59950,6190
"TT",324291,860840,82849,313426,874297,84622,303824,887298,86600,295599,899480,88790,288763,910412,91205,283306,919782,93845,279301,927444,96735,276743,933430,99871,275413,937843,103193,275002,940891,106626,275226,942751,110118,276008,943455,113615,277247,943045,117144,278550,941449,121152
"TN",2853093,6133072,577335,2799664,6274455,599483,2746191,6414246,621460,2681062,6519400,639339,2629811,6645039,657553,2585255,6770201,673544,2547395,6893419,687084,2515626,7011022,698450,2493155,7126612,709133,2481175,7237988,720437,2478287,7337905,732907,2488650,7437270,747881,2502849,7511563,763087,2526167,7578835,781497
"TR",19363854,40022492,3788139,19345451,40823023,3931820,19331793,41624099,4066408,19321867,42422408,4193992,19313991,43213419,4318224,19306756,43994180,4442119,19299132,44760370,4566835,19290813,45513175,4692526,19281797,46261496,4820218,19272350,47017841,4950891,19262092,47789561,5085895,19251838,48581347,5225451,19239828,49385704,5371595,19224026,50180661,5527954
"TV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TZ",15233412,17805204,981896,15602049,18278314,1015035,15990870,18765839,1049789,16404672,19269856,1086309,16848478,19791926,1124736,17325495,20333696,1165193,17837480,20897216,1207651,18382889,21484629,1252171,18957103,22097636,1299051,19553315,22737782,1348653,20165655,23406515,1401160,20792300,24105506,1456801,21431762,24836055,1515293,22090950,25585713,1576463
"UG",11956028,11667199,652414,12371564,12050219,666252,12804882,12460413,678146,13252966,12895999,689465,13711263,13353609,702113,14176402,13830996,717471,14647103,14328216,736077,15124126,14847061,757563,15608519,15389027,781254,16102109,15956137,806082,16605972,16549967,831274,17120140,17171241,856685,17643237,17819978,882646,18184969,18483109,910798
"UA",8590723,33812766,6772360,8200482,33626592,6856792,7820842,33380217,7001442,7476257,33152739,7183954,7169518,32936136,7345946,6908858,32746780,7449513,6701029,32597481,7489237,6547019,32483778,7478549,6443396,32391479,7423326,6388403,32324068,7340826,6374254,32256322,7240124,6398819,32190765,7116513,6464603,32150919,6977780,6580041,32059443,6850115
"UY",815352,2070869,434620,813038,2074879,438844,808826,2076505,442172,803188,2077316,444908,796860,2079466,447497,790410,2084478,450267,783957,2092923,453335,777428,2104293,456664,770978,2117684,460234,764764,2131692,463975,758891,2145240,467851,753470,2158113,471907,748538,2170513,476201,744385,2181637,481040
"US",60240567,187032871,34888978,60397772,189443892,35127288,60479614,191771012,35374556,60498566,193961673,35647694,60556973,196231064,36017267,60629726,198409437,36477427,60753897,200574441,37051586,60897526,202609656,37724037,61066552,204516231,38511184,61219500,206149779,39402244,61367724,207545880,40412686,61478983,208577512,41526072,61622382,209473065,42778236,61794051,210198558,44136229
"UZ",9191802,14402496,1056102,9120638,14753382,1090428,9030269,15109504,1132077,8923097,15469567,1174988,8809578,15843416,1211360,8697221,16234246,1235533,8592866,16649125,1246256,8511248,17108781,1247972,8455318,17603053,1244434,8421808,18105149,1240443,8503551,18804871,1253979,8595282,19473566,1270552,8604072,19894008,1276420,8650994,20298283,1291824
"VC",33932,66491,7474,33303,67129,7555,32684,67809,7657,32088,68515,7751,31527,69227,7809,31014,69922,7813,30554,70598,7753,30141,71258,7641,29757,71889,7513,29374,72465,7410,28977,72975,7364,28554,73416,7388,28113,73785,7475,27626,74085,7662
"VE",8231854,15060557,1115142,8265683,15449700,1155057,8293319,15844654,1195647,8317707,16241781,1237730,8342698,16636239,1282386,8371075,17024334,1330488,8403879,17404666,1382338,8440471,17777377,1438088,8479831,18142225,1498260,8520168,18499474,1563397,8560009,18849399,1633874,8599200,19191510,1709915,8637742,19525578,1791460,8678184,19850005,1877018
"VI",28158,71170,9311,27416,71326,9645,26588,71611,10010,25727,71940,10418,24899,72183,10871,24181,72300,11382,23565,72195,11940,23029,71859,12536,22592,71327,13174,22243,70613,13851,21975,69737,14555,21797,68696,15289,21706,67524,16047,21686,66266,16785
"VN",24515056,48134469,4981376,24118807,49408001,5094192,23682998,50667506,5188196,23238650,51959637,5270114,22796135,53296903,5344665,22345684,54636674,5411139,21881093,55961868,5470038,21421116,57275617,5524370,20998761,58547175,5576367,20656416,59739903,5628683,20421601,60826194,5684707,20306659,61788703,5744638,20304088,62653707,5815108,20365733,63439396,5903771
"VU",76763,102112,6183,77859,105170,6256,79043,108572,6336,80309,112188,6457,81645,115842,6648,83034,119402,6939,84489,122820,7345,86004,126147,7849,87519,129484,8397,88957,132967,8908,90267,136703,9329,91411,140734,9632,92411,145008,9844,93689,149121,9953
"PS",1387769,1467544,66840,1417504,1510445,69837,1446952,1555317,73104,1474970,1603402,76598,1500102,1656284,80241,1521439,1714993,83964,1538638,1779983,87713,1552324,1850659,91511,1568973,1931948,95769,1585533,2016336,100351,1603354,2102387,105361,1624401,2191685,110964,1647231,2282641,117028,1672057,2374016,123432
"WS",71105,95697,7812,71229,96354,7982,71276,97151,8165,71265,98054,8353,71231,99025,8536,71191,100030,8707,71152,101059,8865,71113,102116,9008,71096,103201,9148,71121,104307,9275,71203,105429,9397,71350,106567,9510,71550,107711,9625,71857,108729,9786
"YE",8510665,8501716,510156,8669328,8850564,510098,8821466,9217540,512062,8963538,9601343,516427,9090186,9999265,523245,9198198,10408910,532553,9286327,10830654,544729,9357887,11264229,560046,9419759,11705596,578214,9481322,12149570,598736,9549452,12592392,621164,9626777,13031875,645558,9711882,13468684,671842,9806195,13898933,702253
"ZA",14509036,27980639,1510325,14576926,28733300,1599509,14651960,29444537,1712238,14645096,29933431,1830718,14656489,30406977,1955988,14686242,30872869,2080447,14734157,31332731,2202863,14800741,31785243,2324264,14887046,32232017,2442192,14994134,32674501,2554364,15121735,33114402,2659560,15269584,33553790,2756225,15434519,33995230,2845194,15624052,34426438,2931501
"CD",21807480,23814249,1327515,22369051,24438659,1359335,22985585,25135575,1395799,23641475,25894797,1436049,24311141,26697570,1478584,24975831,27529890,1522284,25632255,28391592,1566987,26286998,29287847,1613093,26942586,30215757,1660693,27604021,31172260,1709992,28274801,32155267,1761093,28954487,33162872,1814155,29640703,34195405,1868984,30400157,35181814,1931706
"ZM",4619391,5205018,276572,4757271,5321803,283060,4901015,5434656,289752,5049855,5548034,296632,5202826,5668128,303692,5359279,5799814,310929,5518850,5944456,318307,5681818,6101954,325847,5848994,6273870,333663,6021550,6461559,341923,6200362,6665912,350711,6385700,6887959,360139,6577369,7127600,370127,6776881,7380405,381354
"ZW",5271065,6809611,422976,5273516,6881033,432215,5272571,6927438,440915,5270461,6953247,449397,5269794,6965156,458097,5272860,6970400,467329,5280421,6966560,477324,5293448,6958688,488026,5314572,6970357,499114,5346810,7031987,510121,5392181,7164029,520768,5451282,7376709,530746,5523220,7660779,540320,5583359,8019113,547176
