"id","value.2000","original-value.2000","value.2001","original-value.2001","value.2002","original-value.2002","value.2003","original-value.2003","value.2004","original-value.2004","value.2005","original-value.2005","value.2006","original-value.2006","value.2007","original-value.2007","value.2008","original-value.2008","value.2009","original-value.2009","value.2010","original-value.2010","value.2011","original-value.2011","value.2012","original-value.2012","value.2013","original-value.2013"
"KH",,,,,,,,,7.79,7.79,7.6066666667,,7.4233333333,,7.24,7.24,4.39,4.39,2.08,2.08,1.7,1.7,1.43,1.43,,,,
"KI",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KM",,,,,,,,,20.82,20.82,,,,,,,,,,,,,,,,,,
"KN",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KP",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KR",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KW",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KY",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KZ",,,1.28,1.28,0.68,0.68,0.44,0.44,0.27,0.27,0.165,,0.06,0.06,0.02,0.02,0.0166666667,,0.0133333333,,0.01,0.01,,,,,,
"LA",,,,,10.93,10.93,10.574,,10.218,,9.862,,9.506,,9.15,9.15,8.852,,8.554,,8.256,,7.958,,7.66,7.66,,
"LB",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LC",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LI",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LK",,,,,2.64,2.64,2.308,,1.976,,1.644,,1.312,,0.98,0.98,0.87,,0.76,,0.65,0.65,,,,,,
"LR",,,,,,,,,,,,,,,40.9,40.9,,,,,,,,,,,,
"LS",,,,,,,28.01,28.01,28.1757142857,,28.3414285714,,28.5071428571,,28.6728571429,,28.8385714286,,29.0042857143,,29.17,29.17,,,,,,
"LT",0.01,0.01,0.07,0.07,0.02,0.02,0.01,0.01,0.01,0.01,0.85,0.85,0.61,0.61,0.315,,0.02,0.02,0.64,,1.26,1.26,0.81,0.81,,,,
"LU",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV",,,,,0.14,0.14,0.08,,0.02,0.02,0.39,,0.76,0.76,0.89,,1.02,,1.15,,1.28,1.28,0.95,0.95,,,,
"LY",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MA",,,0.94,0.94,0.875,,0.81,,0.745,,0.68,,0.615,,0.55,0.55,,,,,,,,,,,,
"MC",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MD",,,7.1,7.1,3.31,3.31,1.09,1.09,1.45,1.45,2.91,2.91,0.52,0.52,0.24,0.24,0.21,0.21,0.11,0.11,0.09,0.09,0.03,0.03,,,,
"ME",,,,,,,,,,,0.06,0.06,0.04,,0.02,0.02,0.04,0.04,0.0533333333,,0.0666666667,,0.08,0.08,,,,
"MF",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MG",,,41.37,41.37,41.12,,40.87,,40.62,,40.37,40.37,42.006,,43.642,,45.278,,46.914,,48.55,48.55,,,,,,
"MH",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MK",0.89,0.89,0.52,,0.15,0.15,0.12,0.12,0.14,0.14,0.04,0.04,0.23,0.23,0.135,,0.04,0.04,,,,,,,,,,
"ML",,,25.78,25.78,24.382,,22.984,,21.586,,20.188,,18.79,18.79,18.205,,17.62,,17.035,,16.45,16.45,,,,,,
"MM",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MN",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MO",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MP",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MR",5.66,5.66,5.9825,,6.305,,6.6275,,6.95,6.95,6.91,,6.87,,6.83,,6.79,6.79,,,,,,,,,,
"MT",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MU",,,,,,,,,,,,,0.07,0.07,0.0883333333,,0.1066666667,,0.125,,0.1433333333,,0.1616666667,,0.18,0.18,,
"MV",,,,,,,,,0.14,0.14,,,,,,,,,,,,,,,,,,
"MW",,,,,,,,,33.18,33.18,33.3583333333,,33.5366666667,,33.715,,33.8933333333,,34.0716666667,,34.25,34.25,,,,,,
"MX",1.47,1.47,1.12,,0.77,0.77,0.45,,0.13,0.13,2.04,2.04,0.13,0.13,0.235,,0.34,0.34,0.25,,0.16,0.16,0.195,,0.23,0.23,,
"MY",,,,,,,,,0.06,0.06,,,,,,,,,,,,,,,,,,
"MZ",,,,,,,35.4,35.4,33.8066666667,,32.2133333333,,30.62,,29.0266666667,,27.4333333333,,25.84,25.84,,,,,,,,
"NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NE",,,,,,,,,,,20.49,20.49,17.5766666667,,14.6633333333,,11.75,11.75,11.3066666667,,10.8633333333,,10.42,10.42,,,,
"NG",,,,,,,,,26.89,26.89,26.985,,27.08,,27.175,,27.27,,27.365,,27.46,27.46,,,,,,
"NI",,,3.65,3.65,2.825,,2,,1.175,,0.35,0.35,0.995,,1.64,,2.285,,2.93,2.93,,,,,,,,
"NL",,,,,,,,,13.41,13.41,10.8433333333,,8.2766666667,,5.71,5.71,8.46,,11.21,,13.96,13.96,,,,,,
"NO",3.24,3.24,3.045,,2.85,,2.655,,2.46,2.46,2.27,,2.08,,1.89,1.89,4.0766666667,,6.2633333333,,8.45,8.45,,,,,,
"NP",,,,,,,18.39,18.39,16.5071428571,,14.6242857143,,12.7414285714,,10.8585714286,,8.9757142857,,7.0928571429,,5.21,5.21,,,,,,
"NZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OM",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PA",9.07,9.07,6.785,,4.5,4.5,4.48,4.48,3.92,3.92,3.68,3.68,4.33,4.33,2.52,2.52,1.31,1.31,0.8,0.8,1.14,1.14,1.14,1.14,1.28,1.28,,
"PE",4.6,4.6,4.87,4.87,4.13,4.13,2.77,2.77,1.89,1.89,2.32,2.32,1.82,1.82,1.85,1.85,1.35,1.35,1,1,0.73,0.73,0.77,0.77,0.78,0.78,,
"PF",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PG",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PH",6.34,6.34,6.1866666667,,6.0333333333,,5.88,5.88,5.7433333333,,5.6066666667,,5.47,5.47,4.8533333333,,4.2366666667,,3.62,3.62,3.7533333333,,3.8866666667,,4.02,4.02,,
"PK",,,,,7.92,7.92,6.73,,5.54,,4.35,4.35,4.06,4.06,3.345,,2.63,2.63,2.4,,2.17,,1.94,1.94,,,,
"PL",0.01,0.01,0.01,0.01,0.01,,0.01,,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,
"PR",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PS",,,,,,,,,0.08,0.08,0.1,,0.12,,0.14,0.14,0.075,,0.01,0.01,,,,,,,,
"PT",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PW",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PY",,,3.22,3.22,4.83,4.83,2.77,2.77,1.84,1.84,2.21,2.21,2.83,2.83,2.5,2.5,1.39,1.39,1.91,1.91,1.82,1.82,1.7,1.7,0.96,0.96,,
"QA",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RO",,,0.45,0.45,0.54,0.54,0.3,0.3,,,,,,,,,,,,,,,,,,,,
"RS",,,,,0.18,0.18,0.09,0.09,0.12,0.12,0.17,0.17,0.04,0.04,0.04,0.04,0.02,0.02,,,,,,,,,,
"RU",,,0.19,0.19,0.11,0.11,0.07,0.07,0.18,0.18,0.04,0.04,0.04,0.04,0.02,0.02,0.015,,0.01,0.01,,,,,,,,
"RW",41.78,41.78,40.6016666667,,39.4233333333,,38.245,,37.0666666667,,35.8883333333,,34.71,34.71,33.074,,31.438,,29.802,,28.166,,26.53,26.53,,,,
"SA",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SB",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SC",,,,,,,,,,,,,,,0.07,0.07,,,,,,,,,,,,
"SD",,,,,,,,,,,,,,,,,,,5.46,5.46,,,,,,,,
"SE",2.97,2.97,2.624,,2.278,,1.932,,1.586,,1.24,1.24,,,,,,,,,,,,,,,,
"SG",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SI",,,,,0.05,0.05,0.055,,0.06,0.06,0.04,0.04,2.03,2.03,1.03,,0.03,0.03,0.045,,0.06,0.06,,,,,,
"SK",,,,,,,,,0.14,0.14,0.1433333333,,0.1466666667,,0.15,,0.1533333333,,0.1566666667,,0.16,0.16,0.19,0.19,,,,
"SL",,,,,,,22.71,22.71,22.27625,,21.8425,,21.40875,,20.975,,20.54125,,20.1075,,19.67375,,19.24,19.24,,,,
"SM",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SN",,,14.31,14.31,13.4325,,12.555,,11.6775,,10.8,10.8,10.8466666667,,10.8933333333,,10.94,,10.9866666667,,11.0333333333,,11.08,11.08,,,,
"SO",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SR",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SS",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ST",,,7.87,7.87,8.5444444444,,9.2188888889,,9.8933333333,,10.5677777778,,11.2422222222,,11.9166666667,,12.5911111111,,13.2655555556,,13.94,13.94,,,,,,
"SV",7.73,7.73,8.34,8.34,8.15,8.15,7.41,7.41,3.36,3.36,2.61,2.61,1.11,1.11,0.64,0.64,1.3,1.3,1.06,1.06,1.64,1.64,0.59,0.59,0.56,0.56,,
"SX",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SY",,,,,,,,,0.2,0.2,,,,,,,,,,,,,,,,,,
"SZ",,,14.86,14.86,14.9,,14.94,,14.98,,15.02,,15.06,,15.1,,15.14,,15.18,,15.22,15.22,,,,,,
"TC",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TD",,,,,,,25.64,25.64,24.2075,,22.775,,21.3425,,19.91,,18.4775,,17.045,,15.6125,,14.18,14.18,,,,
"TG",,,,,,,,,,,,,20.33,20.33,20.768,,21.206,,21.644,,22.082,,22.52,22.52,,,,
"TH",0.5,0.5,0.395,,0.29,0.29,0.2625,,0.235,,0.2075,,0.18,0.18,0.11,,0.04,0.04,0.04,,0.04,0.04,,,,,,
"TJ",,,,,,,9.97,9.97,4.69,4.69,4.58,,4.47,,4.36,4.36,2.815,,1.27,1.27,,,,,,,,
"TL",,,,,,,,,,,,,,,8.14,8.14,,,,,,,,,,,,
"TM",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TN",0.46,0.46,0.434,,0.408,,0.382,,0.356,,0.33,0.33,0.304,,0.278,,0.252,,0.226,,0.2,0.2,,,,,,
"TO",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TR",,,,,0.11,0.11,0.52,0.52,0.16,0.16,0.19,0.19,0.19,0.19,0.08,0.08,0.05,,0.02,0.02,0.05,0.05,,,,,,
"TT",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TV",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TZ",41.23,41.23,39.3542857143,,37.4785714286,,35.6028571429,,33.7271428571,,31.8514285714,,29.9757142857,,28.1,28.1,25.076,,22.052,,19.028,,16.004,,12.98,12.98,,
"UA",,,,,0.07,0.07,0.04,0.04,0.05,,0.06,,0.07,0.07,0.03,0.03,0.035,,0.04,0.04,,,,,,,,
"UG",,,,,22.17,22.17,21.4325,,20.695,,19.9575,,19.22,19.22,16.87,,14.52,,12.17,12.17,12.1175,,12.065,,12.0125,,11.96,11.96
"US",1.21,1.21,1.31,,1.41,,1.51,,1.61,1.61,6.2933333333,,10.9766666667,,15.66,15.66,11.08,,6.5,,1.92,1.92,,,,,,
"UY",0.15,0.15,0.15,0.15,0.16,0.16,0.25,0.25,0.27,0.27,0.26,0.26,0.18,0.18,0.09,0.09,0.05,0.05,0.07,0.07,0.07,0.07,0.08,0.08,0.09,0.09,,
"UZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VC",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VE",,,4.41,4.41,7.71,7.71,9.36,9.36,8.21,8.21,7.96,7.96,3.74,3.74,,,,,,,,,,,,,,
"VI",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VN",,,,,11.21,11.21,9.825,,8.44,8.44,6.87,,5.3,5.3,4.52,,3.74,3.74,2.29,,0.84,0.84,0.695,,0.55,0.55,,
"VU",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WS",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"XK",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"YE",,,,,,,,,,,1.87,1.87,,,,,,,,,,,,,,,,
"ZA",8.18,8.18,7.3266666667,,6.4733333333,,5.62,,4.7666666667,,3.9133333333,,3.06,3.06,2.7966666667,,2.5333333333,,2.27,2.27,1.73,,1.19,1.19,,,,
"ZM",,,,,,,27.13,27.13,32.76,32.76,34.89,,37.02,37.02,38.21,,39.4,,40.59,,41.78,41.78,,,,,,
"ZW",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NA",,,,,,,,,9.45,9.45,8.8316666667,,8.2133333333,,7.595,,6.9766666667,,6.3583333333,,5.74,5.74,,,,,,
