"id","value.1990","original-value.1990","value.1991","original-value.1991","value.1992","original-value.1992","value.1993","original-value.1993","value.1994","original-value.1994","value.1995","original-value.1995","value.1996","original-value.1996","value.1997","original-value.1997","value.1998","original-value.1998","value.1999","original-value.1999","value.2000","original-value.2000","value.2001","original-value.2001","value.2002","original-value.2002","value.2003","original-value.2003","value.2004","original-value.2004","value.2005","original-value.2005","value.2006","original-value.2006","value.2007","original-value.2007","value.2008","original-value.2008","value.2009","original-value.2009","value.2010","original-value.2010","value.2011","original-value.2011","value.2012","original-value.2012","value.2013","original-value.2013","value.2014","original-value.2014"
"HT",,,,,,,,,,,,,,,,,,,,,,,77.51,77.51,,,,,,,,,,,,,,,,,,,,,,,,,,
"HU",,,,,,,0.28,0.28,0.274,,0.268,,0.262,,0.256,,0.25,0.25,0.22,0.22,0.13,0.13,0,0,0.03,0.03,0.12,0.12,0.06,,0,0,0.2,0.2,0.135,,0.07,0.07,0.105,,0.14,0.14,0.17,0.17,,,,,,
"ID",84.59,84.59,84.5866666666667,,84.5833333333333,,84.58,84.58,82.06,,79.54,,77.02,77.02,78.53,,80.04,,81.55,81.55,76.7433333333333,,71.9366666666667,,67.13,67.13,62.7966666666667,,58.4633333333333,,54.13,54.13,54.3233333333333,,54.5166666666667,,54.71,54.71,50.515,,46.32,46.32,43.33,43.33,,,,,,
"IN",,,,,,,,,81.73,81.73,81.1745454545455,,80.6190909090909,,80.0636363636364,,79.5081818181818,,78.9527272727273,,78.3972727272727,,77.8418181818182,,77.2863636363636,,76.7309090909091,,76.1754545454546,,75.62,75.62,74.248,,72.876,,71.504,,70.132,,68.76,68.76,63.9995767958334,,59.2391535916669,59.2391535916669,,,,
"IQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.39,22.39,22.146,,21.902,,21.658,,21.414,,21.17,21.17,,,,
"IR",13.12,13.12,11.9,,10.68,,9.46,,8.24,8.24,8.255,,8.27,,8.285,,8.3,8.3,8.26142857142857,,8.22285714285714,,8.18428571428571,,8.14571428571429,,8.10714285714286,,8.06857142857143,,8.03,8.03,,,,,,,,,,,,,,,,,,
"JM",13.07,13.07,13.5033333333333,,13.9366666666667,,14.37,14.37,12.4966666666667,,10.6233333333333,,8.75,8.75,7.99333333333333,,7.23666666666667,,6.48,6.48,25.035,,43.59,43.59,8.5,8.5,7.175,,5.85,5.85,,,,,,,,,,,,,,,,,,,,
"JO",,,,,14.76,14.76,14.082,,13.404,,12.726,,12.048,,11.37,11.37,11.315,,11.26,,11.205,,11.15,,11.095,,11.04,11.04,8.32,,5.6,,2.88,2.88,2.45,,2.02,2.02,1.595,,1.17,1.17,,,,,,,,
"KE",,,,,59.32,59.32,56.485,,53.65,53.65,54.5033333333333,,55.3566666666667,,56.21,56.21,57.585,,58.96,,60.335,,61.71,,63.085,,64.46,,65.835,,67.21,67.21,,,,,,,,,,,,,,,,,,
"KG",,,,,,,30.09,30.09,36.226,,42.362,,48.498,,54.634,,60.77,60.77,66.14,,71.51,71.51,66.51,66.51,65.33,65.33,61.31,61.31,39.26,39.26,45.31,45.31,36.02,36.02,29.4,29.4,18.96,18.96,20.14,20.14,21.05,21.05,21.06,21.06,,,,,,
"KH",,,,,,,,,75.24,75.24,74.159,,73.078,,71.997,,70.916,,69.835,,68.754,,67.673,,66.592,,65.511,,64.43,64.43,62.75,,61.07,,59.39,59.39,51.05,51.05,40.74,40.74,40.88,40.88,41.26,41.26,,,,,,
"KI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.98,64.98,,,,,,,,,,,,,,,,,,,,
"KN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KZ",,,,,,,17.57,17.57,17.9666666666667,,18.3633333333333,,18.76,18.76,19.46,,20.16,,20.86,,21.56,,22.26,22.26,17.25,17.25,13.28,13.28,10.78,10.78,0.65,0.65,3.24,3.24,1.46,1.46,1.15,1.15,0.975,,0.8,0.8,,,,,,,,
"LA",,,,,84.82,84.82,83.606,,82.392,,81.178,,79.964,,78.75,78.75,77.978,,77.206,,76.434,,75.662,,74.89,74.89,73.562,,72.234,,70.906,,69.578,,68.25,68.25,67.002,,65.754,,64.506,,63.258,,62.01,62.01,,,,
"LB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LC",,,,,,,,,,,40.63,40.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LK",,,49.5,49.5,48.936,,48.372,,47.808,,47.244,,46.68,46.68,45.5233333333333,,44.3666666666667,,43.21,,42.0533333333333,,40.8966666666667,,39.74,39.74,37.618,,35.496,,33.374,,31.252,,29.13,29.13,27.37,,25.61,,23.85,23.85,,,,,,,,
"LR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.88,94.88,,,,,,,,,,,,,,
"LS",,,,,,,79.57,79.57,69,69,69.5233333333333,,70.0466666666667,,70.57,,71.0933333333333,,71.6166666666667,,72.14,,72.6633333333333,,73.1866666666667,,73.71,73.71,73.6642857142857,,73.6185714285714,,73.5728571428571,,73.5271428571428,,73.4814285714286,,73.4357142857143,,73.39,73.39,,,,,,,,
"LT",,,,,,,16.87,16.87,11.5733333333333,,6.27666666666667,,0.98,0.98,1.085,,1.19,1.19,1.38,,1.57,1.57,2.09,2.09,1.77,1.77,0.5,0.5,0.59,0.59,4.05,4.05,2.09,2.09,1.265,,0.44,0.44,1.485,,2.53,2.53,1.21,1.21,,,,,,
"LV",,,,,,,0.15,0.15,1.235,,2.32,2.32,3.85,3.85,3.81,3.81,4.5,4.5,3.765,,3.03,,2.295,,1.56,1.56,1.175,,0.79,0.79,1.325,,1.86,1.86,0.97,,0.08,0.08,1.48,,2.88,2.88,2,2,,,,,,
"LY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MA",,,15.9,15.9,16.96625,,18.0325,,19.09875,,20.165,,21.23125,,22.2975,,23.36375,,24.43,24.43,24.395,,24.36,24.36,22.67,,20.98,,19.29,,17.6,,15.91,,14.22,14.22,,,,,,,,,,,,,,
"MD",,,,,30.69,30.69,32.086,,33.482,,34.878,,36.274,,37.67,37.67,51.92,51.92,65.1,65.1,59.285,,53.47,53.47,38.27,38.27,24.99,24.99,25.68,25.68,35.13,35.13,9.92,9.92,6.15,6.15,6.86,6.86,6.15,6.15,4.04,4.04,2.75,2.75,,,,,,
"ME",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,0.55,0.85,0.85,0.47,0.47,0.46,0.46,0.33,0.33,0.23,0.23,0.65,0.65,,,,,,
"MG",,,,,,,85.58,85.58,86.53,,87.48,,88.43,,89.38,89.38,91.265,,93.15,93.15,90.95,,88.75,88.75,89.8275,,90.905,,91.9825,,93.06,93.06,93.474,,93.888,,94.302,,94.716,,95.13,95.13,,,,,,,,
"MH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MK",,,,,,,,,,,,,,,,,3.7,3.7,7.485,,11.27,11.27,7.125,,2.98,2.98,3.04,3.04,3.14,3.14,3.73,3.73,4.61,4.61,4.405,,4.2,4.2,,,,,,,,,,,,
"ML",,,,,,,,,93.74,93.74,92.0685714285714,,90.3971428571429,,88.7257142857143,,87.0542857142857,,85.3828571428571,,83.7114285714286,,82.04,82.04,81.052,,80.064,,79.076,,78.088,,77.1,77.1,77.52,,77.94,,78.36,,78.78,78.78,,,,,,,,
"MM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MR",,,,,,,68.59,68.59,61.8266666666667,,55.0633333333333,,48.3,48.3,47.2575,,46.215,,45.1725,,44.13,44.13,46.245,,48.36,,50.475,,52.59,52.59,51.365,,50.14,,48.915,,47.69,47.69,,,,,,,,,,,,
"MU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37,1.37,1.45,,1.53,,1.61,,1.69,,1.77,,1.85,1.85,,,,
"MV",,,,,,,,,,,,,,,,,37.04,37.04,32.9033333333333,,28.7666666666667,,24.63,,20.4933333333333,,16.3566666666667,,12.22,12.22,,,,,,,,,,,,,,,,,,,,
"MW",,,,,,,,,,,,,,,,,93.57,93.57,93.1133333333333,,92.6566666666667,,92.2,,91.7433333333333,,91.2866666666667,,90.83,90.83,90.3816666666667,,89.9333333333333,,89.485,,89.0366666666667,,88.5883333333333,,88.14,88.14,,,,,,,,
"MX",,,,,15.18,15.18,14.565,,13.95,13.95,17.045,,20.14,20.14,20.115,,20.09,20.09,17.6,,15.11,15.11,14.29,,13.47,13.47,10.535,,7.6,7.6,10.62,10.62,4.94,4.94,5.065,,5.19,5.19,4.865,,4.54,4.54,4.33,,4.12,4.12,,,,
"MY",,,,,11.24,11.24,11.16,,11.08,,11,11,8.93,,6.86,6.86,6.99571428571429,,7.13142857142857,,7.26714285714286,,7.40285714285714,,7.53857142857143,,7.67428571428571,,7.81,7.81,6.18333333333333,,4.55666666666667,,2.93,2.93,2.6,,2.27,2.27,,,,,,,,,,
"MZ",,,,,,,,,,,,,92.57,92.57,92.2071428571429,,91.8442857142857,,91.4814285714286,,91.1185714285714,,90.7557142857143,,90.3928571428571,,90.03,90.03,88.7733333333333,,87.5166666666667,,86.26,,85.0033333333333,,83.7466666666667,,82.49,82.49,,,,,,,,,,
"NA",,,,,,,62.23,62.23,61.2181818181818,,60.2063636363636,,59.1945454545455,,58.1827272727273,,57.1709090909091,,56.1590909090909,,55.1472727272727,,54.1354545454545,,53.1236363636364,,52.1118181818182,,51.1,51.1,49.775,,48.45,,47.125,,45.8,,44.475,,43.15,43.15,,,,,,,,
"NE",,,,,91.09,91.09,91.32,,91.55,91.55,90.0636363636364,,88.5772727272727,,87.0909090909091,,85.6045454545455,,84.1181818181818,,82.6318181818182,,81.1454545454545,,79.6590909090909,,78.1727272727273,,76.6863636363636,,75.2,75.2,74.82,,74.44,,74.06,74.06,74.7533333333333,,75.4466666666667,,76.14,76.14,,,,,,
"NG",,,,,80.41,80.41,81.94,,83.47,,85,,86.53,86.53,86.13,,85.73,,85.33,,84.93,,84.53,,84.13,,83.73,,83.33,83.33,83.1416666666667,,82.9533333333333,,82.765,,82.5766666666667,,82.3883333333333,,82.2,82.2,,,,,,,,
"NI",,,,,,,50.47,50.47,46.656,,42.842,,39.028,,35.214,,31.4,31.4,32.3933333333333,,33.3866666666667,,34.38,34.38,29.85,,25.32,,20.79,,16.26,16.26,17.3875,,18.515,,19.6425,,20.77,20.77,,,,,,,,,,
"NP",,,,,,,,,,,,,88.97,88.97,87.3028571428571,,85.6357142857143,,83.9685714285714,,82.3014285714286,,80.6342857142857,,78.9671428571429,,77.3,77.3,74.25,,71.2,,68.15,,65.1,,62.05,,59,,55.95,55.95,,,,,,,,
"PA",,,28.58,28.58,27.0875,,25.595,,24.1025,,22.61,22.61,21.885,,21.16,21.16,21,21,19.16,19.16,20.39,20.39,20.345,,20.3,20.3,19.21,19.21,18.15,18.15,16.93,16.93,17.73,17.73,14.89,14.89,10.77,10.77,8.12,8.12,9.33,9.33,8.39,8.39,8.87,8.87,,,,
"PE",,,,,,,,,23.53,23.53,19.1433333333333,,14.7566666666667,,10.37,10.37,26.34,26.34,27.94,27.94,24.07,24.07,25.92,25.92,22.64,22.64,20.86,20.86,17.51,17.51,18.9,18.9,16.13,16.13,15.3,15.3,12.13,12.13,9.66,9.66,8.04,8.04,8.71,8.71,7.99,7.99,,,,
"PG",,,,,,,,,,,,,57.38,57.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PH",,,57.91,57.91,57.01,,56.11,,55.21,55.21,52.2433333333333,,49.2766666666667,,46.31,46.31,46.6366666666667,,46.9633333333333,,47.29,47.29,46.4733333333333,,45.6566666666667,,44.84,44.84,44.8933333333333,,44.9466666666667,,45,45,43.7133333333333,,42.4266666666667,,41.14,41.14,41.3333333333333,,41.5266666666667,,41.72,41.72,,,,
"PK",,,88.18,88.18,87.36,,86.54,,85.72,,84.9,,84.08,,83.26,83.26,74.9,,66.54,66.54,68.9966666666667,,71.4533333333333,,73.91,73.91,69.3766666666667,,64.8433333333333,,60.31,60.31,60.98,60.98,58.405,,55.83,55.83,54.11,,52.39,,50.67,50.67,,,,,,
"PL",,,,,0.16,0.16,2.95,,5.74,,8.53,,11.32,11.32,5.83,,0.34,0.34,0.38,0.38,0.5,0.5,0.6,0.6,0.62,0.62,0.605,,0.59,0.59,0.66,0.66,0.36,0.36,0.23,0.23,0.14,0.14,0.13,0.13,0.12,0.12,0.11,0.11,,,,,,
"PS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75,1.75,2.31666666666667,,2.88333333333333,,3.45,3.45,2.03,,0.61,0.61,,,,,,,,,,
"PW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PY",3.55,3.55,6.986,,10.422,,13.858,,17.294,,20.73,20.73,19.59,,18.45,,17.31,17.31,17.2,17.2,16.48,,15.76,15.76,23.71,23.71,17.29,17.29,14.79,14.79,13.71,13.71,18.27,18.27,14.69,14.69,12.18,12.18,12.12,12.12,11.41,11.41,10.99,10.99,7.69,7.69,,,,
"RO",,,,,1.2,1.2,12.225,,23.25,23.25,19.995,,16.74,,13.485,,10.23,10.23,14.5,14.5,13.555,,12.61,12.61,12.08,12.08,9.42,9.42,7.43,7.43,5.83,5.83,5.81,5.81,3.7,3.7,1.76,1.76,0,0,2.01,2.01,1.57,1.57,1.59,1.59,,,,
"RS",,,,,,,,,,,,,,,,,,,,,,,,,0.66,0.66,1.06,1.06,1.41,1.41,2.19,2.19,1.27,1.27,0.7,0.7,0.32,0.32,0.82,0.82,0.47,0.47,,,,,,,,
"RU",,,,,,,8.26,8.26,8.51,,8.76,,9.01,9.01,9.28,,9.55,,9.82,9.82,7.895,,5.97,5.97,3.07,3.07,2.28,2.28,3.16,3.16,1.48,1.48,1.22,1.22,0.35,0.35,0.01,0.01,0.26,0.26,,,,,,,,,,
"RW",,,,,,,,,,,,,,,,,,,,,91.6,91.6,90.8933333333333,,90.1866666666667,,89.48,,88.7733333333333,,88.0666666666667,,87.36,87.36,86.344,,85.328,,84.312,,83.296,,82.28,82.28,,,,,,
"SB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SC",,,,,,,,,,,,,,,,,,,,,0,0,0.262857142857143,,0.525714285714286,,0.788571428571429,,1.05142857142857,,1.31428571428571,,1.57714285714286,,1.84,1.84,,,,,,,,,,,,,,
