"id","in-oof-gross.2000","capital-repayment.2000","interest-repayment.2000","in-oof-gross.2001","capital-repayment.2001","interest-repayment.2001","in-oof-gross.2002","capital-repayment.2002","interest-repayment.2002","in-oof-gross.2003","capital-repayment.2003","interest-repayment.2003","in-oof-gross.2004","capital-repayment.2004","interest-repayment.2004","in-oof-gross.2005","capital-repayment.2005","interest-repayment.2005","in-oof-gross.2006","capital-repayment.2006","interest-repayment.2006","in-oof-gross.2007","capital-repayment.2007","interest-repayment.2007","in-oof-gross.2008","capital-repayment.2008","interest-repayment.2008","in-oof-gross.2009","capital-repayment.2009","interest-repayment.2009","in-oof-gross.2010","capital-repayment.2010","interest-repayment.2010","in-oof-gross.2011","capital-repayment.2011","interest-repayment.2011","in-oof-gross.2012","capital-repayment.2012","interest-repayment.2012","in-oof-gross.2013","capital-repayment.2013","interest-repayment.2013"
"north-of-sahara",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29640000,0,660000,0,0,0,0,0,0,11270000,0,0,0,0,210000,4250000,40000,0,2710000,1780000,0,8550000,2660000,0,10490000,210000,0
"AO",5950000,71850000,41570000,6940000,23090000,3790000,79400000,25390000,8180000,3e+05,13760000,5130000,290000,863670000,4450000,110000,9140000,4e+06,0,15500000,8220000,10000,15150000,7050000,157450000,33600000,8990000,0,14330000,810000,71510000,15260000,1050000,3.4e+07,2030000,660000,98330000,4270000,1920000,59330000,4770000,13300000
"BJ",16380000,36030000,440000,270000,1600000,1610000,7610000,5500000,1030000,2320000,7270000,210000,980000,1.1e+07,4470000,70000,840000,1e+05,1180000,2070000,130000,0,1370000,140000,8350000,1950000,440000,1890000,1630000,240000,5130000,29230000,410000,1110000,4060000,180000,3600000,6530000,1470000,6440000,2310000,1390000
"BW",41800000,34630000,51640000,0,26920000,10360000,0,24940000,10210000,8020000,20810000,7270000,1960000,17160000,6040000,33030000,14280000,4480000,10850000,12160000,4290000,6230000,21950000,5120000,27090000,14960000,415270000,1023150000,12920000,6020000,6740000,14500000,12750000,589990000,8080000,12490000,62580000,8130000,17990000,27580000,128980000,17650000
"BF",8920000,18260000,1250000,60000,9680000,2550000,0,18100000,820000,7060000,13360000,720000,10000,2830000,740000,1430000,290000,120000,1160000,280000,80000,6660000,2770000,890000,23660000,6050000,1880000,1600000,11790000,2860000,40670000,20930000,1490000,2280000,4160000,890000,1700000,4610000,8e+05,2580000,2720000,190000
"BI",0,0,20000,730000,0,30000,0,0,0,0,820000,130000,0,8870000,2090000,0,0,3940000,0,0,0,0,0,0,0,0,0,0,0,0,0,530000,0,0,0,610000,10000,1e+05,330000,3930000,0,370000
"CV",0,2400000,260000,70000,1230000,380000,0,490000,1e+05,-2e+05,390000,10000,0,110000,90000,7860000,0,230000,0,1160000,0,0,2820000,1880000,6100000,5040000,1760000,40610000,5170000,1830000,29400000,6050000,1510000,90360000,930000,990000,16860000,5030000,6780000,43400000,3290000,6220000
"CM",135030000,243700000,97300000,87010000,308410000,105230000,636900000,367490000,64440000,141210000,714950000,46520000,28270000,397960000,38580000,141540000,255450000,35760000,80100000,1198160000,216770000,115500000,1288260000,30440000,2130000,63520000,36010000,143890000,79210000,20920000,77020000,45790000,18050000,68530000,79330000,23910000,107890000,56260000,27990000,46070000,104360000,75960000
"CF",1490000,3850000,1610000,1790000,2330000,530000,0,920000,50000,0,130000,30000,0,0,0,0,0,0,68490000,67640000,260000,0,4300000,3770000,3530000,4190000,5170000,0,1240000,1220000,0,21600000,1020000,3080000,860000,2410000,0,0,190000,0,0,2e+05
"TD",0,1610000,30000,1.7e+07,470000,1600000,13300000,2700000,880000,40320000,10360000,1210000,8800000,2220000,1680000,640000,6100000,2530000,0,12390000,3320000,11030000,8130000,8160000,4040000,31030000,2680000,0,6820000,410000,45420000,10990000,1540000,20510000,5590000,2190000,36230000,10070000,5500000,470000,2360000,3110000
"KM",0,50000,0,0,0,0,0,890000,0,0,0,0,0,230000,0,0,0,0,0,0,0,0,10530000,12680000,0,0,10000,0,1e+06,740000,2640000,340000,1e+05,0,790000,4e+05,0,240000,240000,0,5010000,470000
"CG",0,26370000,2420000,0,94260000,34420000,19300000,6.6e+07,12660000,464360000,38880000,479610000,0,104070000,94710000,1246770000,745160000,78900000,2840000,1.38e+08,78790000,16410000,111210000,12010000,0,207600000,151050000,2110000,112360000,62300000,650000,976010000,66120000,0,52490000,72550000,2180000,10700000,4310000,60000,10790000,3790000
"CI",65720000,180790000,120330000,31240000,200950000,102580000,686140000,503170000,203010000,59300000,262390000,81880000,23840000,121810000,44490000,0,17910000,4730000,0,16740000,5790000,0,90860000,35800000,244560000,671360000,156430000,167620000,929230000,520010000,52200000,130870000,71850000,19450000,72330000,20180000,51380000,1469740000,-7720000,86510000,236470000,20980000
"CD",0,5520000,6780000,0,1370000,16090000,10640000,139020000,109180000,4614900000,2882140000,1506530000,145810000,285040000,141850000,101020000,187940000,160590000,20960000,9.31e+08,165210000,0,178540000,109070000,76280000,227180000,35250000,10490000,193130000,111400000,20190000,180650000,220930000,284330000,2270970000,777740000,44390000,657710000,223050000,9360000,189740000,180280000
"DJ",0,20000,0,0,0,570000,0,0,0,1190000,0,0,0,0,0,0,0,0,16050000,0,21290000,0,0,420000,1920000,710000,0,118340000,350000,780000,35360000,10120000,2950000,16140000,11400000,3920000,270000,24890000,6200000,340000,33380000,11440000
"GQ",0,1740000,2e+05,0,1680000,320000,0,1660000,120000,0,1460000,420000,0,1310000,290000,19450000,910000,170000,258530000,890000,70000,36030000,0,0,0,0,0,0,8070000,0,17590000,54260000,16400000,38010000,14360000,10000,2280000,14500000,870000,2860000,17820000,730000
"ER",80000,0,20000,30000,0,0,50000,0,0,0,470000,190000,0,0,0,0,0,0,0,0,0,0,0,0,0,460000,0,0,450000,0,0,710000,0,0,0,0,0,0,0,0,0,0
"ET",5140000,34970000,29080000,560000,32340000,17540000,14340000,99510000,18790000,3e+07,63110000,13850000,3850000,1.47e+08,11080000,2370000,133570000,34870000,240000,51050000,6120000,940000,37390000,4400000,23030000,23770000,20330000,26790000,22920000,4740000,188640000,25990000,2880000,170500000,22500000,10620000,97420000,51360000,13020000,49360000,47720000,14120000
"GA",35200000,118590000,59600000,291460000,393480000,92510000,76450000,76180000,40410000,74260000,156380000,65670000,130800000,104660000,39290000,348360000,368450000,37350000,46640000,144380000,28380000,6420000,119320000,42710000,30570000,210470000,122160000,75920000,141190000,34930000,49550000,109160000,19500000,169580000,97760000,16750000,98820000,94430000,14300000,103160000,56660000,12400000
"GM",0,1050000,440000,170000,2050000,960000,120000,3370000,360000,11040000,0,80000,0,0,0,0,0,0,0,0,0,970000,0,0,0,0,80000,14650000,4990000,1310000,12440000,9300000,3e+05,14510000,6670000,890000,850000,7920000,330000,14490000,960000,660000
"GH",38510000,61980000,17310000,87810000,91840000,13560000,4.5e+07,84440000,25230000,82270000,75700000,28190000,29870000,225530000,23850000,29130000,66950000,21260000,68150000,42540000,10600000,120470000,53330000,12150000,184880000,49940000,25420000,397690000,47270000,36170000,210460000,164730000,35720000,361030000,196930000,46630000,321220000,301490000,41920000,396980000,193660000,49290000
"GN",9870000,28030000,13990000,2110000,51280000,15640000,2270000,36700000,11630000,7360000,31930000,9940000,0,53400000,8120000,0,10180000,4870000,1160000,9380000,7330000,0,8480000,5220000,2660000,4.4e+07,24220000,3150000,19050000,32030000,19130000,23060000,7e+05,0,6870000,4e+05,132150000,24450000,1420000,3060000,79110000,510000
"GW",540000,550000,6780000,0,3200000,7130000,6680000,2850000,40000,-2470000,64370000,10000,1970000,250000,90000,0,110000,70000,0,4810000,3290000,0,490000,0,0,4e+05,0,0,0,0,0,610000,0,0,6860000,4310000,0,0,0,4380000,0,0
"KE",91920000,139970000,35930000,116200000,175460000,32730000,57110000,99440000,20700000,8810000,70980000,15230000,29470000,44530000,16160000,65880000,37700000,13800000,56950000,30680000,16350000,41550000,106140000,21650000,97980000,57100000,17280000,157640000,52360000,12220000,110830000,51150000,10520000,487930000,41830000,15420000,263690000,62480000,37990000,350940000,56560000,42120000
"LS",39700000,20850000,19360000,20520000,16290000,13430000,5240000,47520000,10600000,36400000,66530000,3240000,5440000,9230000,5550000,1e+05,10390000,5180000,0,8780000,4540000,-1300000,8530000,4160000,0,4610000,4300000,1330000,4030000,2890000,7780000,19550000,2650000,27990000,710000,1200000,19210000,3840000,2650000,19590000,3300000,3040000
"LR",5310000,2140000,530000,0,1110000,580000,0,1060000,470000,0,930000,280000,450300000,850000,170000,0,830000,90000,0,20000,210000,1800000,236740000,404270000,3900000,170420000,29680000,113940000,84380000,57060000,8170000,82020000,199410000,127450000,117830000,57200000,37510000,143370000,15640000,4720000,80830000,2e+07
"MG",6390000,14140000,4080000,8170000,35200000,5420000,5550000,18520000,2880000,72600000,73490000,2960000,15420000,64900000,16170000,2460000,149510000,18150000,2590000,13230000,8130000,19390000,6550000,5030000,1356140000,7850000,18670000,895700000,40610000,37900000,458270000,11380000,43500000,228160000,11940000,17280000,31250000,19770000,30530000,2130000,112540000,45690000
"MW",14940000,17380000,4400000,2430000,17270000,4330000,5240000,11090000,3230000,-290000,10330000,1820000,5580000,7060000,2120000,230000,3250000,1930000,1990000,28110000,19360000,3210000,4930000,1010000,23560000,18570000,3450000,7760000,8350000,1810000,2750000,12360000,2020000,0,11140000,1620000,0,7310000,1920000,9990000,9330000,1840000
"ML",350000,26330000,3880000,1220000,33060000,4280000,9650000,13780000,650000,1810000,7650000,3160000,8e+05,11930000,3330000,910000,6820000,1990000,0,6860000,330000,0,120650000,30000,0,530000,1e+05,12580000,280000,140000,71770000,2370000,1490000,10970000,3130000,1700000,50000,6170000,2320000,1e+06,9900000,6830000
"MR",16950000,21820000,7230000,0,24210000,7740000,58300000,66620000,6460000,13070000,65330000,4350000,33220000,13570000,6020000,12370000,13060000,5270000,3e+07,41390000,8310000,36940000,28740000,10120000,17690000,19800000,16020000,13400000,34970000,8550000,83750000,34710000,7680000,71380000,17190000,4320000,326730000,23620000,8840000,196420000,75580000,38950000
"MU",7740000,59190000,10100000,9440000,29030000,7430000,148090000,42660000,5770000,-160000,30650000,5840000,17610000,30120000,3820000,6820000,25690000,4510000,16390000,49570000,6090000,65640000,22100000,7180000,81990000,23730000,9610000,183350000,23350000,9570000,373890000,26280000,8550000,101050000,29500000,10320000,120980000,145210000,79530000,276270000,59520000,18900000
"YT",0,0,0,25470000,12820000,0,8310000,12760000,0,5200000,12940000,6900000,0,12870000,6350000,0,12950000,5800000,880000,0,0,0,12200000,3740000,1030000,10520000,2930000,0,9050000,2010000,10510000,8940000,2e+06,0,0,0,0,0,0,0,0,0
"MZ",300800000,33570000,35060000,28410000,12270000,46510000,464980000,765610000,71730000,-119210000,24630000,29270000,150600000,35650000,35290000,16550000,38600000,34460000,56670000,38730000,301710000,2070050000,2338340000,534270000,37510000,90740000,40270000,74100000,79230000,2.4e+07,162370000,82430000,19240000,111410000,62370000,12940000,168860000,51190000,19130000,258880000,57250000,24860000
"NA",5490000,2970000,1960000,12420000,3060000,2510000,3300000,2360000,2170000,36200000,3850000,6170000,19560000,43970000,7090000,27680000,7890000,6670000,29800000,6310000,8360000,73790000,16910000,14030000,20400000,22510000,8790000,56320000,43890000,17200000,164290000,30090000,22590000,11710000,14110000,25820000,9940000,59500000,24250000,17160000,52360000,20090000
"NE",5320000,33210000,1040000,14040000,64140000,1110000,3630000,159670000,-170000,131300000,96410000,380000,178560000,150910000,530000,8990000,18460000,760000,12750000,23450000,1010000,12240000,8940000,1340000,8020000,11770000,2790000,2860000,20970000,630000,31810000,35610000,940000,0,20780000,240000,2860000,8790000,8e+05,11400000,4590000,1110000
"NG",148610000,913910000,288960000,162450000,933730000,377190000,5048970000,594040000,246860000,1152630000,930400000,820600000,2609520000,2423710000,975540000,4479320000,4693980000,310530000,2103430000,9763280000,628010000,525710000,1059910000,267230000,128710000,573810000,211650000,346230000,315870000,67600000,180780000,382120000,49970000,702430000,222740000,42860000,158300000,199520000,78710000,642100000,369990000,94570000
"RW",4400000,820000,60000,3960000,170000,1110000,1760000,190000,420000,7450000,1620000,1710000,1050000,0,760000,0,6940000,90000,3330000,4870000,80000,9890000,1350000,620000,9020000,2370000,1850000,10370000,2650000,760000,32980000,3680000,2670000,23720000,2850000,3680000,70630000,6210000,5360000,48920000,17550000,9370000
"ST",0,0,3640000,710000,0,3950000,0,0,3250000,17350000,9160000,80000,0,0,0,0,0,690000,0,0,2420000,0,6110000,180000,0,750000,0,0,290000,0,0,290000,0,0,340000,0,1930000,0,0,0,0,0
"SN",47930000,59100000,19410000,9070000,32030000,9070000,72590000,39390000,17420000,44890000,25890000,16220000,74320000,83330000,19160000,9140000,61760000,15990000,23810000,26380000,7060000,16870000,36980000,10660000,154530000,38350000,17980000,115740000,41360000,13960000,31020000,41760000,18920000,55510000,94260000,18180000,169830000,122660000,99970000,67830000,87520000,76640000
