"id","in-oof-gross.2000","capital-repayment.2000","interest-repayment.2000","in-oof-gross.2001","capital-repayment.2001","interest-repayment.2001","in-oof-gross.2002","capital-repayment.2002","interest-repayment.2002","in-oof-gross.2003","capital-repayment.2003","interest-repayment.2003","in-oof-gross.2004","capital-repayment.2004","interest-repayment.2004","in-oof-gross.2005","capital-repayment.2005","interest-repayment.2005","in-oof-gross.2006","capital-repayment.2006","interest-repayment.2006","in-oof-gross.2007","capital-repayment.2007","interest-repayment.2007","in-oof-gross.2008","capital-repayment.2008","interest-repayment.2008","in-oof-gross.2009","capital-repayment.2009","interest-repayment.2009","in-oof-gross.2010","capital-repayment.2010","interest-repayment.2010","in-oof-gross.2011","capital-repayment.2011","interest-repayment.2011","in-oof-gross.2012","capital-repayment.2012","interest-repayment.2012","in-oof-gross.2013","capital-repayment.2013","interest-repayment.2013"
"IQ",0,0,0,62890000,0,0,0,0,0,0,0,0,2630000,64820000,69750000,9242560000,3520880000,4768440000,119970000,865980000,1127860000,269160000,3296500000,642240000,3151150000,3009900000,464860000,49840000,12800000,38060000,329610000,40690000,77450000,369620000,57270000,74710000,208610000,2.03e+08,130310000,139710000,170710000,99330000
"IL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JO",166220000,146640000,105630000,266920000,157880000,110860000,404460000,154570000,90520000,532760000,333070000,101320000,76540000,232130000,49810000,249330000,165240000,63620000,115320000,134070000,74960000,215070000,157860000,84600000,305880000,605090000,70350000,669120000,145710000,52900000,508340000,268280000,52120000,178930000,153760000,47530000,617620000,222300000,54480000,593080000,165670000,53120000
"KW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LB",198770000,85050000,72590000,120660000,111220000,71760000,114360000,143260000,64050000,875220000,98770000,47150000,76520000,104850000,81210000,4.8e+07,101980000,77760000,127490000,208040000,82140000,269360000,210430000,81870000,254470000,279600000,75650000,118160000,236260000,63840000,188660000,179620000,52980000,64200000,185580000,37340000,115740000,214970000,82150000,57320000,184790000,76200000
"OM",36870000,29730000,4230000,24890000,39100000,3870000,130050000,186620000,2220000,91320000,15540000,1400000,231860000,33990000,440000,350120000,42780000,4320000,425020000,17690000,7760000,650590000,459030000,24470000,543640000,186040000,31380000,348840000,29810000,21210000,119650000,173810000,11630000,0,0,0,0,0,0,0,0,0
"QA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SA",76820000,46680000,80000,186450000,90900000,0,1370000,138070000,0,0,170470000,80000,4350000,135870000,30000,60930000,139890000,2130000,6496510000,149220000,3470000,1988550000,110540000,13560000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SY",566250000,38700000,87010000,160000,38650000,128880000,20060000,35580000,80310000,0,37120000,19100000,86950000,18030000,19540000,5.6e+07,20110000,16220000,1.15e+08,35170000,8950000,174310000,38590000,27260000,123300000,46710000,28870000,363340000,54440000,30290000,136040000,78330000,38530000,109300000,98540000,32020000,16130000,75930000,24950000,2e+06,0,3760000
"AE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PS",79390000,2610000,4820000,3390000,4310000,7960000,430000,49310000,2940000,0,17220000,0,5e+05,1370000,990000,410000,880000,860000,470000,0,0,480000,450000,280000,270000,1670000,860000,17360000,5180000,2910000,19540000,14040000,3470000,14380000,6510000,2180000,30690000,26360000,4380000,390000,1300000,2350000
"YE",12140000,560000,1990000,0,5420000,1130000,0,960000,2120000,2900000,5470000,-2440000,620000,740000,1230000,0,1410000,910000,0,2350000,3740000,21390000,1120000,1250000,332750000,1090000,7030000,136020000,3e+06,12400000,143130000,264950000,12120000,9970000,34810000,7410000,0,60010000,13160000,220000,38050000,14200000
"middle-east",0,0,0,0,0,0,0,0,0,0,10590000,710000,0,0,0,0,0,0,260590000,6240000,4630000,5350000,26740000,17110000,9e+05,3050000,11190000,75860000,4100000,9790000,104840000,3840000,9530000,396540000,251150000,53020000,38200000,116780000,16670000,151440000,66370000,14580000
"asia",27390000,25650000,1060000,37120000,6370000,170000,9590000,10960000,120000,58300000,9750000,120000,6090000,5010000,60000,8810000,13810000,260000,11130000,19910000,2560000,140000,7580000,0,129010000,1790000,0,261660000,30000,0,253190000,1010000,0,215240000,3250000,450000,324170000,3470000,-480000,282510000,2640000,510000
"CK",0,430000,30000,0,470000,0,0,430000,0,0,0,0,0,4e+05,3e+05,0,4e+05,50000,10550000,19840000,8370000,0,370000,30000,80000,190000,20000,10000,550000,50000,10400000,360000,60000,5460000,360000,80000,7270000,180000,310000,6090000,1170000,660000
"FJ",9560000,18470000,7130000,8200000,12860000,6060000,9030000,12860000,5470000,11730000,10350000,4380000,15170000,7280000,3240000,21140000,7640000,3360000,15500000,14250000,5210000,16830000,9750000,4040000,36130000,6380000,3610000,10690000,6670000,3440000,23730000,8280000,2240000,28050000,6830000,1030000,28240000,7960000,1290000,19430000,9560000,1130000
"PF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KI",0,0,0,0,0,0,240000,0,0,0,0,0,410000,0,0,410000,0,0,880000,0,0,590000,0,0,640000,2e+05,0,550000,2e+05,0,980000,330000,0,9e+05,0,0,840000,0,0,640000,0,0
"MH",0,0,0,3220000,0,0,2280000,0,290000,610000,0,320000,0,110000,3e+05,0,120000,140000,0,0,250000,0,460000,270000,250000,250000,220000,0,440000,270000,0,330000,120000,0,340000,90000,40000,380000,90000,130000,420000,3330000
"FM",190000,230000,10000,60000,50000,0,430000,0,0,0,0,0,9e+05,0,0,670000,140000,20000,790000,240000,20000,640000,120000,0,940000,0,0,680000,0,0,940000,0,40000,2550000,10000,40000,1590000,60000,40000,650000,80000,40000
"NR",0,0,110000,0,0,110000,0,0,0,0,0,0,90000,0,0,360000,0,0,1150000,0,0,660000,0,0,290000,1110000,1230000,590000,1e+05,30000,610000,220000,50000,410000,340000,50000,550000,270000,20000,240000,290000,10000
"NC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PW",0,1680000,0,0,2050000,0,0,2300000,0,0,2320000,0,0,2340000,0,0,2590000,0,0,2850000,0,0,0,0,160000,0,0,0,0,0,0,0,0,6250000,0,0,60000,0,20000,6430000,0,80000
"PG",347820000,109020000,48250000,240630000,103030000,42250000,75560000,83830000,38670000,84600000,65680000,32540000,29080000,66350000,23980000,46900000,50360000,32210000,43650000,91140000,29080000,41420000,142430000,35240000,105360000,55840000,25940000,545060000,117720000,18280000,841880000,51820000,48080000,1652410000,50990000,99520000,918760000,81720000,-22810000,1047040000,58060000,87900000
"WS",930000,0,60000,150000,0,30000,1210000,0,220000,3720000,0,10000,2270000,0,3e+05,9e+05,140000,10000,770000,0,0,9190000,530000,1360000,11140000,8930000,1020000,710000,740000,1050000,980000,1820000,5e+05,1250000,0,0,1e+06,0,0,890000,0,0
"SB",3500000,80000,0,610000,80000,0,540000,3040000,0,0,0,0,1630000,0,0,2440000,13580000,0,2250000,0,0,5230000,0,10000,2870000,5990000,210000,12670000,0,260000,64110000,0,2580000,17280000,9100000,3e+06,34770000,34210000,5e+05,41780000,1730000,120000
"TO",80000,0,0,150000,0,0,320000,0,0,0,0,0,13830000,0,0,690000,0,630000,550000,910000,170000,490000,9560000,20000,7420000,180000,0,590000,0,0,780000,420000,320000,780000,0,0,1e+06,0,0,340000,0,0
"TV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30000,1090000,0,0,0,80000,0,0,90000,0,0,0,0,2e+05,0,0,170000,0,0
"VU",110000,1060000,390000,120000,1780000,280000,780000,1260000,110000,0,860000,40000,1250000,0,0,1350000,0,0,2210000,0,0,2120000,0,0,10530000,550000,0,8360000,550000,0,2910000,1210000,550000,1280000,0,0,2320000,0,0,1850000,0,0
"WF",6300000,4300000,0,3340000,4770000,0,3630000,4280000,0,1600000,4330000,1930000,340000,3850000,1330000,220000,3740000,930000,0,2030000,1310000,0,1750000,680000,5240000,5580000,150000,0,1480000,650000,0,1440000,380000,0,1180000,220000,0,980000,980000,0,820000,820000
"oceania",0,7180000,120000,0,6520000,0,4890000,550000,0,4850000,2060000,0,6550000,270000,0,6630000,0,0,7960000,0,0,9520000,0,160000,42090000,0,5e+05,15140000,3e+05,1910000,9260000,0,0,396140000,185680000,42020000,9060000,3610000,650000,8860000,4240000,790000
"bilateral-unspecified",582190000,106790000,7150000,590190000,851900000,103200000,1848090000,442830000,79990000,2396290000,1383830000,11730000,1444500000,1150000,14330000,552130000,79650000,31130000,651010000,160330000,16140000,717390000,1754860000,70790000,851010000,973660000,77170000,6195200000,207040000,69580000,1083010000,437220000,65840000,2993960000,729740000,55730000,1.922e+09,850870000,100910000,3673960000,1912770000,139460000
