"id","population-rural.2000","population-urban.2000","population-rural.2001","population-urban.2001","population-rural.2002","population-urban.2002","population-rural.2003","population-urban.2003","population-rural.2004","population-urban.2004","population-rural.2005","population-urban.2005","population-rural.2006","population-urban.2006","population-rural.2007","population-urban.2007","population-rural.2008","population-urban.2008","population-rural.2009","population-urban.2009","population-rural.2010","population-urban.2010","population-rural.2011","population-urban.2011","population-rural.2012","population-urban.2012","population-rural.2013","population-urban.2013"
"CR",1609206,2320382,1589060,2424428,1565853,2527987,1540112,2631033,1512333,2734003,1483144,2836986,1452510,2939983,1420556,3042670,1387599,3145112,1354061,3247363,1319933,3349752,1285522,3452158,1252260,3553035,1220185,3651981
"CU",2748627,8389789,2731842,8443623,2715016,8497109,2704983,8540943,2700985,8572378,2694967,8597111,2686611,8614489,2676236,8625438,2664471,8631884,2652310,8636516,2640272,8641496,2628561,8647492,2617004,8653953,2605515,8660114
"CW",12379,121481,11587,117318,11729,117075,12108,119145,12463,120900,12941,123767,13445,126772,13892,129134,14264,130707,14539,131351,15073,134238,15400,135212,15735,136321,16061,137439
"KY",0,41685,0,43317,0,44742,0,46032,0,47299,0,48623,0,50026,0,51472,0,52912,0,54275,0,55509,0,56601,0,57570,0,58435
"CY",295739,647548,300280,661201,306760,673117,313886,684256,320898,694922,327660,704926,334150,714164,340382,722713,346403,730686,352303,738250,358135,745550,363916,752597,369621,759373,375067,766099
"CZ",2667547,7587516,2668884,7547721,2670674,7526242,2676944,7517054,2684795,7512306,2695557,7515659,2709931,7528974,2733000,7565828,2762927,7621676,2786024,7657912,2801381,7673029,2814526,7681562,2825825,7684960,2834483,7686985
"DE",22142025,60069483,22141424,60208501,22128364,60360131,22091923,60442253,22040918,60475342,21973977,60495445,21834702,60541749,21640169,60626203,21434841,60675256,21218431,60683876,21024031,60752899,20868222,60929451,20357384,60068439,20244131,60377657
"DJ",169647,553240,171855,561877,174019,570415,176161,578924,178303,587473,180471,596114,182655,604889,184873,613817,187141,622959,189489,632376,191862,642174,194280,652366,196714,662938,199151,673781
"DM",24203,45476,24115,45545,23951,45855,23824,46234,23700,46625,23560,46982,23396,47294,23219,47576,23036,47847,22861,48135,22707,48460,22571,48830,22451,49233,22343,49660
"DK",795603,4544013,795779,4563004,792950,4582981,789180,4601394,780089,4624434,766524,4652908,755890,4681382,748599,4712839,742353,4751268,737112,4785983,732572,4815111,726570,4844002,718964,4872608,711593,4902113
"DO",3314105,5349316,3294809,5504489,3273790,5661471,3211609,5859709,3130973,6076416,3049300,6294062,2966537,6512732,2882966,6732049,2798598,6951597,2714120,7170145,2629209,7387588,2544104,7603494,2462381,7814240,2384334,8019427
"DZ",12713472,19005977,12631170,19519028,12540270,20032707,12447578,20555864,12360286,21101059,12283659,21677244,12217969,22289245,12161827,22935216,12111975,23613402,12071252,24312050,12035780,25027040,12005223,25757739,11979355,26502350,11954578,27253616
"EC",4975761,7557326,5010228,7770641,5066341,7963700,5137160,8142646,5206806,8322285,5275126,8502005,5341973,8681530,5407152,8861245,5471176,9041226,5534397,9222027,5596900,9404172,5658731,9587750,5718504,9773760,5776116,9961762
"EG",37832114,28304476,38411898,28792291,39008477,29294437,39621643,29810834,40250447,30340841,40893896,30883782,41551447,31439307,42252960,31976617,42986610,32505312,43731821,33043202,44488317,33587388,45253706,34138760,46009854,34712020,46751621,35304757
"ER",3247795,691553,3371687,729922,3508794,772782,3653389,819144,3797968,867554,3937181,916885,4068510,966526,4192988,1016858,4313588,1068575,4434862,1123027,4560088,1181071,4689682,1243170,4821848,1309074,4954728,1378407
"ES",9557682,30705534,9641647,31114354,9722744,31708814,9796815,32390830,9862593,33059302,9925418,33727737,9988509,34408810,10067486,35159317,10120932,35833174,10102486,36260460,10041047,36535850,9968815,36773882,9865691,36895573,9735783,36911638
"EE",427924,969061,426956,961159,425998,953352,425074,945646,424271,938279,423570,931205,422804,924006,422596,918084,423176,913914,424069,910446,424820,906655,425245,902194,426191,898825,427572,897040
"ET",56292232,9731967,57812945,10143921,59373553,10574791,60968048,11021618,62582932,11483215,64208983,11958257,65843219,12447430,67476883,12963825,68980432,13640758,70491921,14346111,72011249,15084032,73539203,15853860,75070890,16657959,76607425,17493331
"FI",922245,4253964,914750,4273258,909949,4290649,905083,4307931,900709,4327463,896820,4349276,893317,4372951,890197,4398523,887391,4426008,884704,4454167,881842,4481510,878935,4509337,876035,4537936,872916,4566491
"FJ",422803,388844,421200,393500,418795,397442,416090,401134,413764,405231,412303,410181,411844,416216,412207,423185,413057,430794,413964,438515,414548,446011,414745,453176,414663,460079,414312,466753
"FR",14697229,46213828,14647452,46708273,14597923,47205306,14544821,47697653,14494849,48207272,14448407,48727839,14392294,49225681,14325373,49687199,14249186,50121913,14166058,50536863,14080761,50942381,13993983,51349605,13910337,51766421,13829662,52198805
"FO",29598,16893,29613,17522,29595,18156,29606,18702,29637,19145,29602,19555,29576,19838,29563,19991,29495,20106,29397,20203,29289,20292,29175,20376,29049,20457,28925,20544
"FM",83441,23989,83239,23931,83094,23889,82964,23852,82777,23798,82484,23714,82093,23593,81643,23454,81183,23315,80790,23193,80514,23105,80357,23067,80320,23075,80414,23135
"GA",244100,981427,240390,1014909,236948,1048370,233821,1081999,231072,1116053,228702,1150763,226743,1186164,225170,1222218,223969,1258874,223118,1296037,222586,1333636,222416,1371618,222569,1410003,223040,1448671
"GB",12572963,46319551,12562339,46557334,12439896,46930583,12323786,47323791,12220136,47767769,12131582,48269624,12048279,48798541,11970758,49351705,11893520,49913475,11813186,50463084,11736055,51030310,11658619,51600299,11570959,52124728,11478506,52618579
"GE",2092595,2325705,2088014,2298386,2078594,2278406,2062634,2266266,2055036,2263264,2072973,2288427,2087950,2310050,2081199,2307201,2076825,2306975,2085341,2325559,2098649,2354151,2106457,2376893,2103354,2387346,2090309,2386591
"GH",10555385,8269649,10688346,8605046,10828057,8958250,10972858,9328828,11119914,9715600,11267675,10116359,11415479,10532300,11562646,10963013,11705054,11405085,11838422,11853111,11958456,12304445,12064352,12756354,12158399,13208063,12243808,13660790
"GN",6033341,2712787,6106215,2789138,6178065,2867683,6253592,2950989,6337998,3041623,6434624,3141707,6546099,3252864,6671588,3375379,6807172,3507506,6946416,3646832,7085083,3790950,7221845,3939685,7357672,4093601,7492374,4252815
"GM",640631,588232,648862,617829,657476,649191,666291,682257,675380,716554,684631,751918,693994,788330,703573,825833,713422,864562,723712,904620,734490,946150,745792,989174,757581,1033644,769802,1079483
"GW",806592,466720,813827,487921,820894,509955,827737,532822,834294,556497,840584,580931,846479,606180,852069,632268,857545,659375,863203,687702,869137,717487,875767,748461,882950,780608,890524,813731
"GQ",317094,201085,327170,207422,337489,213910,347942,220610,358493,227490,369095,234553,379728,241789,390404,249214,401152,256873,412047,264804,423109,273058,434345,281651,445732,290564,457214,299800
"GR",2978726,7938756,2966504,7985260,2932325,8051398,2899031,8119293,2866419,8189310,2834017,8258896,2801238,8326709,2768536,8394466,2733071,8453368,2692508,8494577,2644261,8509193,2597381,8525832,2551337,8541434,2499595,8532733
"GD",65168,36452,65076,36773,65284,36815,65505,36864,65737,36918,65975,36976,66222,37038,66479,37107,66750,37182,67033,37263,67327,37350,67632,37442,67930,37553,68216,37681
"GL",10341,45859,10228,46122,10136,46473,10026,46739,9914,46997,9760,47175,9554,47220,9342,47213,9132,47196,8963,47360,8887,48018,8673,48217,8408,48402,8115,48368
"GT",6148071,5056112,6252373,5226611,6360911,5404827,6472435,5590400,6585111,5782689,6698019,5980900,6810486,6184888,6922794,6395137,7035839,6612468,7150611,6838377,7267880,7073696,7387849,7318729,7509440,7573391,7631857,7836346
"GU",10673,144655,10585,145832,10482,146759,10361,147462,10229,147965,10089,148312,9938,148491,9782,148549,9632,148678,9505,149116,9409,150031,9351,151507,9324,153486,9320,155804
"GY",530852,213619,533782,213875,536565,214064,539353,214259,542286,214653,545510,215324,549090,216277,552913,217494,556841,218898,560633,220422,564132,221994,567292,223590,570128,225241,572667,226946
"HK",0,6665000,0,6714300,0,6744100,0,6730800,0,6783500,0,6813200,0,6857100,0,6916300,0,6957800,0,6972800,0,7024200,0,7071600,0,7154600,0,7187500
"HN",3401000,2834561,3439413,2925627,3469212,3026589,3497487,3130684,3524915,3237511,3551791,3347034,3577969,3459459,3603575,3574861,3629112,3693256,3654995,3814849,3681346,3939858,3708227,4068442,3735403,4200443,3762429,4335259
"HR",1965719,2460281,1965810,2474190,1959106,2480894,1951824,2488176,1943527,2495473,1936445,2505555,1926605,2513395,1915376,2520624,1904710,2529798,1891792,2537286,1875922,2541859,1806422,2474200,1789216,2478342,1770867,2481833
"HT",5524383,3053851,5471868,3248379,5410136,3449499,5339712,3656517,5260576,3869357,5178313,4082566,5092775,4295867,5005165,4508549,4917438,4720817,4831505,4933648,4748689,5147711,4669696,5363168,4594375,5579400,4522350,5795111
"HU",3617236,6593735,3599271,6588305,3547284,6611324,3495810,6633742,3446941,6660205,3393894,6693171,3337350,6734020,3281402,6774378,3225270,6812918,3170565,6852085,3114107,6885916,3056534,6915193,2992775,6927587,2938889,6958358
"ID",121180266,87758432,121285207,90685164,121354706,93683579,121391491,96754126,121390712,99903085,121361110,103119791,121296467,106413354,121196052,109776756,121040638,113202851,120823832,116663062,120521157,120155328,120164952,123636687,119758756,127105435,119305841,130559790
"IN",753899197,288362561,763709430,295791458,772600959,304104764,781270008,312516754,789621844,321004264,797623132,329520416,805230122,338059228,812456225,346639025,819373964,355288370,826110538,364027531,832724944,372899704,839227469,381928850,845510352,391176380,851530054,400609542
"IE",1554566,2250608,1569888,2296355,1586580,2345367,1601606,2394915,1619883,2450379,1644123,2515791,1677513,2596624,1714488,2684454,1737543,2752001,1742990,2792385,1740155,2820000,1734101,2842693,1725315,2861582,1715556,2879725
"IR",23700296,42210756,23561964,43295660,23387582,44339692,23186784,45356387,22973740,46368386,22758836,47393548,22542873,48433711,22358518,49450701,22192088,50468799,22029792,51513162,21872560,52589754,21722194,53702091,21575385,54849058,21437376,56009792
"IQ",7498316,16302840,7710547,16806295,7923806,17314461,8136236,17823295,8345616,18327920,8550946,18826099,8750665,19313430,8946096,19794534,9144731,20285098,9356624,20806575,9587811,21374569,9814481,21945539,10042233,22535976,10271864,23145612
"IS",21369,259836,21281,263687,21098,266425,20877,268644,20696,271378,20662,276072,20782,283000,20943,290623,20965,296449,20667,297832,20278,297763,19989,299025,19756,300960,19567,303435
"IL",553243,5735757,562318,5876682,569619,6000381,575782,6113918,581761,6227239,587811,6342289,593922,6459778,600185,6579915,606484,6702316,616589,6869011,623306,7000294,630117,7135683,636874,7273626,643785,7415615
"IT",18664484,38277624,18640786,38333314,18611507,38447500,18626218,38686985,18678509,39006818,18702115,39267369,18689801,39454178,18715453,39722857,18770433,40056298,18787007,40308358,18774936,40502481,18737779,40641670,18719287,40820430,18735508,41095585
"JM",1247723,1341666,1249286,1356270,1248757,1366496,1248384,1376311,1247926,1386219,1247489,1396112,1246983,1406059,1246467,1416014,1245896,1426038,1245316,1436070,1244694,1446130,1243815,1456023,1242151,1465654,1239778,1475222
"JO",968610,3828390,979122,3937878,989262,4048738,999854,4164146,1009914,4280086,1018513,4392487,1027371,4508629,1035737,4625263,1043563,4742437,1051687,4863313,1059682,4986318,1067830,5113170,1075955,5242045,1084402,5374598
"JP",27088014,99781986,25442515,101706485,23389981,104055019,21461733,106256267,19624090,108136910,17916330,109856670,16535459,111220541,15315880,112454870,14163655,113540385,13083620,114474338,12079755,115370704,11186568,116630709,10329929,117231560,9561857,117776764
"KZ",6589130,8294496,6607947,8250388,6638086,8220862,6690571,8218447,6767704,8245281,6858726,8288303,6962729,8345355,7074108,8410084,7192642,8481358,7417448,8675253,7551669,8769912,7685408,8871192,7815065,8976360,7946123,9091385
"KE",25061828,6223222,25624299,6502052,26205386,6795138,26802589,7102422,27411351,7423255,28029164,7756554,28654308,8103190,29288237,8464067,29932970,8840307,30592166,9232568,31266488,9642706,31955066,10072825,32655628,10522513,33362846,10990845
"KG",3169363,1729037,3199678,1745422,3229232,1761468,3263368,1779932,3303149,1801551,3340718,1821882,3376879,1841521,3409340,1859060,3441997,1876703,3483856,1899444,3524628,1923272,3565630,1948970,3622083,1985117,3690050,2029450
"KH",9951128,2271743,10139838,2332748,10317439,2391897,10484988,2449381,10643770,2505616,10795463,2560961,10939877,2615177,11078527,2668761,11217517,2723001,11362622,2781603,11519238,2845693,11689510,2916352,11871352,2993294,12059854,3075315
"KI",47224,35564,47630,36631,48483,37316,49354,38017,50220,38716,51068,39400,51888,40065,52675,40726,53441,41391,54197,42075,54958,42785,55724,43526,56493,44293,57260,45091
"KN",30616,14928,31151,15063,31715,15219,32288,15391,32851,15570,33391,15748,33899,15924,34379,16099,34834,16276,35272,16459,35701,16651,36118,16853,36521,17063,36908,17283
"KR",9579783,37428328,9499887,37857475,9382045,38240134,9259819,38599492,9126528,38912887,8980158,39157919,8935266,39436680,8926903,39670749,8941459,40007239,8933917,40248121,8925489,40484877,8941881,40837559,8930293,41074148,8914493,41305176
"XK",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KW",35971,1870260,37077,1943527,38056,2010176,39004,2077349,40151,2156315,41632,2254682,43466,2373979,45554,2509366,47775,2654446,49934,2800168,51964,2939616,53776,3070929,55453,3195043,56929,3311643
"LA",4204098,1184183,4212413,1257756,4211946,1333299,4207222,1411847,4203551,1495561,4204820,1585826,4213408,1682522,4228056,1785222,4245882,1893245,4263158,2004810,4277261,2118452,4287634,2233680,4295331,2350496,4300875,2468852
"LB",452953,2782427,466203,2891397,484064,3031540,503774,3186336,521544,3332038,534878,3451987,542494,3537329,545545,3594268,546619,3639469,549467,3697457,556398,3784694,556439,3826351,556385,3868503,556279,3911111
"LR",1609930,1282038,1659129,1339641,1688348,1382325,1707044,1417178,1729070,1455573,1764017,1505769,1814383,1570408,1875903,1646391,1943306,1729408,2008511,1812929,2066031,1891959,2114589,1965108,2156356,2034079,2193372,2100705
"LY",1224375,3951810,1238892,4019785,1252642,4087747,1265909,4156703,1279056,4227944,1292318,4302132,1305956,4380519,1319766,4462342,1332624,4544181,1343226,4621099,1350560,4690052,1354185,4749048,1354756,4799867,1353792,4847729
"LC",113358,43591,115064,43586,118033,42184,120975,40791,124012,39448,127223,38184,130659,36999,134275,35874,137961,34773,141539,33661,144667,32730,146196,33075,147499,33371,148627,33646
"LI",28086,5007,28466,5009,28780,5041,29071,5070,29349,5096,29620,5120,29884,5144,30143,5165,30396,5186,30646,5205,30896,5224,31144,5244,31390,5266,31634,5291
"LK",15579018,3522982,15332525,3464475,15436130,3484870,15644018,3528982,15860126,3574874,16033040,3610960,16210085,3647915,16360441,3678559,16508191,3708809,16700902,3749098,16869164,3783836,17048095,3820905,16608586,3719414,16734611,3748389
"LS",1493370,362855,1495946,375554,1497133,388354,1497417,401340,1497324,414698,1497363,428481,1497611,442802,1500223,455561,1503328,468871,1507150,482723,1511653,497268,1517002,512514,1523067,528478,1529482,544983
"LT",1155337,2344199,1148181,2322637,1142134,2300933,1136002,2279211,1126390,2250685,1108561,2213967,1088684,2181225,1073533,2157761,1060278,2137953,1048760,2114156,1029629,2067653,1009210,2018905,997797,1989976,988704,1967417
"LU",68866,367434,66922,374603,65592,380583,64389,387241,63322,394773,62340,402818,61400,411237,60436,419557,59615,429035,58848,438935,58061,448892,57505,460842,57093,473853,56667,486535
"LV",756030,1611520,749063,1588107,742721,1567452,736722,1551233,726462,1536660,716416,1522383,710606,1507751,706304,1494021,700357,1476965,690388,1451281,677678,1419877,666934,1392775,660177,1374142,654833,1358552
"MO",0,431907,0,438080,0,444150,0,450711,0,458542,0,468149,0,479808,0,493206,0,507528,0,521617,0,534626,0,546278,0,556783,0,566375
"MF",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MA",13397579,15312544,13447823,15573333,13486195,15825248,13516200,16070737,13541406,16314414,13518492,16606953,13483265,16911832,13446597,17220489,13414415,17540736,13394189,17882375,13389781,18252579,13403725,18655699,13432208,19088935,13467325,19540825
"MC",0,32081,0,32366,0,32653,0,32968,0,33346,0,33808,0,34369,0,35013,0,35686,0,36314,0,36845,0,37261,0,37579,0,37831
"MD",1972550,1667042,1971739,1659723,1970765,1652297,1968800,1644074,1967502,1636443,1966280,1628907,1964372,1620837,1963366,1613544,1963167,1606941,1963364,1602240,1963185,1598860,1963012,1596974,1962826,1596693,1961756,1597244
"MG",11474661,4270150,11788628,4447139,12106341,4629688,12427635,4817640,12752144,5011223,13020200,5270194,13286538,5539588,13551387,5819636,13815240,6111545,14080952,6414743,14349048,6730484,14619840,7059094,14893226,7400688,15168915,7755936
"MV",197178,75567,197647,80178,197801,84942,197715,89879,197470,95035,197144,100432,196733,106092,196339,111900,195986,117857,195693,123967,195469,130225,195331,136633,195271,143171,195228,149795
"MX",26257170,77616437,26287566,79052311,26291374,80432287,26277134,81779178,26254853,83126697,26234584,84497242,26216247,85900447,26199276,87330543,26181672,88786367,26163685,90259067,26141310,91745094,26118625,93242608,26094596,94752881,26067811,96264588
"MH",16505,35656,16347,35837,16177,35984,16001,36114,15830,36244,15669,36389,15523,36561,15389,36761,15267,36978,15146,37195,15024,37404,14899,37596,14773,37782,14654,37980
"MK",850649,1201480,860340,1204758,868568,1205873,875608,1205258,882034,1203694,887704,1202340,892608,1201193,896599,1200021,899763,1199006,902253,1198305,904121,1198095,905472,1198418,906261,1199314,906478,1200680
"ML",7351088,2909489,7491643,3071125,7638976,3243686,7792444,3427293,7950607,3622329,8112891,3828367,8278822,4046723,8448291,4277338,8618330,4519969,8786424,4772872,8951574,5034387,9112964,5303773,9271748,5581824,9431478,5870172
"MT",29106,352257,28923,364105,28094,367875,27263,371319,26456,374812,25664,378170,24825,380483,24029,382695,23355,386024,22744,389733,22114,392394,21509,394759,21011,398444,20576,402706
"MM",35386195,13066805,35537285,13356918,35621348,13639965,35655392,13921760,35663240,14211929,35663651,14517369,35660119,14839951,35648890,15180069,35636051,15537967,35624271,15916219,35622228,16309003,35632547,16718216,35654557,17142762,35679814,17579204
"ME",253377,357819,247307,364218,241452,370873,235760,377688,233452,381218,232780,383040,232060,384794,231304,386496,230515,388134,229689,389719,228834,391244,227938,392706,226962,394119,225916,395467
"MN",1027725,1369748,1010889,1408780,994297,1448934,978107,1490488,962478,1533770,947590,1578912,933320,1626176,919588,1675480,906195,1726639,893057,1779166,879822,1832916,866529,1887680,853711,1942773,841331,1997742
