Year,Country,district,District_name,By_Source,Unit_measure,Value
2014,UG,,Alebtong,External funding,NCU,0
2014,UG,,Amolatar,External funding,NCU,0
2014,UG,,Amudat,External funding,NCU,137799000
2014,UG,,Amuria,External funding,NCU,0
2014,UG,,Amuru,External funding,NCU,3344083000
2014,UG,,Apac,External funding,NCU,100000000
2014,UG,,Arua,External funding,NCU,0
2014,UG,,Budaka,External funding,NCU,0
2014,UG,,Bududa,External funding,NCU,0
2014,UG,,Bugiri,External funding,NCU,37575000
2014,UG,,Buhweju,External funding,NCU,0
2014,UG,,Buikwe,External funding,NCU,0
2014,UG,,Bukedea,External funding,NCU,30005000
2014,UG,,Bukomansimbi,External funding,NCU,0
2014,UG,,Bukwa,External funding,NCU,0
2014,UG,,Bulambuli,External funding,NCU,0
2014,UG,,Buliisa,External funding,NCU,70000000
2014,UG,,Bundibugyo,External funding,NCU,243610000
2014,UG,,Bushenyi,External funding,NCU,0
2014,UG,,Busia,External funding,NCU,0
2014,UG,,Butaleja,External funding,NCU,0
2014,UG,,Butambala,External funding,NCU,0
2014,UG,,Buvuma,External funding,NCU,0
2014,UG,,Buyende,External funding,NCU,0
2014,UG,,Dokolo,External funding,NCU,0
2014,UG,,Gomba,External funding,NCU,1370000
2014,UG,,Gulu,External funding,NCU,4249639000
2014,UG,,Hoima,External funding,NCU,42241000
2014,UG,,Ibanda,External funding,NCU,0
2014,UG,,Iganga,External funding,NCU,26190000
2014,UG,,Isingiro,External funding,NCU,0
2014,UG,,Jinja,External funding,NCU,0
2014,UG,,Kaabong,External funding,NCU,167726000
2014,UG,,Kabale,External funding,NCU,0
2014,UG,,Kabarole,External funding,NCU,173832000
2014,UG,,Kaberamaido,External funding,NCU,0
2014,UG,,Kalangala ,External funding,NCU,1337534000
2014,UG,,Kaliro,External funding,NCU,0
2014,UG,,Kalungu,External funding,NCU,13750000
2014,UG,,Kampala,External funding,NCU,0
2014,UG,,Kamuli,External funding,NCU,0
2014,UG,,Kamwenge,External funding,NCU,0
2014,UG,,Kanungu,External funding,NCU,0
2014,UG,,Kapchorwa,External funding,NCU,0
2014,UG,,Kasese,External funding,NCU,0
2014,UG,,Katakwi,External funding,NCU,0
2014,UG,,Kayunga,External funding,NCU,0
2014,UG,,Kibaale,External funding,NCU,19166000
2014,UG,,Kiboga,External funding,NCU,0
2014,UG,,Kibuku,External funding,NCU,0
2014,UG,,Kiruhura,External funding,NCU,0
2014,UG,,Kiryandongo,External funding,NCU,0
2014,UG,,Kisoro,External funding,NCU,9396000
2014,UG,,Kitgum,External funding,NCU,941968000
2014,UG,,Koboko,External funding,NCU,0
2014,UG,,Kole,External funding,NCU,0
2014,UG,,Kotido,External funding,NCU,259145000
2014,UG,,Kumi,External funding,NCU,0
2014,UG,,Kween,External funding,NCU,0
2014,UG,,Kyankwanzi,External funding,NCU,0
2014,UG,,Kyegegwa,External funding,NCU,206073000
2014,UG,,Kyenjojo,External funding,NCU,146057000
2014,UG,,Lamwo,External funding,NCU,736709000
2014,UG,,Lira,External funding,NCU,0
2014,UG,,Luuka,External funding,NCU,0
2014,UG,,Luweero,External funding,NCU,0
2014,UG,,Lwengo,External funding,NCU,0
2014,UG,,Lyantonde,External funding,NCU,0
2014,UG,,Manafwa,External funding,NCU,0
2014,UG,,Maracha,External funding,NCU,0
2014,UG,,Masaka ,External funding,NCU,225200000
2014,UG,,Masindi,External funding,NCU,92769000
2014,UG,,Mayuge,External funding,NCU,0
2014,UG,,Mbale,External funding,NCU,200000
2014,UG,,Mbarara,External funding,NCU,0
2014,UG,,Mitooma,External funding,NCU,0
2014,UG,,Mityana,External funding,NCU,0
2014,UG,,Moroto,External funding,NCU,110000000
2014,UG,,Moyo,External funding,NCU,0
2014,UG,,Mpigi,External funding,NCU,0
2014,UG,,Mubende,External funding,NCU,100000000
2014,UG,,Mukono,External funding,NCU,0
2014,UG,,Nakapiripirit,External funding,NCU,178789000
2014,UG,,Nakaseke,External funding,NCU,0
2014,UG,,Nakasongola,External funding,NCU,0
2014,UG,,Namayingo,External funding,NCU,17277000
2014,UG,,Namutumba,External funding,NCU,0
2014,UG,,Napak,External funding,NCU,50000000
2014,UG,,Nebbi,External funding,NCU,1192439000
2014,UG,,Ngora,External funding,NCU,0
2014,UG,,Ntoroko,External funding,NCU,231586000
2014,UG,,Ntungamo,External funding,NCU,0
2014,UG,,Nwoya,External funding,NCU,7616238000
2014,UG,,Otuke,External funding,NCU,10000000
2014,UG,,Oyam,External funding,NCU,2764600000
2014,UG,,Pader ,External funding,NCU,224558000
2014,UG,,Pallisa,External funding,NCU,0
2014,UG,,Rakai,External funding,NCU,0
2014,UG,,Rubirizi,External funding,NCU,12225000
2014,UG,,Rukungiri,External funding,NCU,0
2014,UG,,Sembabule,External funding,NCU,0
2014,UG,,Serere,External funding,NCU,0
2014,UG,,Sheema,External funding,NCU,35000000
2014,UG,,Sironko,External funding,NCU,82520000
2014,UG,,Soroti,External funding,NCU,0
2014,UG,,Tororo,External funding,NCU,0
2014,UG,,Wakiso,External funding,NCU,0
2014,UG,,Yumbe,External funding,NCU,13000000
2014,UG,,Zombo,External funding,NCU,60000000
2014,UG,,Arua Municipal Council,External funding,NCU,0
2014,UG,,Entebbe Municipal Council,External funding,NCU,0
2014,UG,,Fort-Portal Municipal Council,External funding,NCU,50000000
2014,UG,,Gulu Municipal Council,External funding,NCU,0
2014,UG,,Jinja Municipal Council,External funding,NCU,0
2014,UG,,Kabale Municipal Council,External funding,NCU,0
2014,UG,,Lira Municipal Council,External funding,NCU,0
2014,UG,,Masaka Municipal Council,External funding,NCU,12000000
2014,UG,,Mbale Municipal Council,External funding,NCU,0
2014,UG,,Mbarara Municipal Council,External funding,NCU,0
2014,UG,,Moroto Municipal Council,External funding,NCU,22201000
2014,UG,,Soroti Municipal Council,External funding,NCU,0
2014,UG,,Tororo Municipal Council,External funding,NCU,0
2014,UG,,Kasese Municipal Council,External funding,NCU,0
2014,UG,,Hoima Municipal Council,External funding,NCU,0
2014,UG,,Mukono Municipal Council,External funding,NCU,0
2014,UG,,Iganga Municipal Council,External funding,NCU,0
2014,UG,,Masindi Municipal Council,External funding,NCU,0
2014,UG,,Ntungamo Municipal Council,External funding,NCU,0
2014,UG,,Busia Municipal Council,External funding,NCU,0
2014,UG,,Bushenyi - Ishaka Municipal Council,External funding,NCU,0
2014,UG,,Rukungiri Municipal Council,External funding,NCU,0
2014,UG,,Abim,Government funded,US$,16653100
2014,UG,,Adjumani,Government funded,US$,21111852
2014,UG,,Agago,Government funded,US$,25018672
2014,UG,,Alebtong,Government funded,US$,29485840
2014,UG,,Amolatar,Government funded,US$,14595628
2014,UG,,Amudat,Government funded,US$,4211408
2014,UG,,Amuria,Government funded,US$,32864344
2014,UG,,Amuru,Government funded,US$,21118352
2014,UG,,Apac,Government funded,US$,47795028
2014,UG,,Arua,Government funded,US$,106355624
2014,UG,,Budaka,Government funded,US$,29223460
2014,UG,,Bududa,Government funded,US$,26043288
2014,UG,,Bugiri,Government funded,US$,45685476
2014,UG,,Buhweju,Government funded,US$,14390928
2014,UG,,Buikwe,Government funded,US$,47988940
2014,UG,,Bukedea,Government funded,US$,33394976
2014,UG,,Bukomansimbi,Government funded,US$,25824060
2014,UG,,Bukwa,Government funded,US$,15788092
2014,UG,,Bulambuli,Government funded,US$,19461936
2014,UG,,Buliisa,Government funded,US$,12653400
2014,UG,,Bundibugyo,Government funded,US$,31089096
2014,UG,,Bushenyi,Government funded,US$,38773096
2014,UG,,Busia,Government funded,US$,41165864
2014,UG,,Butaleja,Government funded,US$,35740652
2014,UG,,Butambala,Government funded,US$,29443652
2014,UG,,Buvuma,Government funded,US$,3523428
2014,UG,,Buyende,Government funded,US$,29334752
2014,UG,,Dokolo,Government funded,US$,24591936
2014,UG,,Gomba,Government funded,US$,27774400
2014,UG,,Gulu,Government funded,US$,54870660
2014,UG,,Hoima,Government funded,US$,38972132
2014,UG,,Ibanda,Government funded,US$,37621500
2014,UG,,Iganga,Government funded,US$,85022384
2014,UG,,Isingiro,Government funded,US$,45545600
2014,UG,,Jinja,Government funded,US$,60869584
2014,UG,,Kaabong,Government funded,US$,29090424
2014,UG,,Kabale,Government funded,US$,99920844
2014,UG,,Kabarole,Government funded,US$,50121384
2014,UG,,Kaberamaido,Government funded,US$,26990784
2014,UG,,Kalangala ,Government funded,US$,7854788
2014,UG,,Kaliro,Government funded,US$,36073708
2014,UG,,Kalungu,Government funded,US$,35947532
2014,UG,,Kampala,Government funded,US$,0
2014,UG,,Kamuli,Government funded,US$,72300116
2014,UG,,Kamwenge,Government funded,US$,41730356
2014,UG,,Kanungu,Government funded,US$,43056148
2014,UG,,Kapchorwa,Government funded,US$,24084816
2014,UG,,Kasese,Government funded,US$,87441824
2014,UG,,Katakwi,Government funded,US$,23940352
2014,UG,,Kayunga,Government funded,US$,51579080
2014,UG,,Kibaale,Government funded,US$,63464328
2014,UG,,Kiboga,Government funded,US$,24296772
2014,UG,,Kibuku,Government funded,US$,25841392
2014,UG,,Kiruhura,Government funded,US$,27443576
2014,UG,,Kiryandongo,Government funded,US$,23222776
2014,UG,,Kisoro,Government funded,US$,42130268
2014,UG,,Kitgum,Government funded,US$,41409020
2014,UG,,Koboko,Government funded,US$,25364628
2014,UG,,Kole,Government funded,US$,30945300
2014,UG,,Kotido,Government funded,US$,11286892
2014,UG,,Kumi,Government funded,US$,29993604
2014,UG,,Kween,Government funded,US$,13141256
2014,UG,,Kyankwanzi,Government funded,US$,24513200
2014,UG,,Kyegegwa,Government funded,US$,17995044
2014,UG,,Kyenjojo,Government funded,US$,37793636
2014,UG,,Lamwo,Government funded,US$,19522564
2014,UG,,Lira,Government funded,US$,52288080
2014,UG,,Luuka,Government funded,US$,35970960
2014,UG,,Luweero,Government funded,US$,86811128
2014,UG,,Lwengo,Government funded,US$,41447060
2014,UG,,Lyantonde,Government funded,US$,12250124
2014,UG,,Manafwa,Government funded,US$,58186220
2014,UG,,Maracha,Government funded,US$,29104776
2014,UG,,Masaka ,Government funded,US$,30439828
2014,UG,,Masindi,Government funded,US$,21932496
2014,UG,,Mayuge,Government funded,US$,51608992
2014,UG,,Mbale,Government funded,US$,64040096
2014,UG,,Mbarara,Government funded,US$,67603556
2014,UG,,Mitooma,Government funded,US$,35319980
2014,UG,,Mityana,Government funded,US$,45842232
2014,UG,,Moroto,Government funded,US$,12724888
2014,UG,,Moyo,Government funded,US$,23916952
2014,UG,,Mpigi,Government funded,US$,37028152
2014,UG,,Mubende,Government funded,US$,59386644
2014,UG,,Mukono,Government funded,US$,63501872
2014,UG,,Nakapiripirit,Government funded,US$,20105220
2014,UG,,Nakaseke,Government funded,US$,32567692
2014,UG,,Nakasongola,Government funded,US$,27955004
2014,UG,,Namayingo,Government funded,US$,21208740
2014,UG,,Namutumba,Government funded,US$,33567464
2014,UG,,Napak,Government funded,US$,10678124
2014,UG,,Nebbi,Government funded,US$,46033668
2014,UG,,Ngora,Government funded,US$,26853716
2014,UG,,Ntoroko,Government funded,US$,9834120
2014,UG,,Ntungamo,Government funded,US$,71347152
2014,UG,,Nwoya,Government funded,US$,17333144
2014,UG,,Otuke,Government funded,US$,16386868
2014,UG,,Oyam,Government funded,US$,51026708
2014,UG,,Pader ,Government funded,US$,30244028
2014,UG,,Pallisa,Government funded,US$,49308416
2014,UG,,Rakai,Government funded,US$,80193860
2014,UG,,Rubirizi,Government funded,US$,15181908
2014,UG,,Rukungiri,Government funded,US$,52936284
2014,UG,,Sembabule,Government funded,US$,42454620
2014,UG,,Serere,Government funded,US$,30908256
2014,UG,,Sheema,Government funded,US$,47699316
2014,UG,,Sironko,Government funded,US$,39332344
2014,UG,,Soroti,Government funded,US$,37404056
2014,UG,,Tororo,Government funded,US$,70278336
2014,UG,,Wakiso,Government funded,US$,109574220
2014,UG,,Yumbe,Government funded,US$,41012992
2014,UG,,Zombo,Government funded,US$,25379540
2014,UG,,Arua Municipal Council,Government funded,US$,14194804
2014,UG,,Entebbe Municipal Council,Government funded,US$,13145392
2014,UG,,Fort-Portal Municipal Council,Government funded,US$,14841548
2014,UG,,Gulu Municipal Council,Government funded,US$,24955856
2014,UG,,Jinja Municipal Council,Government funded,US$,20793748
2014,UG,,Kabale Municipal Council,Government funded,US$,19679952
2014,UG,,Lira Municipal Council,Government funded,US$,16721180
2014,UG,,Masaka Municipal Council,Government funded,US$,14576388
2014,UG,,Mbale Municipal Council,Government funded,US$,25452452
2014,UG,,Mbarara Municipal Council,Government funded,US$,23489080
2014,UG,,Moroto Municipal Council,Government funded,US$,4616416
2014,UG,,Soroti Municipal Council,Government funded,US$,17286124
2014,UG,,Tororo Municipal Council,Government funded,US$,12313332
2014,UG,,Kasese Municipal Council,Government funded,US$,14810924
2014,UG,,Hoima Municipal Council,Government funded,US$,17441884
2014,UG,,Mukono Municipal Council,Government funded,US$,18732400
2014,UG,,Iganga Municipal Council,Government funded,US$,13994888
2014,UG,,Masindi Municipal Council,Government funded,US$,17142896
2014,UG,,Ntungamo Municipal Council,Government funded,US$,3733680
2014,UG,,Busia Municipal Council,Government funded,US$,8149268
2014,UG,,Bushenyi - Ishaka Municipal Council,Government funded,US$,13107580
2014,UG,,Rukungiri Municipal Council,Government funded,US$,11335228
2014,UG,,Abim,External funding,US$,2093004
2014,UG,,Adjumani,External funding,US$,437172
2014,UG,,Agago,External funding,US$,280000
2014,UG,,Alebtong,External funding,US$,0
2014,UG,,Amolatar,External funding,US$,0
2014,UG,,Amudat,External funding,US$,551196
2014,UG,,Amuria,External funding,US$,0
2014,UG,,Amuru,External funding,US$,13376332
2014,UG,,Apac,External funding,US$,400000
2014,UG,,Arua,External funding,US$,0
2014,UG,,Budaka,External funding,US$,0
2014,UG,,Bududa,External funding,US$,0
2014,UG,,Bugiri,External funding,US$,150300
2014,UG,,Buhweju,External funding,US$,0
2014,UG,,Buikwe,External funding,US$,0
2014,UG,,Bukedea,External funding,US$,120020
2014,UG,,Bukomansimbi,External funding,US$,0
2014,UG,,Bukwa,External funding,US$,0
2014,UG,,Bulambuli,External funding,US$,0
2014,UG,,Buliisa,External funding,US$,280000
2014,UG,,Bundibugyo,External funding,US$,974440
2014,UG,,Bushenyi,External funding,US$,0
2014,UG,,Busia,External funding,US$,0
2014,UG,,Butaleja,External funding,US$,0
2014,UG,,Butambala,External funding,US$,0
2014,UG,,Buvuma,External funding,US$,0
2014,UG,,Buyende,External funding,US$,0
2014,UG,,Dokolo,External funding,US$,0
2014,UG,,Gomba,External funding,US$,5480
2014,UG,,Gulu,External funding,US$,16998556
2014,UG,,Hoima,External funding,US$,168964
2014,UG,,Ibanda,External funding,US$,0
2014,UG,,Iganga,External funding,US$,104760
2014,UG,,Isingiro,External funding,US$,0
2014,UG,,Jinja,External funding,US$,0
2014,UG,,Kaabong,External funding,US$,670904
2014,UG,,Kabale,External funding,US$,0
2014,UG,,Kabarole,External funding,US$,695328
2014,UG,,Kaberamaido,External funding,US$,0
2014,UG,,Kalangala ,External funding,US$,5350136
2014,UG,,Kaliro,External funding,US$,0
2014,UG,,Kalungu,External funding,US$,55000
2014,UG,,Kampala,External funding,US$,0
2014,UG,,Kamuli,External funding,US$,0
2014,UG,,Kamwenge,External funding,US$,0
2014,UG,,Kanungu,External funding,US$,0
2014,UG,,Kapchorwa,External funding,US$,0
2014,UG,,Kasese,External funding,US$,0
2014,UG,,Katakwi,External funding,US$,0
2014,UG,,Kayunga,External funding,US$,0
2014,UG,,Kibaale,External funding,US$,76664
2014,UG,,Kiboga,External funding,US$,0
2014,UG,,Kibuku,External funding,US$,0
2014,UG,,Kiruhura,External funding,US$,0
2014,UG,,Kiryandongo,External funding,US$,0
2014,UG,,Kisoro,External funding,US$,37584
2014,UG,,Kitgum,External funding,US$,3767872
2014,UG,,Koboko,External funding,US$,0
2014,UG,,Kole,External funding,US$,0
2014,UG,,Kotido,External funding,US$,1036580
2014,UG,,Kumi,External funding,US$,0
2014,UG,,Kween,External funding,US$,0
2014,UG,,Kyankwanzi,External funding,US$,0
2014,UG,,Kyegegwa,External funding,US$,824292
2014,UG,,Kyenjojo,External funding,US$,584228
2014,UG,,Lamwo,External funding,US$,2946836
2014,UG,,Lira,External funding,US$,0
2014,UG,,Luuka,External funding,US$,0
2014,UG,,Luweero,External funding,US$,0
2014,UG,,Lwengo,External funding,US$,0
2014,UG,,Lyantonde,External funding,US$,0
2014,UG,,Manafwa,External funding,US$,0
2014,UG,,Maracha,External funding,US$,0
2014,UG,,Masaka ,External funding,US$,900800
2014,UG,,Masindi,External funding,US$,371076
2014,UG,,Mayuge,External funding,US$,0
2014,UG,,Mbale,External funding,US$,800
2014,UG,,Mbarara,External funding,US$,0
2014,UG,,Mitooma,External funding,US$,0
2014,UG,,Mityana,External funding,US$,0
2014,UG,,Moroto,External funding,US$,440000
2014,UG,,Moyo,External funding,US$,0
2014,UG,,Mpigi,External funding,US$,0
2014,UG,,Mubende,External funding,US$,400000
2014,UG,,Mukono,External funding,US$,0
2014,UG,,Nakapiripirit,External funding,US$,715156
2014,UG,,Nakaseke,External funding,US$,0
2014,UG,,Nakasongola,External funding,US$,0
2014,UG,,Namayingo,External funding,US$,69108
2014,UG,,Namutumba,External funding,US$,0
2014,UG,,Napak,External funding,US$,200000
2014,UG,,Nebbi,External funding,US$,4769756
2014,UG,,Ngora,External funding,US$,0
2014,UG,,Ntoroko,External funding,US$,926344
2014,UG,,Ntungamo,External funding,US$,0
2014,UG,,Nwoya,External funding,US$,30464952
2014,UG,,Otuke,External funding,US$,40000
2014,UG,,Oyam,External funding,US$,11058400
2014,UG,,Pader ,External funding,US$,898232
2014,UG,,Pallisa,External funding,US$,0
2014,UG,,Rakai,External funding,US$,0
2014,UG,,Rubirizi,External funding,US$,48900
2014,UG,,Rukungiri,External funding,US$,0
2014,UG,,Sembabule,External funding,US$,0
2014,UG,,Serere,External funding,US$,0
2014,UG,,Sheema,External funding,US$,140000
2014,UG,,Sironko,External funding,US$,330080
2014,UG,,Soroti,External funding,US$,0
2014,UG,,Tororo,External funding,US$,0
2014,UG,,Wakiso,External funding,US$,0
2014,UG,,Yumbe,External funding,US$,52000
2014,UG,,Zombo,External funding,US$,240000
2014,UG,,Arua Municipal Council,External funding,US$,0
2014,UG,,Entebbe Municipal Council,External funding,US$,0
2014,UG,,Fort-Portal Municipal Council,External funding,US$,200000
2014,UG,,Gulu Municipal Council,External funding,US$,0
2014,UG,,Jinja Municipal Council,External funding,US$,0
2014,UG,,Kabale Municipal Council,External funding,US$,0
2014,UG,,Lira Municipal Council,External funding,US$,0
2014,UG,,Masaka Municipal Council,External funding,US$,48000
2014,UG,,Mbale Municipal Council,External funding,US$,0
2014,UG,,Mbarara Municipal Council,External funding,US$,0
2014,UG,,Moroto Municipal Council,External funding,US$,88804
2014,UG,,Soroti Municipal Council,External funding,US$,0
2014,UG,,Tororo Municipal Council,External funding,US$,0
2014,UG,,Kasese Municipal Council,External funding,US$,0
2014,UG,,Hoima Municipal Council,External funding,US$,0
2014,UG,,Mukono Municipal Council,External funding,US$,0
2014,UG,,Iganga Municipal Council,External funding,US$,0
2014,UG,,Masindi Municipal Council,External funding,US$,0
2014,UG,,Ntungamo Municipal Council,External funding,US$,0
2014,UG,,Busia Municipal Council,External funding,US$,0
2014,UG,,Bushenyi - Ishaka Municipal Council,External funding,US$,0
2014,UG,,Rukungiri Municipal Council,External funding,US$,0
2014,UG,,Abim,Government funded,$Spend per child,518.9627663
2014,UG,,Adjumani,Government funded,$Spend per child,91.70007714
2014,UG,,Agago,Government funded,$Spend per child,141.7113546
2014,UG,,Alebtong,Government funded,$Spend per child,225.1903581
2014,UG,,Amolatar,Government funded,$Spend per child,198.7560138
2014,UG,,Amudat,Government funded,$Spend per child,62.29847412
2014,UG,,Amuria,Government funded,$Spend per child,132.7781468
2014,UG,,Amuru,Government funded,$Spend per child,205.0333399
2014,UG,,Apac,Government funded,$Spend per child,229.7743986
2014,UG,,Arua,Government funded,$Spend per child,239.9860461
2014,UG,,Budaka,Government funded,$Spend per child,283.5695648
2014,UG,,Bududa,Government funded,$Spend per child,247.4572136
2014,UG,,Bugiri,Government funded,$Spend per child,175.2297352
