"id","value.2000","value.2001","value.2002","value.2003","value.2004","value.2005","value.2006","value.2007","value.2008","value.2009","value.2010","value.2011","value.2012"
"GN",187.06,218.41,211.32,240.7,215.3,204.39,230.59,175.14,207.91,281.61,351.85,252.69,302.48
"GQ",3109.26,3035.72,2924.81,4443.38,7018.99,6003.95,7979.33,10524.39,10022.1,24612.87,16161.8,14030.22,17915.64
"GR",11332.35,11428.12,11708.04,12267.49,12982.11,12959.69,13818.89,14958.22,15837.14,16290.76,14734.08,13832.26,12611.61
"GT",904.08,914.87,885.08,966.75,862.19,888.4,976.77,986.2,949.29,968.79,994.9,1003.47,982.52
"GW",321.87,284.26,220.17,239.29,298.78,277.32,297.59,295.25,308.1,235.36,254.95,258.5,232.35
"GY",1544.5,1656.02,1583.8,1580.97,1602.54,1791.39,1932.23,1670.25,1612.15,1736.09,1713.83,1779.65,1889.89
"HK",,,,,,,,,,,,,
"HN",820.12,936.1,1016.29,1028.62,1019.97,989.27,1068.39,1119.6,1235.79,1213.55,1147.25,1122.88,1175.8
"HR",,,7519.15,7715.42,7778.65,7906.57,8255.97,8845.25,8735.49,8655.85,8593.36,8658.25,8427.66
"HT",171.96,169.02,186.03,202.82,170.93,242.87,221.63,238.34,269.79,339.78,276.43,387.07,433
"HU",8708.98,8789.55,9926.96,9988.19,10371.12,11018.64,11952.33,11635.15,11434.21,11151.3,10987.63,11212.59,10805.97
"ID",924.47,1248.15,1094.88,1189.68,1245.86,1219.99,1361.38,1437.51,1577.17,1396.23,1461.95,1558.61,1746.62
"IE",12418.82,13640.07,14270.93,14424.72,14932.7,15611.73,16335.94,17865.03,20052.62,21064.42,28119.39,20253.49,18327.23
"IL",12531.36,12782.62,12804.25,12439.46,12087.13,12133.74,12143.16,12269.63,12378.15,12196.68,12390.75,12631.35,12329.03
"IN",641.15,717.44,752.12,829.05,839.42,873.02,950.1,1023.72,1180.79,1204.58,1262.62,1302.17,1356.81
"IQ",,,,,9640,6777.07,5799.11,5260.75,6799.03,7218.29,6329.26,5913.33,6288.29
"IR",1928.96,2045.87,2591.53,2715.24,2582.7,3240.5,3505.8,3183.45,3610.97,3400.98,3325.51,3109.3,2365.42
"IS",14254.82,14873.46,15336,16077.91,16577.99,16802.97,16939.49,17768.36,24079.44,20175.08,19344.64,18337.66,18319.28
"IT",15898.72,16836.67,16649.81,16849.29,16778.59,16947.68,17414,17280.22,17295.54,17342.19,17076.71,16862.71,16622.35
"JM",2146.87,2342.7,,,,,2747.56,2822.4,3091.12,3256.48,2742.02,2708.22,2512.12
"JO",2601.93,2628.38,2734.01,2568.85,3314.5,3488.49,3492.69,3839.74,3638.97,3837.17,3424.05,3677.84,3441.76
"JP",11922.01,11717.74,11806.58,11845.43,11331.02,11566.05,11893.42,11738.01,12465.4,13192.97,13448.9,13914.63,13967.13
"KE",362.66,387.12,417.09,415.72,405.88,437.52,473.85,508.64,531.52,541.15,612.1,579.47,619.35
"KG",606.27,586.93,604.11,605.68,660.2,664.34,701.41,803.01,788.18,934.65,997.76,1050.51,1116.18
"KH",205.82,219.19,243.21,245.3,242.04,241.29,276.6,331.57,380.6,482.4,499.54,519.37,577.39
"KI",1321.46,1863.66,1768.74,1619.76,1935.99,1836.65,1484.68,1539.5,1571.9,1461.95,1469.8,1456.67,1935.2
"KM",257.2,348.44,381.5,340.76,307.07,311.14,326.61,342.37,376.84,292.59,286.22,322.64,365.66
"KN",,,,,,,,,,,,,
"KR",3542.01,3881.72,3891.51,4489.66,4881.69,5012.81,5411.5,5753.63,5977.43,6139.54,5924.44,6226.26,6601.31
"KW",29423.19,33530.6,32696.45,32844.41,32367.48,28018.37,32477.99,30728.47,39958.62,36761.43,34909.83,30924.75,30315.15
"KZ",,,2487.06,2818.51,3156.47,3456.69,3387.32,4366.11,5087.9,4348.16,4404.49,4517.57,4814.46
"LA",511.64,578.17,440.27,527.75,429.98,507.7,552.8,591.66,641.91,811.97,895.35,878.37,919.85
"LB",5531.37,5033.92,4696.08,4574.04,4403.7,4057.88,4589.24,4734.8,4888.74,4973.53,4788.42,4719.36,5151.36
"LC",2334.92,2341.26,2436.09,2476.05,2639.22,2831.85,2926.71,2628.57,2812.43,2873.11,3131.56,3292.59,3427.48
"LK",1277.19,1314.23,1259.18,1213.49,1265.36,1391.77,1511.43,1548.99,1562.17,1759.97,1729.92,1735.73,1744.87
"LR",68.17,66.69,90.1,42.26,52.91,54.28,51.75,87.63,19.4,203.57,213.2,193.73,222.44
"LS",712.78,789.95,781.63,809.67,770.55,863.78,940.49,976.47,1147.2,1401.13,1206.54,1431.31,1394.3
"LT",4294.82,4498.65,4567,4902.61,5445.61,5959.42,6508.1,7424.33,8244.23,8345.23,8111.91,8546.41,8388.24
"LU",30224.13,31055.8,34854.83,35219.66,36910.39,37328.37,35809.41,35320.78,37167.08,39787.24,38802.93,37873.3,38320.77
"LV",4248.96,4365.17,4756.06,5022.58,5535.7,6437.64,7253.94,7825.03,9096.41,7661.04,7562.56,7750.94,7860.97
"LY",,,,,,,,,,,,,
"MA",1148.78,1268.78,1412.21,1388.65,1467.69,1752.89,1695.77,1764.67,1954.7,1979.29,2081.5,2350.14,2521.35
"MD",803.73,728.4,803,952.89,1066.48,1228.49,1356.44,1495.05,1573.28,1656.92,1496.63,1561.28,1613.5
"ME",,,3702.51,4360.14,4252.89,4240.27,5029.35,5703.33,7331.58,6397.53,6285.35,6180.7,6450.3
"MG",292.89,283.38,180.3,246.91,329.23,289.01,293.53,262.96,242.55,199.71,181.58,191.91,176.71
"MH",1705.45,1918.25,553.94,787.48,1741.66,2767.29,2011.19,2288.93,2047.93,2050.46,2012.98,1953.27,1361.71
"MK",3059.41,3475.13,3493.29,3289.89,3238.93,3251.54,3325.72,3442.45,3809.18,3756.25,3744.26,3778.85,3962.92
"ML",274.5,291.86,324.22,308.66,327.83,347.83,360.27,374.49,321.06,405.66,363.07,386.91,296
"MM",,,,,,,,,,,,,
"MN",1350.19,1403.51,1456.71,1461.32,1527.69,1274,1425.78,2089.39,2390.68,2191.14,2370.79,3377.82,3824.82
"MR",,,,,,,,797.5,854.5,825.56,773.29,796.43,1050.74
"MT",10306.45,10287.29,10609.52,11558.89,10916.47,11235.86,11304.36,11340.93,12156.66,11572.87,11469.62,11688.13,12261.85
"MU",2671.31,2730.28,2873.62,2968.08,2993.79,3069.65,3048.1,3073.61,3271.77,3702.19,3735.66,3780.52,3670.09
"MV",,1931.06,2008.23,2226.2,2300.63,3418.52,3739.03,4055.14,4526.45,4385.9,4230.4,4266.63,4570.64
"MW",,,184.15,202.98,222.96,220.7,231.92,271.13,259.5,303.04,224.1,261.53,274.48
"MX",3050.68,3037.77,3126.29,3185.18,2962.28,3215.78,3474.86,3580.58,4026.12,4020.97,4096.79,4139.9,4384.98
"MY",4379.62,4744.99,4713.33,5057.39,4887.04,4606.1,4975.73,5256.9,5627.87,6248.34,5667.88,5992.24,6452.48
"MZ",129.84,172.03,147.1,154.26,153.62,147.3,181.36,196.71,194.12,241.53,260.73,282.15,293.63
"NA",1848.91,1860.13,1916.72,2013.23,2072.44,2006.51,2016.96,2021.88,2244.11,2557.14,2791.8,3206.28,3103.17
"NE",142.56,148.88,133.92,124.4,148.36,146.11,148.9,175.4,183.02,190.96,171.63,148.14,189.34
"NG",1032.73,1486,906.09,1117.34,1122.47,969.57,1022.78,1152.54,1211.75,1334.39,1378.05,1518.01,1378.62
"NI",847.57,803.98,762.87,783.9,806.79,854.88,865.38,934.96,997.85,1048.39,1033.97,1134.2,1189.15
"NL",17324.24,17994.87,18230.56,18555.91,18502.49,18305.39,19213.15,19802.75,20474.71,21599.58,21868.05,21405.77,21284.39
"NO",24152.99,25681.67,27641.21,28587.3,27696.39,26181.82,25509.46,26119.98,25444.78,28646.42,27778,27013.43,27022.32
"NP",207.25,240.16,235.59,221.45,224.48,234.13,220.37,263.52,288.18,376.27,372.37,381.21,408.95
"NZ",9648.9,9654.51,9834.52,9995.09,10058.49,10546.48,10825.2,10908.99,11096.74,11667.9,12468.66,12539.64,11777.51
"OM",14147.1,15874.07,16282.82,15663.82,15787.57,14398.83,14818.9,16027.13,14872.46,19103.42,16878.03,17738.74,
"PA",2326.08,2357.81,2367.23,2496.29,2535.89,2557.81,2669.2,2928.81,3348.87,3502.79,3798.48,4111.08,4432.12
"PE",1392.86,1326.96,1296.68,1368.52,1372.4,1487.27,1509.68,1588.38,1826.54,1992.11,2124.85,2130.09,2268.89
"PG",586.63,602.01,549.68,505.53,536.89,577.44,546.58,527.99,584.44,738.37,595.31,647.41,769.04
"PH",911.64,929.71,924.54,944.82,940.87,938.35,948.42,988.49,994.21,1062.31,1068.94,1029.62,1133.17
"PK",580.68,542.67,599.99,545.01,553.15,618.1,689.72,816,897.14,809.36,852.95,831.49,938.96
"PL",5840.06,6335.97,6497.2,6816.94,6855.15,7242.44,7773.48,7987.91,8603.85,9015.26,9544.58,9446.55,9367.55
"PT",10492.82,11023.84,11002.54,11234.24,11531.75,11858.94,11419.55,11668.23,11767.86,12679.48,13368.18,12742.54,11879.75
"PW",7454.41,7003.73,5892.19,5449.43,5766.69,5163.45,5925.5,7276.55,5537.08,4577.2,5872.71,5489.31,5872.72
"PY",1148.36,1123.4,1164.13,1058.19,1058.52,1055.53,1163.51,1145.74,1114.19,1336.23,1370.83,1486.64,1774.07
"QA",37772.34,37649.97,38424.45,33454.42,38858.64,37060.38,36570.63,34451.12,31835.19,40288.63,37728.74,38081.45,40896.05
"RO",3438,3475.83,3607.94,3661.56,4312.16,4341.99,4967.44,5555.06,6276.58,6092.5,6071.08,5938.11,5748.98
"RS",2623.54,2987.92,3912.37,3990.3,4137.41,4259.08,4795.72,5084.2,5237.35,5192.17,5307.55,5271.95,5710.43
"RU",,,,,,,,,,,,,
"RW",144.75,164.81,162.99,162.59,178.34,197.2,199.05,218.14,263.85,252.82,300.07,316.72,348.78
"SA",12761.36,13757.75,12956.02,12391.45,12954.34,11715.09,11567.2,12925.72,12641.17,17509.85,18241.54,17486.42,18109.93
"SB",346.75,263.8,202.26,292.03,430.95,490.07,571.98,760.77,836.2,924.47,957.93,969.89,973.83
"SC",10418.86,8613.3,10108.22,7869.25,7035.14,7119.51,9069.3,8766.6,5943.88,6579.24,6927.02,7923.36,8470.17
"SD",313.5,344.93,392.67,481.8,661.66,880.64,853.4,1000.45,929.82,823.32,769.98,681.81,456.85
"SE",19234.57,19225.57,20025.13,20444.66,20657.17,21097.72,21417.71,21230.72,21259.72,21258.52,21393.54,21499.86,21811.48
"SG",9997.38,11092.8,8994.83,7402.79,7784.53,7485.84,8271.18,8086.29,11474.21,11209.39,9901.32,10243.61,10078.67
"SI",9183.27,9640.33,9886.36,10259.57,10753.63,11220.86,11786.2,11842.4,12624.11,12827.47,13180.4,13249.62,12505.28
"SK",5656.16,4919.92,5288.26,5077.75,5188.51,5779.86,6237.26,7108.83,8275.71,9695.59,9690.22,9651.08,9640.11
"SL",164.58,171.94,176.24,189.3,151.71,163.53,171.96,142.13,178.59,193.29,234.11,282.19,305.61
"SM",,,,,,,,,,,,,
"SN",343.43,409.08,379.09,430.83,454.75,491.52,551.89,585.42,550.68,543.82,577.51,607.6,594.89
"SR",2865.06,1915.69,2770.35,2220.86,2681.11,2808.07,2639.2,2869.5,2979.64,3634.68,3642.64,3905.9,4481.17
"SS",,,,,,,,,,,,718,623.96
"ST",,1163.93,999.1,1176.78,1392.57,1080.41,1165.68,966.77,817.66,1333.82,1339.15,1373.5,1252.77
"SV",1147.57,1168.17,1168.1,1260.24,1225.43,1287.72,1382.9,1332.43,1433.16,1536.58,1561.09,1583.19,1636.18
"SY",,,,,,,,,,,,,
"SZ",1512.11,1575.87,1688.64,1677.53,2040.23,1987.55,1812.16,2037.65,2212.77,2300.68,2158.56,1826.6,1913.82
"TD",181.74,166.88,186.01,234.73,201.91,201.17,241.64,300.44,330.7,429.07,476.61,424.58,460.44
"TG",236.82,200.16,153.1,183.48,200.36,229.46,254.49,245.2,191.31,235.71,247.62,287.5,339.51
"TH",1729.32,1879.89,2416.66,1943.93,2169.36,2299.24,2289.64,2544.62,2593.05,2859.3,2977.07,2968.89,3380.08
"TJ",227.13,236.34,249.89,284.98,320.99,379.13,385.16,532.19,545.5,567.42,531.36,591.56,558.03
"TL",,,169.08,176.42,70.9,197.29,115.68,182.75,265.85,498.65,454.51,441.86,399.56
"TM",1289.5,1164.61,988.53,1083.39,1098.51,1279.43,1067.04,1053.07,964.62,1247.12,1410.84,1660.79,1826.99
"TN",2209.59,2294.67,2368.26,2442.37,2561.49,2630.04,2738.61,2905.7,3139.47,3213.92,3285.31,3584.73,3770.31
"TO",900.37,961.8,1005.44,970.71,966.81,1146.27,1193.6,1114.04,1131.88,1264.63,1483.91,1493.78,1299.21
"TR",,,5492.89,5477.73,5075.31,5058.97,5385.1,5588.06,5706.22,5999.42,6152.53,6349.09,6589.15
"TT",4884.8,5496.98,5258.61,5588.43,6288.14,7007.27,9251.49,8877.58,9518.08,11714.86,11267.78,10191.24,9301.36
"TV",,,,,2259.66,2301.1,2562.72,2576.24,2317.39,2681.89,2771.78,2384.57,2109.88
"TW",,,,,,,,,,,,,
"TZ",157.5,158.13,145.09,175.27,215.63,248.03,270.7,273.73,314.27,329.24,383.95,393.6,402.55
"UA",1766.86,1941.31,2135.99,2419.26,2920.92,3208.71,3505.21,3739.15,4162.63,3646.53,3850.17,3784.84,4083.09
"UG",171.13,180.11,188.17,185.22,190.42,179.19,175.65,190.32,211.47,207.57,277.13,261.14,251.54
"US",,15536.16,16139.47,16708.03,17042.06,17504.78,17677.78,18191.34,19122.04,20914.51,20370.36,19982.85,19691.74
"UY",3945.05,3979.81,3618.29,3660.48,3706.41,3899.86,4151.59,4346.14,4616.37,5037.28,5578.8,5698.31,6127.14
"UZ",969.85,909.75,979.14,896.72,907.85,897.87,935.65,1058.25,1139.01,1346.8,1342.05,1383.4,1553.92
"VC",2016.58,2029.63,2202.19,2378.13,2398.19,2634.44,2753.31,2942.86,3152.17,3300.97,3292.47,3434.5,2946.57
"VE",4091.39,4680.64,4068.8,3826.74,4410.59,5023.03,6352.68,6218.63,6247.08,5674.52,5221.99,6694.39,7059.25
"VN",598.47,677.06,727.81,868.05,806.89,907.88,955.52,1095.67,1099.46,1322.27,1339.78,1268.37,1355.22
"VU",711.58,589.3,540.42,467.78,466.04,468.33,545.06,617.69,783.27,783.73,759.2,712.01,669.77
"WS",1385.5,1447.15,1539.23,1501.57,1501.21,1734.95,1576.99,1774.14,1667.26,1797.23,2081.04,2038.45,2073.15
"XK",373.79,475.19,782.11,1079.68,1556.03,1538.86,1336.73,1336.94,1813.11,2255.61,2256.96,2372.7,2446.68
"YE",1265.95,1228.76,1253.19,1448.62,1419,1570.49,1604.94,1746.98,1806.53,1564.06,1398.14,1204.08,1451.13
"ZA",2453.8,2469.18,2520.2,2629.3,2719.01,2870.48,3139.2,3308.74,3590,3836.56,3827.09,3850.7,3985.1
"ZM",498.97,674.74,605.52,677.93,540.51,593.35,542.99,576.01,582.1,489.69,586.03,663.41,793.86
"ZW",,,,,,262.37,132.8,77.22,46.08,157.8,274.42,367.48,382.64
