"district_id","district_name","year","value"
"d311","Nakapiripirit",2016,94
"d116","Nakaseke",2013,
"d116","Nakaseke",2014,96
"d116","Nakaseke",2015,99
"d116","Nakaseke",2016,100
"d109","Nakasongola",2013,63.76811594
"d109","Nakasongola",2014,75
"d109","Nakasongola",2015,83
"d109","Nakasongola",2016,81
"d230","Namayingo",2013,73.51351351
"d230","Namayingo",2014,81
"d230","Namayingo",2015,90
"d230","Namayingo",2016,89
"d224","Namutumba",2013,80.88235294
"d224","Namutumba",2014,92
"d224","Namutumba",2015,94
"d224","Namutumba",2016,99
"d327","Napak",2013,51.63398693
"d327","Napak",2014,67
"d327","Napak",2015,98
"d327","Napak",2016,77
"d310","Nebbi",2013,75.04655493
"d310","Nebbi",2014,77
"d310","Nebbi",2015,78
"d310","Nebbi",2016,87
"d231","Ngora",2013,91.70506912
"d231","Ngora",2014,91
"d231","Ngora",2015,93
"d231","Ngora",2016,94
"d424","Ntoroko",2013,21.73913043
"d424","Ntoroko",2014,18
"d424","Ntoroko",2015,35
"d424","Ntoroko",2016,58
"d411","Ntungamo",2013,
"d411","Ntungamo",2014,52
"d411","Ntungamo",2015,70
"d411","Ntungamo",2016,76
"d328","Nwoya",2013,
"d328","Nwoya",2014,66
"d328","Nwoya",2015,91
"d328","Nwoya",2016,95
"d329","Otuke",2013,
"d329","Otuke",2014,55
"d329","Otuke",2015,60
"d329","Otuke",2016,93
"d321","Oyam",2013,
"d321","Oyam",2014,43
"d321","Oyam",2015,96
"d321","Oyam",2016,95
"d312","Pader",2013,69.66019417
"d312","Pader",2014,89
"d312","Pader",2015,90
"d312","Pader",2016,88
"d210","Pallisa",2013,
"d210","Pallisa",2014,62
"d210","Pallisa",2015,66
"d210","Pallisa",2016,85
"d110","Rakai",2013,46.82080925
"d110","Rakai",2014,18
"d110","Rakai",2015,28
"d110","Rakai",2016,89
"d425","Rubirizi",2013,72.13114754
"d425","Rubirizi",2014,75
"d425","Rubirizi",2015,91
"d425","Rubirizi",2016,89
"d412","Rukungiri",2013,47.07379135
"d412","Rukungiri",2014,59
"d412","Rukungiri",2015,79
"d412","Rukungiri",2016,89
"d111","Sembabule",2013,
"d111","Sembabule",2014,62
"d111","Sembabule",2015,57
"d111","Sembabule",2016,53
"d232","Serere",2013,96.48829431
"d232","Serere",2014,98
"d232","Serere",2015,96
"d232","Serere",2016,99
"d426","Sheema",2013,66.56534954
"d426","Sheema",2014,60
"d426","Sheema",2015,82
"d426","Sheema",2016,93
"d215","Sironko",2013,42.1641791
"d215","Sironko",2014,48
"d215","Sironko",2015,79
"d215","Sironko",2016,80
"d211","Soroti",2013,81.66351607
"d211","Soroti",2014,81
"d211","Soroti",2015,83
"d211","Soroti",2016,84
"d212","Tororo",2013,52.16138329
"d212","Tororo",2014,50
"d212","Tororo",2015,79
"d212","Tororo",2016,77
"d113","Wakiso",2013,59.169279
"d113","Wakiso",2014,64
"d113","Wakiso",2015,91
"d113","Wakiso",2016,90
"d313","Yumbe",2013,99.58932238
"d313","Yumbe",2014,19
"d313","Yumbe",2015,88
"d313","Yumbe",2016,96
"d330","Zombo",2013,
"d330","Zombo",2014,8
"d330","Zombo",2015,13
"d330","Zombo",2016,51
