id,year,accounting-type,start-month,end-month
IR,2013,fiscal,4,3
IR,2014,fiscal,4,3
IR,2015,fiscal,4,3
IR,2016,fiscal,4,3
IR,2017,fiscal,4,3
IR,2018,fiscal,4,3
IR,2019,fiscal,4,3
KE,2000,fiscal,7,6
KE,2001,fiscal,7,6
KE,2002,fiscal,7,6
KE,2003,fiscal,7,6
KE,2004,fiscal,7,6
KE,2005,fiscal,7,6
KE,2006,fiscal,7,6
KE,2007,fiscal,7,6
KE,2008,fiscal,7,6
KE,2009,fiscal,7,6
KE,2010,fiscal,7,6
KE,2011,fiscal,7,6
KE,2012,fiscal,7,6
KE,2013,fiscal,7,6
KE,2014,fiscal,7,6
KE,2015,fiscal,7,6
KE,2016,fiscal,7,6
KE,2017,fiscal,7,6
KE,2018,fiscal,7,6
KE,2019,fiscal,7,6
KG,2000,calendar,1,12
KG,2001,calendar,1,12
KG,2002,calendar,1,12
KG,2003,calendar,1,12
KG,2004,calendar,1,12
KG,2005,calendar,1,12
KG,2006,calendar,1,12
KG,2007,calendar,1,12
KG,2008,calendar,1,12
KG,2009,calendar,1,12
KG,2010,calendar,1,12
KG,2011,calendar,1,12
KG,2012,calendar,1,12
KG,2013,calendar,1,12
KG,2014,calendar,1,12
KG,2015,calendar,1,12
KG,2016,calendar,1,12
KG,2017,calendar,1,12
KG,2018,calendar,1,12
KG,2019,calendar,1,12
KH,2000,calendar,1,12
KH,2001,calendar,1,12
KH,2002,calendar,1,12
KH,2003,calendar,1,12
KH,2004,calendar,1,12
KH,2005,calendar,1,12
KH,2006,calendar,1,12
KH,2007,calendar,1,12
KH,2008,calendar,1,12
KH,2009,calendar,1,12
KH,2010,calendar,1,12
KH,2011,calendar,1,12
KH,2012,calendar,1,12
KH,2013,calendar,1,12
KH,2014,calendar,1,12
KH,2015,calendar,1,12
KH,2016,calendar,1,12
KH,2017,calendar,1,12
KH,2018,calendar,1,12
KH,2019,calendar,1,12
KI,2000,calendar,1,12
KI,2001,calendar,1,12
KI,2002,calendar,1,12
KI,2003,calendar,1,12
KI,2004,calendar,1,12
KI,2005,calendar,1,12
KI,2006,calendar,1,12
KI,2007,calendar,1,12
KI,2008,calendar,1,12
KI,2009,calendar,1,12
KI,2010,calendar,1,12
KI,2011,calendar,1,12
KI,2012,calendar,1,12
KI,2013,calendar,1,12
KI,2014,calendar,1,12
KI,2015,calendar,1,12
KI,2016,calendar,1,12
KI,2017,calendar,1,12
KI,2018,calendar,1,12
KI,2019,calendar,1,12
KM,2000,calendar,1,12
KM,2001,calendar,1,12
KM,2002,calendar,1,12
KM,2003,calendar,1,12
KM,2004,calendar,1,12
KM,2005,calendar,1,12
KM,2006,calendar,1,12
KM,2007,calendar,1,12
KM,2008,calendar,1,12
KM,2009,calendar,1,12
KM,2010,calendar,1,12
KM,2011,calendar,1,12
KM,2012,calendar,1,12
KM,2013,calendar,1,12
KM,2014,calendar,1,12
KM,2015,calendar,1,12
KM,2016,calendar,1,12
KM,2017,calendar,1,12
KM,2018,calendar,1,12
KM,2019,calendar,1,12
LA,2000,fiscal,10,9
LA,2001,fiscal,10,9
LA,2002,fiscal,10,9
LA,2003,fiscal,10,9
LA,2004,fiscal,10,9
LA,2005,fiscal,10,9
LA,2006,fiscal,10,9
LA,2007,fiscal,10,9
