"id","value.2011","value.2010","value.2009","value.2008","value.2007","value.2006","value.2005","value.2004","value.2003","value.2002","value.2001","value.2000"
"GT",23.7752164,23.67019494,24.2205131,22.38923945,22.19728235,24.50908257,25.45081427,31.05138075,30.93667891,31.0503104,30.9206525,30.61916486
"GN",27.43017117,28.42537922,29.02172805,28.30286671,28.42567812,28.48687562,27.84108043,27.91077899,27.9077122,28.61045894,29.49483961,26.44783082
"GW",59.83033732,59.61535912,59.05965536,61.70115607,61.68975849,61.91121051,62.47222068,62.25094556,61.15303091,63.01252125,61.84242916,61.58706441
"GY",45.10434198,45.54757867,49.70319498,50.33200649,51.86250473,52.09206865,52.29961677,50.43709456,50.09435722,50.02228214,49.97243005,50.51285853
"HT",44.65492691,46.65603823,45.49722324,44.81705112,44.43955144,45.14670383,44.88217102,44.81131387,44.47744297,44.16355811,43.4457619,43.1882774
"HN",29.17416301,29.35806205,32.9389198,33.46442276,33.28515685,33.78688147,33.77975132,33.62443773,33.28285766,33.06645015,33.25869872,33.52850044
"IN",21.33463543,21.4560673,21.13181864,20.93302051,21.06300688,21.78183226,22.02637163,22.52060659,22.6465313,22.85785902,22.31458213,22.32107528
"ID",21.91400568,22.2862879,22.79683921,22.92582841,23.24792257,23.44829914,25.39813012,26.16980764,26.15339197,26.10922305,26.36110392,26.54149053
"IR",40.23751143,40.72533457,40.62776992,41.47989391,41.59643327,42.35199491,48.60149619,48.76312443,48.93818454,49.10760091,48.95465176,48.6967171
"IQ",44.33376355,45.62411374,46.13483815,46.18220536,46.28472493,46.35603736,45.0646614,45.45477299,45.40949039,45.13590547,44.7648615,45.06518386
"IL",13.62932246,13.72270844,12.63946028,12.96523695,13.23210875,13.6982427,13.87116638,14.2244826,14.05984186,14.18663007,13.44101135,12.6034131
"JM",31.01451163,31.47551803,31.48532155,32.27186596,33.83742011,33.93129343,33.66625788,33.949978,33.94191179,33.65129427,33.79643408,33.14182701
"JO",21.28310314,20.52755909,20.30169165,21.83360216,22.47241708,22.74661924,23.46625816,23.60472217,23.89445144,24.43705768,24.46679512,24.3728685
"KE",26.80688827,26.40933589,26.37844614,26.58303242,26.74576213,27.49896679,27.73019237,27.23726928,28.22011367,29.0580061,29.39040328,29.54601956
"KI",82.12911265,82.30974725,81.84921023,81.06232443,81.93360653,82.63248463,83.5535202,84.68234067,84.87033324,85.36439288,84.9214481,84.776918
"LA",35.70612647,36.76124734,39.10833879,41.03477689,42.56863958,43.24193575,47.69009473,47.70736827,55.32454623,54.67475262,54.48290987,53.85521188
"LB",24.77796302,24.35347707,27.19856694,27.11184038,33.92448777,33.5929434,33.4296177,33.50667941,34.00853886,35.15209955,35.10471939,35.54175596
"LS",42.18858664,43.19416317,43.68405676,44.0022396,43.47061986,42.53987453,43.60955727,45.0503539,44.94192053,45.29053431,44.55054739,44.30190844
"LR",51.45166183,54.18129467,57.2579168,66.52053461,66.88430996,66.35244462,65.62785278,64.74120278,64.67362073,64.20548129,64.16502681,63.99387005
"LY",33.84566299,26.1781355,28.9915382,28.68753822,28.78753124,29.83243624,30.20345513,30.8238,30.5909542,30.10811774,30.22414297,30.12634704
"MG",36.83056083,36.74749435,36.37582514,35.56664752,35.8436416,36.05119553,36.12546977,35.05180849,35.41442876,35.38043259,30.19763102,30.6084895
"MW",48.02999672,50.17373828,50.30057325,50.96681002,51.56433983,52.02206074,52.24317539,51.84005281,52.12100697,52.85161245,52.11902461,52.03718535
"MY",21.70922158,21.58554285,22.05439372,22.21252557,22.8407583,22.56512381,24.49057798,25.3941367,25.27263303,25.44520994,25.65668063,25.26710794
"MV",52.11018635,51.76925144,53.29954327,53.8829693,53.78654418,53.66419083,50.54917524,47.39523294,40.45156855,40.0761408,39.88904017,39.91795966
"ML",35.30577325,35.72617816,35.29136173,35.14999817,34.20707695,34.53747177,34.4400858,33.09009146,32.64034981,32.42997342,33.04507028,34.03944166
"MR",45.67230741,46.55949703,46.04379261,45.63278155,46.26124303,43.38871107,38.3141804,36.18299445,36.88928828,36.31433228,36.52473895,36.80681649
"MU",28.43121735,28.38291644,28.43780087,29.87473631,30.01437401,30.29482753,30.16094122,31.63008014,33.27859191,34.57939526,37.76965458,38.9319131
"MX",20.00260442,19.80544476,18.58015173,18.46944845,18.48816855,18.11036328,20.6115559,20.35592183,20.06375844,19.53692554,19.1589103,19.26002539
"MN",55.73461478,56.83007167,59.96393857,60.74817527,60.5807349,60.5560559,60.33335505,60.36669253,60.47090969,60.52128965,60.57568452,59.98368261
"MA",16.65407893,17.61473105,17.51043513,17.59101335,17.66805569,17.98974452,17.7908857,18.733359,19.51132438,20.34471727,20.68319628,21.63172286
"MZ",45.3736196,45.8656062,43.79193044,43.75870872,43.44865147,45.54357874,46.67010635,47.70073671,47.46018756,47.10939091,48.44025203,47.33174798
"MM",40.12213758,40.81465923,41.23878924,37.96512595,36.32932653,37.34049324,37.42063433,38.57024802,39.34229248,37.75822657,37.70972799,37.74373974
"NA",37.50445541,37.70100042,37.55387174,37.39929646,37.19395115,37.14688568,36.8018951,37.04133125,37.97972434,37.85309611,37.02982396,37.46867483
"NP",27.1172046,28.25480462,29.62131807,29.96198766,30.74228135,31.13159809,32.32303405,32.61781186,32.5270371,33.27969644,32.45076646,33.31789478
"NI",30.87642565,30.77178722,30.9690165,34.59435698,35.26206788,37.06392219,38.13328017,37.90004331,38.28960712,39.34111112,39.65435244,40.66970014
"NE",37.8891284,38.31844803,40.93217094,39.06111334,38.720289,40.12151808,40.39187569,40.13414318,40.82773578,42.46024941,43.47858939,42.84184463
"NG",36.3145088,38.83284614,37.69506596,38.13758993,38.48421996,38.37244493,37.59033359,40.05742898,40.04457055,42.68558123,42.41192472,42.69609618
"OM",34.0540504,34.19647754,34.70640049,34.38544155,34.65952957,31.71332789,31.76449005,33.92973479,33.95523412,33.90475268,34.44750388,35.36123844
"PK",20.42631876,20.81230584,20.99407028,21.90695896,21.03717257,21.02763133,21.30481954,22.09727193,22.08574155,22.47026614,24.24312355,23.95803864
"PA",25.6674235,25.77603329,26.17852491,26.60228795,27.93871519,28.30188099,28.52537498,28.2065011,27.975082,29.67635299,29.1200819,29.11867439
"PG",36.29902418,36.36059848,37.50588901,38.03919655,38.01143503,37.89745765,37.80098338,37.88938255,38.1323951,37.95652653,38.40405339,38.59501754
"PY",43.47135951,43.58598799,41.64220449,42.33011503,43.22313147,44.22643486,44.15473959,44.28533796,43.93268106,46.83546184,47.65293155,48.15323706
"PE",27.43697654,27.28609628,28.05047026,29.10050318,29.18734372,29.74500748,29.19401562,27.9388259,27.92074685,27.75327857,28.18625383,28.3475356
"PH",28.23855775,28.14052093,29.15864416,29.41916344,29.07144063,29.4789215,29.78128603,30.63332188,30.74496855,30.60731963,30.86282988,30.07702924
"QA",33.56023589,33.74223268,36.2985599,35.8235766,36.61722584,37.40423926,38.73282704,39.08023086,40.51886354,40.310366,40.15920523,39.04167262
"KR",14.01756668,14.45862987,15.61778556,15.98805036,15.75821209,16.08926489,16.52528667,17.97727639,18.80444215,19.08700585,19.32381711,17.97801995
"RW",44.96268141,47.67319197,47.92569768,48.1545995,48.21709525,48.94274819,51.46831115,51.61172935,50.79848048,49.18377291,48.73001535,49.33030548
"KN",48.54905913,48.91294921,49.47963835,49.74782094,49.32009643,48.74638074,46.03470119,43.85874321,42.42195692,43.49549014,45.06301293,45.14209431
"LC",37.37897436,36.39617154,34.2791269,34.98519127,34.64635447,36.47407274,34.81587639,35.46715061,36.36777376,39.51656819,39.48669458,42.12150707
"VC",40.47972508,40.21974345,39.96187885,40.50648161,40.19005823,42.15820226,41.23692345,40.95598452,39.84385552,40.89504214,41.38001934,41.20221376
"WS",50.51220652,51.51787462,55.1378456,55.56045911,55.16853722,55.13179268,55.5202989,55.54002352,55.12822847,56.08046526,57.75095232,57.68325938
"ST",42.90209991,43.97169659,47.03841155,52.35329528,52.4331671,52.26938089,52.88986362,54.84376079,53.07501629,60.46323125,59.19082757,56.55471008
"SA",21.8858904,22.79607231,23.83730851,22.67625134,23.04211766,23.05541007,24.13070425,23.43229656,23.7713532,24.12047323,24.74050725,28.98627981
"SN",36.40934159,36.09388457,35.43797616,34.6489234,33.74397169,33.76804939,33.90992499,34.8752743,35.76736223,37.36509096,37.9389284,39.23140289
"SC",41.53163856,40.72179813,40.98806215,41.30133319,41.45648326,43.18355046,44.36490118,45.06387533,42.19330742,43.57823383,42.0229598,42.26785417
"SL",50.06397815,50.34997044,50.31018244,50.42125089,50.95901369,50.72936982,52.22858095,51.89026349,51.33438713,51.28774621,51.77342486,49.53707065
"SG",30.62873687,30.98362207,31.76939751,32.14610716,32.16044747,32.50735373,34.11691079,35.39529636,35.88499492,36.01125649,35.64120635,34.9787528
"SB",50.87561383,50.44506428,51.14392657,51.40938453,51.97291797,52.68272665,55.04838674,56.11003393,56.97989877,55.07068455,54.00321521,54.18308692
"SO",46.99889195,49.9882163,44.52362039,45.51169752,45.15879621,54.98507436,58.37224612,60.13506448,59.66292264,60.32614104,60.93969526,61.29499348
"ZA",24.01864904,24.56111759,24.78684256,24.56771279,24.282628,25.13305529,24.93346913,25.21058343,23.22748324,23.08852678,23.34328285,23.62340554
"LK",25.62661337,25.89470798,25.82668607,26.46369016,26.76851307,27.51412482,28.90283189,30.07209265,30.66187767,31.25845437,31.5794128,31.156549
"SD",52.38136255,52.83988604,52.68626327,51.8104888,44.9422698,46.19702075,47.21543122,48.3354331,48.62573874,49.48768409,49.8791952,52.04582825
"SR",69.80765308,69.89059558,69.92326986,69.58001932,69.31457468,69.01382783,62.22993121,62.3916891,62.74826156,63.58841954,63.16134394,62.68112695
"SZ",42.584835,42.973686,43.70509867,43.8784287,41.4669803,39.52681971,40.61598553,43.36685038,44.42275898,43.27070238,42.94898238,42.5501688
"SY",25.36877968,24.68708368,24.56654135,24.18840263,22.73181864,23.22237104,26.92730787,31.43058102,32.20453878,31.76712868,31.47206257,31.44547763
"TH",24.45938554,24.74798277,25.06889911,25.41269529,25.05707075,25.43511261,25.90330364,27.42941006,27.81187675,29.13322664,29.43971815,29.39323021
"TL",53.91397602,54.56487946,55.30210643,,,,,,,,,
"TG",33.54701531,35.54416228,35.1768392,35.92345213,36.64460709,36.96026005,36.83660595,36.61779887,36.85153089,37.84213972,38.07604507,38.99486196
"TO",56.68006337,55.52459512,56.62709757,57.10814916,58.40656684,57.98129907,59.43617588,60.20686875,60.36999905,63.06271005,65.41739559,66.74853473
"TT",33.72991089,33.19109038,34.01842572,30.81131281,30.24145448,29.15819419,28.94304562,29.09591495,28.24680257,27.97327848,27.22133845,27.07213956
"TN",19.61289377,18.72460934,21.74029471,22.39733279,23.52659016,23.56629242,24.37468754,24.88270712,25.48399915,25.52326461,26.03167108,25.27497838
"TR",11.68007717,11.3021659,10.86762592,10.83592022,10.95893595,11.07080079,12.40405094,12.90527526,13.3638539,14.4264489,14.36715011,13.83413005
"TV",61.0953678,61.24839027,69.13455637,70.02355027,70.41738052,73.85414197,73.37938102,72.9246727,73.10151127,73.41550669,72.74070349,70.92264988
"UG",35.69439691,35.88047345,37.33816758,37.21206213,37.37558169,37.42936794,39.18476139,38.69602132,40.8023082,41.27399077,42.45304392,47.85872449
"AE",32.3487436,32.78536156,33.40417463,34.1056853,35.07792517,35.82093147,38.07296462,38.31701511,38.61509891,38.24019238,37.94450451,31.59674238
"TZ",26.85712264,28.04401042,28.45432969,28.86752764,29.32352167,30.4047966,29.81006722,30.0663374,30.02631292,29.71968582,28.4099137,29.67886035
"UY",32.78058653,32.77589472,32.76082705,32.85847226,32.70230539,30.79477776,31.40244454,31.27442677,30.93834077,30.75181826,30.89781923,30.02888546
"VU",45.25438761,46.1476826,47.61354381,49.51343995,49.63937269,50.41826221,52.52734992,53.43810087,54.10880355,54.07325003,54.25078895,55.29560923
"VE",30.83577364,30.28742644,30.02493445,28.59856647,28.42861915,28.74925248,28.34270599,28.592214,28.70063003,28.4863158,28.10432683,27.58348903
"VN",30.10382399,29.78286839,32.03614233,34.7882155,35.4694267,36.09249042,36.46916159,36.69559047,39.15486235,39.53502081,40.11900432,41.53227697
"YE",35.91891256,38.98535719,44.93904605,45.59997895,45.84407484,45.93611865,46.2198749,46.56652265,46.765425,47.24444229,47.41407302,47.31720573
"ZM",54.60387302,54.4963575,55.9588124,55.68536198,57.18147062,56.91848653,47.12363032,46.63052383,45.47477457,45.62365326,45.58950087,45.24793241
"ZW",39.45007302,39.27393342,39.4805395,38.09755595,37.76405524,37.340729,37.18285219,38.07785798,39.05928537,40.35802463,39.29566598,36.93878191
