id,flow,year,value,percent-of-total-oda
JP,oda-loans-equity-investments,2015,6982069295.52,58.31
JP,total-oda,2015,11973234928.79,100.00
KR,oda-loans-equity-investments,2015,642482067.00,39.87
KR,total-oda,2015,1611250708.60,100.00
KW,oda-loans-equity-investments,2015,471628200.70,74.66
KW,total-oda,2015,631714836.90,100.00
KZ,oda-loans-equity-investments,2015,,0.00
KZ,total-oda,2015,34025139.78,100.00
LI,oda-loans-equity-investments,2015,,0.00
LI,total-oda,2015,19051100.00,100.00
LT,oda-loans-equity-investments,2015,,0.00
LT,total-oda,2015,9807864.28,100.00
LU,oda-loans-equity-investments,2015,,0.00
LU,total-oda,2015,262678046.17,100.00
LV,oda-loans-equity-investments,2015,,0.00
LV,total-oda,2015,2208621.00,100.00
montreal-protocol,oda-loans-equity-investments,2015,,0.00
montreal-protocol,total-oda,2015,45297760.00,100.00
MT,oda-loans-equity-investments,2015,,0.00
MT,total-oda,2015,8015763.76,100.00
NL,oda-loans-equity-investments,2015,0.00,0.00
NL,total-oda,2015,4256004220.57,100.00
NO,oda-loans-equity-investments,2015,,0.00
NO,total-oda,2015,3333593402.33,100.00
nordic-dev-fund,oda-loans-equity-investments,2015,2582196.00,6.59
nordic-dev-fund,total-oda,2015,39186315.23,100.00
NZ,oda-loans-equity-investments,2015,,0.00
NZ,total-oda,2015,359364872.82,100.00
ofid,oda-loans-equity-investments,2015,371918263.72,94.04
ofid,total-oda,2015,395472303.72,100.00
osce,oda-loans-equity-investments,2015,,0.00
osce,total-oda,2015,114982301.70,100.00
PL,oda-loans-equity-investments,2015,41378300.00,33.13
PL,total-oda,2015,124884781.94,100.00
PT,oda-loans-equity-investments,2015,71898207.60,37.52
PT,total-oda,2015,191618453.31,100.00
RO,oda-loans-equity-investments,2015,,0.00
RO,total-oda,2015,33153642.11,100.00
RU,oda-loans-equity-investments,2015,,0.00
RU,total-oda,2015,902142175.00,100.00
SA,oda-loans-equity-investments,2015,457414000.00,6.58
SA,total-oda,2015,6953067150.00,100.00
SE,oda-loans-equity-investments,2015,0.00,0.00
SE,total-oda,2015,4908108213.11,100.00
SI,oda-loans-equity-investments,2015,,0.00
SI,total-oda,2015,25101348.16,100.00
SK,oda-loans-equity-investments,2015,,0.00
SK,total-oda,2015,19124355.44,100.00
TH,oda-loans-equity-investments,2015,34632000.00,48.93
TH,total-oda,2015,70785550.33,100.00
TL,oda-loans-equity-investments,2015,,0.00
TL,total-oda,2015,4000000.00,100.00
TR,oda-loans-equity-investments,2015,7000000.00,0.17
TR,total-oda,2015,4095900000.00,100.00
TW,oda-loans-equity-investments,2015,12010000.00,5.34
TW,total-oda,2015,225040000.00,100.00
unaids,oda-loans-equity-investments,2015,,0.00
unaids,total-oda,2015,241317523.00,100.00
undp,oda-loans-equity-investments,2015,,0.00
undp,total-oda,2015,420346564.63,100.00
unece,oda-loans-equity-investments,2015,,0.00
unece,total-oda,2015,13760500.00,100.00
unep,oda-loans-equity-investments,2015,,0.00
unep,total-oda,2015,125175540.00,100.00
unfpa,oda-loans-equity-investments,2015,,0.00
unfpa,total-oda,2015,313274110.29,100.00
unhcr,oda-loans-equity-investments,2015,,0.00
unhcr,total-oda,2015,460723518.12,100.00
unicef,oda-loans-equity-investments,2015,,0.00
unicef,total-oda,2015,1401925883.32,100.00
unpbf,oda-loans-equity-investments,2015,,0.00
unpbf,total-oda,2015,71753135.30,100.00
unrwa,oda-loans-equity-investments,2015,,0.00
unrwa,total-oda,2015,771379660.00,100.00
US,oda-loans-equity-investments,2015,0.00,0.00
US,total-oda,2015,27402333597.00,100.00
wfp,oda-loans-equity-investments,2015,,0.00
wfp,total-oda,2015,286569247.00,100.00
who,oda-loans-equity-investments,2015,,0.00
who,total-oda,2015,663963101.24,100.00
