id-from,id-to,flow,year,value
CA,middle-east,oofs-regions,2015,
CA,middle-east,remittances-regions,2015,973808514.77408
CA,north-central-america,fdi-regions-new,2015,0
CA,north-central-america,oda-regions,2015,160190000
CA,north-central-america,oofs-regions,2015,8040000
CA,north-central-america,remittances-regions,2015,945286601.496462
CA,north-of-sahara,fdi-regions-new,2015,0
CA,north-of-sahara,oda-regions,2015,25240000
CA,north-of-sahara,oofs-regions,2015,
CA,north-of-sahara,remittances-regions,2015,434648663.216199
CA,oceania,fdi-regions-new,2015,0
CA,oceania,oda-regions,2015,2450000
CA,oceania,oofs-regions,2015,
CA,oceania,remittances-regions,2015,33394289.3727862
CA,south-america,fdi-regions-new,2015,0
CA,south-america,oda-regions,2015,98410000
CA,south-america,oofs-regions,2015,95870000
CA,south-america,remittances-regions,2015,313329476.655177
CA,south-central-asia,fdi-regions-new,2015,0
CA,south-central-asia,oda-regions,2015,300050000
CA,south-central-asia,oofs-regions,2015,98190000
CA,south-central-asia,remittances-regions,2015,4092109990.5539
CA,south-of-sahara,fdi-regions-new,2015,0
CA,south-of-sahara,oda-regions,2015,944280000
CA,south-of-sahara,oofs-regions,2015,79130000
CA,south-of-sahara,remittances-regions,2015,836090628.767878
CH,europe,fdi-regions-new,2015,621051647.0955
CH,europe,oda-regions,2015,188750000
CH,europe,oofs-regions,2015,
CH,europe,remittances-regions,2015,810111411.316313
CH,far-east-asia,fdi-regions-new,2015,4220823028.16168
CH,far-east-asia,oda-regions,2015,149150000
CH,far-east-asia,oofs-regions,2015,
CH,far-east-asia,remittances-regions,2015,376688126.886756
CH,middle-east,fdi-regions-new,2015,0
CH,middle-east,oda-regions,2015,155360000
CH,middle-east,oofs-regions,2015,
CH,middle-east,remittances-regions,2015,74844081.8175782
CH,north-central-america,fdi-regions-new,2015,450330458.27704
CH,north-central-america,oda-regions,2015,90770000
CH,north-central-america,oofs-regions,2015,
CH,north-central-america,remittances-regions,2015,79844811.3159588
CH,north-of-sahara,fdi-regions-new,2015,519073054.14112
CH,north-of-sahara,oda-regions,2015,69420000
CH,north-of-sahara,oofs-regions,2015,
CH,north-of-sahara,remittances-regions,2015,132452759.745292
CH,oceania,fdi-regions-new,2015,0
CH,oceania,oda-regions,2015,620000
