"id","value.1990","original-value.1990","value.1991","original-value.1991","value.1992","original-value.1992","value.1993","original-value.1993","value.1994","original-value.1994","value.1995","original-value.1995","value.1996","original-value.1996","value.1997","original-value.1997","value.1998","original-value.1998","value.1999","original-value.1999","value.2000","original-value.2000","value.2001","original-value.2001","value.2002","original-value.2002","value.2003","original-value.2003","value.2004","original-value.2004","value.2005","original-value.2005","value.2006","original-value.2006","value.2007","original-value.2007","value.2008","original-value.2008","value.2009","original-value.2009","value.2010","original-value.2010","value.2011","original-value.2011","value.2012","original-value.2012","value.2013","original-value.2013"
"ID",54.27,54.27,54.3133333333,,54.3566666667,,54.4,54.4,50.7266666667,,47.0533333333,,43.38,43.38,44.82,,46.26,,47.7,47.7,41.5966666667,,35.4933333333,,29.39,29.39,26.78,,24.17,,21.56,21.56,21.9433333333,,22.3266666667,,22.71,22.71,20.375,,18.04,18.04,16.2,16.2,,,,
"IN",,,,,,,,,49.4,49.4,48.6945454545,,47.9890909091,,47.2836363636,,46.5781818182,,45.8727272727,,45.1672727273,,44.4618181818,,43.7563636364,,43.0509090909,,42.3454545455,,41.64,41.64,39.848,,38.056,,36.264,,34.472,,32.68,32.68,28.154731895,,23.62946379,23.62946379,,
"IQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.37,3.37,3.478,,3.586,,3.694,,3.802,,3.91,3.91,,
"IR",3.85,3.85,3.2425,,2.635,,2.0275,,1.42,1.42,1.38,,1.34,,1.3,,1.26,1.26,1.2871428571,,1.3142857143,,1.3414285714,,1.3685714286,,1.3957142857,,1.4228571429,,1.45,1.45,,,,,,,,,,,,,,,,
"JM",1.27,1.27,2.12,,2.97,,3.82,3.82,3.1333333333,,2.4466666667,,1.76,1.76,1.6166666667,,1.4733333333,,1.33,1.33,19.33,,37.33,37.33,0.31,0.31,0.275,,0.24,0.24,,,,,,,,,,,,,,,,,,
"JO",,,,,2.74,2.74,2.49,,2.24,,1.99,,1.74,,1.49,1.49,1.435,,1.38,,1.325,,1.27,,1.215,,1.16,1.16,0.8566666667,,0.5533333333,,0.25,0.25,0.16,,0.07,0.07,0.075,,0.08,0.08,,,,,,
"KE",,,,,38.42,38.42,33.46,,28.5,28.5,29.61,,30.72,,31.83,31.83,33.2725,,34.715,,36.1575,,37.6,,39.0425,,40.485,,41.9275,,43.37,43.37,,,,,,,,,,,,,,,,
"KG",,,,,,,18.61,18.61,21.256,,23.902,,26.548,,29.194,,31.84,31.84,34.325,,36.81,36.81,32.58,32.58,29.74,29.74,24.71,24.71,10.99,10.99,19.91,19.91,13.38,13.38,1.9,1.9,5.5,5.5,5.63,5.63,6.02,6.02,5.11,5.11,,,,
"KH",,,,,,,,,44.5,44.5,43.327,,42.154,,40.981,,39.808,,38.635,,37.462,,36.289,,35.116,,33.943,,32.77,32.77,32.12,,31.47,,30.82,30.82,20.89,20.89,12.93,12.93,11.25,11.25,10.05,10.05,,,,
"KI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.11,46.11,,,,,,,,,,,,,,,,,,
"KN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KZ",,,,,,,4.21,4.21,4.4666666667,,4.7233333333,,4.98,4.98,5.208,,5.436,,5.664,,5.892,,6.12,6.12,3.76,3.76,2.41,2.41,1.45,1.45,0.02,0.02,0.41,0.41,0.16,0.16,0.01,0.01,0.035,,0.06,0.06,,,,,,
"LA",,,,,55.68,55.68,54.05,,52.42,,50.79,,49.16,,47.53,47.53,46.268,,45.006,,43.744,,42.482,,41.22,41.22,39.996,,38.772,,37.548,,36.324,,35.1,35.1,34.132,,33.164,,32.196,,31.228,,30.26,30.26,,
"LB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LC",,,,,,,,,,,20.96,20.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LK",,,15.01,15.01,15.272,,15.534,,15.796,,16.058,,16.32,16.32,15.925,,15.53,,15.135,,14.74,,14.345,,13.95,13.95,12.568,,11.186,,9.804,,8.422,,7.04,7.04,6.0633333333,,5.0866666667,,4.11,4.11,,,,,,
"LR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.76,83.76,,,,,,,,,,,,
"LS",,,,,,,67.03,67.03,55.9,55.9,55.8177777778,,55.7355555556,,55.6533333333,,55.5711111111,,55.4888888889,,55.4066666667,,55.3244444444,,55.2422222222,,55.16,55.16,55.3114285714,,55.4628571429,,55.6142857143,,55.7657142857,,55.9171428571,,56.0685714286,,56.22,56.22,,,,,,
"LT",,,,,,,2.15,2.15,1.4333333333,,0.7166666667,,0,0,0.06,,0.12,0.12,0.09,,0.06,0.06,0.3,0.3,0.16,0.16,0.07,0.07,0.06,0.06,1.71,1.71,1.4,1.4,0.725,,0.05,0.05,0.765,,1.48,1.48,0.83,0.83,,,,
"LV",,,,,,,0,0,0,,0,0,0.42,0.42,0.56,0.56,0,0,0.1025,,0.205,,0.3075,,0.41,0.41,0.26,,0.11,0.11,0.65,,1.19,1.19,0.595,,0,0,0.69,,1.38,1.38,1.07,1.07,,,,
"LY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MA",,,2.45,2.45,2.98875,,3.5275,,4.06625,,4.605,,5.14375,,5.6825,,6.22125,,6.76,6.76,6.515,,6.27,6.27,5.6533333333,,5.0366666667,,4.42,,3.8033333333,,3.1866666667,,2.57,2.57,,,,,,,,,,,,
"MD",,,,,12.25,12.25,12.932,,13.614,,14.296,,14.978,,15.66,15.66,25.54,25.54,35.67,35.67,30.34,,25.01,25.01,14.96,14.96,6.25,6.25,6.67,6.67,12.49,12.49,2.17,2.17,1.01,1.01,1.07,1.07,0.78,0.78,0.42,0.42,0.23,0.23,,,,
"ME",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.25,0.14,0.14,0.37,0.37,0.09,0.09,0,0,0,0,0.21,0.21,,,,
"MG",,,,,,,67.07,67.07,68.3125,,69.555,,70.7975,,72.04,72.04,77.205,,82.37,82.37,79.355,,76.34,76.34,77.8625,,79.385,,80.9075,,82.43,82.43,83.478,,84.526,,85.574,,86.622,,87.67,87.67,,,,,,
"MH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MK",,,,,,,,,,,,,,,,,0,0,2.085,,4.17,4.17,2.35,,0.53,0.53,0.45,0.45,0.52,0.52,0.28,0.28,0.92,0.92,0.6,,0.28,0.28,,,,,,,,,,
"ML",,,,,,,,,85.92,85.92,82.3857142857,,78.8514285714,,75.3171428571,,71.7828571429,,68.2485714286,,64.7142857143,,61.18,61.18,59.23,,57.28,,55.33,,53.38,,51.43,51.43,51.225,,51.02,,50.815,,50.61,50.61,,,,,,
"MM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MR",,,,,,,42.79,42.79,36.3266666667,,29.8633333333,,23.4,23.4,22.84,,22.28,,21.72,,21.16,21.16,22.2225,,23.285,,24.3475,,25.41,25.41,24.915,,24.42,,23.925,,23.43,23.43,,,,,,,,,,
"MU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.21,0.2466666667,,0.2833333333,,0.32,,0.3566666667,,0.3933333333,,0.43,0.43,,
"MV",,,,,,,,,,,,,,,,,25.59,25.59,21.5716666667,,17.5533333333,,13.535,,9.5166666667,,5.4983333333,,1.48,1.48,,,,,,,,,,,,,,,,,,
"MW",,,,,,,,,,,,,,,,,83.22,83.22,81.8416666667,,80.4633333333,,79.085,,77.7066666667,,76.3283333333,,74.95,74.95,74.485,,74.02,,73.555,,73.09,,72.625,,72.16,72.16,,,,,,
"MX",,,,,4.83,4.83,4.195,,3.56,3.56,5.71,,7.86,7.86,8.24,,8.62,8.62,7.075,,5.53,5.53,4.715,,3.9,3.9,2.75,,1.6,1.6,4.93,4.93,0.68,0.68,0.915,,1.15,1.15,0.935,,0.72,0.72,0.875,,1.03,1.03,,
"MY",,,,,1.63,1.63,1.7833333333,,1.9366666667,,2.09,2.09,1.315,,0.54,0.54,0.54,,0.54,,0.54,,0.54,,0.54,,0.54,,0.54,0.54,0.36,,0.18,,0,0,0,,0,0,,,,,,,,
"MZ",,,,,,,,,,,,,80.59,80.59,79.7471428571,,78.9042857143,,78.0614285714,,77.2185714286,,76.3757142857,,75.5328571429,,74.69,74.69,72.36,,70.03,,67.7,,65.37,,63.04,,60.71,60.71,,,,,,,,
"NA",,,,,,,49.14,49.14,47.5736363636,,46.0072727273,,44.4409090909,,42.8745454545,,41.3081818182,,39.7418181818,,38.1754545455,,36.6090909091,,35.0427272727,,33.4763636364,,31.91,31.91,30.515,,29.12,,27.725,,26.33,,24.935,,23.54,23.54,,,,,,
"NE",,,,,72.79,72.79,75.48,,78.17,78.17,75.7227272727,,73.2754545455,,70.8281818182,,68.3809090909,,65.9336363636,,63.4863636364,,61.0390909091,,58.5918181818,,56.1445454545,,53.6972727273,,51.25,51.25,48.1866666667,,45.1233333333,,42.06,42.06,41.6433333333,,41.2266666667,,40.81,40.81,,,,
"NG",,,,,61.9,61.9,63.5875,,65.275,,66.9625,,68.65,68.65,67.79875,,66.9475,,66.09625,,65.245,,64.39375,,63.5425,,62.69125,,61.84,61.84,61.8716666667,,61.9033333333,,61.935,,61.9666666667,,61.9983333333,,62.03,62.03,,,,,,
"NI",,,,,,,32.73,32.73,28.686,,24.642,,20.598,,16.554,,12.51,12.51,13.13,,13.75,,14.37,14.37,11.4875,,8.605,,5.7225,,2.84,2.84,4.265,,5.69,,7.115,,8.54,8.54,,,,,,,,
"NP",,,,,,,,,,,,,67.97,67.97,65.85,,63.73,,61.61,,59.49,,57.37,,55.25,,53.13,53.13,48.9314285714,,44.7328571429,,40.5342857143,,36.3357142857,,32.1371428571,,27.9385714286,,23.74,23.74,,,,,,
"PA",,,20.89,20.89,19.59,,18.29,,16.99,,15.69,15.69,15.13,,14.57,14.57,14.77,14.77,12.66,12.66,13.82,13.82,12.445,,11.07,11.07,10.67,10.67,9.92,9.92,9.49,9.49,10.18,10.18,7.2,7.2,4.73,4.73,2.99,2.99,3.82,3.82,3.55,3.55,3.99,3.99,,
"PE",,,,,,,,,9.81,9.81,6.8633333333,,3.9166666667,,0.97,0.97,14.36,14.36,15.8,15.8,12.51,12.51,13.39,13.39,11.56,11.56,8.95,8.95,6.75,6.75,7.83,7.83,6.43,6.43,6.31,6.31,4.84,4.84,3.5,3.5,2.73,2.73,2.97,2.97,2.89,2.89,,
"PG",,,,,,,,,,,,,35.79,35.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PH",,,33.15,33.15,32.27,,31.39,,30.51,30.51,28.24,,25.97,,23.7,23.7,23.9966666667,,24.2933333333,,24.59,24.59,24.02,,23.45,,22.88,22.88,22.78,,22.68,,22.58,22.58,21.0866666667,,19.5933333333,,18.1,18.1,18.3866666667,,18.6733333333,,18.96,18.96,,
"PK",,,64.71,64.71,61.9483333333,,59.1866666667,,56.425,,53.6633333333,,50.9016666667,,48.14,48.14,38.595,,29.05,29.05,31.3233333333,,33.5966666667,,35.87,35.87,31.4433333333,,27.0166666667,,22.59,22.59,22.58,22.58,19.865,,17.15,17.15,15.68,,14.21,,12.74,12.74,,,,
"PL",,,,,0.03,0.03,0.3725,,0.715,,1.0575,,1.4,1.4,0.7,,0,0,0.04,0.04,0.05,0.05,0.05,0.05,0.02,0.02,0.035,,0.05,0.05,0.08,0.08,0.01,0.01,0.02,0.02,0.01,0.01,0,0,0,0,0,0,,,,
"PS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,0.23,0.46,,0.69,,0.92,0.92,0.5,,0.08,0.08,,,,,,,,
"PW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PY",1.05,1.05,3.14,,5.23,,7.32,,9.41,,11.5,11.5,10.8666666667,,10.2333333333,,9.6,9.6,9.35,9.35,8.72,,8.09,8.09,12.52,12.52,7.81,7.81,5.58,5.58,6.1,6.1,8.7,8.7,7.46,7.46,4.32,4.32,5.7,5.7,5.32,5.32,4.43,4.43,3.03,3.03,,
"RO",,,,,0.4,0.4,2.685,,4.97,4.97,4.15,,3.33,,2.51,,1.69,1.69,2.89,2.89,2.675,,2.46,2.46,2.63,2.63,1.57,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"RS",,,,,,,,,,,,,,,,,,,,,,,,,0.26,0.26,0.31,0.31,0.41,0.41,0.59,0.59,0.25,0.25,0.12,0.12,0.04,0.04,0.07,0.07,0.05,0.05,,,,,,
"RU",,,,,,,1.5,1.5,1.9366666667,,2.3733333333,,2.81,2.81,2.78,,2.75,,2.72,2.72,1.805,,0.89,0.89,0.51,0.51,0.38,0.38,0.7,0.7,0.22,0.22,0.17,0.17,0.09,0.09,0,0,0.03,0.03,,,,,,,,
"RW",,,,,,,,,,,,,,,,,,,,,79.37,79.37,78.1366666667,,76.9033333333,,75.67,,74.4366666667,,73.2033333333,,71.97,71.97,70.18,,68.39,,66.6,,64.81,,63.02,63.02,,,,
"SB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SC",,,,,,,,,,,,,,,,,,,,,0,0,0.0357142857,,0.0714285714,,0.1071428571,,0.1428571429,,0.1785714286,,0.2142857143,,0.25,0.25,,,,,,,,,,,,
"SD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8,19.8,,,,,,,,
"SI",,,,,,,0.03,0.03,0.028,,0.026,,0.024,,0.022,,0.02,0.02,0.0275,,0.035,,0.0425,,0.05,0.05,0,0,0.06,0.06,0.08,0.08,0.05,0.05,0.03,,0.01,0.01,0.01,,0.01,0.01,0,0,,,,
"SK",,,,,0,0,0.045,,0.09,,0.135,,0.18,0.18,0.17875,,0.1775,,0.17625,,0.175,,0.17375,,0.1725,,0.17125,,0.17,0.17,0.05,0.05,0,0,0,,0,0,0,0,0.4,0.4,0.3,0.3,,,,
"SL",62.85,62.85,62.5876923077,,62.3253846154,,62.0630769231,,61.8007692308,,61.5384615385,,61.2761538462,,61.0138461538,,60.7515384615,,60.4892307692,,60.2269230769,,59.9646153846,,59.7023076923,,59.44,59.44,59.08875,,58.7375,,58.38625,,58.035,,57.68375,,57.3325,,56.98125,,56.63,56.63,,,,
"SN",,,65.71,65.71,61.6366666667,,57.5633333333,,53.49,53.49,52.1528571429,,50.8157142857,,49.4785714286,,48.1414285714,,46.8042857143,,45.4671428571,,44.13,44.13,41.4725,,38.815,,36.1575,,33.5,33.5,33.5933333333,,33.6866666667,,33.78,,33.8733333333,,33.9666666667,,34.06,34.06,,,,
